0.0011222-0.0012963i,0.001521-0.0025409i,0.00010372-0.0035882i,-0.0016717-0.0033633i,-0.0026551-0.0021989i,-0.0029065-0.00036831i,-0.0023401+0.00065659i,-0.0013629+0.00046251i,-4.9785e-05+0.00056457i,0.0013454+0.00011992i,0.0015569-0.00070769i,0.00047832-0.00029906i,0.00010321+0.00014656i,7.3655e-05-0.00016386i,-0.0003743+0.00017306i,-0.00078194+0.00050184i,-0.00052779-0.00042831i,-8.8831e-06-0.001147i,0.00060647-0.00061931i,0.00093409-0.00012573i,1.9401e-05-0.00038519i,-0.00050653-0.0015633i,-0.00027337-0.0014601i
0.00039717+0.0017306i,0.0017956+0.00045654i,0.0030911+0.00041061i,0.0032672+0.0010085i,0.0021737+0.001047i,0.00050661+0.00033973i,0.00021847-0.00041972i,0.00048865-0.0008714i,-0.00030511-0.00050263i,-0.00079763-0.00064281i,-0.00041055-0.0010939i,-7.0251e-05-0.0003516i,0.00066179-9.2058e-05i,0.0012992-2.3333e-05i,0.00057165+0.00050726i,0.00016987+0.00042448i,0.00069373-2.7807e-05i,0.00021599-2.9021e-05i,9.1776e-05-0.00039204i,0.00071531-0.00089236i,0.00065168-0.00070401i,0.00087475-0.00051907i,0.00053795+0.00032714i
-0.00053966-0.0013233i,7.1474e-05-0.00057731i,0.00049386-0.00021795i,0.00044771+6.4863e-05i,-0.00049486+0.00096049i,-0.00098021+0.00092298i,-2.185e-05+0.00017294i,-0.0002921-0.00081126i,-0.00077067-0.0015182i,-0.00080825-0.00097375i,-0.00081658-0.00084588i,-0.00078585-0.001219i,-0.00016342-0.0011866i,0.00051716-0.00027042i,0.00015234+0.00019909i,-4.7937e-06+0.00026895i,-0.00018268+0.00078136i,0.00023841+0.00011781i,0.00090232-0.00069559i,0.00082815-0.00024391i,9.354e-05-0.00033905i,-0.00010128-0.00046278i,-0.00031958-0.00016412i
0.0002211+0.0015088i,0.00034162+0.0011601i,0.0012396+0.00059081i,0.0018757-0.00045089i,0.0014579-0.00087641i,0.0010836-0.0017379i,0.0012609-0.0018106i,0.00083235-0.00042036i,-0.00063897-0.000357i,-0.0013915-0.00057595i,-0.00068527-0.00072121i,0.0001043-0.0012898i,0.00042827-0.0010703i,-9.9359e-05-0.000428i,0.00015905+0.00010273i,0.00039971+0.00031643i,0.00027177+0.00012143i,0.00022909-0.0007394i,0.00032453-0.00046286i,0.00047805+0.00075704i,-0.00016229+0.00037451i,-0.00036034-0.00031374i,-0.00030807-0.00036691i
-2.7566e-05+0.00044534i,0.00032399-0.00022183i,0.0009602-0.0001512i,0.00022313-0.00068454i,-0.00035579-0.0015212i,0.00028777-0.0010246i,0.0011447-0.00069742i,0.00057939-0.0014395i,-0.00010795-0.0013797i,-0.00012312-0.00054679i,8.8827e-05-0.00068727i,0.00016845-0.00061433i,0.00043501-0.00062832i,0.00057227-0.00029775i,0.00039423+4.9338e-05i,6.1054e-05-0.00081475i,-0.00016072-0.0012029i,-0.00034958-0.00048518i,-0.0010845-0.00051328i,-0.00094324-0.00097296i,6.5041e-05-0.00067148i,0.0009598+7.0306e-05i,0.0004599+0.00028509i
0.00026664-0.00013139i,0.00057513-0.00099593i,0.00047321-0.0020364i,0.0003101-0.0024287i,0.00041911-0.001402i,0.00046618-5.5008e-05i,-0.00025327-0.00067722i,-0.00081505-0.0013737i,-0.00047231-0.00096304i,-0.00025678-0.00086424i,-0.00028637-0.00089747i,-0.00052958-0.000406i,-0.00048577+0.00012782i,-0.0003119+0.00088324i,-0.0004472+0.001155i,-0.00036774+0.00030756i,0.00022938-0.00046893i,0.00023732-0.00036959i,-0.00053905-0.00057018i,-0.00017132-0.00082401i,0.00075554-0.00091472i,0.0010401-0.00013008i,0.00018901+0.0013652i
-0.00092152-0.00092465i,-0.0011858-0.00059908i,-0.00031021-0.0003763i,-0.00053416-0.00041822i,-0.00044848-0.00017652i,-0.00052454-0.00015401i,-0.0011191-0.001101i,-0.0011198-0.0018823i,-0.0010203-0.0020076i,-0.00019828-0.00089277i,0.00072515+0.0002957i,0.00087095+0.00012318i,0.0001046+4.4611e-05i,-0.000239+0.00038111i,0.00016999-5.0648e-05i,0.00039703-0.00034598i,-2.301e-05-0.00040051i,6.5984e-05-0.000362i,0.00077744+4.0867e-05i,0.00036323-0.00038567i,-0.00067321-0.00076039i,-0.00098524-0.00041213i,-0.00094178-0.00040293i
-0.0012001-0.00057468i,-6.3375e-05+8.277e-05i,-0.00016835+0.00010746i,-0.00032905-0.00063255i,0.00062593-0.00055056i,0.00079302-0.00076991i,0.0010419-0.001556i,0.0010281-0.0014284i,7.8661e-06-0.00098689i,-0.00015673-0.00062981i,-6.9149e-05-0.00027209i,-0.00020017+2.5058e-07i,0.00077723+4.5372e-05i,0.0012657-9.4575e-05i,0.00085358-0.00010698i,0.001047+0.00035014i,0.00082743+8.3931e-05i,0.00064157-0.00045177i,0.0006079-0.00031017i,2.3836e-05-1.4398e-05i,-0.00050616+0.00021027i,-0.00036198+0.00059995i,-0.00021205+0.00060686i
-0.0005901-0.00013514i,0.0010198+0.00094136i,0.0018595+0.00095923i,0.001857+0.0013775i,0.0014219+0.0021037i,0.001041+0.0012622i,0.00039674-0.00047392i,-0.00051859-0.0012729i,-0.00099926-0.0011612i,-0.00078271-0.0012083i,0.00032092-0.00078178i,0.0006766-0.00049044i,7.9161e-05-0.0010193i,0.00030002-0.0014655i,-9.621e-05-0.00069269i,1.8768e-05-0.00017848i,0.00057009-0.00088272i,-0.00037535-0.00037476i,-0.0014052+0.00031001i,-0.00088109+0.00019955i,-0.00060149+0.00028144i,-0.00010596+0.0001399i,0.00065639+0.00025699i
-0.00014875+0.0011464i,0.00097475-0.00077282i,0.0018293-0.00031039i,0.0017081+0.00019921i,0.00097329-0.00051563i,0.00021887-0.0010694i,8.4577e-05-0.0022528i,-0.00016607-0.0021574i,-0.0011655-0.0010409i,-0.0014479-0.00081081i,-0.00058424-0.0009845i,0.00017414-0.00093643i,0.00038969-0.00090049i,8.0431e-05-0.00041776i,-0.00039433+0.0002519i,0.00060599+0.00068123i,0.00087704+0.00025871i,0.00033764-0.00018299i,0.00072846-0.00050714i,0.00056442-0.0013374i,1.7574e-05-0.0013712i,0.00042256-0.00068411i,0.0010229-0.00028169i
-0.00049658-0.00041139i,-0.00092332-0.00025686i,-0.00024977-0.001382i,0.00072217-0.0014904i,0.0010947-0.0010607i,0.0010826-0.0014899i,0.00059715-0.001703i,6.4195e-06-0.001301i,-7.3974e-05+8.7489e-05i,0.00021341+0.00055236i,-0.00044242+1.2806e-05i,-0.001127-0.00015875i,-0.00064614+0.00070698i,0.00027173+0.00043007i,0.00081398-0.00054877i,0.00072681-8.7225e-05i,0.00037032+0.00092903i,0.00026192+0.00045162i,-0.00018663-0.00063816i,-0.0005496-0.0010797i,-0.000616-0.0012515i,-0.00063576-0.0010151i,-0.0002036-0.00072327i
0.00043952-0.00089047i,7.1454e-05-0.0011673i,-0.00011634-0.0028034i,2.0308e-05-0.002817i,-0.0001702-0.0005918i,-0.0010385+0.00084085i,-0.0012253+0.00031866i,-0.001129-0.00098863i,-0.0006805-0.0016321i,-0.00010797-0.00075279i,8.789e-05-0.00022494i,-3.9763e-05-0.00027827i,-4.3941e-05-0.00013531i,0.00023328-0.00024338i,0.00046772+5.6007e-05i,-0.00010155+0.00041624i,-0.00058277-9.2141e-05i,-0.00031493-0.00024236i,-0.00039049+0.00028234i,-0.00082988+3.266e-05i,-0.00038186+0.00029685i,-0.00018514+0.00077284i,-0.00064233+0.00068105i
0.00027156+0.00063805i,0.0009716-0.0002362i,7.8694e-05-0.00030156i,0.00070572+0.00043215i,0.00088708+0.00052606i,0.0003197+0.00028344i,0.00033158-0.00049553i,0.00061036-0.00079632i,0.0012179-0.00055488i,0.0020095+0.00015597i,0.0012717+0.00050019i,0.00023173+0.0006678i,0.00034121+7.0974e-05i,0.00061334-0.00078652i,0.00078594+6.7989e-05i,0.00053138+0.00077988i,-0.00041339-0.00012291i,-0.00077907-0.00095033i,4.9866e-05-0.00035197i,0.00079298-0.0001187i,0.00095403-0.0001837i,0.00027104+0.00034617i,-0.00036263+0.0003483i
-0.00011058+0.00037985i,0.00061811-0.00040037i,0.0012057-0.0017965i,0.0011852-0.0022036i,0.00076832-0.001201i,0.0009859+0.00043374i,0.00098484+8.3804e-05i,0.00027008-0.00083766i,1.5943e-05-0.00081211i,0.00014021-0.0006563i,0.00073508-0.00062187i,0.0010501-0.0011254i,0.00041555-0.0015811i,0.00027956-0.00084565i,0.00029871+5.653e-05i,0.00010445+0.00012231i,-0.00017264+6.8421e-05i,-6.6985e-05+0.00016953i,-0.00037014+0.0001388i,4.2427e-05-0.00018656i,0.00036848-0.00032656i,1.535e-05-0.00033453i,1.5685e-07-0.00017145i
-0.0010538+0.00016607i,-0.00066612-0.00031048i,0.00036995-0.00081584i,0.0017984-0.00022525i,0.0019915+0.00077598i,0.00040415-0.00015072i,-0.0003626-0.0010248i,-0.0010081-0.0014084i,-0.0012585-0.0012199i,-3.1753e-05-0.00082953i,0.00067303-0.00085612i,0.0002317-0.00083186i,-0.00018251-0.00066134i,-0.00065986-0.00034653i,-0.00087995+0.00033652i,-0.0006135-0.00020509i,0.00016891-0.00073095i,0.00038149-0.00011392i,0.00026712+0.00063355i,6.8574e-05+0.00047331i,3.019e-05+0.00036842i,-0.00043257+0.00057168i,-0.0014853+2.3655e-05i
