0.00079959-0.00061647i,0.00083525-0.0016232i,-0.00063895-0.002672i,-0.0017827-0.0016318i,-0.0022169-0.00026431i,-0.0023592+0.00073116i,-0.00074828+0.0011207i,0.00063844+0.00090968i,0.00078988+0.00051082i,0.0010696-0.00089482i,0.0013471-0.0012313i,0.0011057+6.6646e-05i,2.8869e-05+1.1077e-05i,-0.00040918-0.00050546i,4.424e-05-0.00047286i,0.00037035-0.00047388i,-3.6854e-06-0.00068483i,-0.00030141-0.0010338i,0.00032869-0.00099486i,0.00015087-0.00066326i,-0.00014763-0.00095695i,7.1287e-05-0.0010113i,-0.00025395-0.00013304i
0.0011746+0.001269i,0.001406+0.00037137i,0.0020446-0.00011889i,0.0021053-0.0003621i,0.0015849+8.4736e-06i,0.001228+0.00029488i,0.00039689+0.00022563i,0.00025554+0.00025824i,0.00050429-3.0418e-05i,0.00050388+0.00036003i,0.00044844+0.00042422i,-7.9645e-05-0.00017439i,-0.00014794-0.0010776i,0.00032991-0.00070993i,0.00025941+0.00051205i,-0.00059571-0.00022637i,-0.00075548-0.001317i,1.4158e-05-0.001093i,0.00013755-0.00060853i,-0.00020725-0.00054038i,6.9135e-06-0.00044723i,0.0005276-0.00031551i,0.00057837-0.00013727i
0.0010669-0.0010413i,-2.2487e-05-0.0010348i,3.6349e-05-0.00095906i,9.4815e-05-0.00021197i,-3.1353e-05+0.00055032i,0.0005086+0.0003395i,0.00056306-0.00058647i,0.00016391-0.00065086i,-0.00017827-0.00026605i,-0.00046062-0.00081423i,4.8679e-05-0.0010532i,0.00081767+2.5441e-05i,0.00059213+0.00074801i,0.00033943+0.00054312i,0.00089405+5.4848e-05i,0.00081232-0.00043965i,0.00022413-0.00020189i,3.4925e-05+0.00031743i,0.00024324+8.1992e-05i,0.00030614-0.00024981i,0.00034373-0.00027751i,-7.6748e-05-0.00028589i,-0.00066836-0.0001142i
-0.0013809+0.00087386i,-0.0011232+0.0013741i,-0.00046029+0.0019998i,0.00064622+0.0011148i,0.0014101+0.0005178i,0.0005945+0.0007447i,-0.00022442+0.00036112i,-0.00022066-9.1841e-05i,0.00023554-0.00084505i,-0.00024027-0.00078785i,-0.00066959-5.9081e-05i,-0.00031848+0.00040247i,-0.00067706+0.00032192i,-0.00028097+0.00064134i,0.00021329+0.00045648i,0.00090419+0.00051673i,0.00083538+0.00081374i,-1.7506e-05+0.00036332i,-0.00077723+0.00013798i,-0.00087157+0.00046876i,-8.8147e-06+0.00035798i,0.00060459+0.00093161i,0.0003383+0.00077992i
0.0018317-0.00014988i,0.0026246-0.0015536i,0.0021565-0.0018296i,0.0013566-0.0007537i,0.0017727-0.00070032i,0.0019475-0.0015136i,0.0010553-0.0012345i,0.00038286-0.00057423i,0.00012082-0.00023308i,0.00045962+0.00043186i,0.00062999+0.00070064i,-0.00048134+0.00089321i,-0.00038323+0.00094291i,0.00077318+0.00087348i,0.00081249+0.0005157i,0.00027174+0.00010748i,0.00037336-8.9715e-05i,0.00056839+0.00035445i,0.00028398+0.00039222i,0.00026836-0.00017519i,0.00044365-0.00025509i,0.00021125-0.00039708i,-3.5696e-05-0.00079015i
-0.000332+0.0012592i,-0.00018826+0.0019235i,0.00061453+0.00092211i,0.0010883-8.7014e-05i,0.00044682+1.9814e-05i,-0.00085098-5.0548e-07i,-0.00091007-0.0004699i,-0.00065049+2.5292e-05i,-0.00038839-0.00013381i,-0.00053601-0.0003555i,-0.00038887-0.00057011i,6.3484e-05-0.0013734i,-0.00021396-0.00081006i,-0.00019444+0.00022939i,-0.0003724+0.00022746i,-0.00020197-0.00015138i,0.00025867-0.00029781i,0.00043132-0.00033934i,0.00034441-0.00010425i,-0.00022579+0.0002586i,-0.0011382+2.103e-05i,-0.0011672+0.00039098i,-0.00085938+0.00040484i
0.00092139+0.00067414i,0.00079725-0.00059543i,0.00090174-0.00072098i,0.00098414+0.00022762i,0.00086232+0.0013155i,0.00086535+0.00044437i,0.00085914-6.0188e-05i,0.00033186-0.00021503i,0.00027117-0.00041982i,0.00012423-0.00014687i,1.6481e-05-8.6919e-05i,0.00023347-0.00020425i,8.943e-05-0.00038724i,-0.0002387+0.00018624i,0.00027448+0.00021634i,0.00081298-0.0003609i,0.00083393+0.00033965i,0.00035844+0.00057435i,-0.00035531-0.00010733i,-4.3875e-05-0.00084414i,0.00024605-0.0010495i,-0.00016022-0.00062455i,0.00015456-0.00087589i
-0.001095+0.0016474i,-0.00036405+0.0010859i,-2.7328e-05+0.00069798i,0.00091988-5.9304e-05i,0.0015198-0.00031952i,0.0013413+8.5123e-05i,0.00053885-0.00020698i,-0.00045174-0.00036186i,0.00019629-0.00010267i,0.0013955+0.00019002i,0.0011013+0.00023265i,-8.9171e-05+0.00056473i,-0.00053976+0.0010222i,-0.00071219+0.001115i,-0.00047859+0.0018412i,0.00036641+0.0016337i,0.00054796+0.00030529i,0.00032399+0.00018212i,0.00047354+0.00062623i,0.00049335+0.00075605i,-0.00035393-1.1001e-05i,-8.4564e-05-7.5932e-05i,0.0003769+7.5087e-05i
0.00089919-0.0014469i,0.00026036-0.00093835i,-0.000652-0.00043727i,-0.00087264+0.00022565i,-0.00072294+0.00042215i,-0.0003361-3.9236e-06i,-0.00013949-0.00075148i,-0.0004522-0.0019919i,-0.00051111-0.0020491i,-0.0011212-0.00082743i,-0.0011643-0.00059555i,-0.0003259-0.0003096i,0.00047109-0.00011863i,0.00060861-0.00012654i,-0.00032362+0.00018383i,-0.00074634+0.00011554i,0.00055373+0.00019624i,0.0006201+0.00022902i,-0.00074059+9.102e-05i,-0.00091952+0.00012924i,-0.0005761+0.0002014i,-0.00057314+0.00027886i,-0.00029318+0.00058502i
0.00098127-0.00054001i,0.00086535-0.00055718i,0.00014072-0.00019209i,-0.00038807+0.00022613i,0.00015461+0.00044207i,0.00053615+0.00013932i,0.00058768-0.00043644i,0.0011589-0.00086511i,0.0012192-7.0358e-06i,0.00013012+0.0011039i,-0.00028388+0.00089438i,0.00024777+0.00013753i,0.00071396-0.00069278i,0.0012965-0.00055231i,0.00094763+0.00054743i,0.00027183+0.00075444i,0.00028851+0.00045949i,0.00020287-0.00044721i,0.0001725-0.00068449i,6.3143e-08-0.0001758i,-0.00091082-4.4197e-05i,-0.00037544+0.00011861i,0.00043537+0.00024375i
0.0018903-0.0019715i,0.0012945-0.00212i,-0.00075993-0.002303i,-0.0016665-0.0012726i,-0.001947+0.00027743i,-0.0010835+0.00025405i,0.00024016-0.00029453i,0.00028362-0.0003377i,-0.00066403-0.00043644i,-0.00066106-0.00065425i,5.2006e-05+0.00010596i,0.00022087+0.0007442i,0.00014271+0.00070243i,2.5414e-05+0.00026644i,1.2344e-05-0.0003791i,7.3207e-05-0.00075971i,8.9887e-05-0.00053384i,-0.00019689-0.00031515i,-0.00016246-0.00035225i,0.0001332-0.00096104i,0.0003656-0.0010507i,0.00017504-0.00047699i,-0.00072056+7.5523e-05i
