-0.0033158+0.00050816i,-0.0030508+0.00077141i,-0.0025555+0.0021421i,-0.0014311+0.0028111i,-0.0005691+0.0035521i,3.9283e-05+0.0036927i,0.0011112+0.0021632i,0.0016283+0.0010721i,0.00077105+0.0015761i,0.00058824+0.00096676i,0.001083-0.00038568i,0.0010863-0.0013601i,0.00039581-0.0018671i,-0.00085699-0.0015207i,-0.0010154-0.00043816i,-0.00058922-0.00032527i,-0.0001887-0.00061172i,0.00089653-0.00041138i,0.0010675-0.00018587i,0.0006771+8.8601e-05i,9.9358e-05+1.0598e-05i,-0.00017892-0.00019676i,0.00054333-0.00031846i
0.0021538+0.0012604i,0.0022691+0.0018182i,0.0016535+0.0006026i,0.0010355-0.00060073i,0.00046125-0.00087485i,-0.00042744-0.00095823i,-0.00097052-0.00066905i,-0.00072583-0.00065101i,0.00013173-0.00038074i,0.00037744+0.00025567i,-0.00013845+0.00017851i,-0.0010979-0.0004657i,-0.00091343-0.0004948i,-0.0001997+0.00015713i,-0.00038027+0.00067946i,-0.00013832+0.00059601i,0.00028598+0.00019483i,0.00022958-0.00011553i,-5.5059e-06+0.00024325i,-0.00021788+0.00047287i,-0.00022152+0.00016976i,-0.0004347-0.00012352i,-0.00028305-0.00081183i
0.0004355-0.00047431i,0.00074235+0.0003054i,0.00065652+0.00074204i,0.00063444+0.00067278i,0.00055259+0.00046695i,0.00013686+0.0001169i,0.00020492-0.00050918i,0.00086314-0.00032252i,0.00048272+0.00014211i,0.0001053-0.00017452i,0.00044903+0.00011743i,6.5587e-05+0.0006076i,0.00022972+0.0010021i,0.0010605+0.00072509i,0.00067812-0.00010799i,0.00079048-0.00024113i,0.00073185-0.00013569i,-0.00033205+3.1233e-05i,-0.00051601+0.00041789i,-0.00034195+0.00058699i,-0.00064515+0.00050319i,-0.00070867+0.00056527i,-0.00076568-6.4753e-05i
-0.00076362-0.00039731i,-0.00061895+0.000397i,0.0001511+0.00058832i,-0.00017471-0.0011155i,-0.0010067-0.0020399i,-0.00099766-0.00072456i,-0.00017805+0.00027906i,-6.3759e-05+0.00035396i,-0.00015074-0.00023848i,-0.0002652-0.00065074i,-0.00087481-0.00024525i,-0.00054061-0.00043442i,0.00022439-0.00012045i,0.00032645+0.001113i,0.00019636+0.001356i,-0.00028006+0.0012708i,-0.00058594+0.0010035i,8.4228e-05-0.00014326i,0.00059906-0.00068938i,-3.9012e-05-0.00066965i,-0.00014536-0.00089486i,0.00052642-0.00032924i,0.00064285+7.6243e-05i
0.0012355+0.00093355i,0.0020853+0.0017388i,0.002655+0.0024259i,0.001858+0.0013685i,0.00076005+0.00066224i,0.00036351+0.00053324i,0.00078572+0.00013541i,0.00048316+0.00044647i,0.00053933+1.4969e-05i,0.0010228-0.00061296i,0.00091758+8.3829e-05i,0.00065102+0.00061164i,0.00013024-0.00023798i,-0.00049478-0.00089089i,-0.00036099-3.5547e-05i,-0.0001721+0.00056556i,0.00010731+0.0002847i,0.0003441+0.00019167i,-0.00022627-0.0004832i,3.7522e-05-0.001357i,0.00029958-0.00043532i,0.00039677+0.00035648i,0.00065565-1.9029e-05i
0.00024368-6.9142e-05i,-0.00025685-0.00079739i,0.00044013-0.000129i,0.00089567+0.00038909i,0.00050926+0.00038512i,-0.00053939+0.0007742i,-0.0014182+0.0010116i,-0.0012236+0.00079923i,-0.00082895+0.0004611i,8.9639e-05+0.00078419i,0.00036938+0.00098765i,-0.00014128-0.00028665i,-0.00053209-0.0006994i,-0.00056775+0.00028792i,-0.0005517+0.00055969i,-0.00079635+0.00081143i,-0.00054426+2.7935e-05i,0.00014316-0.00062836i,0.00027215-0.00056295i,0.00012488-0.00041666i,-9.4557e-05-0.00021413i,-0.00062408+7.98e-05i,-0.00069083+0.0001243i
-0.00056953+0.00017045i,-0.00073468+0.00069908i,-0.00094209-0.00013145i,-0.000522-0.0011048i,-0.0002457-0.00064946i,1.8121e-05+0.00029546i,-0.00035967+0.00020887i,-0.001254+0.00022696i,-0.0011687+0.00018953i,-0.00061006+0.00010132i,8.8506e-05+0.00070417i,0.00057571+0.00090865i,0.00033342+0.00030476i,0.00019967-0.00029865i,0.00057589+0.0001533i,0.00032971+0.00058452i,0.00043032+0.00064466i,0.00038032-4.2171e-05i,0.00029997-0.00045354i,0.0002621+4.5008e-05i,0.00043017+0.00031993i,0.00038702+0.00055024i,0.00020035+0.00029014i
0.00025878-7.5763e-05i,0.0013688+0.00060788i,0.0023189+0.00050528i,0.001555-0.00045327i,-5.9998e-05-0.00049441i,-0.00048933+0.00044493i,-4.0771e-06+0.00063351i,0.00012404-8.5458e-05i,-0.00012805-0.00074251i,-0.00022991-0.00088964i,0.00031335+0.00027937i,0.00073304+0.0012145i,0.00067697+0.0013569i,0.0001987+0.0014998i,7.1361e-05+0.00074903i,-0.00024146+0.00016066i,-0.0004125+0.00038135i,-0.00020826-0.00042444i,0.00048232-0.0010634i,0.00021912-0.00084875i,-0.00064668-0.0011562i,-0.00061525-0.00060201i,-0.00026581-0.00021732i
-0.00050568-0.00083511i,-0.0016085-0.001468i,-0.0012758-0.0012069i,-0.0012617-0.00041829i,-0.0010982-0.00051772i,-0.00033045+0.00017864i,0.00019125+0.00044508i,0.00033576-7.0969e-06i,0.00024912+0.00024406i,-0.00018954+0.00067899i,-0.00056531-7.9249e-05i,-0.00012184-0.00087383i,-0.00017215-0.00050159i,-0.0001597-1.8755e-05i,0.00057198-6.0711e-05i,0.0014082-0.00051534i,0.00156-0.00013855i,0.00079539+0.00045282i,0.00018658-3.6093e-05i,-4.1288e-05-0.00019632i,0.00043195-6.2088e-05i,0.00051841-0.00016957i,5.9614e-05+0.00041117i
0.00021042-0.00032519i,0.00083671-0.00023988i,0.0010155-0.00071925i,0.001881-0.00093503i,0.0017683-0.00012982i,-9.985e-05-3.3782e-05i,-0.00050173-0.00040059i,-0.00032209-0.00014652i,-0.00021998+0.00058472i,-9.46e-05+6.4652e-05i,-0.00013641-0.00080321i,0.00032079-0.00066397i,0.00099079+0.00034285i,0.00014031+0.00076414i,-0.0003092+1.5626e-05i,0.00052527-0.00011444i,0.00046304-0.00025772i,-0.00028442-0.00085007i,-1.0578e-05-0.0010762i,0.00028314-0.00069728i,-0.00016979+1.5583e-05i,-0.00014394+0.00070146i,8.5053e-05+0.00085014i
0.0007283+0.0018547i,0.00042712+0.0021981i,0.00023767+0.0010185i,-0.00013407-0.0002234i,-0.00054266+2.3588e-05i,-0.00068906+0.00028969i,-0.00038542-6.8768e-06i,-0.00021578-0.00035254i,-0.000342-0.00043036i,-0.00030538+4.26e-05i,2.4609e-05-0.00031196i,0.00030334-0.00060966i,0.00070649-6.1616e-05i,0.00035346+0.00061446i,-0.000213+0.00018088i,3.5744e-05-0.00055296i,0.00018449-0.00053915i,0.00052121-0.00015271i,0.00087433+0.0002909i,0.00045519-0.0001581i,0.00027738-0.00069951i,0.00048326-0.00013185i,0.00040323-0.00010169i
