0.0035305-0.00035525i,0.0047314-0.0022662i,0.0038805-0.0053974i,0.00091175-0.0043797i,-0.0020629-0.00090034i,-0.0026554+0.0015747i,-0.001444+0.0019189i,-0.00019015+0.001136i,0.0014264+0.00017901i,0.0013669-5.8389e-05i,-0.00012861-0.00054722i,-0.00014021-0.00051835i,0.00073908+0.001379i,0.001201+0.0016103i,0.001342+0.001346i,-0.00023794+0.0012155i,-0.00050587+0.00046315i,0.0011478-0.0007769i,0.0011586-0.0011252i,0.0005247-0.00017897i,0.00012949+0.0005993i,1.7074e-05+8.0995e-05i,0.0002543-0.00016686i
-0.00071808+0.00027557i,-6.4269e-05+0.00064962i,1.2823e-05+0.0011482i,-0.0002186+0.00072531i,0.00051554+0.0002498i,0.00083672+0.00019152i,0.00013046-8.6264e-05i,3.1937e-05-6.5314e-05i,6.5886e-06+0.00027392i,5.7585e-06+0.00043763i,0.00012049+0.0007015i,-0.00024711+0.00028302i,-0.00043321-0.00010796i,-0.0004931+5.4491e-05i,-0.00079378+1.0302e-05i,-0.00039198+0.00042764i,0.00046369+0.00037109i,0.00018081+0.0001107i,8.0291e-06+0.00064227i,0.00035515+0.00085497i,-4.201e-05+0.00017051i,0.00043383+4.0856e-06i,0.00051391-1.008e-05i
2.2464e-05+0.00027687i,0.00060225+0.00065279i,0.00084522+0.00038377i,-0.00021619+0.00048626i,-0.0012763+0.00095634i,-0.00033926+0.00063713i,0.0009447-0.00030144i,0.001092-0.0010932i,0.00066318-0.0010395i,0.0001792-0.00076936i,-0.0003082-0.0006869i,-0.0001758-4.7122e-05i,0.00013574+8.3254e-05i,0.00034472-0.00041104i,-0.00023739-0.00086043i,-0.00075474-0.00044419i,-0.00040143-0.0006324i,-5.3409e-05-0.00095052i,-0.00026546+4.891e-05i,-0.00063405+0.00038688i,-0.000735+0.00016087i,-0.00032045-0.00022311i,-0.00058753-0.00034426i
0.0021515-0.0012489i,0.0011114-0.0028036i,0.0002399-0.0027958i,-5.8107e-05-0.0011329i,0.00050226+0.0013369i,0.0012857+0.0022038i,0.00089785+0.001769i,-0.00057988+0.0009322i,-0.0011995-0.00047664i,-1.79e-05-0.00055854i,0.00060937-0.00022996i,-2.1083e-05-0.00036391i,-0.00099356-0.00044949i,-0.0013069-0.00029693i,-0.0013728-0.00058236i,-0.00032066-0.00062136i,0.00034166-0.00051254i,-0.00017019-0.00051933i,0.00042445-0.00065265i,0.0015307-0.00092473i,0.0013339-0.00025205i,0.00043402+5.5959e-05i,0.00011148+0.000333i
-0.00040194+8.6745e-05i,0.0002808+0.00056268i,0.0011377+0.0010116i,0.00031808+0.00081852i,-0.00076791+0.00083034i,2.7392e-06+0.00081757i,0.00073962+0.00076673i,0.00077913+0.00065115i,0.00079078+0.00089928i,0.0005184+0.0016264i,-0.00018774+0.0010414i,-0.00049798-5.317e-05i,-0.00033317+4.0193e-05i,-0.00055797+1.5033e-05i,-0.00018174-0.00014981i,4.5399e-05+0.00045398i,-0.00012378+0.00087829i,0.00021381+0.0010871i,-0.00016349+0.0001105i,-0.00078846-0.00068677i,-0.00044821-0.00017243i,-0.00064586+5.1552e-05i,-0.00058444-0.0003832i
0.00079096+0.0014488i,0.0014882+0.0002065i,0.0027443-0.00015564i,0.0017805-0.00012914i,0.00099433+0.00018373i,0.00037607+0.00093884i,-0.00047607+0.0017052i,-0.00030371+0.0016336i,0.00051247+0.0011583i,0.00019371+0.0007457i,-0.00081958+0.00033746i,-0.0011428+0.00076718i,-0.0010301+0.00069578i,-0.00119-0.00027392i,-0.00084043-0.0003977i,-0.00040677-0.00051254i,-0.00023151-0.00064214i,0.00033221-0.0005126i,0.0008855-0.00041238i,0.00050998+7.7431e-05i,4.6572e-05+0.00077954i,0.00028445+0.00098641i,0.00055531+4.8889e-05i
0.0019493-0.0012613i,0.0013963-0.0017741i,0.00094304-0.0027226i,0.00038226-0.0026332i,-0.00067214-0.00049406i,-0.00042797+0.00045265i,-7.8055e-05-0.0006357i,-5.7172e-05-0.0011347i,0.00010357-0.00089246i,-8.1944e-05-0.0019036i,-0.00027413-0.0017351i,0.0003694-0.00035458i,0.0005238+0.00039568i,-2.4411e-05+0.00086072i,5.5909e-05+0.00086362i,0.00028736+0.00025148i,0.00050119+0.00039574i,0.00027102+0.00044736i,-9.2988e-05-2.8198e-05i,-0.00036218+0.00060556i,-0.00046449+0.0004767i,0.00041225+0.00018314i,0.00076281+0.00016523i
0.00092305+0.0010071i,0.0017062+0.000631i,0.0021407+0.00032403i,0.0006541+0.00020173i,-0.00065089+0.00028721i,0.00030613+0.00065771i,0.00099846+0.00043625i,0.0011367+0.00032276i,0.0013306+0.00052909i,0.001221-0.00076243i,0.00063796-0.0015017i,-0.00041648-0.00077208i,-0.00036178-0.0002364i,0.00017057+0.00027079i,0.00051632+0.00075337i,0.00025869+0.00087034i,-0.00061313+0.00080837i,-0.00096243+0.00031166i,-0.00071824-0.00030021i,-0.00042602-0.00046501i,-0.00027869+0.00035795i,-0.0002363+0.00044687i,-0.00011844-0.00033605i
0.002346-0.00012904i,0.0023164-0.00090605i,0.002178-0.00070667i,0.0014835+0.00036203i,0.00046866+0.00083979i,6.4592e-05+0.000766i,-5.3594e-05+0.001097i,0.00041122+0.0012353i,0.001241+0.0010328i,0.00058021+0.00061665i,-0.00063662+0.00038898i,-0.00033336+0.0005526i,0.00041486-0.00016841i,0.00067078-0.00042631i,0.0011597+0.00056097i,0.001553+0.0010106i,0.000779+0.00078907i,-0.00018998-8.5e-05i,-0.00052866-0.0010473i,-0.00093613-0.00067044i,-0.0010844+0.00021885i,-0.00052213+0.00037031i,8.1331e-05+0.00018419i
0.0001227+0.00017588i,0.00043328+0.00041052i,0.00027088-3.0855e-05i,-0.00012802-0.00087126i,-1.2433e-05-0.00064836i,0.00058151-0.00039343i,0.00040463-0.00019053i,5.3632e-05+0.00029452i,7.4601e-06+0.0011063i,9.8896e-06+0.00075797i,0.00029068-0.00023215i,0.00063898-0.0013711i,0.00057268-0.0011616i,-8.8292e-05+0.00026428i,-0.00028766+0.00062795i,0.00020058-0.00015903i,0.0002479-0.00067521i,0.00010334-0.00044376i,-0.00048375-0.00048126i,-0.00056305-0.00047491i,-0.00011377-0.0003664i,9.4132e-05-9.1824e-05i,0.00031122+0.00013626i
0.001304+0.0017409i,0.0018147+0.0015381i,0.0023123+0.00087002i,0.001524+9.6066e-05i,0.00015908-0.00025191i,0.00034745-0.0002909i,0.00096473-8.7883e-05i,0.00039519+4.9003e-05i,-0.0001526+0.0005634i,-0.00019765+0.00072829i,-0.00038932-0.00019174i,6.1607e-05-0.00097238i,0.0001231-0.00059082i,-0.00082953+0.00068369i,-0.0011135+0.0007036i,-0.00054603-0.00039527i,-0.00011892-0.00043042i,0.00029944+1.5055e-07i,0.00019138+0.00010634i,-0.00020597-0.00061654i,-0.00084546-0.0010101i,-0.0013741-0.00027095i,-0.0014708+0.00030136i
