0.0012166-0.0025105i,0.001795-0.0038368i,0.0010997-0.0049945i,-0.00045675-0.0037968i,-0.0011881-0.0017454i,-0.0010503-0.0007277i,1.2712e-05-0.00059168i,0.00093785-0.00021636i,0.0011965-0.00017632i,0.00048662-0.00055276i,-0.00055284-0.00044286i,-0.00033141+3.682e-05i,0.00030454+0.00013381i,0.00078431-0.00070942i,0.0010706-0.0006753i,0.00040496+0.00076044i,0.00013053+0.00074611i,0.00036375-4.3868e-05i,-6.3655e-05-0.00065056i,-0.0005368-0.00095631i,-0.00020478-0.00052785i,0.00019707-0.00069628i,0.00039218-0.00046602i
0.00034465-0.0015068i,-2.785e-05-0.0013992i,-0.0018216-0.00027344i,-0.0019468+0.00092564i,-0.00084258+0.00093338i,0.00051587+0.00040671i,0.00019787-0.00015646i,-0.00061285-0.00055395i,-0.00043666-0.00081848i,-0.00036312-7.9126e-05i,-0.00074437+0.00049138i,-0.00016532-0.00036599i,0.00037493-0.0010665i,0.0003912-0.00033007i,0.00025232-0.00011859i,0.00020135-0.00050815i,-7.5336e-05-0.00048904i,-0.00016334-0.00020533i,0.00013136-0.00020784i,0.00055701-0.00017061i,0.00020647-0.00014564i,-0.00024422-0.00039054i,-5.5777e-05-0.00034106i
-9.7116e-05-0.00211i,-0.00098792-0.0016953i,-0.0013276-0.00019835i,-0.0017032+0.0010289i,-0.0019145+0.0011644i,-0.0010648+0.0006738i,-0.00058494+7.5441e-05i,-0.00031272-0.00063913i,-7.1937e-05-0.00090269i,-0.00096505-0.00096107i,-0.0006198-0.00059051i,0.00028812+0.00030431i,0.0004781-0.00021032i,0.00044477-0.00098176i,0.00036489-0.00030884i,0.00040719-1.4682e-05i,0.00082977-0.00030264i,0.00028454-0.00098103i,2.2666e-05-0.0015148i,0.00038546-0.00095885i,0.00053874+0.00034785i,0.00050366+0.00099074i,8.344e-05+0.00060393i
-0.0005563-0.0019484i,-0.00030955-0.0024911i,5.8464e-05-0.0010746i,-0.00041902+0.00036253i,0.00021751+0.00034243i,0.00080378-7.0882e-05i,0.00059435-0.00026528i,0.00053907-0.00082134i,0.00018552-0.00094404i,-0.00038435+0.00037111i,-0.00044587+0.00067641i,-0.00035097-0.000129i,-0.00037553-0.00027737i,-0.00015416-0.00068202i,9.479e-05-0.00081682i,0.00021501-0.00091648i,-0.00047526-0.0004611i,-0.0011677-0.0010608i,-0.00080611-0.0015812i,-6.0753e-05-0.00052078i,0.00073409-2.2994e-05i,0.00046562-8.0139e-05i,0.00021794-0.00013577i
-0.0014984-0.0020938i,-0.0026995-0.000594i,-0.0034651+0.00055259i,-0.0016827+0.00069156i,0.00016775-0.0001528i,0.00019622-0.00065476i,-0.00034154-0.00060731i,-0.00057429-0.00089685i,-0.00065342-0.0008597i,-0.00071405-0.00056726i,-0.00058385-0.0002142i,6.3904e-05+0.00022639i,0.0011821+0.00029174i,0.0011377+0.00010289i,0.00062903+5.4454e-05i,0.00064016-0.00046722i,0.00087146-0.00092104i,0.00051997-0.00075578i,-0.00063268-0.00034338i,-0.00085213+0.00029595i,-0.0010526+0.00012111i,-0.00074969-0.00075453i,-8.6567e-05-0.00087226i
-0.001412-0.0025426i,-0.0021227-0.0020965i,-0.0028378-0.0011566i,-0.0021933+1.0639e-05i,0.00022695+0.00024646i,0.0017663-5.4837e-05i,0.00081017+0.00023155i,-0.00061992+0.0011692i,-0.00026429+0.00080498i,0.00049428-0.00024521i,0.00019253-0.00067123i,-6.925e-05-0.0004957i,2.1065e-06-0.00029787i,-0.00040464-0.00033629i,-0.00089707-0.00060719i,-0.00014927-0.00039551i,0.00051333+7.2727e-05i,-0.00029839+0.00026497i,-0.00079736+0.00010898i,-0.00068653-0.00016522i,-0.00052859-0.00015488i,-0.00065208+0.00065324i,-0.00073986+0.00030068i
0.0013056-0.00043207i,0.0012284+5.9703e-05i,0.00045537+0.0010604i,0.00083014+0.0014683i,0.0017367+0.0010828i,0.0020093+0.00075906i,0.0010474+0.00045592i,0.00053336+0.00011592i,0.00060564+0.00035399i,0.00066428+0.00017641i,0.00080875+0.00013897i,0.00019433+0.00018985i,-0.00021429-0.00028246i,-0.0005233-5.1023e-05i,-0.00032864+0.00014778i,0.0006434-0.00054024i,0.00032625-0.0015706i,0.00010904-0.0016388i,0.0011591-0.00049266i,0.00073401+8.8637e-05i,-0.0007622-0.00068419i,-0.00055151-0.00047643i,-0.00053577+1.9077e-05i
0.00026301-0.00060228i,-0.0011091+4.5968e-05i,-0.00087106-0.00049298i,6.959e-05-0.00090231i,8.9761e-05-0.00043481i,0.0001004+1.4956e-05i,2.0599e-05+0.00042647i,-0.00018652+5.0226e-05i,-6.7698e-05+0.00029419i,-0.00026845+0.00030771i,-0.00054421-0.00021739i,-0.00019757-0.00060537i,0.00063692-0.0008013i,0.00067968-0.0004235i,0.00016554+0.00050039i,3.2959e-05+0.00073722i,0.00059337-0.00012604i,0.00020697-1.2678e-05i,-0.00089037+0.00016148i,-0.0010071-0.00095121i,-0.0004679-0.0012823i,0.00055292-0.00077841i,0.00071792+0.00012368i
0.001238+0.00075669i,0.0012551+0.00042987i,0.00060019-0.00020589i,0.00071294-0.0001664i,0.0013964+4.8378e-05i,0.0017855-2.997e-05i,0.0011811-0.00042514i,6.3089e-05-0.00064646i,1.8728e-05-0.00040641i,-0.000216+7.2181e-05i,-0.0011068+0.00032413i,-0.00061904+0.00011711i,0.00032336+0.00041793i,0.00032619+0.0003724i,-0.000245-3.2834e-05i,-0.0006831-0.0008736i,-0.00054144-0.0012725i,-3.9692e-05-0.00060089i,0.00035806+0.00023685i,0.00084238+0.0007759i,0.00056462+2.6816e-05i,-0.00031242-0.00076832i,-0.00069349-0.00048754i
-0.0010172-0.00011287i,-0.0012183-0.00099223i,-0.00093002-0.00076199i,-0.00029707+0.00010496i,0.00076601+0.00053564i,0.0014561-0.00021051i,0.00087346-0.0009716i,0.00055254-0.00023024i,0.00062954+0.00054656i,0.00093603-1.1835e-05i,0.00084836+0.00012962i,0.00073992+0.00046634i,0.00020017+0.00020643i,-0.00061954-0.00040073i,-0.0010502-0.00034144i,-0.00098496+0.00015782i,-0.00087494+0.00037751i,-0.00090143+0.0003395i,-0.00066703+0.00095585i,-0.0002113+0.00071712i,-0.00012502-0.00012164i,-0.00011497+7.2221e-05i,0.00039413+0.00020281i
0.0014175-0.00013251i,0.00047066-0.0021643i,-0.00025986-0.001876i,-0.0010071-0.00072526i,-0.00079747-0.00073082i,-0.00029315-0.00078871i,0.0001274-0.00022239i,0.00048314+0.00062369i,0.00055227+0.00050454i,0.00015322-8.7455e-07i,1.2338e-05-0.00060174i,0.00027801-0.00054746i,0.00010313+0.00028432i,3.5714e-05-0.00021328i,-0.00025476-0.00039891i,-0.0015224+6.8856e-05i,-0.0018397-0.00025119i,-0.0010987-0.00058142i,-0.00031151-0.0010674i,0.00063435-0.00094206i,0.00037861+0.00025955i,-0.00036266+0.00079505i,-0.00034338+0.00012079i
