-0.00018133+0.00036553i,-0.0003411-0.0010189i,-0.00049884-0.0011777i,-0.00058785-0.00072439i,-0.001711-0.00041588i,-0.0019063-6.9333e-05i,-0.00023461+0.00058607i,0.00083038+0.00071007i,0.00066913+0.00028987i,0.00054497+8.1659e-05i,0.00043988-0.00030024i,3.3323e-05-0.00039423i,-0.00036807+3.3974e-05i,-0.00040752-0.00028216i,-0.0002024-0.00021072i,-0.00038602+3.2087e-05i,-0.0002103+7.6407e-05i,0.00022598-0.00018288i,0.00045905-0.00012324i,0.00078307+0.00050441i,0.00058127+0.0005437i,5.7192e-05+0.00031577i,-0.00040085+0.00048142i
-0.00087899-0.0034453i,-0.0005107-0.0034639i,-0.00031402-0.0024876i,-0.00035416-5.5433e-05i,-0.00070137+0.0015831i,0.00047103+0.0010363i,0.0012703+0.00040297i,0.00044209+9.1447e-05i,-0.00059119+0.00037504i,-0.0017071+0.00065628i,-0.0015548+0.00033589i,-0.001078+0.00097413i,-0.00035797+0.0015992i,0.00077339+0.00089677i,0.0012558+0.00058353i,0.00016947+0.0012172i,-0.00096289+0.0007693i,-0.00044756-0.00035529i,0.00019933-0.00027257i,-0.00042326+0.00060121i,-0.00045653+0.00043878i,0.00014963+8.8404e-05i,0.00024901+0.00062469i
0.00057498+0.00049071i,0.00018833+0.0011736i,-0.00056912+0.00048831i,0.00047528-0.00066453i,0.0016381-0.00071284i,0.0012798+0.0001529i,0.00013748+0.00051269i,2.043e-05+0.00045475i,0.00026605+0.00052112i,-0.00019597+0.00028004i,-0.0001936+0.00018152i,-0.00011525-0.00010146i,-0.00064423-0.001068i,-0.0008424-0.0018485i,-0.0010465-0.0010262i,-0.0010775-0.00017949i,-0.00028774-7.4158e-05i,-0.00015632+0.00072773i,-0.0010796+0.00060862i,-0.00097066-0.00031302i,-0.00067906-0.00060915i,-0.00085386-5.5543e-05i,-0.00060847+1.2826e-05i
-0.00011551-0.0004996i,-4.6528e-05-0.00016281i,-0.00088795+0.00060182i,-0.0012562+0.0012605i,-0.00028252+0.00096161i,0.0010968+0.00084031i,0.00096307+0.00036334i,0.00035629-0.00019111i,-0.00064421-0.00052144i,-0.0014719-0.00033451i,-0.00089091+0.00032361i,0.00031396+0.00019666i,0.00038384-0.00016573i,0.00032536+1.0265e-05i,-1.3437e-05+0.00031781i,-0.00020603+0.00031095i,-0.0003086+3.5481e-06i,-1.5709e-05+0.00059227i,0.00053929+0.00091695i,0.00018788+0.00027851i,-0.00037016-3.9817e-05i,-0.00032173+4.3152e-05i,-0.00041597+0.00050842i
-0.0017364-0.00021392i,-0.0012698-5.4811e-05i,-0.00056387+0.00071625i,0.00039817+0.0013042i,0.0010992+0.00092841i,0.0010714+0.00057894i,0.00041238-0.00039431i,-0.00054016-0.00059057i,-0.0018217+4.6395e-05i,-0.0014771-0.00049153i,-0.00094239-0.00039361i,-0.00030879+1.1662e-05i,0.00093401-6.6488e-05i,0.0016838-0.00072959i,0.0022041-0.00074786i,0.001969+0.00013202i,0.00046781+0.00060117i,-0.00057917-0.00017753i,8.3615e-06-0.00019713i,0.0005614+7.5291e-05i,0.00096506+1.8098e-05i,0.00059711+0.00070295i,0.00038412+0.00084929i
-0.00021334-0.00055662i,-0.00065483-0.0013844i,0.00018359-0.00089669i,-0.00028542+0.000432i,-0.0015782+0.00068499i,-0.0013709+0.00021782i,7.7236e-05+0.00063003i,0.00040565+0.00046809i,0.00031005+0.0006536i,0.00028141+0.0012047i,3.3137e-05+0.00087819i,-0.00074559+8.8839e-05i,-0.00049799-0.00011226i,0.00070433+0.00017651i,0.00077581+1.3609e-05i,0.00044333+8.4712e-05i,0.00071356-0.00019575i,0.00076779-2.6707e-05i,0.00061178+0.00059532i,0.00021156-5.7666e-06i,-0.00014612-0.00032292i,0.00010163+0.00013109i,0.00028308+0.00017197i
-0.0006696-0.0018183i,-0.00023516-0.0014307i,-0.0010179-0.00044623i,-0.00056596+0.00028567i,-3.8107e-06-0.00020076i,0.00052164-0.00059521i,0.0011547-0.00044829i,0.00031011-0.00046776i,-0.0007015-0.00036837i,-0.00073538-1.8625e-05i,-0.00027282+0.00037267i,0.00010888+0.00025666i,-8.2807e-05+1.3131e-06i,-4.5055e-05-0.00041015i,0.00014038-0.00049155i,5.2484e-05-0.00087782i,-4.5596e-05-0.0012103i,0.00055961-0.00082441i,0.0012795+0.00014194i,0.00065054+0.00098499i,-0.00049469+0.00063443i,-0.00012608+0.0001348i,0.00026772-1.8264e-05i
0.0037978+0.00041219i,0.0026719+0.00052998i,0.0017507-0.0011686i,0.00028117-0.0018784i,-0.00099075-0.0025066i,-0.0010133-0.0020468i,-0.00092292+7.5538e-05i,-0.00099164+0.0009731i,-0.00086743+0.00024206i,-0.00084218-0.0003813i,-0.00039062-0.00023485i,8.4756e-05-0.00010659i,0.00015992-3.5131e-05i,-0.0004476+0.00055798i,-0.00077722+0.0011575i,-0.00014859+0.00094391i,0.00031718+0.00017268i,0.00074704-0.0001669i,0.00043059-0.00015558i,-7.8317e-05-0.00025255i,-0.0002515-0.00022578i,8.4294e-05-0.00016527i,0.00022711-0.000288i
0.00074544-0.0011741i,0.0011314-0.00076867i,0.0014546+0.00056558i,0.0025203+0.0001233i,0.0017682-0.00059196i,0.0014654-0.00021381i,0.0013581+3.2623e-05i,0.00029288-7.1385e-05i,-0.00025735-0.00040517i,-0.00056776-0.00022266i,-0.0007317-9.1781e-06i,-0.00043762-0.00039483i,-0.00081452-0.00039501i,-0.0010619+0.0001572i,-0.00079365+0.00011121i,-0.0012613-0.00026096i,-0.001062+0.00028295i,7.5972e-05+0.0003554i,0.00058449-0.0001595i,0.00016806-0.00033143i,-3.7264e-05-0.00036267i,-3.971e-05-0.00026391i,-0.00029524-6.9415e-05i
0.0012166+0.00053537i,0.00053305-0.0004014i,0.00090782+0.0001706i,0.00076744+0.00065026i,0.00062277+0.00071544i,0.00021091+0.00075617i,-0.00079321+0.0001847i,-0.0009636-0.00014201i,-0.00064745-0.00037541i,-0.00050507-0.00029128i,-0.00059001+0.00012293i,-0.00020333+0.00031037i,-0.00032915+0.00016353i,-0.0002659-2.6452e-05i,-0.00026508-0.00025043i,-0.00042861-0.00059715i,-0.00030724-0.00071917i,-0.00066936-0.00023412i,-0.00047663+0.00018893i,2.2437e-05-0.00016174i,0.0001999-0.0002785i,0.00045168+9.5266e-06i,0.00031295+0.00018363i
-0.0016025-0.00053561i,-0.0018137+0.00039215i,-0.001265+0.00040146i,-0.00091783-0.00028424i,-0.0011561+0.00019794i,-0.0010624+5.7418e-05i,0.0004131-0.00036257i,0.0014366-0.00061433i,0.00065527-0.0010983i,-0.00042317-0.00053917i,-0.00069521+0.00062358i,-0.00043378+0.0016819i,0.00013381+0.0013709i,0.00060429+0.0004124i,0.00062706+0.0002253i,0.00065407+0.0002195i,0.00047345+0.00037131i,0.00019256+0.00076416i,6.0314e-05-0.00011797i,-0.00061147-0.00074811i,-0.00059392-0.00039038i,-0.00023182+0.00014941i,-0.00024371+6.5599e-05i
