-0.0030864+0.0016324i,-0.00093402+0.00156i,-0.0020352+0.0011152i,-0.0033965+0.0029716i,-0.0030342+0.0050842i,-0.00066486+0.0043336i,0.00082654+0.0026429i,-0.00050735+0.0015222i,-0.0012515+0.00060242i,0.00030656-0.00017235i,0.00077455-0.00059237i,0.00052025-0.00059521i,0.00029708-0.00051055i,-0.00012625-0.00092569i,-0.00048221-0.0004506i,-0.00051589+9.247e-05i,0.0002324+0.0002033i,7.6115e-05+1.2446e-05i,-0.00017921-0.00030653i,0.00028144+0.00021074i,0.00052654-0.00047823i,0.00036105-0.001105i,-0.00030456-0.00045437i
0.00069698-2.1301e-05i,0.00084143-0.0011285i,0.00041267-0.00090795i,0.00037272+0.00060811i,0.0002869+0.0012905i,0.00072225-0.00037304i,0.0012132-0.0013482i,0.00093235-0.00098876i,0.0010247-0.00078842i,0.0011358+3.1574e-07i,0.00032771+0.00047531i,-0.00053321-0.00040884i,-0.00085838-0.00012346i,-0.000661+0.00062643i,-0.00013962+0.00024824i,-0.00029698-0.00043741i,-5.1186e-05-0.00037192i,6.8459e-05-0.00026417i,-0.00043466-0.0004455i,-0.00075177+0.00036233i,-0.00016952+0.00024053i,0.00058662-0.00040193i,0.00034074-0.0003734i
0.00029076+0.00061283i,0.00046357+0.00058367i,0.0005997+0.00062934i,-0.00083016+0.0014166i,-0.0018509+0.0012986i,-0.00096963+0.0011891i,-0.00024796+0.00097174i,-0.00053817+0.00049808i,-0.00028051+0.00040516i,0.00053961+0.00015065i,0.00034522+0.00073181i,0.00034173+0.001153i,1.1845e-06-0.00021956i,-0.00048507-0.00078434i,0.00014012-0.00036356i,0.00070977+0.00056262i,0.00071566+0.0012076i,6.4162e-05+0.0010192i,-0.00031646+5.1413e-05i,0.00020425-0.00035553i,0.00065322-0.00052136i,0.00104-0.0008697i,0.0001845-0.0011101i
0.0004649-0.00054322i,0.00059085-0.00073283i,0.00044945-0.0016058i,-0.00094441-0.0009017i,-0.0013596+0.00056345i,-0.00044411+0.0018419i,0.00074084+0.0016484i,0.0008981+0.00036228i,0.00074597-0.00036057i,0.00047356-0.00049417i,-0.00014091-0.0007373i,-0.00012279-0.00036737i,-0.00037573+0.00043894i,-0.00098509+0.00067385i,-0.00077233+0.00048972i,-0.00016592+0.0003423i,0.0008358-5.1334e-05i,0.0014202-0.00018722i,0.00068244+0.00050913i,0.00035296+0.0005831i,0.00039101-4.9352e-05i,9.1196e-05-0.00030572i,-0.00019127-0.00023822i
0.00032362+0.0024432i,0.00065816+0.0010902i,0.0011491+0.0012473i,-0.00041296+0.0017444i,-0.00058247+0.0021388i,-8.6431e-05+0.00205i,-0.0005871+0.00072085i,-0.0018459+0.00033463i,-0.0019961+0.0011973i,-0.00047631+0.00078195i,3.8476e-05+0.00039484i,-0.00048894+0.0006976i,-0.0006376+0.00030049i,-0.00033982-0.00037863i,-0.00019959-8.9541e-05i,0.00010444+0.00061088i,0.00090049+0.00091652i,0.0014704+0.0010705i,0.0018004+0.0012181i,0.00079411+0.0007099i,8.4136e-05-4.7658e-05i,-2.8168e-05-7.5037e-05i,-0.0006116+0.00047288i
-0.00137-0.0013693i,-0.0021702-0.00076072i,-0.001627+6.1128e-05i,-0.0010967+0.0015306i,-0.0013058+0.0037542i,-0.00038713+0.0040122i,0.00070195+0.0013007i,0.00029724-0.0013826i,-0.00044092-0.0016606i,-0.00056861-0.0010661i,4.6893e-05-0.000329i,-0.00076719+0.00026514i,-0.0010191+0.0001948i,-3.6505e-05+0.00050401i,8.352e-05+0.0008077i,2.7193e-05+0.00095988i,0.00030608+0.0015339i,0.00081695+0.0011643i,0.00048966+0.00044038i,0.00015459-0.00049587i,0.0003242-0.000745i,0.00012432-0.0005208i,-0.00024679-0.00027546i
-0.00079009-0.00086369i,-0.00057058-0.0015129i,-0.0016064-0.00033529i,-0.0036375+0.0015582i,-0.0035291+0.0026572i,-0.0014875+0.002347i,-0.00014488+0.0010037i,-0.00032996+0.000101i,-0.0010315-2.6802e-05i,-0.0013227-0.00020917i,-0.00074665+0.00031i,-0.00039999+0.00069246i,-6.6143e-05+0.00064848i,0.00069206+0.00044433i,0.00082684+0.0003226i,-0.00037777+0.00051952i,-0.00044211-0.00012575i,-0.00037171-0.00083917i,-0.00062001-0.00065605i,-0.00047562+0.00026195i,-0.00076722+0.00096425i,-0.0011432+0.00031542i,-0.00045026+0.00015854i
0.00055621+0.0015053i,0.0018103+0.00078541i,0.0025963+0.00047234i,0.0022396+0.0017495i,0.0015876+0.0028938i,0.0012848+0.0019319i,0.0014625+0.0010485i,0.00029784+0.0005173i,-0.00021752+6.0387e-05i,0.00044354-0.0002675i,-0.00031164-0.00064102i,-0.0013033-0.00060182i,-0.0014069-1.063e-05i,-0.0011251+0.0010695i,-0.00088171+0.0012576i,-0.00037842+0.00050371i,0.00016565+0.00011625i,0.00027776+0.00062693i,1.852e-05+0.0002042i,0.00028464-0.00059107i,0.00062825-0.0004238i,-0.00014303-0.00035549i,-0.00038319+5.1551e-05i
-0.0013388+0.00025659i,-0.00093065+0.00071847i,-0.0012627+0.002214i,-0.0021336+0.0028521i,-0.0017171+0.0025492i,-0.00027252+0.0022185i,-0.00011051+0.0012157i,-0.00096079+6.263e-05i,-0.0011123+0.00044636i,-0.0010718+0.00026225i,2.989e-05-0.00062626i,0.0003064-0.00070282i,-0.00045652-0.00098159i,0.0001173-0.0011983i,0.00055168-0.00065327i,0.00041154+4.057e-05i,0.00043688+0.0003132i,0.00020004-0.00040697i,0.00039572-0.00045907i,0.00021488+0.00030256i,0.00049832+0.00043095i,0.0004244+0.00016977i,-0.00033926-5.7824e-05i
-0.0011405+0.0014149i,-0.0019441+0.0016274i,-0.0026017+0.002363i,-0.0027148+0.0023473i,-0.0015833+0.0025894i,0.00044745+0.0027325i,0.00055993+0.0013571i,0.00045072-0.00037888i,0.00055629-0.00038546i,0.00016363+0.00039111i,-0.00046138+0.0006914i,-0.00052869+0.0002139i,-0.00030172-0.00033021i,1.6965e-05-0.00055718i,0.00091422-0.00017937i,0.00090406+0.00015048i,-3.381e-05+0.00016252i,-0.0003635-0.00044348i,-9.7641e-05-0.00074479i,0.00061758-0.00044499i,0.0011345-0.00053525i,0.00082716-0.00035036i,0.00039027+1.0931e-05i
-0.0020825+0.00057692i,-0.0016311+0.0014896i,-0.0010657+0.00099106i,-0.0010924+0.0016817i,-0.00030037+0.0019024i,0.00067635+0.0004754i,0.000206-0.0003475i,-0.00032651-0.0006038i,-0.00088479+5.931e-05i,9.9031e-05+0.00062583i,0.00080178+0.00060067i,0.00054053+0.00051309i,-0.00033235+0.00020654i,-0.0014146+0.00018429i,-0.0013504+0.00046459i,-0.00033577+0.001233i,0.00059372+0.00132i,0.00083127+0.00074717i,0.00055593+0.00048471i,0.0001507+6.8509e-06i,0.00044684-0.00014572i,-5.4072e-05-0.0001546i,-0.00064109-0.00033758i
-5.7406e-05+0.00039235i,-0.00055847+0.00085627i,-0.00040514+0.0011781i,-0.00016518+0.0018726i,0.00079355+0.0029593i,0.0015058+0.0023433i,0.0011285+0.00046928i,0.00022688-0.00041825i,0.00014509-0.00093609i,-0.00047678-0.0005888i,-0.001451+0.00036878i,-0.0004971+0.00051283i,0.00041927+0.00073287i,6.0165e-05+0.0010919i,5.7995e-05+0.0010838i,0.00025086+0.00087826i,0.00076659+0.0011357i,0.00056869+0.0014357i,-0.00027889+0.00018403i,-0.00080026-0.0010914i,-0.00047821-0.00080909i,-0.0003752+0.00015479i,-0.0002749+0.00053559i
0.001858-9.5314e-05i,0.000476-0.0011328i,-0.00081121-0.0019215i,-0.0013643-0.0018079i,-0.0014891-0.0011184i,-0.0014244+3.4724e-05i,-6.9091e-05+0.00084109i,0.00049672+0.00073972i,2.1154e-05+0.00013476i,0.00019309-0.00014773i,0.0001185-0.00031443i,-0.00047011-0.00034443i,-0.00080101-5.0873e-05i,-0.00047486+0.0001645i,-8.4855e-05-0.00013574i,-4.0767e-05-0.00084677i,0.00041981-0.00067055i,0.0013426-0.0005863i,0.00099189-0.0011119i,0.00036221-0.0002115i,0.00034174+0.00042051i,-0.00018482+0.00013479i,-0.00031454-0.00047486i
0.00047856+0.00068373i,0.00090137+0.0014932i,0.0014949+0.001154i,-8.1267e-05+0.0013703i,-0.0023213+0.0028011i,-0.0021008+0.0032047i,-0.0009475+0.0017777i,-0.00020402+0.00037898i,2.6589e-05+0.00083608i,0.00026912+0.0013405i,0.00070881+0.000975i,0.00065517+0.00052055i,-0.00063148+0.0010133i,-0.0014238+0.0013356i,-0.0016055+0.0010316i,-0.00088162+0.0010897i,-0.00026505+0.0012641i,0.00036223+0.0010127i,0.00057128+0.00029356i,0.00041493-0.0004607i,0.00016193+5.2665e-05i,-0.00012749+0.00048532i,0.00014638+0.00038559i
-0.0030615-0.0007663i,-0.0028559-0.00037677i,-0.0018119-0.00010202i,-0.00087798+0.0011837i,-0.00089502+0.0016667i,0.0002422+0.00081158i,0.0010286-0.00034415i,-0.00017473-0.00075937i,-0.0014545-0.00069948i,-0.001146-0.0013442i,-0.00057381-0.00087038i,-0.00014709-0.00011866i,-0.00039484-5.6873e-05i,-0.0010126+8.66e-05i,-0.00096503+0.00018037i,-0.00032677-0.00014502i,-0.00046797-0.00025967i,-0.000325+0.00021536i,-0.00013684+0.00074323i,-0.00073368+2.1562e-05i,4.0129e-05-0.000789i,0.00026903-0.00091713i,-0.00044221-0.0005872i
-0.00038512-0.00021812i,-0.00038195-0.00049626i,-0.0010905+0.00076575i,-0.0023571+0.0020376i,-0.0017441+0.0022403i,2.0719e-05+0.0015452i,0.00032908+0.00034367i,0.00024105+0.00021887i,-4.6963e-05+0.0004295i,-0.00026902+0.00030758i,4.4573e-05+0.0006671i,-0.00010464+0.00056415i,-0.00067853+0.00022838i,7.8773e-05+0.00074828i,0.00025174+0.00065606i,-0.00024444+4.7362e-06i,0.00029443-0.00047381i,0.0009555-0.00048372i,0.00097366-0.00044655i,0.00035379-0.00089116i,-0.00017317-0.00077268i,2.7197e-05+4.5057e-05i,1.6503e-05+0.0003366i
-0.0026041+0.00035188i,-0.0018472+0.0017755i,-0.0012268+0.0033301i,-0.00071468+0.0042298i,0.00075338+0.0038361i,0.0018404+0.0021095i,0.0011987-0.00051334i,-0.00044587-0.0014644i,-0.0018255-0.00029128i,-0.0014089+0.00061191i,-0.00093799+0.00018023i,-0.0010723-0.00061333i,-0.00030184-0.00068115i,0.00085468-0.00018456i,0.00072816+0.00035034i,-0.0002246+0.00036541i,-9.0799e-05+6.2929e-05i,0.00024302-3.0736e-05i,0.00032736-0.00019806i,0.00035723-4.1364e-05i,-0.00071952+0.00034021i,-0.0012052-0.00017363i,-0.00053907-0.00069985i
-0.00095335+0.00033257i,0.00025616+1.6446e-05i,0.00026929+0.0011861i,-0.00123+0.0027254i,-0.0011754+0.0039802i,0.00041238+0.0041759i,0.00051362+0.0030181i,-0.00061044+0.0014038i,-0.00057062+0.00025573i,-7.4579e-05+0.00048197i,8.9641e-05+0.0014414i,-5.6297e-05+0.00093133i,-0.00080625+0.00010424i,-0.0011592+0.00047157i,-0.00093405+0.00087923i,-0.00055508+0.00030362i,-3.2923e-05-0.00033304i,0.00013979-0.00031713i,0.00039212+0.00025737i,0.00031907+4.8548e-05i,-0.00030087-0.00077202i,-0.00068401-0.00088604i,-0.00047179-0.00086578i
0.00047096+0.0010231i,0.00016297-0.00049322i,0.00027705-0.00089309i,-0.00014203-0.00033275i,-0.00059852-2.8906e-05i,-0.00039063-0.00013732i,-6.8359e-05-0.00014337i,-0.0010202+9.8601e-05i,-0.0019869+0.00032591i,-0.0012267+0.00053997i,-0.00071762+0.00026872i,-0.00085647+0.00019902i,-0.00085133-1.8963e-05i,-0.00073246+0.00048256i,-0.00063512+0.00080387i,-0.00024403+0.00037338i,-9.2614e-05+0.00036363i,-0.00030331+0.00034507i,-0.00023453-9.0612e-05i,-0.0001181-0.00016388i,-0.00043006+0.00011345i,-0.00016902+0.00025314i,-0.0003501-0.00033073i
-0.0005094+0.00027889i,-0.00033261+0.00047941i,0.00051907+0.0011513i,5.7115e-06+0.0016168i,-0.001192+0.0022956i,-0.0002596+0.0025929i,0.0005677+0.001101i,6.0697e-05-0.00095023i,-0.00054421-0.0016958i,-0.00033546-0.0013957i,-0.00034706-0.0011209i,-2.5172e-05-0.0011541i,-0.00020563-0.0007021i,-0.0004837-0.00067473i,-0.00011292-0.00082262i,-0.00049213-0.00021607i,-0.0009186-7.1425e-05i,2.8601e-05-7.831e-05i,0.00057007+0.00078391i,0.00033481+0.0011699i,-6.2369e-05+0.0011027i,-0.0010337+0.0013801i,-0.00081511+0.0010083i
