-0.0030444+0.001005i,-0.0010471+0.0019591i,-0.0012007+0.0025905i,-0.0012052+0.0038487i,-0.00027911+0.0054873i,0.0011439+0.0042377i,0.0015913+0.0024905i,0.00097901+0.0019063i,1.5134e-05+0.00022935i,-0.00012638-0.00069423i,-3.1461e-05-0.000479i,-0.00014621-0.00067906i,-0.0005234-0.0011235i,-0.00093995-0.00077031i,-0.001161-0.00043371i,-0.000607-2.3815e-05i,-0.00027954+0.00071979i,-0.00015303+0.0008157i,-0.00035236+0.00036919i,-0.00046581+0.00033132i,-0.0003245+0.00068256i,-1.8404e-05+0.00039431i,0.00020608-2.448e-05i
-0.00020651+0.00052185i,-0.00073648+0.00099356i,5.0065e-06+0.0018936i,0.0023151+0.0020066i,0.0030579+0.0018181i,0.0024191+0.0020362i,0.0016328+0.0021179i,0.0015009+0.0013268i,0.0014694+0.0005737i,3.151e-05+0.00032027i,-0.00067848+0.00012781i,5.6289e-05-0.00010463i,0.00054869-0.00014614i,0.00061599-0.0002581i,0.0008528+0.00024172i,0.00040683+0.00075674i,-0.00046519-3.8507e-05i,-0.00014316-0.00010842i,0.00043971+0.00097742i,0.00039543+0.00073496i,-0.00025457+0.00041985i,-0.00095647+0.00017691i,-0.00023689-3.0005e-05i
0.00064862-0.00099316i,0.00065995+0.00013874i,-0.000645+0.00063377i,-0.00037059+0.0012706i,0.001216+0.0020455i,0.00070579+0.0027475i,0.00011693+0.0018847i,0.00050302+0.00089543i,0.00055936+2.01e-05i,4.4779e-05-0.00080584i,-0.0012091-0.00078576i,-0.00090175-0.0002983i,0.0002111+8.0201e-05i,0.00047906-7.828e-05i,0.00045871-7.749e-05i,0.00056061+0.0005916i,0.00064309+0.00011192i,0.00023623-0.0003784i,-0.0003682-0.00017933i,-0.00068223+0.00023588i,-0.00087946+0.00053673i,-0.00031144+0.00039924i,0.00061739+0.00015574i
0.0013746-0.0010948i,7.8178e-05-0.00028592i,0.00039403-0.00060111i,0.00041479+2.6767e-05i,-0.00023488+0.001367i,-0.00029523+0.0014239i,-0.0003603+0.0013727i,0.00047925+0.0018595i,0.0014033+0.0011145i,0.00062989+0.00019957i,-0.000272+0.00035939i,-0.00032952+0.00085739i,-0.00027068+0.00085832i,7.8412e-05+0.00093782i,0.00040079+0.00022634i,0.00029706-0.00064327i,-9.199e-05-3.7974e-05i,0.00024537-0.00016882i,0.00096249-0.00089748i,0.001016-0.00087408i,-3.2203e-06+0.00018623i,-0.00091592+0.0012625i,-0.00057337+0.0013869i
0.002548-0.00034755i,0.0022809-0.0017002i,0.0019773-0.0015805i,0.0019966+3.8133e-07i,0.0016562+0.0009886i,0.00045553+0.0012725i,-0.00013821+0.0015454i,0.00011244+0.0012751i,0.00014356+0.0002552i,-0.00013364-0.00021254i,0.00034194-7.3909e-05i,0.0006567+0.0001148i,8.2153e-05+0.00020567i,-0.00037768+0.00054123i,-0.00031757+0.00090993i,1.1438e-05+0.00054839i,0.00033678+0.00076014i,6.1334e-05+0.00073376i,-0.00021198+0.00018353i,-0.00020163+0.00080243i,-0.00065191+0.0010264i,-0.0006196+0.00084806i,4.1868e-05+0.00064707i
-0.0010267-0.0013435i,-0.001342-0.0023157i,-0.0013653-0.0013807i,-0.0015602+0.00095884i,-0.0015836+0.0025679i,2.0472e-06+0.0026377i,0.0013873+0.001362i,0.001204+0.001071i,0.00026878+0.0010288i,-0.00069296+7.2897e-05i,-0.00091621-8.8062e-05i,-0.00067284+0.00047968i,0.00014603-6.6862e-05i,0.00018345-0.00022223i,-0.00043045-0.00039659i,-0.00031315-0.00071957i,-0.00038948-0.0002304i,-0.00048502-0.00027342i,-1.3831e-05-0.00031774i,0.00027645+0.0003277i,0.00035359-3.3757e-05i,-0.00027443+0.00011464i,-0.0013663+0.00041756i
-0.00060253-0.00061619i,-0.00053704+0.00049002i,-0.0016428+0.0014107i,-0.0013462+0.0033357i,-0.00047845+0.0038357i,0.0011396+0.0022401i,0.00095111+0.00049469i,5.9442e-06+0.00054074i,-6.9805e-05+0.0010915i,-0.00027695+0.00051353i,-0.00079802-0.00029133i,-0.00011261+0.00024237i,0.00068866+0.0008606i,0.00077779+1.2646e-05i,0.00040576-0.00043964i,0.00013176+1.9946e-05i,6.4801e-05+0.00066739i,-0.00011864+0.00054147i,0.00058815-0.00018373i,0.00073799+0.00038796i,-0.00054285+0.0012319i,-0.00069767+0.00047322i,0.00010707-0.00038753i
-0.0006806+0.0013734i,7.4285e-05+0.0021041i,-0.0001078+0.0026428i,-0.00055092+0.0024742i,-0.00035753+0.0026774i,2.8099e-06+0.0023132i,0.00019079+0.0012716i,0.00021024+0.0010106i,-6.4371e-05+0.0020055i,-0.0004251+0.0018418i,-8.1078e-05+0.0010095i,0.00022799+0.00056116i,0.00049129+0.00042504i,0.00076852+0.00037068i,0.00017543+0.00062111i,-0.00020326+0.00050244i,-4.2124e-06+0.00035163i,-3.8736e-07+0.00050478i,-0.00057254+7.9114e-05i,-0.00070089-0.0001564i,-0.00014234+5.1435e-05i,0.00036337+0.00013697i,0.00083425+1.9744e-05i
-0.0001586-0.0014535i,0.00064345-0.0007076i,0.00022881+0.00045078i,-0.0008166+0.0014177i,-0.00031102+0.0024847i,0.0011243+0.0026013i,0.0016158+0.0019181i,0.0011353+0.0015638i,0.00070772+0.0010962i,0.00026497+0.00081862i,0.00033244+0.0010902i,0.00046423+0.00035815i,0.00038139-0.0010065i,0.00054153-0.0017208i,0.00030161-0.0011799i,0.00010682-0.00035632i,0.00039084-2.708e-06i,0.00027295+0.00028028i,-0.00023217+0.00029777i,-0.00016735-6.6932e-05i,-0.0001336-0.00018158i,-0.0005694+6.7721e-05i,-0.00022132+0.00016552i
0.0011039+0.0010476i,0.0012074+0.00021941i,0.0012686-2.6406e-05i,0.0011971+0.00023893i,0.00056771+0.00066795i,-0.0002311+0.00084151i,-0.00061938+0.0004754i,1.8872e-05+0.00033992i,-3.2617e-05-3.1429e-05i,-0.00050676-0.00027885i,-0.00051974-0.00024246i,9.2384e-06-0.00038705i,0.00017168+0.00060135i,-5.1562e-05+0.0011872i,0.00016143+0.00055025i,0.00038097+8.1388e-06i,0.00021043-0.00052706i,-8.428e-05+0.00014662i,0.00022379+0.00095303i,0.0003066+0.00026589i,-0.00013377-0.00014604i,-0.00020668+8.0312e-05i,-0.00032407+0.00033786i
-0.00039783+0.00083388i,-6.2179e-06+0.00060294i,0.00017999+0.0003633i,-5.1722e-07+0.0015323i,-0.00027998+0.003467i,-0.00080661+0.003285i,-0.00056393+0.0014545i,0.00023059+0.0010788i,0.00066557+0.0012142i,0.00047178+0.00061374i,-0.00011231+0.00016454i,-0.00071274+0.00041463i,-0.00079657+0.00023126i,-0.0002806-0.0007443i,0.00017358-0.0002895i,-0.00010226+0.00075432i,-0.00072199+0.0001022i,-0.00042034-0.00017534i,-0.00037428+4.4224e-05i,-0.0010495+0.00010595i,-0.00078043+8.8175e-05i,-0.00035347+0.00035983i,-8.513e-05+0.00076368i
