-0.002478-0.00050498i,-0.0008702+6.9389e-05i,-0.00040617-0.0010565i,-0.00027159-0.00092014i,0.00016562+0.0005638i,0.0010088+0.00023281i,0.0013759-0.00014266i,0.001122-0.00057579i,0.00054884-0.00062607i,-0.00017238-0.00025523i,-0.00027085+0.00012268i,7.2564e-05-0.00029674i,-0.00031568-0.0010626i,-0.0010266-0.0010434i,-0.0010436-9.8149e-05i,-0.00038858+0.00041737i,-0.00024196+0.00027798i,-0.00032875+0.00012756i,5.92e-05-0.00016598i,0.00014218-0.00079044i,0.00052344-0.0013631i,0.0005537-0.00094128i,0.00033716-0.00029609i
0.00019606-0.0014336i,0.0010184-0.0017309i,0.0015342-0.0028428i,0.00019859-0.0028707i,-0.0015094-0.0023059i,-0.00070684-0.0015781i,0.00079523-0.0012189i,0.00052763-0.0017437i,-0.00056526-0.0013325i,-0.00021089-0.00029582i,0.0012121+6.9871e-05i,0.00077213+0.00012867i,-0.00035039+7.5439e-06i,-0.00017419-0.00018456i,-0.00033517+8.0239e-05i,-0.00032049+0.00014618i,0.00056732+0.00016948i,0.00063086-8.6689e-05i,0.00022494-0.0004705i,0.00020851-0.00031634i,0.00030091-0.00035535i,-0.00016107+9.5099e-05i,-0.00019811+0.00023675i
-0.00013418+0.00026531i,9.3765e-05-6.7403e-05i,0.00068174+0.00067238i,0.00041778-0.00039399i,0.00082542-0.002492i,0.0013455-0.0020941i,0.0010056-0.0011473i,-9.4823e-06-0.0011792i,-0.00094519-0.0011276i,-0.0004587-0.00036507i,0.00014238+9.1747e-05i,0.00087179-6.4309e-05i,0.00098016-0.0001254i,0.00040765-0.00019678i,0.0003822-0.00035783i,0.00040951-0.00062934i,-2.8888e-08-0.00082223i,2.0311e-05-0.00041781i,-0.00031449+0.0006261i,-7.1732e-05+0.00050804i,0.00071742+3.8073e-05i,0.00071498-0.0001023i,0.00015641-0.0005038i
0.00070699+0.0021867i,0.00080145-7.9723e-05i,0.0017137-0.0017451i,0.0017622-0.0033714i,0.00086266-0.0046425i,0.00013748-0.0031539i,-0.00019799-0.0015916i,-0.00073255-0.001591i,-0.0015542-0.0012775i,-0.0011033-0.00036836i,-0.00030746-0.0001212i,-0.00035761-0.0002649i,-0.000948+0.00026826i,-0.0010443+0.0014081i,-0.00040056+0.0016813i,-0.00016986+0.00074014i,-0.00077943+0.00037219i,-0.0011974+0.00045791i,-0.00099615-0.00023745i,-0.00054181-0.00089354i,-0.00022248-0.00027888i,-0.00066068+0.00013322i,-0.00031383-0.00039831i
0.00036087+0.00075585i,-0.00010109+0.00044076i,-0.0005469-0.00042663i,-0.00077539-0.0012136i,-0.00078683-0.0019682i,-3.0335e-05-0.001377i,0.00060751-0.0016305i,0.00067563-0.0020373i,-0.00059802-0.00091897i,-0.00098286-0.00016902i,-0.000655-0.00052404i,0.00028722-9.2345e-05i,0.00092752+0.0008158i,0.00066572+0.00097702i,0.00097214+0.0009118i,0.00056048+0.00062049i,-0.00013921+4.1829e-06i,0.000246-0.00037324i,0.00071453-0.0003278i,0.000788-0.00034725i,0.00034039+0.00015871i,-0.00080134+0.00095414i,-0.00086776+0.00089803i
-0.0010027+0.00043321i,-0.0012412+0.00096668i,-0.0011927+0.00079419i,-0.00037341+0.00080475i,0.00077718+0.0015785i,0.0021107+0.00049508i,0.0023834-0.001293i,0.00088559-0.0016696i,-0.00016721-0.00084777i,-0.00043916+0.00047687i,0.00044543+0.00037038i,0.00096041-0.0012104i,0.00044027-0.00124i,0.00035353+0.00020217i,0.000326+0.0003513i,0.00056794-0.00032796i,0.00036522-6.4828e-05i,-7.5522e-05+0.00038322i,-0.00017772+0.00018708i,-0.00051091-0.00011396i,-0.00058648-0.00049145i,-0.00029786-0.00069376i,-0.00022977-0.00029276i
-0.00037779+0.00033015i,1.7165e-05-0.00046675i,-0.00043211-0.0012385i,-0.0012753-0.0013563i,-0.0015428-0.0018512i,-0.0005603-0.0016087i,0.00045038-0.00053547i,0.00017537-0.0004762i,-0.00065888+3.2827e-05i,-0.00078072+0.00057241i,-9.0145e-05+0.0004158i,0.00025831-0.00032676i,0.00041981-0.0010823i,0.00083815-0.00078241i,0.0010068+0.00042765i,0.00014255+0.0010898i,-8.8498e-06+0.00069451i,0.00061706+0.00023353i,0.00051687-0.0001364i,-0.00013719+0.00013151i,-0.00042975+0.00036927i,0.00021977+0.00052101i,0.00092328+0.00020525i
-0.00028326+0.00076243i,-0.001193+0.0015245i,-0.0013051+0.00063934i,0.00014124-0.0012173i,0.0015035-0.0013151i,0.0015618-0.00089252i,0.0013265-0.0010776i,2.9312e-05-0.0018403i,-0.001826-0.0013782i,-0.0014681-0.00012195i,-0.00048257-0.00020373i,0.00013121-0.00045067i,0.00064223-0.00022001i,0.00036494+0.00023776i,-0.00010022+0.00097229i,0.00059118+4.3355e-05i,0.00080804-0.00045007i,0.00044186-0.00021507i,0.0002661-0.00067644i,0.00012095-0.00013248i,-0.00016586+0.0011317i,-0.00020551+0.00096675i,0.00038141+0.00030014i
6.952e-05+0.00036516i,0.0010146-0.00041682i,0.00068854-0.0019933i,5.2885e-05-0.0031916i,-0.00033724-0.0030692i,0.00011219-0.001973i,0.000263-0.0013653i,-0.0011508-0.0012766i,-0.0021517-0.00097622i,-0.0016702-0.0001268i,-0.00066798+0.0008816i,-0.00021384+0.00081982i,0.00010356+7.6264e-05i,0.00018937+0.00019855i,-0.00024862+0.00024352i,-0.00033099+0.00017479i,-0.00043108+0.00029224i,-0.00087694-0.00034293i,-0.00074739-0.00093862i,-0.00040857-0.00090239i,-0.00018724-0.00014311i,6.3814e-05-5.0471e-05i,0.00046007-0.00019546i
0.0020651+0.00031229i,0.00028623-0.00079069i,-4.3681e-05-0.0017369i,-0.00028523-0.0021421i,-0.0002014-0.0026379i,0.00072817-0.0013018i,0.00078678-0.00022314i,-0.00075097-0.00053274i,-0.00097624-0.00024724i,-0.00072261+0.00046269i,-0.00088064+0.001015i,-0.00051536+0.00034906i,-0.000477-0.00030067i,-0.00051352-0.00029515i,0.00022522+0.00039206i,0.00037349+0.00081819i,-0.00019931-0.00021864i,-0.00068192-0.00084451i,-0.00028597-0.0011203i,-7.6398e-05-0.0017092i,-0.00080733-0.0017495i,-0.0013965-0.0011115i,-0.00078495-0.00047086i
-0.0019595+0.00078289i,-0.002052-0.00012492i,-0.0019516+0.00064096i,0.00047605+0.0017358i,0.0027451+0.0022883i,0.0029256+0.0019698i,0.0013436-0.00010108i,-8.1411e-05-0.0014867i,-0.00053826-0.0013597i,-0.00028699-0.00014838i,0.00029417+0.00022127i,0.0012212-0.00090249i,0.0010786-0.0010549i,4.6218e-05-0.00013979i,-0.00039247-0.00032687i,0.00023674-0.00048268i,3.0202e-05+0.00045555i,-0.00044011+0.0011538i,-0.00035193+0.0012331i,-0.0008024+0.00064858i,-0.0004165+0.00047444i,0.00042803+0.00055887i,4.4029e-05+0.00043643i
