-0.0034052+0.0019539i,-0.0019595+0.0018251i,-0.0015815+0.0018163i,-0.0015791+0.003813i,-0.0013797+0.0056473i,0.00061469+0.0048191i,0.0015905+0.0029662i,0.0013986+0.0014785i,0.0016411+0.00073335i,0.0013565-0.0002906i,0.00071838-0.00089578i,0.00028365-0.00024118i,9.5277e-05-0.00050926i,0.00012159-0.0011843i,6.5149e-06-0.0006801i,-0.00068359-0.00047646i,-0.0013247-0.0006441i,-0.00063814-0.0003727i,-0.00044613+0.00036289i,-2.984e-05+0.00039279i,0.00047364+0.00031107i,1.3429e-06-0.00031365i,-0.0004728-0.0011607i
0.0021948+0.00081848i,0.0016052+0.00050321i,0.0022441+0.00069324i,0.0022+0.0018301i,0.001669+0.002691i,0.00071666+0.0020141i,-0.00025143-0.00045099i,-0.00057745-0.0011945i,-0.00038169+0.00023805i,-0.0003434+0.00020896i,-0.00049179-0.00077053i,-0.00084077-0.00049754i,-0.00061557+4.9675e-05i,0.00025116-6.7261e-05i,0.00081828-0.000282i,0.00042139-0.00088791i,0.00024691-0.00063775i,0.00024232+0.0003753i,-0.00039773+0.00045978i,-0.00037123+0.00089338i,0.00025803+0.00089777i,6.0863e-05+0.00032113i,-0.00046221-0.00027497i
0.00035099+0.00010722i,-0.00034887-6.6849e-05i,-0.00059635+0.00026642i,-0.00027671+0.0018668i,0.00038841+0.0038059i,0.0011508+0.0036974i,0.0013213+0.0013685i,0.00077498-0.0002886i,5.0026e-05-0.00022782i,-4.1632e-05-0.00015767i,-3.0796e-05-0.00025475i,-0.00033435+0.00035017i,-0.00091417+0.0010524i,-0.0010036+0.00060022i,-0.00067471+0.00030561i,-0.00053169+0.00010603i,-0.00019049-0.00045453i,-3.2158e-05-0.00013969i,-0.00010321+0.00041873i,-0.00051876+0.00047632i,-0.0010607+0.0001686i,-0.00070836-0.00027914i,5.088e-05-4.0554e-05i
-0.0018432-0.0017339i,-0.0019482-0.00058064i,-0.0028117+0.001224i,-0.0025992+0.0032442i,-0.00096293+0.0050423i,0.00059046+0.0047176i,0.00075909+0.0025526i,1.7258e-05-0.00010912i,-0.0008922-0.00083165i,-0.00099902-6.6271e-05i,-0.00022537+0.00022432i,0.00042208+0.00055671i,0.00072228+0.00045161i,0.0008317-0.00011491i,6.9003e-05-0.0003445i,-0.0011877-0.00079265i,-0.0015408-0.0012052i,-0.00065047-0.00051168i,-0.00014725+0.00048879i,-0.00065404+0.00048202i,-0.00070196-1.7376e-05i,-7.1604e-05+0.00023153i,0.00046789+0.0007426i
-0.0013709-6.4282e-06i,-0.00087453+9.6261e-05i,-0.0011457+0.0011442i,-0.001468+0.0035142i,-0.0014168+0.0051588i,-0.00066377+0.0037115i,-0.00030205+0.0011524i,-0.00033216+7.0857e-05i,0.00038791-0.00033751i,-9.663e-07-0.00018537i,-0.00067282-0.000184i,-0.00053187-0.00050633i,-3.7837e-05-0.0008058i,0.00053637-0.00089864i,0.00065535-0.00071665i,7.9568e-05-0.00093988i,-5.1185e-05-0.00029804i,-1.5212e-05+0.0011615i,-0.00023268+0.0011874i,5.8696e-05+0.00063903i,0.00055788+0.00063725i,0.00078483+0.0008166i,0.00036968+0.00068i
0.0015305+0.0014995i,0.0013376+1.8283e-05i,0.0011947-0.00031946i,0.00097868+0.0012441i,9.5466e-05+0.0027242i,0.00069206+0.0026836i,0.0013013+0.00095332i,0.00099802-0.00030377i,0.00051336-0.0012702i,0.00018333-0.0022413i,-0.000612-0.0016188i,-0.0015649+3.0679e-05i,-0.0011209+0.00055156i,-0.00067269-2.617e-05i,-0.0011349-0.00070252i,-0.00068221-0.00077193i,0.00032185-0.00018491i,0.00041407+0.00010497i,5.8242e-05-0.00040097i,0.00021022-0.00021262i,0.00041703+0.00027088i,0.00046529-8.0669e-05i,0.00037389+1.5933e-05i
0.00055943-0.0021468i,-0.00030988-0.001749i,-0.0013048-0.00076707i,-0.001462+0.0013285i,-0.00035538+0.0032881i,0.00092342+0.003242i,0.0016884+0.0023739i,0.00015293+0.0011544i,-0.00098449+0.00016776i,-0.0010618+0.0003719i,-0.0012035+0.00069904i,-0.00019824+0.00071319i,-0.00011906+0.00033219i,-0.00041412-0.0005447i,-4.7058e-05+0.00010609i,0.00024225+0.0010004i,0.00082377+0.00073551i,0.00093614+0.00011729i,-7.6621e-05+0.00025987i,-0.00080942+8.1131e-06i,-0.00019641-0.00041267i,0.0006524+8.1259e-05i,0.00077975+0.00112i
-0.0021954+0.00085586i,-0.0018541+0.0011723i,-0.0012673+0.0017617i,-0.0008257+0.0028802i,-0.00076859+0.0035099i,0.00015641+0.0026119i,0.0009133+0.00068613i,0.00031198-0.00044118i,0.00038991-0.00028548i,0.00087361-8.8622e-05i,0.0010128-0.00038275i,0.00096077-0.00046144i,0.00050377-0.00039217i,0.0001396-0.00023577i,0.00066512-0.00065613i,0.00088617-0.0006829i,0.00042646-3.5159e-05i,0.00047962+0.00032084i,0.0004574+0.00048414i,8.3976e-06-6.3682e-05i,0.00037192-0.00048473i,0.00085747-0.00075673i,0.00044565-0.0012654i
0.00067489+0.00027453i,0.00010411+0.00049481i,0.00015163+0.0008236i,-0.00036953+0.0016503i,-0.00060671+0.002642i,-4.9276e-05+0.0024451i,7.1531e-05+0.0012137i,0.00033199-5.2621e-05i,0.00028461-0.00036881i,0.00047129-0.00068631i,-0.00018894-0.00094392i,-0.0010846+2.6228e-05i,-0.00057118+0.00043916i,0.0001276-0.00044884i,0.00090361-0.0011944i,0.0013228-0.00069799i,0.0009235+0.00015183i,0.0010731+0.00074041i,0.0009489+0.00079403i,0.00027053+0.00041567i,0.00057617-0.00027053i,0.0013406-0.00049043i,0.00083153-0.0001941i
-0.00095241+0.00081552i,-0.00053292+0.0010449i,5.0031e-05+0.0013361i,0.00041435+0.0025952i,0.00094944+0.0038709i,0.0020166+0.0033889i,0.0015721+0.0018031i,0.00023511+0.00058017i,0.00055272+0.00015035i,0.001103+0.00024101i,0.00032526-4.1642e-05i,-0.00044769-0.00027033i,-0.00066245-0.0010634i,-0.0012512-0.0011725i,-0.0015024-0.00022815i,-0.00064322+0.00080626i,-0.0004264+0.0006788i,-0.00047345-0.00011282i,-0.00030328-0.00034513i,-0.00027209-0.00061414i,0.00016777-0.0010156i,0.00042255-0.00084207i,0.00040677+0.0005084i
-0.00029664+0.00027748i,0.00030037+0.00029792i,8.4229e-05+0.00082968i,-0.00054014+0.0019007i,0.00063306+0.0034867i,0.0025192+0.0036831i,0.0023873+0.0014441i,0.00044098-1.6802e-06i,-0.00045531+0.0003559i,-0.00025481-4.6409e-05i,-0.00031212-0.00064427i,-0.0010787-0.00056038i,-0.00094065-0.00011374i,-0.00023625+0.00050279i,-0.00060861+0.0003613i,-0.00077088-0.00040956i,0.00023504-0.00040279i,0.00066275+0.00043089i,0.00049962+0.00095077i,0.00016318+0.00031037i,-0.00012308-0.00026274i,-0.00013326-7.303e-05i,-0.00061968-0.0003629i
