-0.00031885+0.00024551i,-0.00098549+0.00018973i,-0.0019145+0.00012259i,-0.0025199-0.00024432i,-0.0036203+0.00083838i,-0.0028658+0.0020663i,-0.0015476+0.0014248i,-0.00081171+0.00041818i,-0.00078295-0.00029075i,-0.00054526-0.00073803i,0.00028648-0.00023615i,0.00030867-0.00032373i,0.00036484-0.00071968i,0.00018454-0.00040782i,-0.00025705-0.00017852i,0.00011277-0.0005557i,-7.3468e-05-4.2698e-05i,-0.00014506+0.00056723i,0.00071615+0.00058731i,0.00085994-0.00011351i,0.00041536-0.00083727i,0.00020519-0.00078604i,0.00029196-0.00079604i
-0.00074892-0.0003301i,-0.00049651-0.00048895i,-0.0004702-0.001555i,-0.00042205-0.0017446i,0.00033101-0.0011779i,0.00024301-6.0135e-05i,-0.00027266+0.00035748i,5.0802e-05-0.00061472i,6.5879e-06-0.0008317i,0.00021739-0.00031662i,0.00072128-0.00039954i,-0.00032802-0.00038642i,-0.00050211+0.00027171i,0.00026943+0.00025663i,0.00031187-0.00020771i,0.00066916-0.00015611i,0.00034117-0.00051255i,-0.0002902-0.0015496i,-3.7491e-06-0.00072694i,-0.00033791-0.00023936i,-0.00044949-0.00050704i,-0.0001684-0.00031709i,-0.00029194-0.00024305i
0.0014192-0.0022537i,-0.00014231-0.0016319i,-0.0015648-0.0013575i,-0.0016457-0.0010323i,-0.0012822+5.6421e-06i,-0.0013392-0.00012111i,-0.00088823-0.0010208i,-0.00062879-0.00070801i,-0.00055074+8.2731e-05i,-0.00027707+0.00068408i,-0.00056809+0.00092818i,-0.00070274+0.00041914i,-0.00012144-0.00047461i,-9.2274e-05-0.0003892i,-0.00041249+0.00034071i,-3.2775e-05+0.00024228i,-0.0001134-0.00058962i,-0.00013828-0.0009103i,-0.00023852-0.0007133i,-0.00018678-0.0009242i,0.00031905-0.0010092i,0.00011188-0.00054134i,-0.00055666-0.00047799i
-0.00012904+0.0017307i,0.0006707+0.0021277i,0.00027575+0.0020932i,0.00019341+0.0013097i,-0.000199+0.00096365i,-0.00045372+0.00072256i,0.0003704+0.00013315i,0.00057199-2.9688e-05i,-0.00032862+0.00019287i,-0.00095442+0.00027419i,-0.00093484-0.00037841i,-0.00053175-0.00091246i,-0.00055304-0.00012566i,-0.00021359+0.0012162i,0.00024688+0.0013139i,-4.4285e-05+0.00062693i,-0.00026496-8.4414e-05i,-0.00022048-0.00020229i,0.00016799+0.00010279i,0.00018243-0.0004341i,-0.00042609-0.00067448i,-0.00033212-6.491e-05i,-0.00023221+0.00016818i
-0.0011565+0.0010812i,0.00038113+0.0011075i,0.0012124+0.0024998i,0.0013665+0.0024166i,0.001575+0.0014482i,0.0013199+0.00034341i,0.00081391-0.00083043i,-0.00017227-0.0016351i,-0.00071469-0.0010573i,-0.00032156+2.2629e-05i,0.0001021+0.00024511i,1.312e-05+0.00048833i,-0.00031729+0.00013219i,-0.00031152+0.00037235i,-3.855e-06+0.0007454i,0.000471-6.5242e-05i,2.6651e-05-0.00015834i,-0.00035277+0.00022874i,-1.0976e-05+0.00018997i,-0.00019041+0.00034224i,-0.00027121+0.0010498i,-0.00019821+0.00054866i,-8.4603e-05-0.00010535i
-0.00078226+0.0011022i,-1.0016e-06+0.0013428i,-0.00068301+0.001025i,-0.0015522+0.00079263i,-0.0015686+0.0012619i,-0.00089047+0.0012995i,-0.00024622+0.00036847i,-0.00084696-0.00034303i,-0.0009306-0.00015274i,-0.00086603+0.00034514i,-0.0015279+0.00029399i,-0.0018958+0.00020344i,-0.0019096+0.00074139i,-0.0009824+0.00053724i,-0.00056049-0.00034547i,-0.00019314-0.00044572i,0.00067321+2.5573e-05i,0.00092415+0.00029421i,0.00044225+0.00015237i,0.00054251+0.00011933i,0.0006774-0.00032061i,0.00032811-0.00048966i,0.00076804-0.00028529i
-0.00069222-0.00022506i,-0.00021577+0.00024923i,-0.00020071+0.00064764i,-2.6309e-05+0.00090265i,0.0001565+0.00072457i,-0.00032354+0.00022176i,-0.00032029-0.00018988i,-0.00036458-0.00046677i,-0.00090247+5.9357e-05i,-0.00075916+0.00029357i,0.00020723-0.00012639i,0.00083848-8.7355e-05i,0.00051433+7.8826e-05i,-1.0036e-05-0.00017057i,-0.00024023-0.00022875i,6.4143e-05-0.00033481i,0.00057248-0.00098068i,0.00092392-0.00096886i,0.00028522-0.00073891i,-0.00026245-0.00079017i,-0.00019217-0.00023215i,0.00023165-0.00022971i,0.0007299-0.00069485i
0.0011335+0.0013724i,0.0016565+0.00096277i,0.001761+0.0015543i,0.00090125+0.0010027i,0.00081557-0.00055003i,0.0013766-0.00088606i,0.0010383-0.00058867i,-8.7729e-05-0.00012071i,-0.00047855+0.00079809i,-0.0002418+0.0015929i,-0.00036139+0.001296i,-0.00087501+0.00051379i,-0.00032717-0.00016665i,0.00042717-0.00053678i,0.00018896+0.00030816i,2.8884e-05+0.00068012i,-0.00024225+0.0003396i,-0.00016604-0.00046616i,0.00048997-0.00055993i,0.00014489+0.00024003i,-0.00024222+0.00021652i,-0.00073247-0.00039697i,-0.00027087-0.00070298i
0.001493-0.00025107i,0.0011009-0.00085168i,0.0011609-0.00093596i,0.0017417-0.0017316i,0.0023367-0.0021632i,0.0013312-0.0014453i,0.00032843+7.0931e-05i,6.9604e-05-4.1895e-05i,4.0717e-05-0.00082718i,0.00021203-0.00043127i,-0.00028851-1.9139e-05i,-0.00037579+0.00040994i,0.00020613+0.0012832i,0.00041576+0.0013213i,0.0001781+0.00042204i,-2.2808e-05+4.9534e-05i,0.00064934+0.00026025i,0.00076882+0.00081131i,8.9804e-05+0.00080563i,-9.225e-05+0.00025454i,-0.00011328+0.00016877i,-0.00017453+0.00018172i,-5.704e-05-0.00021841i
0.0014701+0.0022488i,0.0018086+0.0017499i,0.0017073+0.00069668i,0.0014984-0.00018927i,0.0016366-0.00040846i,0.0013045-0.00034679i,-0.00030253-0.00087257i,-0.00087449-0.00058006i,0.00027138+0.00056351i,0.0010113+0.00032221i,0.00076141-0.00031915i,-0.00024576-0.00013762i,-0.00022758+0.00051252i,0.00036739+0.00077731i,0.00034023+0.00014979i,-2.3797e-05+0.00057348i,-4.1656e-06+0.00081339i,0.00045819+0.00014125i,0.00089176-0.00060609i,0.0010086-0.00062034i,0.0010982+0.00025141i,0.0011049+0.00043051i,0.00032591-0.00010743i
0.0013165-0.0016766i,0.0001882-0.0017518i,-0.00093274-0.0015795i,-0.0014734-0.0026767i,-0.0016576-0.0029742i,-0.0012159-0.0013151i,-0.00052508+8.5812e-05i,-0.00060874-4.2881e-05i,-0.00067054-0.00068627i,-2.4502e-05-0.00079407i,0.00065594-0.00060592i,0.0001866-2.0935e-05i,-0.00057037+0.00097922i,-0.00052796+0.0014186i,0.00039632+0.00097291i,0.00089917+0.00010289i,0.0005417-0.00041975i,0.00059373-0.00051734i,0.00032639-0.00071877i,0.00050163-0.0005447i,0.0010224-0.0001182i,0.00035845+7.5238e-06i,0.00011899+7.2682e-05i
