-0.00074444+0.00064692i,0.00092365-0.00015798i,0.0011855-0.0018371i,0.0012533-0.0016085i,0.0016833-0.00057812i,0.0011958+0.00074566i,0.00045985+0.002363i,0.00061925+0.0022087i,0.00077257+0.00072827i,0.000542-0.00068366i,0.00071043-0.0011598i,0.00083158-0.00081852i,-0.00025409-0.00028348i,-0.00047419-0.00011844i,-0.00012331+1.8643e-05i,0.00027601+0.00014945i,0.00028325+0.00013653i,-0.00010207-0.00030579i,-0.0001441-0.00010994i,0.00021499+0.00023276i,0.0015402+0.00041589i,0.0012435+0.00022994i,0.00020022-0.0003294i
0.0024419-0.0013515i,0.0013488-0.0011366i,0.00092149-0.00185i,0.0016662-0.0011952i,0.0012081+0.00058536i,0.00058122+0.00088545i,0.00064605+0.00012839i,0.00098379-0.00040825i,0.00079466-0.00046791i,2.2935e-06-0.00038436i,-0.00040176-0.00014212i,4.6169e-05+0.00042117i,-0.00062219+0.00029872i,-0.00094319-0.00019452i,-0.00020214-0.00068472i,-0.00024613-0.00046887i,-0.00046386-3.7498e-05i,-0.00046633-0.0001965i,0.00061273-0.00062052i,0.000918-0.0010646i,0.00041651-0.00054859i,0.00066677-7.3685e-05i,0.00059896-2.7989e-05i
2.2882e-05+0.0011857i,-0.00026602+0.0014078i,3.3395e-06+0.0014509i,0.0016614+0.0026453i,0.0026556+0.0031115i,0.0016266+0.0019605i,-0.00018298+0.00067576i,-0.001161+0.00059052i,-0.0011105+0.00077938i,-0.00096345+0.0001496i,-0.00019549-0.00036058i,-3.4847e-05-0.00093243i,-8.8607e-05-0.0013042i,0.00014235-0.0014059i,0.00018915-0.001345i,0.00039187-0.0010525i,-0.00024292-0.00042461i,0.00017176-0.00027722i,-0.00016679+5.0962e-05i,-0.00094239+0.00019261i,-0.00082669+0.00018031i,-0.00064537+0.00036588i,-0.00083104+0.00037197i
-0.0011492-0.0010555i,-0.00017999-0.00029353i,-3.0684e-05+0.0010933i,0.0002569+0.0024289i,0.0017557+0.0021049i,0.0023455+0.00030399i,0.00094222-0.00063024i,0.00034466-0.00051676i,0.00070604-0.00051753i,5.5667e-05-0.00024221i,-0.00040166-0.00019154i,-0.00034468-0.00012919i,5.7265e-05+7.1656e-05i,0.00012563-0.00034376i,-0.00080195-0.00058598i,-0.00072567+0.00016142i,6.6814e-05+0.00096536i,0.00049857+0.00099354i,0.00083623+0.00057884i,0.00071896+0.00041346i,0.00058268+0.00037125i,0.00077197+0.00014997i,0.00055644+0.0002048i
0.0010216-0.00075574i,0.00049044-0.00062292i,0.00065298-0.00048202i,0.0013483-0.0010386i,0.0023209-0.0012872i,0.0016476-0.00091699i,0.00048939+0.00045395i,0.00074542+0.0019532i,0.00071007+0.00078772i,0.00030285-0.00064337i,0.00053181-0.00012641i,7.4928e-05+7.5568e-05i,-0.00062332+6.9561e-05i,-0.00064016+0.00018963i,-0.00086105-0.00015732i,-0.0011245+1.9338e-05i,-0.0010587+0.00052489i,-0.00091849+0.00082084i,-0.0012217+0.00081247i,-0.0011768+0.00046972i,-0.00043402-5.2573e-05i,0.00047993+0.00043678i,0.0005128+0.00065571i
0.0011318-0.0012081i,0.001285-0.0010438i,0.0013015-0.00024776i,0.00033762-0.00029902i,-0.00015191-0.00037976i,0.0003363+8.4912e-05i,-0.00017828+0.00052422i,-0.00043822+0.00062822i,0.00068043-0.00022213i,0.00098596-0.00062715i,2.0461e-05-0.00056081i,-0.00064854-0.00065675i,-0.00045523-0.00047874i,0.00024791-0.0001728i,0.00022647+0.00018618i,-0.00015977+0.00061068i,-0.00021442-7.2996e-05i,-7.4999e-05-0.0010413i,0.00044851-0.0010267i,0.00092452-0.00085008i,0.0011376-0.00056829i,0.00070493-0.00011205i,-0.00022952+0.00056659i
0.00082381+0.00023356i,0.0011749+0.00046441i,0.00084001+0.00080037i,0.0019065+0.0014673i,0.0030171+0.0020023i,0.001572+0.0011554i,0.00076251+0.00044265i,0.0011538+3.4308e-05i,0.0013817-0.00015734i,0.0011436-0.00059551i,0.00035656-0.00046159i,4.8253e-05-0.00046157i,0.00011515-0.000785i,2.5788e-06+4.0104e-05i,2.7496e-05+0.0010111i,-0.00052158+0.00087404i,-0.00059701+0.00062127i,-0.00029993+0.00076489i,-5.4495e-05+0.00049662i,9.4531e-05+0.00070921i,0.00039698+0.00061815i,0.0002015+0.00087047i,8.815e-05+0.0015482i
-0.00078272+0.0018068i,-0.0001686+0.00089788i,0.00033201+0.0018714i,0.0018481+0.0027054i,0.0030247+0.0021407i,0.0023931+0.0012567i,0.00068841+0.0002193i,0.0008754-0.00046583i,0.0018161-0.00060467i,0.0011863-0.00077953i,0.00028766-0.0010561i,4.524e-06-0.00078909i,-3.3361e-05-0.00071624i,-0.00067453+0.00014956i,-0.0014847+0.0011288i,-0.0011197+0.00023169i,-0.0001424-0.00057942i,5.7041e-05-7.6959e-05i,-0.00029716-0.00019328i,-0.00031908-0.00070163i,-0.00065441-0.00068908i,-0.00083825-0.00058622i,-0.000115-0.00045396i
-0.00031907-0.0010117i,-0.00013568-0.00017546i,0.00034301+0.0013814i,0.0019463+0.0021136i,0.0027236+0.0020252i,0.0024584+0.00032291i,0.0015464-0.00030279i,0.00055268-0.00028815i,0.00010272-0.00053205i,-3.2126e-06-0.00094158i,0.00090859-0.0013348i,0.0010751-0.0010014i,0.00010542-0.0010097i,-3.933e-05-0.001603i,0.00031446-0.00083211i,1.4476e-05-0.0002068i,0.00025519-7.7153e-05i,0.00094861+0.00013768i,0.00063469-0.00013576i,0.00030954-0.00034867i,0.00039879-0.00026853i,-0.00023409-0.00031257i,-0.00086785-0.00039234i
-0.0012548+0.00066657i,8.333e-05+0.0010803i,0.00087548+0.0011615i,0.00094106+0.001204i,0.00059308+0.00126i,0.00041452+0.00056855i,0.001137-0.00010578i,0.0016688-0.00073567i,0.00096417-0.00059065i,0.00058739-0.00053435i,0.0007247-0.00044106i,0.00060725-0.00032876i,0.00021266-0.00030292i,-0.00059373-0.00035261i,-0.00068217-0.00038982i,-0.00024718-0.00028729i,-0.00011672+0.00021163i,-0.00029456+0.00051918i,-0.00056955+0.0008828i,-0.00044559+0.0012089i,-0.00010462+0.00034697i,0.00025578+0.000376i,-4.5248e-05+0.0010425i
-0.00067583+0.0004425i,-0.0010755-0.00010616i,-0.001247-4.583e-05i,0.00010695+0.00086612i,0.0012803+0.0017146i,0.0013811+0.0014813i,0.0011673+0.00011197i,0.0012487-0.00059667i,0.00082036-0.00078916i,-0.00087717-0.00072561i,-0.0020462-0.00037593i,-0.0013743-0.00054881i,-0.00029047-0.0006433i,-0.00029267-0.00067607i,-0.00036287-0.0011581i,2.7258e-05-0.0011815i,-0.00032659-8.5729e-05i,-0.00026507+0.00051923i,-3.8345e-05+0.00047424i,-0.00081905+0.00031118i,-0.00085033+0.00047844i,-0.00010237+0.00023478i,2.1196e-05+0.00021281i
