0.00048231-8.1683e-05i,0.00062042-0.00066248i,-0.00097838-0.00198i,-0.001825-0.0033175i,-0.0032392-0.0041681i,-0.0039369-0.0030007i,-0.0031857-0.00075678i,-0.0023614+0.0015424i,-0.0015127+0.0021758i,-0.0014444+0.00088577i,-0.0013606-0.00032577i,-0.0010284-0.00022703i,-0.00079725+0.00030117i,0.00027745+0.00033633i,0.00080496+0.00076891i,0.00048484+0.0012939i,0.0009284+0.00063044i,0.001153+0.0003977i,0.0011321+0.00061055i,0.0012082-0.00010425i,0.00086598-0.00041266i,0.00018559-0.00011099i,-0.00027294-0.00011944i
5.1008e-05-0.0003675i,-0.00021935-0.00050984i,-0.0014645-0.00078124i,-0.0025935-0.0018315i,-0.0025347-0.0025223i,-0.0016801-0.0021026i,-0.0015329-0.00095975i,-0.0010828+0.00024509i,-0.0012208+0.00071681i,-0.0015124-4.2304e-05i,-0.00091523-0.00066414i,-0.00016471+5.2006e-05i,0.00060834+0.00090458i,0.001705+0.0010598i,0.0021992+0.00022746i,0.0014853-0.00034196i,0.0006632-0.0010125i,0.00079931-0.0013627i,0.0007505-0.000639i,0.00036932-0.00020341i,0.00039727+8.3043e-05i,0.00023721-0.00013032i,6.9557e-05-0.00036484i
0.00017084+0.00024391i,-0.00039409-0.00012499i,-0.0014461+0.00014782i,-0.0021931-0.00027588i,-0.0020998-0.0010516i,-0.0014281-0.0010614i,-0.00081151-0.00046216i,-0.00013591-4.3582e-05i,0.0010266-0.00034382i,0.0010374+6.2952e-05i,0.00017518+0.0011713i,-0.00017847+0.0015907i,-0.00020073+0.0011325i,0.00025947+0.00071165i,0.00046795+0.0001125i,0.00039408-0.00022338i,0.00030718+0.00026265i,0.00031133+8.6856e-05i,0.00041037+7.3109e-05i,3.515e-05-0.00021245i,-0.00081753-0.00060279i,-0.00084701+0.00029703i,-6.4952e-05+0.0010089i
-0.0011272+7.8232e-05i,-0.0011194+0.00091575i,-0.00034108+0.001705i,-0.0010478+0.0014875i,-0.0012312+0.0010431i,-0.00010028+0.00093604i,0.00048258+0.0014257i,0.00073835+0.00070176i,0.00041939+2.089e-05i,0.00050702+0.00013132i,0.00035601-0.00040434i,0.00064977-0.00028921i,0.0015696+8.6365e-05i,0.001681-1.1054e-05i,0.00026811+0.00056655i,-0.00089042+0.0011227i,-0.00044454+0.0011176i,-5.2128e-05+0.00087849i,-0.00036421+0.0012246i,1.854e-05+0.0012001i,0.0010031+0.00050099i,0.00066009-0.0002225i,-0.00031007-0.00047368i
-0.0011205-0.0025671i,-0.0021447-0.0017773i,-0.0041373-0.0022471i,-0.0042307-0.0012828i,-0.0026548+4.27e-05i,-0.00078625+0.0007944i,0.00055585+0.00043881i,0.00033964+3.6622e-05i,-0.00094797-0.00037369i,-0.0017194-0.00071241i,-0.0016294-0.00021771i,-0.0014975+0.0002064i,-0.00098614+0.0005529i,-0.00060624+0.00052612i,-0.00070595+0.00023644i,-0.00010079+0.00025081i,2.1755e-05+0.00028599i,-0.00062737+5.0942e-05i,-0.00036349-0.0010259i,0.0003279-0.0012833i,0.00020698-0.00022107i,0.00021632+0.00028883i,-0.0003866-1.5609e-05i
-0.00078171+0.00015679i,-0.0014537+0.00030565i,-0.0018376+0.00087511i,-0.0021133+0.00076i,-0.00038704+0.00030189i,0.0010908-0.0011018i,0.00081583-0.001623i,-0.00098088-0.00081727i,-0.0026546-0.00073625i,-0.0021552-0.0015221i,-0.0006338-0.0018674i,-0.00066345-0.0014253i,-0.0010897-0.00034065i,-0.00020022+0.00042101i,0.0013288+0.0004669i,0.0011341+0.00095102i,0.00033012+0.00094383i,0.00022124-0.00022731i,0.00017747-0.00084626i,0.00023695-0.00029722i,-0.00021541+0.00040061i,-0.00038457+0.00087233i,-0.00038066+9.7375e-05i
0.001095-0.00076026i,-0.00095032-0.0016403i,-0.001007-0.0027551i,-0.00036621-0.0026154i,-0.00051866-0.0029849i,-0.00014313-0.0031111i,0.00016723-0.0015872i,0.00028744-0.00084783i,-1.4138e-05-0.00025784i,-0.00044616+0.00052986i,-0.001066+0.00065528i,-0.0015876+0.00013111i,-0.00080187-0.00029094i,0.00021503+0.00034534i,0.00096637+0.00084585i,0.00084823+0.00068154i,0.00085871+0.00061865i,0.000683+0.00066361i,0.00039908+0.00013982i,3.8035e-06-0.00041302i,0.00051454-0.00020244i,0.0012787+0.00012322i,0.00040605-0.0002153i
-0.00046736-0.0020504i,-0.00057824-0.0020078i,-0.00080271-0.0024576i,-0.0010831-0.0029011i,-0.0011653-0.0025163i,-0.0017821-0.0027394i,-0.0016408-0.0017827i,-0.00062271-9e-05i,0.0003244+0.00063097i,0.00095683+0.0010848i,0.00055459+0.0010161i,-0.00061757+2.0634e-05i,-0.0010593-0.00038128i,-0.00066393-0.00011652i,-2.5007e-05+5.2497e-06i,-0.00033449+0.000558i,-0.0009453+0.00068438i,-0.0014048-0.00042131i,-0.00094476-0.00064197i,0.000786+0.00051602i,0.00066261+0.00028776i,-0.00011526-0.00014119i,2.852e-05-0.00033513i
-0.0023278+0.0021339i,-0.0016341+0.0018521i,-0.0021652+0.0030895i,-0.0026472+0.0022216i,-0.0016064+0.00082728i,-0.00096486+0.00036787i,-0.001154-0.0004048i,-0.00050798+0.00015317i,1.302e-05+0.00097117i,0.00043276+0.00098846i,0.00030704+0.0012916i,0.00023566+0.0011597i,0.00042567+0.00012268i,0.00076875-0.00055939i,0.0010835-0.00016495i,0.00081712-2.4566e-05i,0.00050026-0.00049734i,-0.00024191-0.00067711i,0.00015103-0.00078745i,0.00060418-8.3545e-05i,0.0004911+0.0002975i,0.00069304+0.00042086i,0.00040848+0.0002459i
-0.0010437-0.00047068i,-0.0011956-0.0005402i,-0.0028542-0.00071202i,-0.003253-0.00069958i,-0.0015705+0.00066077i,-0.00090499+0.0016893i,-0.0012071+0.001442i,-0.00080962+0.00049155i,-0.00010805+0.0001428i,0.0005535+0.00043603i,0.00073364+0.0006544i,0.00052761+0.00043426i,0.00098958+0.00089024i,0.0015895+0.00081795i,0.00085153+0.00052424i,-0.00013581+0.0004703i,0.00024403+0.00038021i,0.00068914+0.00010244i,-0.00011086+8.9026e-05i,-0.00031377+0.00069333i,-9.8037e-05+0.00088155i,-0.00044584+0.00064277i,-0.00010655+2.9409e-05i
-0.0020413-0.0001174i,-0.0012509-0.00093079i,-0.0020141-0.0014077i,-0.00246-0.00025869i,-0.0015917+0.0011442i,-0.00051722+0.00092968i,-0.00041871-0.00062286i,-0.001317-0.0014756i,-0.0015597-0.0017149i,-0.001164-0.00082706i,-0.00042462+0.00071461i,-2.5129e-05+0.00042733i,-0.00060466+2.8159e-05i,-0.00093782+0.00089418i,0.00030885+0.0013681i,0.0015219+0.0011626i,0.0014778+0.00042772i,0.0014749-0.00031187i,0.0012538-2.6379e-05i,9.0852e-05+0.00036131i,-0.00035984+0.00035502i,-0.0002249-0.00021906i,-0.00018622-0.00067082i
