-0.0032565+0.0002325i,-0.002368+0.0001057i,-0.0031872+0.00095495i,-0.0031824+0.0015039i,-0.0018758+0.0025052i,-0.00082877+0.0031607i,0.00019953+0.0027459i,0.001058+0.0027348i,0.00078727+0.001538i,0.00050855+0.00021015i,0.0009451+0.00021449i,0.0010524-0.00034851i,0.00042552-0.00089158i,7.4094e-05-0.00057518i,0.00038136-0.00014235i,-0.00012103+0.00027399i,-0.00021681+0.00068057i,0.00012047+0.00042016i,-0.00046181+0.00046092i,-0.00063752+0.00025358i,0.00041251-0.00056624i,0.00092816-0.0010916i,0.00054828-0.0010627i
-0.0012257+0.00028998i,-0.0019743+0.0014578i,-0.0026774+0.001084i,-0.0019578-0.0002524i,-9.1557e-05+0.00033889i,0.0011809+0.0017136i,0.0018313+0.0018229i,0.0018768+0.0011202i,0.0011901+0.00066865i,0.00033451+0.00018437i,-4.5716e-05-0.00024563i,0.00031852-0.00015581i,0.00069097-0.0002919i,-2.9959e-05-0.0004466i,-0.00076561-0.00068472i,-2.6506e-05-0.00042209i,0.00051548+7.4516e-05i,0.00055765-0.00015026i,0.00016482-0.00031648i,-0.00019559-0.00053151i,0.00033932-0.001073i,0.0010352-0.00072054i,0.0011452+5.0913e-05i
0.0031541+0.0013001i,0.0039056+0.00067055i,0.0031068+0.00020031i,0.0013824+0.0005535i,0.00012203+0.0011803i,-0.00028282+0.0011302i,-0.00026581+0.0010422i,0.00031597+0.00084052i,0.00099582+0.00062647i,0.00034485+0.00043097i,-0.00040241+0.00044231i,0.00068247-4.5884e-05i,0.0015222-0.00035685i,0.0016403-0.00027054i,0.0010583-0.00031853i,-8.9834e-05+0.00029941i,-0.00016463+0.00044165i,0.0006536-0.00016948i,0.00049251-2.3394e-05i,0.00086618+0.00025512i,0.00093286+0.00022931i,-0.00014051+0.00058934i,0.00032024+0.00060859i
0.00048926+0.0013621i,-0.00017429+0.00050782i,-0.00051667-0.0002352i,0.0001985-0.00033002i,3.3058e-05+0.00014128i,-0.00059354+0.0010756i,-0.00053775+0.0015919i,-0.00036476+0.0011969i,-0.00015751+0.00047832i,-0.00019677-0.00023388i,-0.0001621-0.00024501i,0.0004073+9.0305e-05i,0.0010654+0.00022466i,0.00062589-7.8205e-05i,0.00027401-0.00061984i,0.00040644-0.00066119i,-8.6035e-05+0.00018736i,-0.00078707+0.00063184i,-0.00055189+6.6405e-05i,0.00057482-0.00090186i,0.00091554-0.00089794i,9.5906e-05-0.00058932i,0.00047684-0.00041881i
-0.00026608+0.0013325i,0.00055036+0.0015418i,-0.00031723+0.00077542i,-0.0020488+0.00021233i,-0.0026155+0.00075738i,-0.001238+0.0012209i,0.00084328+0.00060706i,0.0013158+0.00036597i,0.00092142+0.00090276i,0.00040525+0.0011056i,8.0736e-05+0.00011609i,0.00072745-0.00036473i,0.0010237+2.9889e-05i,0.00039163+0.00036551i,0.00020896+4.6697e-05i,0.00041792+0.00031077i,-6.4244e-05+0.00034578i,-7.2144e-05+0.00013834i,0.00097835-0.00012876i,0.0007848+0.00010439i,-0.00020175+0.00034583i,-0.00070545-0.00032325i,-0.00048514-0.0012141i
-0.00094576-0.0013453i,-0.0012745-0.0030932i,-0.0025659-0.0029722i,-0.0018716-0.001033i,-0.00036911+0.00096751i,0.00035867+0.0013118i,0.00029475+0.0013805i,0.0007594+0.0013792i,0.0011405+0.00084889i,0.00057964+0.00048159i,0.00083461+0.00029452i,0.00081221-1.8758e-05i,0.00049318-0.00085592i,0.0009976-0.0010829i,0.00057788-0.00015228i,5.3988e-05+0.00040981i,0.00046785-0.00022855i,0.00059388-0.000529i,0.00095506-0.00028608i,0.00063552-0.00036099i,0.00012519-0.00048652i,0.00012682-0.00044473i,-0.00017008+0.00045663i
-0.00050103+0.0051765i,-3.3274e-05+0.0039188i,0.00087286+0.0023871i,0.00070212+0.00096903i,0.00026941+0.00046432i,-8.705e-05+0.00075108i,-0.00046457+0.0012106i,-0.00036386+0.0010927i,0.0003637+0.00078171i,0.00071021+0.0016116i,-6.0169e-05+0.0011534i,-0.00036803-0.00026042i,-0.00019207+0.00020569i,-0.00035828+0.00069314i,-0.00080411+8.9449e-05i,-0.00044088-0.00077485i,9.2515e-05-0.00070597i,-6.4e-06+0.0002428i,-9.4576e-05+0.0004611i,0.00038185+0.00014933i,0.00076368+0.00025861i,0.00069657-0.00019322i,0.00063075-0.00041437i
-0.0018305+0.002696i,-0.00088391+0.0015432i,-0.0019791+0.0016823i,-0.0022646+0.0016554i,-0.00018237+0.0014415i,0.00046776+0.0016146i,-0.00044121+0.0014305i,-0.0008853+0.00079723i,-0.00043686+0.00049838i,-0.00013336+0.00029898i,0.00045795+0.000444i,0.0008474+0.00034877i,0.00066989+0.00022666i,0.00073975+0.00042608i,0.00031287+0.00038208i,5.7979e-05+0.0008278i,9.5808e-05+0.0010543i,0.00048378-3.0892e-05i,0.00028207-0.0001897i,-0.00010226+4.6747e-05i,0.0002278+0.00095061i,0.00017916+0.0017917i,5.1536e-05+0.0013101i
-0.00042736+0.0023488i,-0.00056585+0.0019545i,-0.00061847+0.00045182i,-0.00043694-0.00033503i,-0.00091555+0.00019382i,-0.00044838+0.0012936i,-8.8926e-05+0.001736i,-9.5111e-06+0.0010237i,-2.3961e-05+0.00042927i,-3.0266e-05+0.00041185i,0.00033954+0.00056869i,-0.00022688+0.00018172i,-0.001061+6.2977e-05i,-0.00091508+0.00048404i,-0.00038594+0.00067743i,0.0001838-9.8094e-05i,0.00048544-0.00070863i,9.4187e-05-0.00043973i,-0.00048123+0.00010052i,-0.00051393-0.00015893i,-0.00057018-0.00011724i,-0.00027443+0.00025605i,-0.00056919+0.0011959i
0.00282+0.002063i,0.0023544-0.00034696i,0.0020613-0.0014909i,0.0019248-0.00083966i,0.0013365-5.2113e-05i,0.00026711+0.00021064i,5.1284e-05+0.00056978i,0.00019485+0.0010221i,0.00048251+0.00015164i,0.00084134-0.00043466i,0.00024933-0.00027542i,-0.00011083-0.00028674i,-3.0202e-05-9.135e-05i,-4.6773e-05-7.1034e-05i,-0.0001846-0.00023899i,-0.00035406-0.00053166i,0.00011632-0.00076596i,0.00015133-0.00037573i,0.00034702+0.00042385i,0.0003686+0.00065354i,0.00020461-8.2206e-05i,0.00065569-0.00050789i,0.00097651-0.00037462i
0.00016147+0.0030818i,0.00045594+0.0014275i,0.0014534+0.00018182i,0.0023541-2.4675e-05i,0.0020184-0.00039905i,0.0011499-0.00039016i,0.0007661+0.0014857i,0.00050277+0.0023729i,0.00049377+0.00073726i,0.00020139-0.00070139i,-0.00031485-0.00090022i,-3.0988e-05-0.00094655i,0.00045011-0.00093715i,0.00046799-0.00090015i,0.00074522-0.00068262i,0.00076084+0.00016974i,0.00021368+0.0010809i,-0.00016763+0.0002702i,-0.00014602-0.00089071i,-0.00011684-0.00056949i,-0.00055349+4.3609e-05i,-0.00098262-0.00057358i,-0.00094469-0.00062663i
