-0.0040511+0.00050719i,-0.0052067+0.00066533i,-0.0042025+0.0037523i,-0.0017366+0.0045486i,-2.339e-06+0.003823i,0.0003372+0.0025569i,-0.00056355+0.0019788i,-0.00025875+0.0021985i,0.00088723+0.0019479i,0.0016317+0.0021994i,0.0017534+0.0019464i,0.0010388+0.0003567i,0.0007506-0.00085663i,0.00048055-0.00066988i,0.00013708+2.351e-05i,5.6501e-05+0.00065145i,0.00022555+0.00082936i,0.00021809+0.00089924i,-9.3879e-06+0.0011391i,0.00018829+0.0012356i,0.00038706+0.00020809i,9.3241e-05-0.00084701i,2.9294e-05-0.0012388i
0.002285-6.9719e-05i,0.0025374+0.00027959i,0.001371+0.00018466i,0.0005168-0.00031479i,0.00061796-0.00082689i,0.00018661-0.0010385i,-0.00016463-0.00086982i,-0.00073491-1.2298e-05i,-0.0010149+0.00034486i,-0.00028317+0.00051726i,6.2147e-05+0.0012417i,-0.00019039+0.0010855i,-0.00052664+0.00080486i,-0.0008833+0.00057661i,-0.0012756-6.2468e-05i,-0.00097376-0.00051699i,-0.00029489+0.00037356i,-0.00055414+0.00074881i,-0.0002785+0.00042183i,0.00013338+8.3515e-05i,0.00046046+0.00015514i,0.00014604+0.00022217i,5.8334e-05-0.00055089i
0.00158-0.0012453i,0.0012395-0.0020527i,0.0010514-0.0023632i,0.00035007-0.0013353i,-0.001087+0.00063284i,-0.0013118+0.0014288i,-0.00062341+0.0002851i,-0.00071095-0.00064886i,-0.00077259-0.00021826i,-0.00043558+0.00017413i,-0.00038792+0.00028308i,-0.00077544+0.00043248i,-0.00091306+0.00060167i,-0.00017794+8.0069e-05i,0.00048862-0.00084378i,0.00093688-0.00094184i,0.00060942-0.00053153i,0.00022035-0.00063771i,0.00019107-0.00031867i,0.00052273-0.0001268i,0.00027946+1.505e-05i,-0.00052132+0.0003528i,-0.00058827+0.0004295i
-1.355e-05-0.0011898i,-0.00091062-0.0010455i,-0.0013722-0.0010568i,-0.00068685+0.00028263i,-0.00041606+0.0014521i,-0.00063807+0.0014821i,-0.0006683+0.00063749i,-0.00076822-0.00038244i,-0.0010164-0.00047022i,-0.0010302+0.00019935i,-0.00054183+0.0010109i,0.00031923+0.00058307i,0.0010391-0.00049872i,0.0012555-0.00099767i,0.00086875-0.00062376i,0.00038546+0.00016306i,3.5777e-05+0.00037727i,-0.00071243-0.00023526i,-0.0005033-0.00097562i,0.00015461-0.00041289i,-0.00036711+0.00051703i,-0.00040956+0.00021281i,-0.00018145-0.00042628i
0.0010801+0.00082118i,0.0028246+0.001027i,0.0023166+0.0010152i,0.0011131+0.00039014i,0.00081613-0.00023923i,0.00046917-0.00040068i,7.9298e-05-0.00077461i,-0.00016264-0.001029i,2.94e-05-0.00012966i,0.00093831+0.00039894i,0.00075617+0.00095103i,-8.213e-05+0.0010657i,-0.00048588+0.00010278i,-0.00085515-0.0001358i,-0.00033217+0.00024103i,0.00039602-9.0807e-05i,0.00016348-0.00020637i,0.00030406+0.00095467i,0.00025883+0.001015i,-0.00016042+0.00030242i,-0.00048784-0.00035423i,7.5651e-05-0.00047146i,0.00011319-0.00039011i
0.0022555-0.00012214i,0.0023176-0.00058283i,0.0018202-0.00049891i,0.00069417-0.0013542i,-0.00041564-0.001204i,-0.0011921-0.00027442i,-0.0019299+9.06e-05i,-0.0013897+4.574e-05i,-2.8068e-05-0.00074395i,0.00031161-0.0010447i,-0.00052671-0.00051524i,-0.00088907-0.00035312i,-0.00033896+0.00035517i,-0.00019571+0.0011615i,-0.00012154+0.0006956i,2.767e-05+0.00028741i,-0.00014198-7.0319e-05i,-0.00058318-2.5729e-05i,-0.0005553-1.9707e-05i,5.3946e-05-8.3228e-06i,-9.8539e-05+0.00031875i,-0.00012235+0.00032265i,0.0007476+0.00031171i
0.0002043-0.0017825i,-0.00091603-0.0021251i,-0.0019865-0.001255i,-0.0017058+0.00099285i,-0.0012801+0.0021602i,-0.0010545+0.0014041i,-0.0011533+0.00059342i,-0.00065316+0.00045499i,0.00031537+0.0005541i,0.00054601-0.00010376i,-0.00025284-0.00031258i,-0.0010678+0.00017451i,-0.001041+0.00019501i,-0.00043682-0.00026728i,2.3688e-05-0.00066716i,0.00014149+6.3945e-05i,0.00050719+0.00075465i,0.0012148+6.2118e-05i,0.0012669-0.0006348i,0.00045866-0.00078302i,-0.00021178-0.00038135i,5.786e-05-0.0001235i,0.00057478-0.00037837i
0.00051025+0.0019157i,0.0013937+0.0014047i,0.002883+0.00070002i,0.0027456+0.00026898i,0.0015515+0.00049423i,0.0011109+0.00073191i,0.0014128+0.0005086i,0.0013701-0.00010857i,0.001079-0.00011369i,0.0009882+0.00077309i,0.0011788+0.00062891i,0.0010483-0.00051093i,-1.9169e-05-0.00059855i,-0.00094919-0.00011003i,-0.00096851+0.0001668i,-0.00041579-0.00034526i,-7.2651e-05-0.00051679i,-0.00040531+0.00022631i,-0.00038147+0.00079062i,0.0005724+0.0010601i,0.00086069+0.0014929i,0.00065746+0.00096484i,0.00046382+0.00019581i
0.00051074-0.0019647i,-0.00016113-0.0011367i,-0.0017656-0.00040437i,-0.0016579-0.00036841i,-0.00067142-0.00014791i,-0.0011626+2.6164e-05i,-0.0017663-0.00083959i,-0.0011051-0.00091217i,-0.00065212-0.00040333i,-0.00067251-0.00068167i,-0.00071997-0.00022787i,-8.324e-05-6.9572e-05i,-0.00015608+8.098e-05i,-0.0003619+6.9673e-07i,-5.1032e-05+5.6467e-05i,0.00026914+0.0002145i,-5.5969e-05+1.8713e-05i,-0.00022741-0.00065142i,0.00023425-0.00079308i,-1.0204e-05+6.3495e-05i,-0.0012116+4.3719e-05i,-0.0011585-0.00015054i,-0.00055018-0.00010413i
-0.00071483+0.0004377i,-1.468e-05-0.0004144i,0.00055209-4.053e-05i,0.00043295+0.00012581i,-0.00014441-1.4449e-05i,-0.00079699+0.00021424i,-0.0011214+0.00073773i,-0.00058628+0.00075271i,-1.1315e-05-0.00018353i,-0.00019778-0.00077421i,-0.00043455-0.00070518i,0.00010492-0.0005253i,0.0007804-0.00014437i,0.00066884+4.8374e-08i,0.00020609-7.07e-05i,0.00014566-0.00014095i,-0.00013958+0.00020375i,-0.0007924+0.00099915i,-0.00071957+0.0003393i,-6.2083e-05-0.00015142i,0.00023711+0.00015472i,0.00027415-0.00018299i,0.0003512-0.00024882i
-0.00064737-0.0014758i,-0.00013694-0.0020522i,0.00071812-0.00069008i,0.00077218+0.00089647i,0.00046713+0.00090429i,0.00074118+0.00057585i,0.00050698+0.00016496i,-0.00046357-0.00011285i,-0.00050711-0.00064969i,-0.00028442-0.00031734i,-7.6319e-05+0.00068324i,0.00023606+0.0011398i,0.00024693+0.0011684i,0.00024974+0.00034317i,0.0009201-1.5448e-05i,0.00049012+0.0005887i,-0.00063681+0.00024824i,-0.00067625-0.00012144i,-0.0001089+0.00034701i,0.00024273+0.00046493i,0.00069711-0.00086606i,0.00051623-0.0012068i,0.00018324+0.00023988i
