0.0020752+0.00049486i,0.0013963-0.0002917i,0.00012239-0.0010118i,-0.0010262-0.00015124i,-0.001879+0.0015938i,-0.0021762+0.0022303i,-0.0020213+0.0016446i,-0.00030298+0.0016816i,0.00070241+0.0015901i,0.00040068+0.00038239i,0.00085159-0.0010907i,0.00085903-0.0011318i,-0.00042124-0.00026285i,-0.00056168-8.0078e-05i,-0.00035654-0.00032988i,-6.5676e-05-0.00010578i,0.00042508+0.00023945i,0.00038555+0.0011013i,-4.5118e-05+0.0010737i,-0.00033608+0.00014982i,-0.00022999-1.6223e-06i,0.00025173+0.00013433i,0.00084895-0.00024592i
-0.00083752+0.0022123i,-0.00028061+0.0025081i,0.00085092+0.0023075i,0.0023263+0.00202i,0.0033361+0.0015421i,0.0023055+0.00053365i,0.0005457-0.00037203i,0.00010378-0.001363i,0.00089472-0.001512i,0.00085791-0.00047629i,0.00022828-8.1867e-05i,-2.2129e-07-0.00026092i,-4.7223e-05-0.00048964i,-0.00037653-5.7581e-05i,-0.000822-0.00012411i,-0.00015388-0.00051075i,0.00063874-0.00012597i,0.000667+0.00033865i,0.00041873+0.00092584i,0.00035715+0.0012783i,0.00013568+0.00079981i,0.00035347+0.00010224i,-0.00049162+1.361e-06i
0.0023481+0.0006101i,0.0023835+0.00094008i,0.0023168+0.00018165i,0.00039129-0.00046844i,-0.00081344-0.00081886i,-0.0012452-0.00038611i,-0.0014053-0.00017632i,-0.0014039-0.00031594i,-0.00063836-0.00042877i,0.00034263-0.00025337i,-8.5807e-05+0.00043857i,-0.00039479+0.00081009i,3.0599e-05+0.0010099i,-0.00032532+0.00055515i,-0.00036464-0.00021722i,0.00056275-0.00056289i,0.001019-0.0005133i,0.00052809-0.0005629i,0.00027204+0.00032058i,0.00036471+0.0010045i,-0.00012528+8.27e-05i,0.00011953-0.0008016i,0.00062511-0.0006636i
0.00081847-0.0014773i,0.00079004-0.0012521i,-0.00016529-0.0021092i,-0.00069894-0.0019252i,-0.0012675-0.00059356i,-0.0013134-0.00062902i,-0.0004969-0.00032121i,-0.00029638+0.0006822i,-0.00094842+0.00086527i,-0.00087097+0.00031454i,-0.00028562+0.0003202i,4.5301e-05-9.0848e-05i,-0.00020507-0.0010641i,-0.00071519-1.0377e-06i,-0.0011698+0.00024539i,-0.00085231-0.00054023i,0.00015881-0.00011731i,0.00048431+7.3269e-06i,0.00019342-0.00029i,0.0003474-0.00039944i,0.00026406-0.00070664i,-3.061e-05-0.00083769i,-0.00012054-0.00063467i
0.00082661+0.00064558i,-0.00028438+0.00092318i,0.00066395+0.0010313i,0.0014103+0.0012548i,0.00084017+0.0006562i,-0.00046455+0.00044535i,-0.00084222+0.00053701i,-0.00025196+0.00021461i,-4.1006e-05-0.00021175i,-0.00023921-0.00072051i,-0.00075185-0.00079004i,-0.00052348-0.00023333i,8.9019e-05-0.00029068i,4.9722e-05-0.00023431i,-0.00030053+0.00024179i,-0.00057879-1.7074e-05i,-0.00033631-0.00050326i,3.7573e-05-9.1239e-05i,-0.00020169+0.00033454i,-0.00028395-1.8142e-05i,-0.00017336+0.0003341i,-0.00046376+0.00071745i,-0.00057549+0.00041845i
-0.0014804+0.0013349i,-0.0012356+0.0012306i,-0.0021845+0.0020181i,-0.0018192+0.00085272i,0.00065209-0.00063211i,0.001054-0.00062363i,-6.2857e-05-0.00044539i,-0.00025018-0.00050537i,5.3659e-06+6.501e-05i,0.00037854+0.00034936i,0.00032427+0.00035932i,-0.00015197-0.00016521i,-0.00038826-0.00059704i,-0.00020394-0.00013091i,-0.00044038+0.00039462i,-0.0003683+0.00063947i,-0.00042156+0.00094533i,-0.00088986+0.00059453i,-0.00029126-0.00017648i,0.00046588-0.00026513i,0.00011918-0.00012708i,-0.00051098-0.00034869i,-9.1596e-05-8.6804e-05i
0.0010873-0.00098628i,0.0014709-0.0022802i,0.00042629-0.0018869i,0.00015731-0.00070455i,0.0006473-0.00047036i,0.00033369-0.00092317i,-0.00012326-0.00069053i,-0.00042291+0.00027918i,-0.00097742+0.00073364i,-0.00074164+0.00010182i,-0.00034238+1.577e-05i,-6.3911e-05+0.00049579i,0.00010415+0.00035326i,-5.773e-05+0.00045336i,0.00046793+0.00032232i,0.00074987-0.00049905i,0.00021846-0.00039938i,0.00035264+0.00052626i,0.00084344+0.00059361i,6.3305e-05-4.4261e-05i,-0.00060751-0.00059446i,-0.0003382-0.0010519i,-0.00050844-0.0014746i
0.0021494-1.8987e-05i,0.0010735+0.00041344i,-0.00028235+3.4731e-05i,-0.00032326-0.00090321i,-0.00067862-0.00084501i,-0.00098083+5.6056e-06i,-0.00012383+0.00048467i,0.00016896+0.00061483i,0.00027378+0.00043176i,0.00038938+0.00010444i,1.2574e-05+0.00075892i,-0.00026033+0.0013183i,-0.00029196+0.00063481i,-0.0001621-1.6203e-05i,4.2576e-05+0.00019282i,0.00021929+0.00029282i,0.00043071+0.00010642i,0.00047918+0.00011411i,0.00028075-0.00054671i,-0.0003337-0.00072419i,-0.00088887+0.00011564i,-0.00067013-4.7374e-05i,-0.00046135+0.00013384i
0.00074938+0.0023279i,0.00067888+0.0015809i,0.0014233+0.0011954i,0.0011327-2.8575e-05i,0.00093913-0.00063032i,0.00029797-0.00039578i,9.0361e-06-0.0002977i,0.00019772+4.6522e-05i,0.00016966-0.00018226i,0.00052901-0.00059368i,0.00036374-0.00053999i,0.0002573+0.00017286i,-0.0005417+0.0004871i,-0.0013913+1.0648e-05i,-0.00089581-0.00070949i,0.00029897-0.0010589i,0.00056426-0.00046787i,0.0008539+3.573e-07i,0.00085011-2.3009e-05i,-0.00067981-0.00053632i,-0.0014413-0.00063812i,-0.00059751-0.00055886i,-0.00020361-0.00063309i
-0.0017923-0.00013923i,-0.0014065-0.0003619i,-0.0016353-0.00041427i,-0.0011049+3.2321e-05i,-0.00051032+0.00027857i,-0.0001037+0.00055018i,-0.00023703+0.00096262i,-0.00013343+0.00066203i,0.00023099+0.00028357i,0.00015017-0.00013061i,-4.0938e-06+0.00039533i,0.00032668+0.00095976i,0.00096683+0.00066589i,0.00045261+0.00050103i,0.00040613-5.0052e-05i,0.0011203-0.00043741i,6.1613e-05+0.00010879i,-0.0010251+9.1562e-06i,-0.00029777+0.00013636i,0.00041084+0.00095411i,0.00010712+0.0011168i,-0.00025349+0.00037512i,-0.00018117+3.0021e-05i
0.00093011+0.00076859i,0.0010382+0.0012336i,0.00050299+0.0010016i,0.00031043+0.00036075i,0.00068398+8.5879e-05i,0.00043977+0.00025419i,-9.4795e-05-0.00011176i,-0.00026049-6.3807e-05i,0.00038068+0.00018015i,0.00043858-0.00061032i,0.00010668-0.00082789i,-0.00017146-0.000293i,-4.8088e-05+3.5323e-06i,0.00041236+0.00060911i,0.00024051+0.00062301i,-0.00035707+0.00029307i,-0.00014503+0.00074724i,-3.7873e-05+0.0012102i,-0.0001685+0.0012307i,5.3978e-05+0.00023252i,0.00023138-0.0003127i,-0.00043482-0.00019048i,-0.00068415-0.00029588i
