-0.0021456-0.00042352i,-0.00065132-0.0004725i,-0.00053889-0.0001618i,-0.0010076-0.0006932i,-0.00089423-0.0012032i,-0.0003275-0.0013014i,0.0010631+0.00031479i,0.0026906+0.0022197i,0.0045659+0.0031993i,0.0060855+0.0030103i,0.0057727+0.0020309i,0.003815+0.00093577i,0.0020058+0.00061606i,0.0010593+0.00038779i,0.0010806+0.00018705i,0.0011922+0.00031659i,0.00056869+0.00022683i,-0.00021082+8.9226e-05i,-0.00014485-0.00013832i,0.00029439+0.00037411i,0.00058876+0.0011721i,0.00080121-3.5876e-05i,0.0011829-0.0007861i
0.00050552+0.0014576i,-8.2969e-05-0.00097619i,-0.00029519-0.0016037i,0.00075562-0.001584i,0.002538-0.0016053i,0.0025862-0.0019487i,0.00053817-0.0030776i,-0.0020648-0.0035027i,-0.0043592-0.0027292i,-0.0060089-0.00037391i,-0.0059421+0.0021783i,-0.0034293+0.002976i,-0.0012593+0.002056i,-0.00028844+0.0016311i,0.00067894+0.0012039i,0.00061242-1.2186e-05i,9.3964e-06-0.00050632i,-2.5761e-05-0.00026945i,-0.00026587+0.00054504i,-0.00013325-1.9269e-05i,0.00029208-0.000365i,-8.3167e-05+0.00070055i,-0.00063488+0.00083496i
0.0032234-0.001052i,0.0022822-0.0021607i,0.0023531-0.0036565i,0.001368-0.0045493i,-0.00037105-0.0045201i,-0.0011513-0.0031546i,-0.0016029-0.0036915i,-0.0013912-0.0059993i,-0.00098103-0.0086416i,-0.0020895-0.0088252i,-0.0034854-0.0070848i,-0.0032388-0.0047219i,-0.0026977-0.00226i,-0.0027286-0.001156i,-0.0020512-0.0009213i,-0.0010232-0.00061553i,-0.00080794-2.3016e-05i,-0.0005634-8.9132e-05i,-0.00025454-0.00036026i,0.00032661-0.0001256i,0.00030431-3.5576e-05i,-0.00066045-0.00080465i,-0.00045478-0.0005538i
0.0011123+0.0019062i,0.00022671+0.0029646i,-0.00040416+0.0019798i,-0.00020359+0.00019083i,-0.00043161-0.0012498i,-0.00080197-0.0018018i,-5.4211e-05-0.0013793i,0.0010567-0.00033426i,0.0026812+0.00070834i,0.0046601+0.00078137i,0.0056372+0.00014344i,0.0048778-0.00041163i,0.0028401-0.00061254i,0.00091844-0.00097946i,0.00018243-0.0013532i,-0.00017128-0.00043549i,-0.00056198+0.00050146i,-0.00053957+0.00050337i,-0.00049824-3.1804e-05i,-0.00026604-0.00067005i,3.8009e-05-0.00087535i,0.00023153-0.00071534i,0.00018361-0.0002251i
0.0033231-0.0014481i,0.0026526-0.00084837i,0.002397-0.0018261i,0.0020294-0.0032052i,0.0016714-0.003145i,0.0010218-0.0013088i,-0.00030506+0.001441i,-0.0015741+0.0035962i,-0.0024571+0.0049787i,-0.0024846+0.0061785i,-0.0014384+0.0048702i,-0.00010582+0.0025941i,0.00031177+0.0016616i,-0.00014147+0.00065379i,-0.00062057+7.2136e-05i,-0.00085328+0.00041331i,-0.0004834+0.00064316i,-0.00041226+0.00037051i,0.00012199-5.3037e-05i,0.00081676+0.00022262i,-0.00026616+0.00056667i,-0.0011+0.00042596i,-0.000241+0.0002971i
-0.0012731-0.0042119i,-0.00023992-0.0028186i,-0.0011957-0.0015953i,-0.0023678-0.0007914i,-0.0018086-0.00046241i,-0.00010262-0.00012245i,0.00036527+0.00044343i,-0.00056644+0.00023022i,-0.0017382-0.0006288i,-0.0034604-0.0012593i,-0.004343-0.0015577i,-0.0033545-0.00062332i,-0.0022037+0.00045506i,-0.0014534+0.0010949i,-0.00079625+0.0014465i,-7.5316e-05+0.0016464i,-3.7854e-05+0.0012598i,0.0002164+0.00037744i,0.00012975+0.0005158i,0.00030474+0.0005938i,0.00038343+0.00033872i,9.2253e-06+0.00013692i,9.0984e-05-0.00017581i
-0.0019605-0.0016782i,-0.0017963-0.0015287i,-0.0016157-0.0015521i,-0.00056327-0.0011027i,0.0001138-0.00043023i,0.00057763-0.00042288i,0.0026291-0.0013789i,0.0046832-0.003232i,0.0051277-0.0052671i,0.0044917-0.0064384i,0.0028579-0.0057122i,0.0011335-0.0035052i,0.0001263-0.0014641i,-0.0002059-0.00017228i,-0.00025894+0.00051141i,-6.8162e-05+0.001131i,0.00087271+0.0011598i,0.0016655+0.00064388i,0.0015179+0.0006963i,0.0010664+0.00082738i,0.00041519+0.00023151i,-0.00019197-0.00062505i,-0.00025682-0.00084259i
-0.0029999+0.00086029i,-0.0031664+0.0009313i,-0.0027095+0.0014393i,-0.0025602+0.00023374i,-0.001805-2.6587e-06i,-0.00030283-0.00055916i,0.00097096-0.0017442i,0.0014312-0.0008216i,0.0018714+0.00055696i,0.0027071+0.001922i,0.0030622+0.0035595i,0.0021581+0.0019786i,0.00070534-0.0005055i,-5.4428e-05-0.00040914i,0.00010371+0.00033832i,-0.00033801+0.00026246i,-0.00052931+9.1315e-06i,-0.00047804-0.00018677i,3.3715e-05-0.0002574i,0.00069227+0.00045968i,0.00064191+0.00059203i,-0.00038235-8.0698e-05i,-0.00078548-0.00038925i
0.0005871+0.0021105i,0.00034475+0.0012948i,0.00095152-0.00026594i,0.0013215-0.0010093i,0.00098064-0.00092812i,0.00051662-0.0013693i,-0.000469-0.0021377i,-0.0032735-0.0016336i,-0.0063575-0.0018394i,-0.0072666-0.00094744i,-0.0066524+0.0019581i,-0.0042926+0.0027064i,-0.0021011+0.00086534i,-0.0011074-0.00052793i,-4.7557e-06-0.00071697i,0.00085865-0.0004767i,0.000561-0.00042889i,7.8752e-05+0.00019663i,-0.00035846+0.0014038i,-6.6545e-05+0.0020487i,0.00043413+0.0019358i,-2.3918e-05+0.0010836i,-0.00013105+0.00010086i
0.004031-0.0002101i,0.0020196+0.00040365i,0.0011899-0.00042217i,0.00041272-0.001251i,-0.00014678-0.00054505i,-2.2717e-05-0.00011529i,-0.0015288-0.0013657i,-0.0034544-0.0036666i,-0.00409-0.0049059i,-0.003532-0.0049545i,-0.0018224-0.0048213i,-0.00060517-0.0037785i,-0.00036223-0.0021881i,-0.00039434-0.00085181i,-6.5049e-05-0.00046772i,0.00020798-0.00062334i,0.00067797+0.00056203i,0.00033722+0.0013286i,-0.00035253+0.00061217i,-0.00011415+5.1753e-05i,-1.7709e-05-0.00027244i,-0.00046439-0.00073671i,-0.00070789-0.0014227i
0.0014672-0.00075594i,0.00070994+0.00093988i,-0.00048378+0.00089712i,-0.00055409-0.00020538i,-8.0984e-05-0.0014007i,3.3605e-05-0.0019248i,0.00023399-0.00091404i,0.0016641+0.0013967i,0.0034306+0.0030728i,0.0048625+0.0019392i,0.005391-0.00019843i,0.0035979-0.0011744i,0.00092626-0.00071222i,-0.00024668+0.00017365i,-0.00030141+0.00058997i,-0.00016376-5.1527e-05i,0.00062131-0.00087121i,0.0013136-0.00099323i,0.0014313-0.00092392i,0.0016933-0.00049056i,0.0014406-0.00067948i,0.00052153-0.00041824i,0.00025137+0.00056369i
