-0.00060729-0.00071883i,0.00029008-0.0019547i,0.00089354-0.0039314i,0.0010204-0.004797i,8.2346e-05-0.0028005i,-0.00029032-0.00033229i,0.00025688+0.00043804i,-5.3305e-05+0.00093985i,0.00010264+0.00074733i,0.0011071+0.00071536i,0.0014278+0.0012822i,0.00071043+0.0010932i,-0.00097021-4.8802e-05i,-0.0014487-0.0012685i,-0.00057643-0.0014739i,0.00017659-0.00044792i,-0.00026228+2.7805e-05i,-0.00058815-5.2386e-06i,-0.00061939+2.5877e-05i,-0.000727-0.00028197i,-0.00034152-0.00044451i,9.4278e-05-0.00051347i,0.00050264-3.589e-05i
0.0016663-0.0016458i,0.0024324-0.0032784i,0.0012707-0.0046479i,-0.00029492-0.0038129i,-0.0016678-0.0015937i,-0.000948+0.00026823i,0.000121+0.00049555i,-0.00011725+0.00025669i,0.00028142-3.8919e-05i,0.00087516-0.00059199i,0.00059217-0.00072034i,-0.00032675-0.00048855i,-0.0010716-0.00074416i,-0.0006813-0.00092374i,-3.6424e-05-0.0004855i,-0.00016621-0.0004402i,0.00021738-0.00038913i,0.00054666-0.00055416i,0.00045388-0.00076767i,-2.8136e-05-0.00028447i,-0.00044905+0.00017699i,-0.00018769+0.00026077i,7.4948e-05-0.00038278i
-6.6726e-05-0.0016029i,0.0005945-0.0023088i,0.00078994-0.0024774i,0.0012981-0.0017335i,0.0017018-0.00076868i,0.0011411-6.416e-05i,0.00022617-0.00016349i,-0.00024472+0.00019118i,6.8699e-05-4.3773e-05i,0.00046112-0.00070235i,0.00022832-7.0797e-05i,-0.00013072+0.00031291i,-0.00025116+0.00045782i,-0.00023455+0.00066591i,-0.0003159-0.00012274i,-8.2331e-05-0.0010368i,0.00025449-0.00010067i,0.00012407-4.6386e-05i,0.00074842-0.0012656i,0.0012685-0.0012565i,0.0013498-0.00071589i,0.0010685-0.00028375i,0.00042363-6.3344e-05i
0.0016723-0.0014095i,0.0025184-0.0039392i,0.0033198-0.0047596i,0.00098152-0.0049331i,-0.0018191-0.0042171i,-0.0010254-0.0020182i,0.00048285-0.00019314i,0.00056571+0.00086528i,0.00057352+0.00083749i,0.00056429+0.00022021i,0.0006894-0.00020932i,0.00056458-0.00044236i,0.00032492-0.00066127i,0.00039533-0.00082142i,0.00068968-0.00096852i,0.00029913-0.0005976i,0.00041777+0.00010569i,0.00021384-0.00029331i,-0.00045943-0.00079547i,-0.00025451-0.000277i,-0.00049655+0.00017891i,5.1864e-05+0.00011841i,0.0010402+0.00015931i
1.581e-05-0.00034267i,0.00050299-0.001595i,0.0011268-0.0026355i,0.0019352-0.0024321i,0.0025057-0.0010322i,0.0022697-0.00047225i,0.0013918-0.00046846i,0.00071022-3.5761e-05i,8.7093e-05+0.00035923i,0.00016901+0.00025923i,0.00057378-0.00027981i,0.00033236-1.3305e-05i,-0.00032981+0.00052552i,-0.00069145+0.00023952i,-0.00060114-0.00072939i,-0.0010603-0.0009949i,-0.00087867-0.00069158i,-0.00041534-0.00030832i,0.00025432+0.00020638i,0.00094435+0.00029192i,0.0011095+0.00021747i,0.00085631-2.375e-05i,0.00052057-0.00060831i
0.0013105-0.0013716i,0.0025907-0.0028272i,0.0028756-0.0028436i,0.002047-0.0023701i,0.00075229-0.0022914i,-0.00077847-0.0011633i,-0.00068525-0.00031678i,0.00021623+0.00059614i,-3.8857e-05+0.0010936i,-0.0007816+0.00022306i,-0.00025852+0.000119i,-4.9012e-06+0.00032505i,-0.0001263+4.8208e-05i,-0.00024004+0.00046351i,-2.577e-05+0.00039933i,0.00065019+8.3217e-05i,0.0012025+0.00065781i,0.0014454+0.00090353i,0.0012806+6.4945e-05i,0.00045562-0.00076526i,0.00011664-0.00090585i,0.00011548-0.00020899i,2.2403e-05-0.00032645i
0.00015303-0.0024528i,-0.00019626-0.0027066i,-0.0010445-0.0026659i,-0.00078002-0.0015807i,0.00033783-0.00058343i,0.0010655-1.2852e-05i,0.00078193+0.00024238i,0.00033898-4.3961e-05i,0.00033789+6.3932e-05i,0.00011836+8.1468e-05i,-4.4188e-05+2.855e-05i,-0.00037318+4.1383e-05i,-0.00089884+5.9632e-05i,-0.0012719+0.00034512i,-0.00093227+0.00054502i,-0.00060618+0.00030302i,-8.2479e-05-0.00045204i,0.00072876-0.00093528i,0.00089496-0.00070547i,0.00072393-0.00047965i,0.00039566-0.00032556i,0.00051343-9.6776e-05i,0.00086049+0.00016525i
0.00048594+0.00054257i,0.0013759-0.00059118i,0.001813-0.0013956i,0.00175-0.00088815i,0.0014975-0.00041857i,0.0016652-0.00066675i,0.0013129-0.0010685i,0.00036826-0.00040923i,-0.00018077+4.5223e-05i,-7.6471e-05+0.00068606i,0.0004389+0.0012025i,0.00064374+0.0009894i,-0.00026338+0.00075816i,-7.0981e-05-0.00022039i,0.00078863-0.00041165i,0.00017377-2.7039e-05i,0.00038813-0.00051373i,0.0011176-0.0010371i,0.00063758-0.00095201i,-4.9427e-05+1.6153e-06i,-7.8373e-05+6.387e-05i,-0.00028483-0.00057746i,-0.0003852-0.00080018i
-0.0010196+0.00038344i,0.00067069-0.0025744i,0.0029097-0.0048511i,0.0033964-0.0054722i,0.0027296-0.0046494i,0.0022619-0.0025694i,0.0014838-0.00042281i,0.00075053+0.00048444i,0.00023874+0.00087187i,0.00025357+0.0009617i,0.00030702+0.00084029i,0.00012019+0.00025697i,-0.0002615-0.00067614i,-0.00060503-0.0012969i,-0.00048471-0.00035701i,-0.00039718+0.00048015i,-8.8315e-05+0.00030025i,0.00052131-0.00023532i,0.00099704-0.00058831i,0.0011981-0.0007023i,0.00034013-0.00052598i,-0.00028605-0.000258i,-0.00012418+0.00010147i
0.0030376-0.0003923i,0.0029945-0.0018182i,0.0022797-0.0030468i,0.0011507-0.0028321i,-0.00011053-0.0020722i,-9.2632e-05-0.0010511i,0.00063275+0.00024242i,0.00075008+0.0011769i,0.00036434+0.0012499i,-0.00072128+0.00039726i,-0.00076036+0.00048626i,-4.4391e-05+0.00029584i,-0.00051327-0.00029357i,-0.0010191-0.00061431i,-0.00059739-0.0007548i,-0.00065784-1.2337e-05i,-0.00069027+0.0010071i,-0.0001514+0.00064756i,-0.00011983-0.0007445i,-0.00092007-0.00069911i,-0.00087164+9.5448e-05i,-0.00036866+0.00025263i,-0.00060083-0.00024827i
0.0016616-0.00047399i,0.0025416-0.0014202i,0.00162-0.0032081i,0.00022597-0.003951i,-0.00081794-0.0030029i,-0.001182-0.0016458i,-0.0011373-0.00016736i,-0.00080704+0.00044367i,5.4038e-05+0.00025749i,-0.00024032+0.00052676i,-0.00032699+0.00097896i,0.00052027+0.0010497i,0.0007998+0.0012935i,0.00031157+0.0012267i,-0.00026948+0.00076569i,0.00025081+0.00023428i,0.00085369-4.3136e-05i,0.00077235-0.00030098i,0.00061963-0.00064749i,6.8219e-05-0.00064312i,-0.00017087+8.2459e-06i,-0.00027244+0.00012203i,4.967e-05-0.00021359i
