0.00023764+0.00060453i,0.0010846-0.0010432i,1.6026e-05-0.0026531i,-0.0014196-0.0031129i,-0.0025431-0.0022702i,-0.0025665-0.00089005i,-0.0022217+0.00053325i,-0.0019312+0.00087888i,-0.00066374+0.00072411i,0.00091984+0.00010712i,0.0014492-0.00065522i,0.0016243-0.00043647i,0.00071509-0.00029304i,7.4159e-05-6.2751e-05i,9.1568e-05+0.00027164i,-0.00017401+0.00028072i,-0.0004952+5.5756e-05i,-0.00086651-0.00012032i,-0.00092645-2.1409e-06i,-0.00033717+0.00032011i,0.00059813+0.00042414i,0.00094667+0.00018659i,0.0002059-8.3588e-05i
-1.8699e-05-0.0011836i,-0.00058586-0.001175i,-0.0019221-0.00072218i,-0.0016535-0.0012287i,-0.0011492-0.00094387i,-0.00022559-0.00085919i,0.0007234-0.00095853i,0.00035449-0.00097183i,0.0003132-0.0010065i,0.00083378+0.00046099i,0.00046407+0.0016837i,0.00054553+0.00075903i,0.0011406+0.00032144i,0.00098203+0.0002373i,0.00078136-0.00026758i,8.4983e-05+0.00046416i,-0.00046089+0.00070178i,-0.00011401+0.00022521i,-4.045e-05-0.00019357i,-4.3484e-05-0.00048612i,-0.00018839+0.00038975i,-0.00025351+0.00055394i,-0.0005428-0.00017672i
-0.0007529-0.00072841i,-0.0015755-0.00097744i,-0.0032674-0.00046598i,-0.004592+0.0011786i,-0.0041522+0.0013457i,-0.0024342+0.00040226i,-0.0014088-0.0009086i,-0.00183-0.001707i,-0.0013296-0.00096379i,-0.00017965-0.00045979i,0.00037421-0.00059839i,0.00046439-0.00049174i,0.0004148-0.00037764i,0.00092386-0.00032759i,0.0003597-0.00024585i,-0.00031251+0.00045279i,7.9627e-05+0.0008959i,-0.00027796+0.00064617i,0.00013449-0.00051207i,0.00029402-0.0010175i,-0.00049297-0.00029883i,-0.0012934-0.00040774i,-0.0010915-0.00016647i
-0.00055895+4.4793e-05i,-0.00045228-0.000538i,-0.00070457-0.00075148i,-0.00099487-0.0019767i,-0.00045739-0.0021636i,4.217e-05-0.0019552i,0.00029944-0.0019926i,0.00046447-0.0016746i,-0.00010782-0.0015992i,-0.00011265-0.0012833i,0.00040566-0.00033628i,0.00022211-2.6857e-05i,0.00061115+0.00022201i,0.00084975+0.00010306i,0.00096279-0.00017638i,0.00094008+1.0287e-05i,-6.6765e-05-0.00052661i,-0.00097234-0.00038464i,-0.00095172+7.1498e-05i,-0.00051438-0.00046668i,-0.00032811-0.000628i,-0.00042218-0.00030915i,-0.00074882+0.00027299i
0.0002375-0.0010148i,-0.00086512-0.0020713i,-0.0017428-0.002323i,-0.003182-0.0017503i,-0.0031929-0.0015087i,-0.000909-0.0012426i,-0.00041207-0.0016916i,-0.0012953-0.0012518i,-0.0012203-0.00040434i,0.00029148-0.00037557i,0.00082775-0.00019977i,0.00064973-0.00054442i,0.00090857-0.00028258i,0.0011937+0.00032599i,0.0013665+3.5465e-05i,0.00034658-0.00060759i,-0.00038272-0.0006088i,-0.00050612-0.00032327i,-0.00089255+0.00044611i,-0.00057568+0.00091306i,-1.5283e-05+0.00082229i,0.00011717+0.00095632i,0.00052949+0.0013195i
-0.0013034-0.00013661i,-0.0006406+0.00046339i,-0.0014096+0.0010292i,-0.0016208+0.00039741i,-0.00043335+0.00065513i,0.00013286-0.00064692i,-0.00071298-0.0024915i,-0.0012775-0.0020231i,-0.0011739-0.00086296i,-0.00022292-0.00075488i,0.00054577-0.00088626i,0.00087728-0.00022299i,0.00044526+0.00016518i,0.00021273-0.00015767i,0.00057823-0.00013751i,0.00047315-0.00010806i,0.00025659-0.00098645i,-0.0002283-0.00095556i,-0.00066806+0.00029216i,-0.001107+0.00084936i,-0.00070475+0.00057605i,0.00017355+0.0006281i,0.00032628+0.00066513i
0.00042289-0.00027171i,0.00050679-0.00098383i,-0.00048385-0.0023415i,-0.002443-0.0021224i,-0.0029519-0.00147i,-0.0014214-0.00078174i,7.3983e-05-0.00033092i,0.00010376-0.0012085i,0.00027157-0.0015735i,0.00012003-0.0012754i,-0.00021502-0.0011857i,0.00029544-0.00052772i,0.00029456+0.00044732i,0.00017192+0.0010362i,-0.00051202+0.00059229i,-0.001257+0.00021968i,-0.0010376+0.00080104i,-0.0012786+0.00039023i,-0.00075913-0.00057874i,3.7845e-05-0.00042311i,-0.00030934+0.00019789i,0.00018993+0.00032714i,0.00083014+0.0004025i
-0.00031199-0.00066211i,-0.00058975-0.0012096i,-0.0012912-0.0023113i,-0.0018407-0.0028647i,-0.0023068-0.0012871i,-0.0019986+0.00049097i,-0.00094835+0.00014071i,-0.00083706-0.00087227i,-0.00032876-0.0014246i,0.00048362-0.00098151i,0.00037977-0.0011909i,0.00022126-0.001313i,0.00021753-0.00070472i,0.0003504-2.001e-05i,0.00028211+0.00064789i,0.000218+0.00028484i,-8.1325e-05+0.00011131i,-7.8513e-06+0.0002287i,0.00053203+0.00029456i,0.00047977+8.0777e-05i,0.00033725+0.00020674i,0.00034239+0.00035796i,0.00040204+0.00027589i
0.0004595-0.0011351i,-0.00047434-0.001411i,-0.001399-0.0012628i,-0.0018679-0.00019775i,-0.0019522-0.0001616i,-0.0013391-0.00031802i,-0.0010965-0.0010356i,-0.00088507-0.0015919i,-0.00026635-0.00090705i,0.00038755-8.9268e-05i,0.00069031-0.00028585i,0.00017726-0.00059736i,-0.00027053-0.00041631i,-0.00016884-0.00016496i,-0.00019051+0.00029797i,-0.00022353-0.0002978i,-0.00012745-0.0014351i,-0.00058893-0.0017533i,-0.0004868-0.00082978i,-0.0003119+0.00072688i,-0.00052831+0.00075434i,-0.00077423+0.00014705i,-0.00045992+0.00030067i
-0.00081114+0.00057727i,-0.00063744+0.00056319i,-0.00051881-0.0011783i,-0.00060074-0.0006602i,-0.00085305+7.3045e-05i,-0.00019774-0.0010763i,2.8499e-06-0.002183i,-0.0008865-0.0028876i,-0.0010361-0.0022355i,-3.3065e-05-0.0014686i,0.00011457-0.0010254i,0.00014189-0.00024553i,0.00045295+0.00045817i,-0.00015+0.00028474i,-0.00045175+0.00016215i,-0.00015028+0.00029916i,1.2366e-05+0.00049425i,7.5668e-05+0.00018078i,4.0659e-05-0.00011476i,3.2559e-05+0.00015609i,0.00011008+0.00016993i,0.00030035+0.0001624i,0.00054089+0.00062653i
-0.00023423+0.00035482i,-0.00074114+6.8714e-05i,-0.0018833-0.0010481i,-0.0027275-0.0018987i,-0.002263-0.0014758i,-0.0015682-0.0012888i,-0.0011996-0.0013689i,-0.0016095-0.00149i,-0.00092876-0.0011494i,0.00011964-0.00078414i,0.00028436-0.00087609i,1.7106e-06-0.0010392i,-0.00049241-0.00049383i,-0.00014302-0.00030097i,0.00096564-0.0010228i,0.00052476-0.00055327i,-0.0014623-0.00056403i,-0.0019084-0.0010098i,-0.00075619-1.7045e-05i,0.00013105+0.00044535i,-0.00010096+0.00011092i,-0.00052875-0.00034767i,-0.00073984-0.00078837i
