0.0017277-0.00052616i,0.00025108-0.0012875i,0.0011463-0.0015518i,0.0012522-0.001861i,0.00050317-0.0012356i,-1.0211e-05+3.7177e-05i,-0.00026308+0.0013993i,0.00078845+0.0017051i,0.0018666+0.0014869i,0.0024811+0.00097103i,0.002583+4.4891e-05i,0.0012387-0.00026752i,0.00062502+0.00026693i,0.00059527+0.00052611i,0.00034263+0.0006661i,0.00022576+0.00071395i,8.7524e-05+0.00039489i,-0.00030547+0.00028418i,-0.0007393-3.2711e-05i,-0.00020933-0.0004826i,0.00056719+0.00035818i,0.00079025+0.00026653i,0.0012268-0.00046828i
0.00092503+0.0012877i,0.0019702+0.00028123i,0.002746-0.0010812i,0.0030771-0.0018261i,0.0031524-0.0019153i,0.0014155-0.0012823i,0.00048419-0.00028015i,7.4208e-05+0.000912i,0.00043113+0.0013263i,0.0011062+0.00063715i,0.00075654-0.00024603i,0.00021065-0.00037506i,-0.00011441+9.0533e-05i,-0.00030117+0.00032398i,-0.00023129-0.00019262i,0.00032906-0.00057369i,0.00046808-0.00045651i,1.7721e-05+0.00012986i,0.00025238+5.3295e-05i,0.00026138-0.00080463i,-0.00022143-0.0010584i,-0.00028675-0.00051414i,-6.3775e-05-5.5638e-05i
-0.00093533-0.0013683i,-0.00043666-0.00094635i,0.00021196+0.00012246i,0.00059348+0.0010719i,0.0012291+0.0011659i,0.0022391+0.00017634i,0.0015729+1.0203e-05i,0.00079222+0.00053433i,0.0012645+0.00050025i,0.0010509+0.00045714i,5.3117e-05+0.00013182i,2.4259e-05-4.961e-05i,0.00011429+0.00026901i,7.9031e-05+0.00017964i,0.00050356-0.0002472i,0.001405-0.00022124i,0.0012531-0.00029191i,0.00039944-0.00023026i,-1.6437e-05+9.0714e-05i,0.00019015+0.00070811i,0.00033736+0.00044955i,0.00045029-0.00049899i,0.00024343-0.0011598i
-0.0015125-0.0022811i,-0.0020225-0.0016119i,-0.0029882-0.001702i,-0.0015814-0.0019642i,0.00038526-0.0013024i,0.00040681-0.00084662i,0.00042298-0.00082188i,0.0015334-0.00065563i,0.0011086-0.00030451i,0.00042777+0.00075151i,0.00024363+0.0010588i,0.00034402+0.0011509i,0.00097272+0.0010565i,0.00075909+0.00013162i,0.0010436-0.00054032i,0.0015006-0.0007933i,0.00094314-0.00082887i,0.00065256-0.00099768i,0.0011063-0.0001144i,0.00094052+0.0003501i,0.00047568-8.9183e-05i,7.5033e-05-0.00037055i,0.00021131-0.00026026i
-0.0016007+0.00067312i,-0.0011068+0.001763i,0.00070871+0.0024125i,0.0020512+0.0016544i,0.0020361+0.00055915i,0.0014588-0.00016244i,0.0011506+0.00045071i,0.00098411+0.0018917i,0.00058806+0.0020416i,0.00079006+0.00093374i,0.0011252+0.00036019i,0.0011801-0.00012695i,0.00068861-0.00042323i,0.00057474-0.00014212i,0.00077682+0.00018596i,0.0003109+0.00016895i,0.00021738+6.9242e-06i,0.00041328-0.0007026i,0.00020631-0.0013371i,0.00012857-0.00026901i,0.00048242+0.00049859i,3.8632e-06+3.9101e-05i,-8.1224e-05-0.00034296i
-0.00094981+0.00081236i,-0.0016311-0.00020994i,-0.00046764-0.00092515i,0.0011407-0.0011326i,0.0016108-0.0014355i,0.0020208-0.001233i,0.0022446-0.00081625i,0.0013731-0.00033455i,0.0010596-0.00033348i,0.00081921-0.00087572i,0.00051435-0.0011905i,0.00043754-0.00067844i,0.00029016-0.00037398i,0.00021145+0.00020454i,-7.9976e-05+0.00067993i,-0.00029769-0.0004888i,-6.7696e-05-0.001277i,-0.00039422-0.00071729i,-0.00099518+3.7827e-05i,-0.00069829-7.0836e-05i,-0.00041493-0.00017131i,4.9202e-05-0.00063405i,0.00036749-0.00068902i
-0.0020165-0.00087987i,-0.0011727-0.00038983i,-0.00088556+0.0013308i,-2.9751e-05+0.0027196i,0.0010427+0.0011674i,0.0018963-0.00061424i,0.002049+0.00011613i,0.0013503+0.0009078i,0.00093128+0.0008425i,0.00073447+0.00082872i,0.00094033+0.0005999i,0.001185+0.00056946i,0.00050988+0.0009127i,0.00047273+0.00061299i,0.0010837-0.00017912i,0.0011068+0.00018403i,0.00087497+0.00091213i,0.00036221+0.00080317i,0.00029945+0.0006775i,0.00044844+0.00092226i,0.00042358+0.00092068i,0.00037807+0.00097156i,4.0698e-05+0.00057891i
-0.00041029-0.0017152i,-0.00023147-0.0017209i,-0.0013434-0.00066851i,-0.00022406-0.00042614i,0.00156-0.00048133i,0.0019721-1.4722e-05i,0.0011746+5.8408e-06i,4.6052e-05+0.0004636i,-0.00038987+0.00025341i,-0.00047822+0.00040662i,-0.00077387+0.0012143i,-0.0011226+0.0016685i,-0.00056486+0.0021563i,-2.5584e-05+0.0020707i,0.00055028+0.00065453i,0.0006539-0.00027632i,0.00078995+0.00024464i,0.00069176+0.00033722i,0.00019025-0.00016383i,-0.00039816-0.00043098i,-7.9769e-05-0.0005457i,9.9427e-05-0.0004295i,-4.049e-05-1.2783e-05i
-0.00021599+0.00026446i,-0.00010049+0.00031275i,0.00049973+0.00099793i,0.0014583+0.0011865i,0.0019069+0.00018808i,0.0020588-0.00012082i,0.0017269+0.00073876i,0.0014755+0.0013745i,0.0018048+0.0013488i,0.001512+0.00073381i,0.0013976-0.00037346i,0.00094852-0.00086924i,0.00065752+0.00025063i,0.0007394+0.00088306i,0.00089957+0.00061276i,0.00032349+0.00045448i,-0.00064548+0.00037293i,-0.00078105+9.1748e-05i,-0.00027301+0.00011361i,0.0004022-1.9992e-05i,0.00050417+0.00014217i,0.00054515+0.00066023i,8.1237e-05+0.00063938i
-0.00037472+0.0010292i,0.00023972+5.4262e-05i,0.00046949+0.00029439i,0.0015279-6.0411e-05i,0.0027223-0.00040457i,0.0027549-0.00096562i,0.0020454-0.0010131i,0.0017895+0.00042184i,0.0012598+0.0012455i,0.0010737+0.0011678i,0.00073774+0.00053361i,-0.0003766+0.00011504i,-0.00073644+0.00019859i,0.00011944-1.8028e-06i,0.0014694+0.0002978i,0.0016528+0.0002832i,0.00046643-0.00027681i,-0.00014121-0.00030441i,-0.00026635+0.00039991i,-1.1657e-05+0.0004656i,0.00036241-0.00027601i,2.8511e-05-0.00070505i,0.00015865-0.00032365i
0.0023168-0.0016348i,0.0021764-0.0014061i,0.0010921-0.0010907i,-0.00027144-0.00023369i,0.00075795+0.00032754i,0.0018482-0.00014038i,0.001397-0.00080413i,0.00071983-0.00087399i,0.00020512-0.0007766i,0.00016344-0.00043342i,-1.5273e-06-0.00051559i,0.00015906-0.00053559i,0.00033222+0.00020613i,-8.6091e-05+0.0010213i,6.8126e-05+0.00095398i,0.00025797+0.00011493i,0.00045732-0.0003259i,0.0011244-0.00020457i,0.00054146-8.6133e-05i,-0.00031562-0.00057862i,-0.00081247-0.0011387i,-0.0012348-0.00044238i,-0.00057934+0.00045358i
