-8.4717e-05+0.00089297i,-0.00081636-0.00054797i,-0.00011659-0.0021875i,-0.00098118-0.0023839i,-0.0022113-0.00095161i,-0.0027663+0.0012913i,-0.0018438+0.0022352i,0.00014307+0.0016849i,0.00098682+0.0010234i,0.00096828+7.5237e-05i,0.00034488-9.2244e-05i,-4.1369e-05+0.00021484i,0.00055376+0.00025133i,-0.00021021+0.0001525i,-0.00049594-0.00021962i,0.00017804-0.00068378i,0.00055472-0.00091857i,0.0006158-0.0002505i,0.00014289+0.00044627i,6.2658e-05+0.000697i,0.00040681+0.00025945i,0.00059043-8.892e-05i,0.00041435-0.00041827i
0.00042407-0.0014425i,0.00040338-0.0010242i,2.1428e-05-0.0011659i,-0.00061664-0.00059367i,-0.0016386-0.00041509i,-0.0014534-0.00059994i,-0.00066264+0.00077804i,-0.00030232+0.0013523i,-8.556e-05+0.0013416i,-0.00021348+0.0015279i,0.00025792+0.00091117i,0.00098312+0.0010994i,0.00070025+0.0012186i,-0.0001654+0.0006137i,-0.00077152+0.00044162i,-0.00062876+1.8116e-06i,-0.00023002-0.00056344i,-4.542e-05-0.00075463i,0.0002561-0.00078556i,0.00055834-0.00012421i,0.00083927+0.00039148i,5.11e-05+0.00048669i,-0.00062617+0.00035329i
0.00262+2.9186e-06i,0.0022059-0.0011665i,0.0029414-0.0024867i,0.0013258-0.0023871i,-0.0011937-0.0013248i,-0.0019811+0.00016381i,-0.0014929+0.00039387i,-0.00038082-0.00022386i,-0.00030769+0.00017728i,-0.00071915+0.00069632i,-7.2616e-05+0.00019303i,0.00033837-0.00011249i,-0.00020957+0.0001015i,2.4382e-05+0.00047605i,0.0003403+0.0013389i,-0.0004776+0.00044513i,-0.0002962-0.00090625i,0.00025963-0.00022553i,2.0962e-05+1.1998e-05i,-7.3864e-05+3.7998e-05i,-0.00017786+7.1228e-05i,-0.00033945-0.00045963i,-2.5579e-05-0.00065059i
-0.00015451-0.00014353i,-0.00045935-0.00024062i,-0.00054122+0.00021725i,-0.00028971+0.00074572i,-0.0010585+0.00095382i,-0.0012234+0.00097056i,-0.00011909+0.00015918i,0.00011515-0.00096624i,-0.00036355-0.0004855i,-0.00040288+0.00051252i,-0.00013413+0.00056968i,-5.3203e-05+0.00036087i,0.00022766+0.00052666i,-0.00035317+0.00026301i,-0.00069127+0.00024063i,0.000383+0.00026781i,0.0011827-0.00016366i,0.0013311-0.00052838i,0.0010569-0.00052508i,0.00027145-0.00028904i,0.00055795-0.00035119i,0.0011422-0.00027648i,0.00018126+6.1719e-05i
-0.00072484+0.0020202i,0.00025477+0.0010403i,0.0011744+0.00050437i,0.0010547-0.00046322i,0.00087253-0.00039694i,0.00072247+0.00064583i,0.00013361+0.0011448i,-0.00066611+0.0011387i,-0.00056443+0.0010103i,9.8695e-05+0.0010609i,0.00087815+0.00045168i,0.0011517-0.00026377i,0.00030951-0.00047873i,-0.00057771-0.00023153i,-0.00060244-0.00044407i,-0.00055996-0.00066314i,-0.00060855-0.00019342i,-0.0006226-0.00027453i,-0.00032701-0.00020397i,-9.3711e-06-4.0907e-05i,0.00023964+4.6757e-05i,4.1171e-05+0.00050765i,2.5693e-05+0.00044097i
0.00094849+0.00031895i,0.0010531+0.0013611i,0.0001323+0.0014622i,-0.00023459+0.0011609i,-0.00031989+0.00065981i,0.00022212+0.00011492i,0.00030968-0.00038039i,-0.00054448-0.00042533i,-0.0002182+0.00011249i,0.0002219-0.00028663i,0.00038036-0.00049008i,0.00067712-4.2666e-05i,0.0012459+2.459e-05i,0.0010565+0.00011964i,0.00023151+0.00055619i,-7.7949e-05+0.00082861i,-0.00045637+1.7268e-05i,-0.00077266-0.000385i,-0.00068438-0.00084371i,-9.0686e-05-0.0010555i,0.00096984-6.334e-05i,0.0010918+2.1375e-05i,0.00026194-0.00058344i
0.0006747-0.0008414i,0.00016044-0.0019372i,-0.00073773-0.002676i,-0.0012119-0.0024696i,-0.001308-0.0013512i,-0.00054229+0.00017137i,0.00019112+0.0010174i,0.0002138+0.0012424i,-0.00016999+0.00070596i,-0.00011928+0.0010156i,0.00024863+0.0012554i,6.4718e-05+0.00046047i,7.8705e-05-0.00039702i,-9.0189e-05-0.0003206i,-0.00012006-3.2685e-05i,0.00025645+3.7553e-06i,0.00021443+0.00040807i,0.00078629+0.00078823i,0.00071509+0.00051677i,0.00041942+0.00026367i,9.2843e-05-0.0001068i,-0.00060136-0.00017234i,-0.00059427-6.7684e-06i
0.0010664-0.0012163i,0.001984-0.00093822i,0.0011155-0.0010856i,-0.00032244-0.0013372i,-0.00055688-0.00041348i,-0.0004642+0.00082129i,-0.00010167+0.00053597i,-1.3985e-05+4.8817e-06i,-0.00016337-8.1952e-05i,-8.9334e-05+5.8112e-05i,-0.00025852-0.00012237i,-0.0011964+0.00017646i,-0.0010816+0.00072106i,-0.00026906+8.9848e-05i,-0.00033325-0.00011398i,-0.00049521+0.00034049i,3.4984e-05+0.00045729i,0.00047517+0.00065562i,0.00078216+0.0001209i,0.00039238-6.6614e-05i,-0.00019841-0.00020678i,-0.00037396-0.0002687i,-0.00047902-0.00011215i
0.00056789+0.00042381i,0.00080054+0.00012196i,0.00043966-0.00047623i,-0.00052795-0.00057181i,-0.0017585-0.00030925i,-0.00069703+0.00064859i,0.00097303+0.00098112i,0.00094298+0.00064526i,0.00024391+0.00034104i,-0.00026098-0.00023126i,-0.00029048-0.00048917i,-5.9053e-05-0.00034365i,-1.1636e-05+8.5311e-05i,-0.00011102+0.00084129i,-0.00062452+0.00061397i,-0.0008472-0.00012659i,-0.00040428-0.00068581i,3.1915e-05-0.0014346i,-9.7111e-05-0.00049861i,-8.7863e-06+0.00029553i,0.0005461-0.00044177i,0.00032643+8.1044e-05i,-0.00019935+0.00010187i
0.00043025+0.0013027i,-0.00044917+0.0013439i,-0.00089929+0.0010422i,-0.0010676+0.00035782i,-0.00087239+0.0002317i,-0.00063289+0.00014485i,-0.00085206+5.5417e-05i,-0.0014112-0.00028505i,-0.0011824-0.0005619i,-0.00024338+0.00032555i,1.1357e-05+0.0011809i,-0.00036989+0.00083831i,0.00037706-9.2407e-05i,0.00047009-0.00041238i,-0.0011232-0.00013423i,-0.001113+0.00037989i,0.00022588-5.663e-05i,0.00085671-0.00083749i,0.0010316-0.00088386i,0.0010734-0.00051172i,0.00070895-0.00083605i,-4.3997e-05-0.00081703i,-0.00029186+0.00049964i
0.0023795+0.0017801i,0.0025592+0.0014145i,0.0021938-0.0003186i,0.0007255-0.0016645i,-0.0015806-0.0016927i,-0.0018908-0.0010831i,-0.00092506+0.00059679i,-0.00099579+0.0015094i,-0.001066+0.001248i,-0.00041869+0.00099758i,0.00019597+0.00049532i,-8.7735e-06-0.0006918i,-0.00011289-0.0003737i,0.00015893+0.00013562i,0.00039597+7.1651e-05i,0.00045245+4.4535e-06i,0.00023734-0.00046838i,0.00017709-0.00044792i,0.00013178+0.00040543i,0.00029094+0.00097457i,0.00032334+0.000525i,-0.00035729-0.00024595i,-0.00039107+6.4369e-05i
