-0.0023137+0.00041588i,-0.0013006-0.0002653i,-0.00092321-6.6501e-05i,-0.0011056+0.00065122i,-0.0012671+0.0013086i,-0.0016661+0.0012047i,-0.00106+0.0009612i,-0.00041484+0.00065556i,0.00020697+0.0011016i,0.0011466+0.0012998i,0.0014659+0.00095563i,0.0005893+0.00039916i,0.00069401-0.00047172i,0.0016878-0.00056163i,0.0012766-0.00027548i,0.00031491-0.00012137i,-0.00023309-0.001309i,-0.00044646-0.0020769i,-0.00053816-0.001223i,-0.00014313+0.0001061i,5.2857e-05+0.00038794i,0.00035307+3.5943e-05i,0.00038418-0.00039077i
0.0004864-0.00011807i,0.00037209-0.00013174i,0.00045532-0.00044726i,-0.00012001+5.3648e-05i,-0.00076032+0.00025666i,-0.00010676-0.00022626i,0.00023075-0.00085812i,6.4427e-05-0.00091815i,-0.00012927-0.00046874i,0.00030276-0.00014083i,6.8042e-05+0.00042748i,-0.00020309+0.00062645i,4.9183e-05+0.00049199i,-0.00028109+0.00060716i,-0.00045032+0.00066163i,0.00054892-9.9294e-06i,0.0010656-0.0012248i,6.4553e-05-0.0017164i,-0.00033674-0.0011603i,-0.00061459-0.00031555i,-0.00082736-0.00014046i,-0.00066769-0.00018759i,-0.00063877+0.00071216i
-0.00070291+0.00083518i,-0.00017674+0.0010539i,0.00072811+0.001161i,0.00058506+0.0010514i,0.00021077-9.7546e-05i,-0.00016996-0.00074963i,-0.00076083-0.00050435i,-0.00098078-0.00015238i,-0.00067369-6.6141e-05i,-0.00015902+0.00037744i,0.00047415+0.00047438i,0.00010601+0.00046206i,-0.00056782+0.00012724i,-0.00065729-0.00039017i,-0.00048556-0.00015715i,-0.00055387-0.00019961i,-0.00037483-0.00060561i,-7.5699e-05-0.00064504i,-0.00013421+2.5423e-05i,-0.00016763+0.00098664i,-0.00056598+0.0012369i,-0.0010341+0.00059997i,-0.00038508+0.00058219i
-0.00030437+0.003021i,-0.00037419+0.0020544i,0.00039032+0.00089522i,0.0012517+6.2537e-06i,0.00075761+0.00026239i,-0.00080593+0.00045417i,-0.0016886+0.0004683i,-0.00089879-7.6326e-05i,0.00017642-0.00012876i,0.00049016+0.00043275i,0.0003548+0.00051233i,-1.2078e-05+0.00014999i,-0.00011246-0.00020117i,-0.00027021-0.00044164i,5.7747e-05-0.00081032i,0.00017877-0.0008066i,-0.00059921-0.0008511i,-0.00030742-0.00098927i,-0.00021459-0.0013819i,-0.00057448-0.0010372i,-0.00053871-0.00052807i,-0.00013655-0.00041718i,0.00067445-0.00033929i
0.0015587-0.0003606i,0.00052734-5.1825e-05i,-2.6374e-05-4.8328e-05i,-0.0001024+0.00049534i,-0.00038331+0.0012935i,-0.00077148+0.0013748i,-0.00062658+0.00019235i,-0.00037751-0.00014446i,-0.00010055+0.0011108i,-6.1445e-05+0.0017207i,0.00038408+0.0006516i,0.00016621-0.00011868i,-0.0003984-0.00062067i,-0.00014418-0.00095179i,0.00062947-0.00044976i,0.0014164-7.8023e-05i,0.0019819-0.00065725i,0.0012772-0.00091661i,-1.5557e-05-0.00042974i,-0.00012042+0.00012203i,-1.6024e-05+0.00070014i,-0.00043984+0.0011522i,-0.00070911+0.0015946i
0.00087133-0.00063451i,0.00096161-0.00046265i,0.00092831-0.00020383i,8.6248e-05-0.00020094i,-0.00019296+0.00017798i,-0.0003845+0.00071084i,-0.0013699+0.00027141i,-0.00035316+1.2882e-05i,0.00083832+0.00013171i,-0.00017923+1.8026e-06i,-0.00036115+0.00021667i,0.00039603+0.00046508i,0.0011692+0.00077876i,0.001127+0.00042048i,0.00049957-0.00053214i,0.00023592-0.00014724i,-0.00033705+0.0004681i,-0.00025038+0.00017141i,-0.00016992-0.00017435i,-0.00043733-0.00073398i,-0.00068564-0.00072886i,-0.0010878+5.3919e-05i,-0.00066074+0.00048362i
-0.00072297+0.00015543i,-0.00050149+0.00083226i,-0.0018887+0.00085733i,-0.0032992+0.00049314i,-0.002477+0.00021965i,-0.00048275+9.3525e-05i,-0.00010681-3.6088e-05i,-0.00040438-0.00088729i,-0.0010624-0.00098224i,-0.0014469+0.0001144i,-0.00079819+0.00052006i,0.00035576+0.00057511i,0.00040846+0.0007997i,-0.00017753+0.00044282i,8.4336e-05+0.00088212i,-0.00034349+0.0012462i,-0.0001629+0.00011101i,0.00030444-0.00079052i,-0.00035162-0.0014777i,-0.00061022-0.0011325i,-0.00045781-5.5373e-05i,-0.00041551+0.00024628i,-0.0003705+0.0001214i
-5.0911e-05+0.00093847i,0.00049394+0.00097778i,0.00059179+0.00082409i,0.00073467+0.00074009i,0.00049072+0.0013356i,-0.00039404+0.0011477i,-0.00097382+0.00030734i,-0.0010012-0.00071028i,-0.00072474-0.00097038i,-2.5071e-05-0.00039684i,0.0010476+0.00025033i,0.0010908+0.00094268i,0.00038091+0.0011715i,0.00049904+0.0001374i,0.0002251-0.00045506i,-7.9287e-05-0.00039855i,-0.00026503-0.00095268i,-0.00030066-0.0013716i,-0.00018611-0.00076275i,-0.00089694-0.00015756i,-0.0011943+3.5141e-06i,-6.1064e-05+0.00063048i,0.00050478+0.00053857i
0.0011856-0.001273i,0.00021601-0.0021145i,-4.7705e-05-0.0028162i,0.00015615-0.0027721i,-0.00049353-0.0015726i,-0.0011367-0.00030771i,-0.00026621-0.000258i,0.00065692+0.00056322i,-0.0002536+0.0010652i,-0.00090194+0.0004924i,-0.00093506+0.00086442i,-0.00071747+0.0010715i,-6.0015e-05+0.00049552i,0.00070971+0.00020834i,0.00080378+0.00028203i,0.0007838+0.00062295i,0.00094345+0.00019691i,0.00074433+9.1691e-05i,-0.00013521-0.00017443i,-0.0011152-0.00068017i,-0.0013575+0.00023339i,-0.0015621+0.0014523i,-0.00095226+0.0015818i
-0.00026711+0.0021108i,0.00052389+0.0025756i,0.00063394+0.0019697i,0.00066025+0.00083301i,0.00031916+0.00028055i,-0.00068043+4.1572e-05i,-0.00095849-0.00014368i,-0.00088226-0.00068947i,-0.00056637-0.0008949i,-0.00055099+9.0354e-05i,-0.00038333+0.00070177i,0.00019327+0.00044383i,0.00012621+2.8681e-05i,0.00025823-0.00052395i,0.00019242+6.4087e-05i,-0.00011361+0.00049619i,0.00011049+4.8398e-05i,-0.00014089-0.00076036i,-0.00066986-0.00023047i,-0.0010048+0.00085559i,-0.00095822+0.00018321i,-0.00039972-0.00015617i,0.00020895+0.00022863i
8.826e-05-0.00066551i,0.00019046-0.0010469i,0.00015067-0.00086009i,0.00056061+0.00037284i,0.00059296+0.0010421i,1.3598e-06+0.00054731i,0.00025311+0.0003923i,0.00014827+0.00022665i,0.00046806+0.00044863i,0.0014904+0.00058378i,0.0012142+0.00044013i,0.00090083+0.00095811i,0.00056138+0.0011886i,-0.00019334+0.00073867i,-0.00043072+0.00028002i,-0.00051796+9.5499e-05i,-0.00046177-0.000822i,-0.00034059-0.0013194i,-0.0011482-0.00055306i,-0.0010243-0.00046361i,-0.00041792+4.2057e-05i,0.00024877+0.00071912i,0.00064634+0.00074863i
0.0020559-0.00043472i,0.002374-0.00041668i,0.0014489-0.00028327i,-0.00012537-0.00040539i,-0.00033112-0.00052071i,-0.0005656-0.00018694i,-0.0011584-0.00016341i,-0.00084629-0.00077574i,-0.0002526+5.0739e-05i,0.00011683+0.00080617i,-9.0656e-05+0.00042105i,-0.00054818+0.00086083i,-0.0010432+0.00071442i,-0.0016249-4.8187e-05i,-0.00067446-0.00031743i,0.00037251+2.6595e-05i,0.00020385-0.0001663i,-0.00024239-0.00064025i,-0.00080442-0.0004169i,-0.00077096-0.00049055i,-0.00035372-0.00041685i,-0.00016665+1.6264e-05i,0.00026645-0.00024188i
0.0018209-0.00054306i,0.0012932+0.00058917i,0.0013112+0.00034688i,0.00086299-8.2402e-05i,-0.00028268-0.0003144i,-0.00085324-0.00060582i,-0.0010883-0.0009824i,-0.00063356-0.00078988i,0.0006758-0.00011275i,0.00075815+0.00055112i,-0.00020007+0.00070836i,-0.00052428-0.0001674i,-9.0011e-05-0.00074119i,0.00013838-0.00040122i,-0.00021965+7.7638e-05i,-0.00025201-0.00014952i,-0.00017791-0.00063429i,-0.00048012-0.0010813i,-0.00022712-0.0013896i,-0.00030008-0.00097301i,-0.0003938-0.00015524i,-0.00032077+0.0002544i,-0.00033335+0.00050753i
-0.0012874-0.0036718i,-0.0010376-0.0017604i,-0.0025768-2.7205e-05i,-0.0027028+0.0006235i,-0.0020198+0.0022749i,-8.5768e-05+0.0028822i,0.0017086+0.0013319i,0.0014677-0.00024357i,0.00027508-0.00049196i,-0.00029308+0.0001704i,-8.2349e-05+0.00045487i,-0.00012153+0.00049051i,-0.00046322+0.00028637i,0.00037663+0.00025021i,0.0011812+0.00037917i,0.00080652+8.7464e-06i,0.00068244-0.00031828i,-0.00015131-2.2801e-05i,-7.2206e-05-0.00024138i,8.7226e-05-9.9178e-05i,-0.00099667-0.00054142i,-0.0014179-0.0010681i,-0.00121-0.00077038i
-0.001235-0.00053178i,-0.001039-0.00062957i,-0.0013687-0.00023369i,-0.0014492+0.00014244i,-0.0014192-5.7733e-05i,-0.00081418-0.00014629i,-0.00057321+1.6976e-05i,-3.748e-05-2.3004e-05i,5.8549e-05-0.00020005i,-1.394e-05+2.3709e-05i,-8.5409e-05+0.00087084i,0.00018314+0.00081527i,0.00090846+0.00010562i,0.0012126-0.00035159i,0.0009589-0.0011881i,0.00050081-0.0007843i,0.00013955-0.0005018i,5.65e-05-0.00094408i,-0.00030586-0.00070834i,-0.00067505-0.00065296i,-0.00029966+1.2329e-05i,-3.4206e-05+0.00045563i,3.2243e-05+0.00016707i
-9.022e-05-0.0015847i,0.00059109-0.00036186i,-0.00027982-0.00018121i,-0.00064631-0.00020617i,-0.00055098+0.00059839i,-0.0013956+0.00080264i,-0.0018764-0.00018988i,-0.0014342-0.00067626i,-0.00082564-0.00060307i,-0.0006493+6.5652e-05i,-0.00058551+0.00048385i,-0.00035889+0.00028627i,-3.2935e-06+7.1854e-05i,-2.2348e-05-1.7769e-05i,0.00044303-0.00053178i,0.00088014-0.00083739i,0.00091501-0.00084866i,0.00087878-0.0010141i,0.00075825-0.0015308i,0.00014677-0.0012842i,-0.00032645-0.00089148i,-0.00046655-0.00043727i,-0.00042363+0.00037924i
-0.0015585-0.00012029i,-0.0013877-0.00038745i,-0.0006902-0.00083326i,-3.2203e-05-7.8161e-05i,-0.00037467+0.0010511i,-0.00065281+0.00048998i,-7.5035e-05-0.00056432i,0.00057349-0.00039846i,0.0009634+0.00020437i,0.0007451+0.00067434i,0.00065804+0.00053073i,0.00018559+0.00048317i,-0.00038245+0.0010095i,0.00014443+0.0011528i,5.5911e-05+0.00080543i,0.00018391+0.00053187i,-2.2685e-05-0.00034656i,8.153e-05-0.0013037i,6.4531e-05-0.00081157i,-0.0004348+0.0002038i,-0.00063726+0.00070229i,-0.00084757+0.00081369i,-0.00077044+0.0003878i
-0.0006793+0.00022235i,-0.00069224+0.00077477i,-0.0011052+0.0011993i,-0.0017039+0.0013249i,-0.0017043+0.00095778i,-0.00073742+0.00051269i,8.035e-05-0.00052144i,0.00047227-0.0011242i,0.0001576-0.00097023i,-0.00063027+5.7794e-05i,-0.00086107+0.00048355i,-0.00064767+0.00050238i,-0.00021847+0.00064303i,4.4518e-05+1.4974e-05i,0.00052409-0.0002833i,0.00057546-0.00014596i,5.4621e-05-0.00049537i,0.00035371-0.00042903i,0.0002286+8.3137e-05i,0.00017447-0.0003229i,0.00017331-0.00066418i,0.00041815+0.00047494i,0.00073505+0.0017275i
-0.00034715-0.00084571i,-0.0009612-0.0005445i,-0.0016301-0.00022132i,-0.0010275+0.00048468i,-0.00051638+0.00093878i,-0.00069244+0.0005843i,-0.00083441+0.00078727i,-0.00064958+0.00047683i,-0.00029823+0.00025532i,-0.00035394+0.00084864i,-0.00044125+0.00083639i,0.0006758+0.00057011i,0.0011685+0.0001237i,0.00055557-2.0719e-05i,0.00029782-0.00044006i,0.00075415-0.00091619i,0.0012992+0.00015636i,0.001077+0.00075215i,0.00065506-0.00043076i,0.00018344-0.00090732i,-0.00021212+1.8559e-05i,-0.00060791+0.00079409i,-0.001064+0.00077057i
-0.00097541-0.00072973i,-0.00017596-0.0015334i,-0.00059563-0.00087196i,-0.0011221-9.995e-05i,-0.00028234-0.0007665i,-5.4956e-06-0.0012608i,-0.00010628-0.00090762i,-0.00028677+6.6336e-05i,-0.00038517+0.00052174i,-0.00064506+0.00015167i,-0.00016574+0.00096607i,0.00017402+0.001582i,-4.2684e-05+0.001072i,-0.00015588+0.00044697i,-0.00013683+0.00037206i,0.00045316+0.00025645i,0.00088159-0.00086531i,0.00058232-0.0020308i,0.00041066-0.001467i,0.00011427-0.0001229i,-0.00012461+0.00043756i,9.7904e-05+0.00047527i,0.00049248-9.8741e-07i
0.0017057-0.0017123i,0.0015806-0.0014613i,0.00027106-0.001499i,-0.00069996-0.0012188i,-0.00064131-0.00035319i,-0.00023109+6.064e-05i,0.00012536-4.8435e-05i,8.66e-05-1.196e-05i,-0.00017826+9.8515e-05i,-0.00011499+0.00018933i,0.00011611-1.8666e-05i,0.00014588-7.1176e-05i,0.00047086-7.5153e-05i,0.0012104+0.00026254i,0.00093372+0.00089136i,-0.00022242+0.00063259i,-0.00019021-2.5275e-05i,0.00010903-0.00024197i,-4.1801e-05-0.00048943i,0.00015763-0.00048002i,0.00059813+4.6239e-05i,2.8614e-05-0.00033332i,-8.778e-05+6.523e-05i
0.00024049-0.00061802i,0.00042708-0.00033444i,-0.00050413+3.9929e-05i,-0.00096072-0.00020838i,-0.00099569+0.00037417i,-0.0018022+0.00064276i,-0.0018882+0.00027793i,-0.00073426+2.7967e-05i,0.00043819+1.5161e-05i,0.00056231+0.00029841i,0.001102+0.00047509i,0.0016101+0.00055268i,0.00022359+3.1693e-05i,-0.00060944-0.00050779i,-0.00056165+0.00010523i,-0.00017509+0.00040958i,0.00018679-0.00014093i,-2.7135e-05-0.00030919i,-0.00046939-0.0005975i,-0.00056438-0.00075702i,-5.3805e-05-0.0010996i,0.00058129-0.00092572i,4.8146e-05+6.0678e-05i
0.00033487+0.0010448i,-0.00013737+0.0016234i,0.00032141+0.00046301i,0.00031931-0.0001538i,9.7018e-05+0.001249i,-0.00025498+0.0011743i,-0.0008418-0.0004019i,-0.00086046-0.00050985i,-0.00084277+0.0005057i,-0.00029941+0.0003766i,-0.0006596-0.00044313i,-0.00065358-0.00054675i,0.00010533-0.00025855i,-0.00032959-0.0004668i,-0.0002353-0.00067698i,0.00061618-0.0002908i,0.00054635-0.00085126i,-0.00032718-0.001057i,-0.00057815-0.00060093i,0.00010481-0.00027087i,0.0004775-0.00039327i,0.00025007-0.00054844i,-8.2003e-05-0.00022274i
-0.00036694-0.00019617i,-0.00084867-0.00014677i,-0.00092536-0.00062151i,-0.00043014-0.00075384i,-0.00071421-0.0006965i,-0.00074516-0.00075563i,-0.00063592-0.00027712i,-0.0012085-0.00038132i,-0.0009407-0.0010565i,-0.00067449-0.00072509i,-0.00092174+0.00019361i,-0.00075675+0.00012722i,-0.00041225-0.0008302i,-0.00027666-0.0011764i,-0.00041461-0.00070713i,-0.0003998-0.0005803i,-0.00037781-0.00079479i,-0.00044437-0.00097891i,0.00036954-0.00085004i,0.0007514-6.1488e-05i,-0.00010128+0.00019162i,-0.00018209-0.00046451i,-6.8891e-05+0.0001566i
0.00082473+0.00039192i,0.00027686+0.0013368i,-0.00028583+0.0011331i,-6.5287e-05+0.00036024i,-0.00051499-0.00012013i,-0.00078958-0.00023625i,-0.00030201+0.00047426i,5.3131e-05+0.00036465i,-0.00016485-0.00022353i,-2.9941e-05-0.00033334i,0.00032837+0.00016647i,8.6849e-05+0.00044717i,0.00030523-0.00017405i,0.0003126+0.00015563i,-0.00015008+0.0013224i,-0.00039874+0.00097871i,8.119e-05-0.00023049i,0.00058053-0.0011114i,0.00062752-0.0016466i,1.4185e-05-0.0011478i,-0.00043772-0.00018333i,-0.00042158+0.00033545i,-0.00024599+0.00022007i
