0.0018385-0.00030666i,0.0010809-0.0017392i,0.00070999-0.0027689i,-0.00058606-0.0024059i,-0.0016518-0.00085546i,-0.0016093+0.00020609i,-0.00085315+0.00016752i,0.00049648+0.00048767i,0.00053067+9.1818e-05i,-0.00014251-0.00025145i,-7.3719e-05+9.215e-05i,5.097e-05-0.00043178i,-9.9332e-05-0.0012641i,0.00020752-0.00063014i,0.00043968-0.00012813i,-0.00023665-0.00026635i,-0.00061043-0.00076882i,-0.0004226-0.00063913i,-0.00052829+0.0003027i,-0.00057696+0.00059437i,-0.00011266-6.5317e-05i,0.00033823+0.00028974i,0.00034738+0.00075033i
0.00010705+0.00018223i,-0.00026036+0.00021828i,1.0371e-05+6.8367e-05i,-0.00029129-0.00051215i,-0.0013858-0.00079143i,-0.0014081-0.0002658i,-0.00084094-4.0615e-05i,-0.00069034-0.0011116i,-0.00087277-0.0011144i,-0.0010879-0.00086933i,-0.0010246-0.00022868i,-0.0005405+0.00087505i,-3.8886e-05+0.00097267i,-0.00021727+0.00064136i,-0.00011284+0.00026903i,0.00050618-0.0003516i,5.827e-05-0.00091112i,1.8614e-05-0.00051209i,0.00016379+0.00059356i,-0.00013776+0.00055938i,-0.00023447+0.00033915i,-1.79e-05+0.00048266i,0.00038869+0.00076036i
-0.0011595+0.0016197i,-0.00021084+0.0015769i,0.0010716+0.0016199i,0.0010587+0.00080828i,0.00039701-0.00058109i,0.00038307-0.0013918i,-0.00037302-0.0020128i,-0.0010712-0.0022372i,-0.00099643-0.0018051i,-0.00061195-0.0014079i,-0.00037638-0.0011876i,-0.00054336-0.00090955i,8.3836e-05-0.0010547i,0.00097623-0.00097705i,0.00069652-0.0011049i,-0.00023025-0.001138i,-0.0006318-0.00031641i,-0.00099181+0.00036429i,-0.00089008+0.00067514i,0.00032562+0.00033069i,0.00079238-1.0241e-05i,0.00094245-0.00062078i,0.00057646-0.00077592i
-0.001453+0.0021055i,-0.0001458+0.0022398i,-0.00010114+0.001685i,-5.2419e-05-4.3037e-05i,0.00024723-0.0011813i,7.4146e-05-0.0011232i,-0.00054405-0.0012456i,-0.0010252-0.0022373i,-0.00088201-0.00247i,0.00032647-0.001736i,0.00062874-0.00096385i,0.00038404-0.0004896i,0.0007693-0.0011826i,0.00033572-0.0014182i,3.9907e-05-0.0014867i,0.00044398-0.0014007i,0.00026147-0.00056789i,-0.00026391+0.0001146i,-4.7875e-05+0.00060174i,0.00035474+0.00061935i,0.00067165+0.00060168i,0.00097524+0.00041883i,0.00078205+0.00042707i
0.0015816-0.0016384i,0.00091797-0.0021725i,-0.00015709-0.0027159i,-0.0013107-0.0026659i,-0.001926-0.0023486i,-0.0012654-0.0013817i,-0.00080713-0.00072179i,-0.0011458+7.8741e-05i,-0.0016607-0.00036006i,-0.0015764-0.0014201i,-0.0012695-0.0016189i,-0.00037662-0.00067772i,0.00038737+0.00069386i,9.7201e-05+0.0011447i,-7.3459e-05+0.00040716i,-0.00011059-0.00010121i,0.00014983-0.00035329i,0.00076197+7.7581e-05i,0.00066919+0.0007263i,0.0005723+0.00051042i,-3.8961e-05+0.00069564i,-0.00085074+0.00087542i,-0.00029406+0.00030921i
-0.00058352+0.0026116i,0.00023324+0.0028404i,0.00086037+0.0028932i,0.0013489+0.0012991i,0.00048147-1.8994e-05i,-0.00013908-0.00047556i,-0.00041638-0.0010799i,-0.0010017-0.0011552i,-0.00072811-0.00097772i,0.00033637-0.0010963i,0.00080937-0.00098364i,0.001122-0.0008963i,0.001478-0.00081077i,0.0013006-0.001143i,0.0006736-0.0015048i,-0.00055121-0.00079305i,-0.0013878-0.0001121i,-0.0014612+0.0005581i,-0.00029873+0.00085235i,0.00024043+0.0008201i,-0.00056435+0.00086956i,-0.0004548+0.00028235i,-0.00010958-0.00026257i
0.00060561-0.00015416i,0.00043387-5.4587e-05i,0.00029504-0.00048489i,-0.00050171-0.002088i,-0.0006903-0.0022902i,-0.0013495-0.00094097i,-0.0017157-0.00044998i,-0.0014042-0.00093165i,-0.00081988-0.0015022i,6.2445e-05-0.0017131i,4.8151e-05-0.0014665i,-0.00061133-0.0010755i,-0.00019828-0.00073523i,0.00021704-0.00073495i,6.4661e-05+0.00024319i,0.00019021+0.00049074i,-4.7583e-05-0.00055307i,-0.00059147-0.000792i,-0.00036448-0.00077135i,0.00044802-0.00042119i,0.00078844+0.00022732i,0.00084666+0.001079i,0.00073429+0.001627i
0.00023643+0.0011142i,0.00014907+0.00084883i,-6.757e-05+0.00098237i,3.4099e-05+0.00053267i,-0.00043327-0.0008913i,-0.0013859-0.0017935i,-0.0014492-0.0024511i,-0.00031728-0.0025338i,-0.00055113-0.0018393i,-0.0011145-0.00041732i,-0.00036002+0.00039827i,0.00065466+0.00031304i,0.001215-4.1088e-05i,0.0012163-0.00054054i,0.00086356-0.00048086i,0.00080379-0.0012878i,0.00095046-0.0015632i,0.0010931-0.00056497i,0.00022853-0.00066381i,-0.0009077-0.00085356i,-0.001115-0.00044524i,-0.00037322-0.00021392i,-0.00016156-0.00054608i
-0.0025665+0.00034164i,-0.0022769-0.00040896i,-0.0022121+0.00046017i,-0.0020881+0.00070926i,-0.00085124+3.3041e-05i,8.2302e-05-0.00089278i,-0.00035643-0.0020406i,-0.0010091-0.0020102i,-0.0010768-0.0012481i,3.6484e-05-0.0012011i,0.0012719-0.0011256i,0.0018682-0.00064196i,0.0015994-0.00039929i,0.0016072+0.00014335i,0.0010631+9.974e-05i,0.00071322-0.0007476i,-4.7638e-06-6.1758e-05i,3.0777e-05+0.00069551i,-0.00018696+0.00093443i,-0.00085276+0.00070758i,-0.00047356+0.00032557i,0.00014222+0.00045924i,0.00032263+0.0011786i
-0.00050394+0.00018686i,-0.00023446-0.00027862i,0.00025985+0.00082507i,-0.00027356+0.0013076i,-8.807e-05+0.00016314i,0.0004532-0.0010105i,0.00036988-0.001151i,-0.00017864-0.0010993i,-0.0010559-0.00091109i,-0.0012628-0.00072604i,-0.00046294-0.0002222i,0.00010509-7.4376e-05i,0.0016948-0.00092207i,0.0020558-0.00054365i,0.00093003+4.9872e-05i,0.00054136-0.00024827i,-8.0763e-06-0.00075767i,-0.0010019-0.00039872i,-0.0017551+0.00051625i,-0.0013961+0.00047615i,-0.00040615+9.8923e-05i,-0.000195+0.0008132i,0.00025962+0.0011352i
-0.0012072+0.0014013i,-4.7358e-05+0.00091017i,0.00058071+0.00093605i,0.0011785+0.00092317i,0.00075519-0.00024661i,0.00023929-0.0016976i,-1.946e-05-0.002093i,-0.0013336-0.0017374i,-0.0011832-0.0011184i,-2.6799e-06-0.00045056i,0.00055494-8.326e-05i,0.0011479-0.00042439i,0.0012556-0.00064424i,0.00017749+2.7894e-05i,-0.00012188+0.0004377i,0.00024552-1.9558e-05i,4.4678e-05-0.00067191i,0.00033181-0.00050779i,-4.9951e-05-1.5296e-05i,-0.00066595+0.00026412i,-0.00023376+0.0003423i,0.00010136+0.00043553i,-0.00013578+3.6812e-05i
