-0.0010191+0.00050353i,0.00019468+0.00063599i,0.00054125+0.00040729i,0.00060172+0.00019061i,-0.00010492+0.00020275i,-0.0010233+0.00034151i,-0.00089828+0.00052603i,-0.00051344+0.0010668i,-0.00011851+0.0011373i,-0.00018431+0.0010061i,2.6009e-05+0.00079562i,0.00046634+0.00012836i,-0.00013702-0.00091954i,-0.00047586-0.00093345i,0.00027939-0.00081342i,0.0011194+2.335e-05i,-1.5704e-05+0.00089159i,-0.0013812+5.1059e-06i,-0.00061723-0.00074906i,9.8441e-05-0.0011622i,5.3241e-08-0.00090155i,0.00037799-0.00071631i,0.00049505-0.00038715i
-0.00070875+0.00086074i,-0.00085536+0.0014798i,-0.0010758+0.0019626i,-0.00056236+0.0015603i,0.00038485+0.00067852i,0.00072366-0.00050114i,0.00030443-0.00047828i,0.0003083-9.885e-05i,0.00017667-0.00055715i,1.4419e-05-0.00076621i,0.00018078-0.00061947i,-0.00046334+9.5473e-05i,-0.00065005+0.00047158i,2.2649e-05+0.00071931i,0.0011708+0.00069717i,0.0013683+0.00056343i,0.00065377+0.0013919i,0.00026386+0.0015927i,0.00033924+0.00091012i,0.00056065-0.00027608i,0.0010427-0.0005995i,0.00070914-9.0594e-06i,0.00027652+0.00018779i
0.00010382-0.0012633i,-0.00046025-0.00051481i,-0.0010629+0.00053057i,-0.00014775+0.0011866i,0.00079742+0.0017136i,0.00022146+0.00066205i,0.000271-0.00035023i,0.00049213-0.00027514i,-4.1704e-05-0.00067958i,-0.00091701-0.00042229i,-0.00093388+0.00052259i,-0.00048695+0.00040155i,0.00022013-4.7197e-05i,0.00086941+0.00053165i,0.00066166+0.0011968i,0.00046268+0.00054346i,0.0007328+0.00016766i,0.00093794+0.00057355i,0.00048898+0.00080129i,0.00010131+0.00040426i,0.00049678+0.00025626i,0.00049056+0.00042809i,2.324e-05+0.00058604i
0.00067691+0.00072113i,0.00079123-4.9839e-05i,0.0013342-1.3391e-05i,0.0013374-0.00045385i,0.00071415-0.0011992i,0.00023626-0.0017339i,0.00018154-0.00089836i,2.3415e-05+0.00027856i,-0.00028158+0.00065229i,0.00033437+0.00090903i,0.001068+0.00095651i,0.00095023+0.00011555i,0.00032837-0.00034776i,0.00058591+0.00013192i,0.0012708+0.00046394i,0.00087053+0.00061324i,7.1987e-05+0.00079136i,-4.5574e-05+0.00033423i,-0.00037955+7.2826e-05i,8.3683e-05+0.00032661i,0.00099048-3.8807e-05i,0.00041847-0.00028373i,6.6598e-05+0.00016802i
0.00016215-0.00034463i,0.0010122+0.00082208i,0.00068134+0.0010752i,0.00063622+0.0019716i,0.0010028+0.0023975i,0.00065694+0.0013744i,-0.00070021+0.00099945i,-0.0010089+0.00019586i,0.00028653-0.00092182i,6.3777e-05-0.00074691i,-0.0003649-0.00084892i,9.8401e-05-0.00044617i,0.00030114-0.0002763i,0.00089895-0.00044781i,0.0010056-0.00068948i,0.00049408-0.00067236i,-2.5307e-05+0.00010983i,6.3661e-05+0.00018517i,3.7301e-05-0.00033167i,-0.0001744-0.00050855i,-0.00074518-0.00027805i,-0.0012015+0.00020957i,-0.0005766+0.00041917i
-0.0012125+0.00053529i,-0.0009915-0.00010911i,0.00068696-0.00023233i,0.0022757-4.3592e-05i,0.0025123+0.00025555i,0.001807+0.00030359i,0.00098443+9.2965e-05i,0.00067709-0.00038437i,0.0002188-0.00042055i,6.5142e-07-0.00026185i,0.00057747+0.00017296i,-6.086e-05+0.00022704i,-0.00082656-0.00022617i,-0.00035021-0.00038082i,-0.0001571-8.1907e-05i,-1.4098e-05+0.00023164i,7.9036e-05+0.00052936i,-5.5049e-06+9.2216e-06i,0.00027236+0.00016945i,0.000232-4.8758e-05i,-3.176e-05-0.00082934i,4.4052e-05-0.00023317i,-6.5847e-05+0.00063712i
-0.0001987+0.00097662i,5.26e-05+0.0011394i,4.5754e-05+0.0011424i,0.00010216+0.0015884i,0.00082947+0.00040528i,0.00087861-0.00028134i,-1.218e-05+0.0001182i,-0.00026179-0.00023392i,-0.00054587-0.00041809i,-0.00085677+0.00035026i,-0.00053048+0.00057528i,6.9591e-05+0.00027951i,0.00030987+0.00044006i,-0.00032129+0.00012294i,-0.00051541+0.00062883i,3.1971e-05+0.00090004i,0.00097848+0.00054481i,0.0012329+0.00085237i,0.0002596+0.00079023i,-9.2308e-06+0.00085072i,-5.0532e-05+0.00090624i,-0.00074291+0.00068527i,-0.00078822+0.00065572i
-0.0018197-0.00048116i,-0.0014271+0.00072551i,-0.001304+0.0016335i,0.00064217+0.0011952i,0.00092658+0.00073417i,-0.0008881-0.00047878i,-0.00090064-0.0012675i,0.00015018-0.00060517i,0.00011055-0.00045373i,-0.00035887-0.00031118i,-3.7531e-05-0.00099244i,0.00093044-0.0012424i,0.00054559-0.000866i,-0.0001098-0.00086921i,-2.413e-05-0.000398i,0.00054993-4.1387e-05i,-0.00010271-0.00030936i,-0.00092911+2.4717e-05i,-0.00069336-0.00044653i,-0.00032531-0.0014402i,4.6057e-05-0.0005719i,-0.00019146+0.00028569i,-0.00092594-8.7041e-06i
-0.00073464+0.0012666i,-0.00072594+0.0015167i,-0.00032687+0.0019695i,0.00057023+0.0019527i,0.00057906+0.0017652i,-0.00023619+0.0010075i,-0.00055275-0.00035411i,-0.00013819-0.00054618i,6.4848e-05-4.3421e-05i,0.00038537+5.377e-05i,0.00015852+2.2876e-05i,-0.00019638-0.00038407i,-0.00037892-0.00087645i,-0.00033967-0.00060864i,0.00024544+0.00042463i,0.00041905+0.0009542i,0.0006358+0.00069458i,0.00071266+0.00050023i,0.00050421+0.00034238i,0.00058037-0.00011292i,0.00043527-0.00041983i,0.00031505-0.0010827i,0.00084426-0.00086303i
-0.0012195-0.0011734i,-0.0015756+0.00041312i,-0.0012925+0.0018132i,0.00049382+0.0025631i,0.0013314+0.0021926i,0.0010413+0.001171i,0.00075996-0.00044464i,0.00090607-0.0010614i,0.0001967-0.0006672i,-0.00014443+0.0004414i,0.00062606+0.00063078i,0.00085369-0.00029911i,0.00043037-0.0010326i,-6.7117e-05-0.00084772i,-0.0005126+0.00035759i,-0.00017326+0.00087043i,0.00011109+0.0010156i,0.00039687+0.0012235i,9.334e-05+0.00073547i,-0.00065462-0.00030981i,-0.001049-0.00054242i,-0.00041682-0.00053947i,0.0007264-2.4924e-05i
3.4125e-05+0.00014037i,0.00097629+0.00054385i,0.00064679+0.0010057i,0.00092827+0.0017151i,0.0017146+0.00031765i,0.0014756-0.0015239i,0.00069327-0.0013997i,-0.00062696-0.00075468i,-0.00082485-0.00052934i,-0.00018522-0.00054526i,0.00041725-0.0010929i,0.00046814-0.00091237i,0.00027473+0.0002718i,0.00022398+0.00076346i,0.00036738+0.00022627i,0.00045568-5.787e-05i,0.00016441+0.0002073i,0.00044432+0.0001961i,0.00053748-0.00046881i,2.9232e-05-0.00091325i,0.00041983-0.00089848i,0.0008047-0.00061911i,0.00042346-0.00025695i
0.0015486+0.0012652i,0.0014426+0.0014976i,0.00078377+0.003093i,0.00074984+0.0025943i,0.0015137+0.00069511i,0.00086002-0.00030052i,-0.00084515-0.00072094i,-0.00085302-0.0014624i,0.00041727-0.0011331i,0.00076062-0.0002313i,0.00037265-0.00025156i,-0.00016229-0.00039213i,-0.00082014-5.048e-05i,-0.00078355-0.0001173i,-0.00036739+9.5138e-05i,0.00010959+0.0008583i,0.00029015+0.0012025i,3.0118e-05+0.0010939i,-0.0001545+0.00086182i,9.7126e-06+0.00053526i,0.0007129-0.00022205i,0.00088995-0.00025668i,2.6105e-05+0.00013882i
0.0005912-0.00021991i,0.0008539-0.0010755i,0.0017649-0.00057662i,0.0019248-0.00010249i,0.00096396-0.00094369i,-0.00017768-0.00070826i,-0.0006-0.00038077i,0.00021289-0.00040525i,0.00082608-0.00094605i,-8.4734e-06-0.00069731i,-0.00022092-0.00013425i,0.00036547+0.00023296i,0.00041016+0.00057726i,0.0007248+0.0006878i,0.00087542+0.00067213i,0.00039763+0.00031366i,0.00056599-0.00019207i,0.0012451+5.6727e-05i,0.0012485+0.00066997i,0.00083497+0.00083114i,-0.0002265+0.00043732i,-0.00045687-0.00061845i,1.6438e-05-0.0005674i
