0.0016234-0.00022919i,0.00025007-0.0012518i,-0.0010921-0.0027374i,-0.0018575-0.0036563i,-0.0032816-0.0033956i,-0.0038618-0.001035i,-0.0022843+0.00052039i,-0.00026825+0.0010675i,0.00082339+0.0015769i,0.00084637+0.00099523i,0.00028525-0.00010836i,0.0002633-0.00037273i,0.00037814-0.00025817i,0.00067334-5.4092e-05i,0.00092884+0.00027091i,0.0012593+0.0004221i,0.00078674-0.00015567i,0.00045875-0.00081278i,0.00068516-0.00098042i,0.00028366-0.00057973i,-0.00012852-2.3869e-05i,-0.00045546-0.00038379i,-0.00089779-0.0010274i
0.0013323+0.0013994i,0.00082967+0.0014581i,0.0012119+0.00086098i,0.0011048-0.0027517i,0.00053058-0.004874i,-0.0013542-0.0032275i,-0.0017777-0.0011426i,-0.00051005-0.00069226i,-0.00016375-0.0008354i,0.00028544-0.00060102i,0.00038398-0.00047665i,-4.1751e-05+0.00010318i,0.00013813+0.0008675i,0.00061274+0.00076992i,0.00014352+0.00077706i,3.3991e-05+0.00093195i,0.00083664+0.00117i,0.00056696+0.0010163i,-0.00011486+0.00062314i,0.00023159+0.0002862i,0.00040726-0.00032593i,0.0002241-0.00075493i,0.00042737-0.00072961i
-0.00050547-0.00056044i,-0.00067921-0.00093852i,-0.0009553+0.00013655i,-0.0012884+0.00068073i,-0.00099607+0.00044073i,-0.00080075+0.0012336i,-0.00060059+0.0018322i,0.00011841+0.00081128i,0.00038775-0.00013771i,3.5237e-05-0.00057921i,-0.00070508-0.00020146i,-0.0014028+0.00053745i,-0.00080118+0.00084968i,-5.2366e-05+0.00044653i,0.00010728-2.5023e-05i,-3.3409e-05-0.00019397i,-0.00029276-0.00038606i,3.1002e-05-0.00010675i,-7.3091e-05-0.00015155i,-0.00015643-0.0001588i,0.00033405+0.00045399i,0.00098442+0.00040079i,0.00086005-0.00011694i
0.0010835+0.00022083i,0.00020148-0.00065807i,-0.00038113-0.0022108i,-0.0019021-0.0031803i,-0.0033675-0.0026988i,-0.0030828-0.0011308i,-0.0015587+0.00092952i,6.2796e-05+0.0010053i,0.00015921-0.00058259i,-0.00050238-0.00083311i,-9.8979e-05-0.00069726i,-0.00015901-0.00064616i,-0.0002037+7.1322e-06i,-0.00026259+0.00013045i,-0.00094147+3.0167e-05i,-0.00059435-0.00020136i,-0.00011581-0.00051089i,0.00015675-0.00035095i,0.00031947-4.6589e-05i,0.00072665-4.313e-05i,0.0008617-0.00039282i,0.00037548-0.00016772i,5.9071e-05+0.00056392i
0.00010306-0.00070715i,0.00083805-0.00034051i,0.00098307+0.00011191i,-0.00058439-0.00033531i,-0.0023468+4.7568e-05i,-0.0025911+0.00047788i,-0.00098696+0.00014555i,-2.7006e-05-0.00013247i,-0.00011225-0.00031412i,0.00014797-0.0006046i,-0.00022628-0.00010474i,-0.0011753-0.00018095i,-0.001538+0.0001619i,-0.00071166+0.0009687i,5.3296e-05+0.00073397i,0.00053871+0.00060847i,0.00035404+0.001034i,6.654e-05+0.0011624i,4.7872e-05+0.00078784i,-0.00025661+0.00055812i,-0.00032512-0.00024428i,-0.00013419-0.00040123i,-0.00048555+0.00095045i
-0.00021477+3.183e-05i,-0.00034689-5.0365e-05i,-0.00045689-0.00045378i,-0.0012057-0.0024935i,-0.0016535-0.0035151i,-0.001684-0.0019704i,-0.0006148-0.00048347i,7.0766e-05-0.00075798i,0.00012341-0.0012671i,-0.0003576-0.001139i,-0.00077713-0.00099051i,-0.00065757-0.00093859i,-0.0010208-0.00066544i,-0.0012094-0.00031274i,-0.00032193+0.00037482i,0.00062068+0.00093601i,0.00092987+0.00043841i,0.0011746-1.5672e-05i,0.0006055-0.00048149i,0.00011508-0.00075619i,0.00039983-0.00015502i,0.00037723+0.00062904i,-4.3254e-05+0.00062619i
0.00028472-0.0014683i,-0.00075073-0.00026802i,-0.0012231+2.0212e-05i,-0.0014673-0.0010139i,-0.0021283-0.0013882i,-0.0030799-0.00012377i,-0.00252+0.0015296i,-0.00060239+0.0013899i,-2.742e-05+0.00028018i,-0.00038656-0.00034898i,-0.00014231-0.00051626i,0.00053043+0.00023326i,0.0004779+0.00071422i,-0.00015474+0.00089533i,-0.00040111+0.00035252i,-0.00047802-0.0005273i,-0.00042451+2.2308e-05i,0.00020786+0.0010521i,-5.3513e-05+0.00074292i,-0.00047189-2.4144e-05i,0.00021871+2.0228e-05i,0.00030187+4.234e-05i,-0.00055767-5.3981e-05i
0.00015376-0.0026443i,-0.0007848-0.0033814i,-0.0014167-0.0033502i,-0.0023989-0.0030128i,-0.0033667-0.0020748i,-0.002909-0.00088517i,-0.0016624+0.00014376i,-0.00043751-7.1401e-05i,-0.00029469-0.00061725i,-0.0012472-0.00028696i,-0.0011573+0.00037168i,-0.00061128+0.00092282i,-0.00063493+0.00097931i,-0.0012675-4.8826e-05i,-0.00091674-0.00059246i,-0.00038773+0.00061795i,-0.00093485+0.00091574i,-0.00042783+0.00033779i,0.00026327+3.7043e-05i,-0.00061959+2.0036e-05i,-0.00077456+0.00052913i,-0.00050137+0.0012629i,-0.00049492+0.0008754i
0.0021017+0.00035482i,0.0019962-0.00043993i,0.00068099-0.0024468i,-0.00066002-0.0038955i,-0.0014671-0.0036408i,-0.0012605-0.0017531i,-0.0011186-8.3444e-05i,-0.00070669-0.00027073i,8.4451e-06-0.00051378i,0.00039676-0.00046056i,0.00031138-0.00050884i,0.00014687-0.00049277i,-0.00010015+0.00026264i,0.00030252+0.00056644i,0.0007409+0.00023028i,0.0001778-0.00047685i,-0.0001637-0.0005302i,-0.00010672+9.7895e-05i,-4.6043e-06-0.00039125i,-0.00046489-0.00058533i,-0.001136-0.00039214i,-0.00088324+0.00015769i,-0.00031804+0.00059948i
0.0028905-0.00029636i,0.002174-0.0011754i,0.0018404-0.0023533i,0.00016343-0.0036683i,-0.0021484-0.0032168i,-0.0027893-0.0018732i,-0.0017301-0.0007016i,-0.00038707+0.00029034i,-0.00053508+0.00024242i,-0.00046141-0.00057669i,-0.00046793-0.0011715i,-0.00058081-0.0012105i,-0.00030155-0.00085016i,-0.00013271-0.00050912i,-0.00041776-0.00036556i,-0.00061353-0.00022704i,-0.00064196-0.00012923i,-3.2173e-05+0.00067434i,0.00066253+0.0014054i,0.00036811+0.00090295i,-0.00065686-1.6621e-05i,-0.00084043+3.2636e-05i,-0.00088091+8.4565e-05i
0.00066438+0.00087378i,0.00026847-0.00075627i,0.00015224-0.0011216i,0.0003577-0.0020631i,8.7575e-05-0.0027548i,-0.0010333-0.0015745i,-0.001087-4.7717e-05i,0.00032976+0.00013309i,0.001005-0.00042757i,0.00073702-0.00046171i,0.00037081-0.00030503i,-0.00037596-0.00041773i,-0.00063857-0.00030599i,3.9819e-07-6.1264e-05i,0.00056101-0.00038281i,0.00086102-6.9181e-05i,0.00042669+0.00047446i,0.00013446+0.00064529i,0.00011283+0.00043564i,-0.00046181+5.3183e-05i,-7.5739e-05+0.00044406i,0.00054245+0.00029882i,0.00020408+0.00027575i
