-0.0010673+0.001175i,0.0003909+0.0017477i,0.00099049+0.001014i,0.0013366-0.0004509i,0.00040137-0.0015184i,-0.00042618-8.8984e-05i,-0.00021608+0.0016421i,-0.0001032+0.0017149i,0.00016538+0.0011207i,4.7711e-05+0.00030762i,-0.00018686-0.00017132i,3.9932e-05-0.00017526i,-0.00018571-0.00069064i,-0.00025903-0.0014031i,0.0004501-0.00044991i,0.00010908+0.00083447i,1.5955e-06+0.00025973i,0.00011079-0.00023669i,0.00043509+0.00026238i,0.00056378-4.8908e-05i,6.8484e-06-0.00091441i,-0.00041278-0.00064645i,-0.00045272-0.00022119i
-0.001056+0.00070125i,-0.00054543+0.0012812i,0.00025212+0.00059739i,0.0011298-0.00038388i,0.0012759-4.9375e-05i,0.0013752-0.00032877i,0.0015385-0.0010702i,0.0017971-0.001223i,0.00096169-0.00068521i,-3.3733e-05-8.4947e-05i,-0.00028972-0.00010311i,5.0544e-05-5.3653e-05i,0.00019198-0.00015346i,0.00013387-0.00026044i,-6.3306e-05-0.00015272i,-0.00017097-0.00066378i,-6.3403e-05-0.00082136i,-6.2491e-05-4.6828e-05i,-8.5913e-05+0.00055822i,-0.00017126+0.00020648i,-0.00060925-0.0010079i,-0.00093691-0.0015919i,-0.00080747-0.001012i
0.001157+0.0013454i,0.00098158+0.00070085i,0.00091668+0.0016606i,0.0010895+0.0012889i,0.0013564+0.00014409i,0.0021565+5.8251e-05i,0.0018376+9.1225e-05i,0.00062849+0.00010418i,0.00052078+3.0409e-05i,0.00089695+0.00039552i,0.00039984-0.00021201i,2.0812e-05-0.00060324i,0.00010642-0.00013721i,3.1139e-05-0.00072652i,-0.00032196-0.00022275i,0.00024331+0.0004912i,0.00085829+0.00093807i,0.00034921+0.0010173i,0.00059385+0.00051182i,0.00067833+0.00042192i,-4.0311e-06+0.0003637i,-0.00022929-3.0529e-05i,-6.2091e-05-0.00051272i
-0.00047859-0.00055727i,-0.0001184+0.0010853i,0.0013364+0.0018148i,0.0024784+0.0009621i,0.0021277-6.9868e-05i,0.00072898-0.00022933i,0.0009095-0.00022772i,0.0014743-0.00035702i,0.0015184-0.00045602i,0.0010133-0.00089798i,-7.1089e-05-0.0015493i,-0.00072265-0.00094381i,-0.00041629-6.6244e-05i,0.00030482+0.00031495i,0.00024325+0.0006396i,-0.0002519+0.00025521i,3.2497e-05-0.00025309i,0.0011086-0.00028292i,0.00055989-0.00030249i,-0.00043003-0.00026486i,-0.00045007+5.1677e-05i,-0.00025917+0.00027824i,-0.0006224+0.00014998i
-0.0014455+0.0017974i,-0.00038708+0.0017293i,0.00067376+0.0018302i,0.0011721+0.0014305i,0.0014803+8.988e-05i,0.0012507-0.0014756i,0.0010381-0.001986i,0.00095544-0.0012747i,0.00040598-0.00041964i,4.4884e-05+0.00019807i,0.00025707-9.5785e-05i,0.00070669-0.00070878i,0.00096126-0.00061975i,0.00074918-8.9904e-05i,0.00031363+0.00026697i,0.00042093+0.00050263i,0.0010744+0.00031333i,0.00084462-0.00028187i,0.0007339-0.00028706i,0.00066012-0.00012357i,0.00040714-0.00037977i,0.00067464-3.4548e-05i,0.00075845+0.00043712i
0.0011039+0.00067212i,0.0010257+0.0012011i,0.00081997+0.0018193i,0.0016111+0.0010234i,0.0025666-0.00029154i,0.0023586+6.2541e-06i,0.0015883-8.5486e-05i,0.0013561+0.00034114i,0.00099425+0.00040478i,0.00013235-0.00039596i,8.7203e-05-0.00083047i,0.00046147-0.00093236i,-0.00026882-0.00089505i,-0.00061427-0.0009829i,0.00038353-0.00073386i,0.0010089-0.00018045i,0.00058728+0.00021724i,0.00080678-0.00028689i,0.00099223-0.00020151i,0.00022979-0.00014311i,0.0005828-0.00078411i,0.0010808-0.001143i,0.00033424-0.0010393i
-0.0023027+0.0018023i,-0.0019389+0.0011518i,-0.00075562+0.0013326i,6.4047e-05+0.00076955i,4.4181e-05-3.0914e-07i,-1.6508e-05-0.00072096i,0.00037072-0.00097615i,0.00061922-0.00062712i,1.0364e-05+0.00013675i,-0.00036188-0.00024742i,3.3462e-05-0.0010508i,-4.6676e-05-0.0010271i,0.0002385-6.8017e-05i,-0.00029247+0.0010915i,-0.00097876+0.0014768i,-0.00073927+0.00087572i,-0.0001151+0.00029296i,0.0001587+0.00013639i,-0.00063289+8.4921e-05i,-0.00047284+8.6504e-05i,0.00031185+0.00022416i,-1.4953e-05+0.00061432i,-0.00034992+0.00052145i
0.0011094-0.00035238i,0.0012299+0.00018279i,0.0019621-0.00011952i,0.0022652+0.00018735i,0.0015834+0.00010654i,0.001469-0.00095172i,0.0017006-0.0011152i,0.0010811-7.9284e-05i,0.00034665+7.4598e-05i,0.00019785-0.00088617i,0.00038151-0.00045056i,0.0004762+0.00018456i,9.3885e-06+0.00029283i,-0.00018909+0.00038387i,-0.0001318+0.00013333i,-0.00012608-7.4548e-06i,0.00049519+0.0003853i,0.00096768+8.0785e-05i,0.00028366-0.00055534i,-0.00016358-0.00021217i,9.3698e-05-0.00021553i,-0.00021488-0.00097289i,-0.00024964-0.0010537i
0.0012871+0.00021185i,0.00089525+0.00057855i,0.00090985+0.00063351i,0.00066389-0.00035331i,0.00077077-0.00025746i,0.00095657+0.00051442i,0.0014235+0.0005898i,0.0017771-0.00032238i,0.0010526-0.0012507i,1.4928e-05-0.0012716i,-0.00057563-0.00058286i,-0.00064682+0.00015176i,-0.00065909+0.0002506i,-0.00065521+0.00017219i,-0.00035131+0.00054746i,-0.00034733+0.00022966i,-0.00052744+3.1274e-05i,-0.00022234+0.00071007i,0.00020357+0.000247i,3.4753e-05-0.00023156i,-9.536e-05+0.00029863i,-0.00031083+0.00067566i,-0.0010232+0.00018054i
-0.0004547-0.00019509i,0.0013239+0.00062742i,0.0012934+0.0017793i,0.0013963+0.0023403i,0.0022839+0.0014566i,0.0024839+0.00063411i,0.0019497+0.00013793i,0.00086076-0.00074836i,0.00030235-0.00078775i,9.522e-05-0.00011683i,-0.00097977-0.00018178i,-0.00073927+0.00011039i,0.00023641+0.00011314i,0.00076499+0.00020326i,0.00088799+0.00095273i,0.00063911+0.00036416i,0.00057134-0.00062358i,0.00039556+0.00050043i,9.5936e-05+0.0014291i,0.00011114+0.0010062i,3.9809e-05+0.00046964i,-0.0005368+0.00059628i,-0.0009828+8.7752e-05i
-0.00078466-0.00024696i,-0.00057103+7.4279e-05i,0.00088922+3.7172e-05i,0.0017561-0.0003896i,0.0021283-3.3374e-05i,0.0026573+0.00050151i,0.0023386+0.00024807i,0.0012864-0.00012072i,0.00078361-0.00057105i,0.00020776-0.001381i,-0.00051653-0.0015899i,-0.0009577-0.0011056i,-0.00079652-0.0012132i,-0.00034395-0.00079207i,-0.00067989+0.00049568i,-0.00083566+0.00067595i,-0.00040338-0.00071033i,0.00019356-0.0017474i,0.00050071-0.0017021i,0.00056891-0.00067167i,-0.00012978+0.00082557i,-0.00077351+0.00022507i,-0.00018645-0.00081157i
-0.00071882+0.0030031i,-0.00018918+0.0022978i,0.0010517+0.0025203i,0.0013167+0.0012714i,0.001284-0.00072912i,0.0013285-0.0016737i,0.0013859-0.0011926i,0.0016145-0.0009729i,0.0012098-0.0014211i,0.00014543-0.0011626i,-0.00046351-0.00017947i,-0.00025404-1.5751e-05i,0.00021446-0.00092131i,0.00040954-0.00043452i,0.00053782+0.0011654i,0.000794+0.00093255i,0.00085223+7.9806e-05i,0.00023881-6.8797e-05i,8.274e-05-0.00031489i,0.00019532-0.000187i,0.00028315+0.00020871i,-8.3797e-05+1.2069e-05i,-0.00018904-0.00031789i
-5.2991e-05+0.00073427i,-0.00038802+0.0001343i,0.00069308+0.00013067i,0.0021699+0.00027311i,0.0023442-0.00083292i,0.0016007-0.0020173i,0.0010056-0.0014541i,0.00044465-0.00053313i,-0.00016306+4.7895e-07i,1.4085e-05-2.8882e-06i,0.00016492-0.00025067i,-3.7481e-05+0.00013719i,-0.00010872-0.00037909i,3.8024e-06-0.00051714i,0.00069374+1.6154e-05i,0.0011237+0.0002783i,0.001156+0.00025809i,0.000841-0.00025242i,0.00059346-0.00072078i,0.00028428-0.00073516i,-0.00024409-0.00082932i,-0.00053633-0.0011871i,-0.00068796-0.0011644i
-0.00042806+0.0010336i,0.00037264+0.0018343i,0.0011622+0.0017272i,0.0011634+0.00095412i,0.00085411-0.00038112i,0.0016537-0.00049533i,0.0017165-0.0001668i,0.00095355-0.00015503i,0.0011228-0.00075154i,0.0017265-0.00085107i,0.0010144-0.00019343i,0.00025467+5.3154e-05i,5.4612e-05+0.00033292i,-7.9805e-05+0.00062628i,-0.00031125+0.00094716i,-0.00054209+0.00054284i,-0.00020296+7.1951e-06i,0.00012039+0.00035118i,-0.00057012+0.00033915i,-0.00061557-0.00049667i,0.00054077-0.00055857i,0.00083205-7.9717e-05i,-0.00011459-0.00043351i
-0.00044076+0.00037056i,-0.00071222+0.00090106i,0.00078812+0.00067919i,0.0017568-8.9648e-05i,0.0016788-0.0010725i,0.0019205-0.0012096i,0.0014314-0.00056865i,0.00050987-0.00074013i,0.00020143-0.00085752i,-5.2551e-06-0.00037372i,3.9849e-05+0.00032205i,-0.00012484+0.00015769i,0.00025001-0.00010463i,0.00061723+0.00071381i,0.0001934+0.00066667i,-0.00061252-0.00014073i,-0.000243+6.8345e-05i,0.0010103-0.00025271i,0.0013748-0.00078756i,0.00074612-0.00087241i,0.00024119-0.00052278i,0.00024674+0.00026052i,0.00051221-3.4851e-08i
-0.0001271-0.00064101i,0.00086592-0.00057755i,0.0015543+0.00023595i,0.0017831+0.00062371i,0.0018162+0.00030206i,0.0015192+0.00088045i,0.0013842+0.00073267i,0.0011363-0.00035113i,-0.00010364-0.00058404i,-0.001236-0.00012611i,-0.0014879-0.00010906i,-0.0009409-0.00041803i,0.00025013-0.00026421i,0.00053641-0.00025455i,0.00050897+0.00033184i,0.0006894+0.0011869i,0.00046593+0.00089192i,0.00084476+0.00022058i,0.00033421-0.00025034i,-0.00018407-0.00074169i,0.00028304-0.0010903i,0.00069154-0.0012725i,0.00036578-0.00038681i
-0.00033469+0.0015371i,-0.0007603+0.0013748i,-0.00052833+0.0015854i,0.00040041+0.00059462i,0.0013695-0.00056421i,0.0013461-0.00059475i,0.0014503-0.00046247i,0.0015305+0.0002811i,0.0010476+0.0012488i,0.00039668+0.00095111i,-0.00027807+0.00048845i,-0.00083972-0.0002875i,-0.00094091-0.00048047i,-0.00080036-1.9504e-06i,-0.0001451+0.00017912i,8.7611e-06-0.00037161i,-0.00014799-8.4734e-05i,0.00022424+0.00040796i,4.3227e-05+1.6719e-05i,-0.00079258-0.00057053i,-0.00087619-0.00021838i,-0.00063378+0.00028558i,-0.00082736-0.00017551i
