0.00071773-8.4719e-05i,5.3559e-05-0.00035363i,-0.0024639-0.0006925i,-0.0044845-0.0010886i,-0.0051613-0.00025371i,-0.0037123+0.0015376i,-0.0011067+0.0023268i,0.0010454+0.0011626i,0.0020424-0.00063738i,0.0015186-0.0014478i,0.00095081-0.0011225i,0.00023523-0.0010092i,0.00012598-0.00089222i,0.00027562-5.4174e-05i,-0.0005409-0.00014174i,-0.00099284-0.00019212i,-0.00091055+0.00032169i,-0.00068143+0.00072408i,0.00031331+0.0010287i,0.00027064+0.00091347i,-0.00043917+0.00064035i,-0.0003433+0.00065785i,-8.7378e-05+0.00053394i
-0.00025748-0.00067481i,5.9364e-05-0.0015092i,-0.00038005-0.0023903i,-0.0017492-0.0036485i,-0.0032097-0.0034248i,-0.0027584-0.0011047i,-0.00043738+0.00032871i,0.0014779+0.00014341i,0.0018307-6.9348e-06i,0.00055454-0.00081574i,-0.00052306-0.0011708i,-0.00031602-0.0005334i,-8.2766e-05-0.00041712i,-6.8166e-05-0.00027648i,0.00017289+1.6276e-05i,-0.00021655+0.00012593i,-0.00073468-2.2628e-05i,-0.00027586-5.133e-05i,-4.3612e-05-0.00028678i,-0.00033381-0.00066282i,-0.00053645-0.00075526i,-0.00068687-0.00055085i,-0.00043009+0.00036866i
0.0010778+0.00044633i,0.00064444-0.00044015i,-0.00046984-0.00094759i,-0.003742-0.0016319i,-0.005674-0.0016382i,-0.004427-0.00092508i,-0.0022308+0.0006404i,-0.0009212+0.00085366i,-0.00051118-0.00067627i,-8.3111e-05-0.0017127i,-0.00040727-0.0013055i,-0.00016704-0.0001394i,0.00054115+0.00013736i,0.00019929-0.00010073i,-0.00050602-0.00018151i,-0.00057396-0.00016468i,-8.3276e-05+0.00011332i,-0.00035513+3.0078e-05i,-0.0004247+0.00028458i,-0.00064061+6.3106e-05i,-0.0012312-0.00010042i,-0.00094475-3.9814e-05i,-0.00047481+0.00068724i
0.00011851-0.00025833i,0.00068651-0.00062661i,-9.6271e-05-0.0015121i,-0.0020471-0.0016838i,-0.003745-0.0015765i,-0.0022726-0.00074685i,0.00022738-0.00063457i,0.00089831-0.00088188i,0.0012164-0.00042045i,0.0011166-0.00019055i,0.00038038+0.00022737i,0.00012002+0.00037215i,-0.00028403+0.00050036i,-0.0002121-0.00025787i,0.00046904-0.0014486i,0.00058591-0.0013012i,-4.651e-05+3.6344e-05i,-0.00078304+2.6026e-05i,-0.00048816-0.00052462i,1.6005e-05-0.00079155i,-0.0001241-0.00048395i,-0.00047621-0.00035525i,-0.00054904-0.00042236i
-0.00091572+0.00099871i,-0.00079618+0.0005672i,-0.0016376-0.00036211i,-0.0034572-0.0010202i,-0.0037613-0.0007375i,-0.0028243-0.00039284i,-0.0011158-0.0004119i,0.00057913-0.00025436i,0.0010827-0.00049632i,0.00046395-0.0009403i,-0.00032625-0.0011197i,2.1763e-05-0.00062628i,0.00059444-9.9006e-05i,0.00012053+5.482e-05i,-9.2294e-05-0.00026298i,-0.00027249+9.5232e-05i,-0.00093545+0.00018737i,-0.00033188+0.00010231i,-3.7042e-05+0.0003122i,-0.00045751+0.00016952i,-0.00029466+0.00011574i,0.00014985-0.00010247i,0.00046797-0.0006506i
-0.00080643-0.0001895i,-0.00053918+3.1171e-05i,-0.0015533-0.00031102i,-0.0030717+0.00045241i,-0.0032993+0.00056024i,-0.0021568+0.00048408i,-0.0012399+0.00051329i,0.0005618-0.00036613i,0.0018769-0.0013578i,0.001297-0.0008463i,0.00043222-0.00014739i,-2.498e-05-0.00044257i,0.00021383-0.00025928i,0.00042357-0.00040281i,-8.7133e-05-0.001082i,-0.000852-0.0010784i,-0.00014875-0.00023198i,0.0010529+0.00081793i,0.0011317+0.00072374i,0.0011007+0.00034069i,0.00033298+0.00059094i,-0.00010278+0.00071697i,-0.00017836+0.00052478i
-0.0013272+7.3405e-05i,-0.0013851-0.00058214i,-0.0012293-0.0001969i,-0.0011673-0.00025736i,-0.0011367-0.0011799i,-0.00042444-0.001425i,0.00033548-0.00083577i,0.0016861-0.00086553i,0.0021948-0.0015404i,0.0012405-0.0013027i,0.00036231-7.7742e-05i,0.00070027+0.00085592i,0.0012229+0.00090737i,0.00094399+1.3221e-05i,0.0003965-0.00027226i,0.00036438-0.00032452i,0.00025983-0.000178i,7.9247e-05-0.00034761i,0.0003072-0.00085359i,0.0003537-0.00081825i,0.0002761-0.00042695i,0.00024068-8.6552e-05i,3.748e-05-0.00020144i
-0.00073367+9.8696e-05i,-0.0019792-0.0011575i,-0.0035656-0.0023889i,-0.0048302-0.002812i,-0.0045989-0.0021112i,-0.0029574-0.00037386i,-0.00055173+0.00054028i,0.00098434+0.00048283i,0.0014124-0.00072305i,0.0011074-0.0019744i,0.00013726-0.001306i,-0.00017504-0.0004063i,-0.00037746-0.00049684i,-0.0009417-0.00083108i,-0.00069397-0.00091135i,-0.00049077-0.0005055i,-0.00044767-4.5983e-05i,-0.00033472+0.00020387i,-0.000275-0.00014465i,-7.2765e-05-0.00021587i,-0.00016539+0.00014773i,-5.8424e-05+0.00052029i,0.00031098+0.00013658i
0.00036909-0.0012008i,0.00054018-0.0012501i,-0.0003988-0.0021081i,-0.0018748-0.0021973i,-0.0029562-0.0018878i,-0.0025229-0.0010775i,-2.9177e-05+0.00011369i,0.0023073+0.0003987i,0.00189-0.00056716i,-0.00011382-0.0015712i,-0.00042214-0.0010661i,0.00055472-0.00016947i,0.00053271+0.00020462i,1.4409e-05+6.1625e-05i,-0.00011652-8.4971e-05i,-0.00067913-0.00042896i,-0.0008003-6.265e-05i,-0.00016476+0.00061494i,-0.00034956+0.00084718i,-0.00057798+0.00047375i,-0.00077635+4.9403e-05i,-0.00046978+0.00035176i,-0.00041985-0.00014468i
0.00013364-0.00030829i,-0.00017004-0.0006947i,-0.00076794-0.00094695i,-0.0029542-0.0017122i,-0.0042696-0.002751i,-0.0041578-0.0012286i,-0.0018268+2.1012e-05i,0.00040155-0.00032252i,0.00065701-0.00086277i,0.00015649-0.00086758i,-0.00037939-0.00059569i,6.2708e-05-4.2139e-05i,0.0007202+0.0003513i,0.00025066-8.6527e-05i,0.00058748-0.00084469i,0.00090183-0.00076646i,0.00025358-0.00017973i,-0.00020357+0.00044137i,-0.00067449+0.00071025i,-0.00063862+0.0012168i,-0.0011861+0.0012832i,-0.0012249+0.00054266i,0.00028225+0.00029397i
0.0004331-0.00021241i,-0.00014483-4.8218e-05i,-0.0011482-0.0014056i,-0.0024066-0.0021267i,-0.0025932-0.0014123i,-0.0017552-0.00024491i,-0.00074226+0.00072946i,0.0013858+0.00049626i,0.0023987-0.00031097i,0.0015284-0.00082381i,0.0006607-0.0011354i,0.00019824-0.00068532i,-0.00033485-0.0006512i,-0.0011169-0.0012542i,-0.0013063-0.0012456i,-0.00045762-0.00062904i,-0.00063792-0.00046539i,-0.00081421-5.382e-05i,-0.00057139+0.00056828i,-0.00033002+0.00053351i,-0.00029132+0.00018393i,-0.00025823-0.00077855i,2.9682e-05-0.0013606i
