-0.0049482-0.0015119i,-0.004659-0.00046781i,-0.0041745-0.00018813i,-0.0034023+0.001132i,-0.0023726+0.0017543i,-0.00056226+0.00057325i,-0.00080271+0.00053772i,-0.0014162+0.0017786i,-0.00080567+0.0013591i,-0.00020771+0.00052482i,0.00037938+0.00083101i,0.00073432+0.00082366i,0.0010322+0.00039504i,0.001323-5.5876e-05i,0.00061044-0.00045772i,0.00051099-0.00034189i,0.0013498+3.6103e-05i,0.00099284-0.00026667i,6.6612e-06-0.00030218i,0.00013918+0.00067647i,0.00072787+0.00089683i,0.00012146+0.00022802i,-0.00046439-0.0003836i
-0.0011605-0.0012401i,-0.0011204+0.00031285i,-0.0023619+0.00012973i,-0.0015258-0.00055422i,0.00021434+0.00014617i,0.00095403+0.0001709i,0.00052149-0.00029554i,2.4942e-05-0.00049598i,0.00033875-0.00029342i,0.00093858-2.0361e-05i,0.00078629+0.00021265i,-0.00038509+0.00059741i,-0.00072392+0.001144i,-0.00052588+0.00049308i,-0.00018758-0.00016451i,-3.2422e-05+0.00031367i,0.00011394-0.00011678i,-0.00015032-0.0011492i,-0.0011963-0.00043924i,-0.0012+0.00052396i,-0.00084553+0.00028454i,-0.00024609-0.00024081i,0.00019458-0.00060775i
-0.0005592+0.0011313i,-0.0013914+0.0018288i,-0.0010728+0.00090049i,-0.0003716+0.00087909i,0.00061998+0.0016319i,0.0017161+0.0011932i,0.0011202+0.00058764i,0.00035539+0.00046402i,0.00038058+0.00010202i,0.00032515+5.0055e-06i,0.0008064-0.00085925i,0.00034912-0.0013009i,0.00033284-0.00040521i,0.0012303-0.00030272i,0.00092309-0.00024403i,0.00031016-0.0002089i,-6.6345e-05-0.00061531i,-0.0002845-0.00088206i,-0.00034185-0.00066583i,-0.00015507-0.0003316i,5.2042e-05-0.00019592i,0.0008444+5.6822e-05i,0.00073228+4.3362e-05i
-0.00090004-0.00018838i,-0.0019609-0.00075326i,-0.0016608-0.00116i,0.0011307-0.0010914i,0.0033718-0.001241i,0.0026073-0.0015826i,0.0014264-0.0011957i,0.00078617-0.00017113i,0.00021589+9.5444e-05i,0.00026751-0.00065753i,-0.00068063-0.0013954i,-0.0014323-0.0013256i,-0.00077875-0.00022503i,-0.00052047+0.00032929i,5.4967e-06-0.00046057i,-6.9321e-06-0.00071695i,-8.707e-05-0.00037286i,-8.8085e-05-0.00035886i,-0.00051051-0.00014994i,-0.00021168+0.00057837i,0.000163+0.00042095i,-8.1138e-08-0.00056921i,-0.0004925-0.00066272i
-0.00024765+0.0023465i,0.00090828+0.0018193i,0.0014804+0.00056569i,0.0013433-0.0004606i,0.0019301-0.00050868i,0.0023846-0.00054611i,0.0019906-0.00019523i,0.00074829-0.00011931i,0.00018092-0.00041234i,0.00026808+0.00015216i,-0.00022818+0.00074242i,-0.00040339+0.001082i,3.3476e-05+0.00045857i,0.00019555-0.00042769i,0.00022714-0.00033522i,0.00044614-0.00027756i,0.00065124+0.0001565i,0.0004508-0.00029534i,0.00017854-0.00070548i,0.00040669-0.00060458i,0.00063465-0.00052382i,0.000261+0.00046123i,0.00050317+0.00032906i
-0.0022249+0.0018751i,-0.0012889+0.0018107i,-0.0014776+0.0014971i,0.00044899+0.0011966i,0.0031935+0.0014109i,0.0039762+0.00052454i,0.0027034-0.00031665i,0.0013567+0.00048232i,0.00069307+0.00076226i,0.00088107-0.0003764i,0.00021443-0.00052286i,-0.0005573+0.00024495i,-0.00038295+0.00053705i,0.00035638+0.00066715i,0.00052428+0.00076616i,0.00043263+0.00015096i,0.00071374-0.00059169i,0.00068148+5.6142e-05i,0.00022434+0.00058838i,-0.0002699+0.0007726i,-0.00043543+0.00039716i,-0.00044433-0.00022299i,-0.00064302-0.00029356i
0.00052173+0.00062006i,0.00046387+0.00016198i,0.00060406+0.00098294i,0.0010865+0.0012631i,0.0019323+0.00048839i,0.0026719-4.9393e-05i,0.0015477-8.113e-05i,0.00015068-7.3046e-05i,-0.00010389-0.00076354i,4.8145e-05-0.0013468i,0.0001303-0.00060212i,5.9877e-06+0.00036495i,-3.6185e-05+0.00068753i,0.0001976+0.0008959i,0.00049122+0.00095152i,0.000731+6.0814e-05i,0.00090868-0.00095781i,-1.3147e-05-0.00069781i,-0.00023251-0.00035663i,0.0005601-0.00082639i,0.00034186-0.00071402i,-0.00048489+0.00018705i,-0.00088644-7.0877e-05i
-0.0024473-9.7842e-06i,-0.0020142-0.000249i,-0.0023595-0.0003369i,-0.0018425+0.00025856i,-0.00080272+0.00083384i,-0.00011487+0.00062842i,0.00030707+0.00059764i,0.00044924+0.00016776i,0.00078497-0.00049653i,0.00043635+0.00019264i,-0.00017218+0.00093509i,-0.00056226+0.0012156i,-0.00071914+0.00067317i,-0.0004807-0.00034044i,0.0003973-0.00025436i,0.0011707+8.3971e-05i,0.0012721-0.00065215i,6.0547e-05-0.00032252i,-6.065e-05+0.00065351i,0.00052808+0.00077491i,0.00033679+0.00034216i,-0.00012477-0.00039229i,-0.00010308-0.0005145i
-0.00082884-0.00052597i,-0.0010013-0.0010536i,-0.0020762-0.0016745i,-0.0016261-0.0014763i,-3.7748e-05-0.00088447i,0.0017258-0.00029899i,0.0023799-0.0006344i,0.0008593-0.00060347i,-0.00041751-0.00044774i,-0.00036859-8.3787e-05i,-0.00025638+0.00029615i,-0.00011897+0.00093332i,0.00026029+0.0010308i,0.0011636+0.00038392i,0.00036006-0.00016003i,0.00012058+0.00034698i,0.00060906+0.00057973i,0.00063043-0.00019198i,0.00054315+0.00013742i,0.00060761+0.001125i,0.00020816+0.00083836i,-0.000303-0.00023138i,4.6948e-05-0.00012206i
-0.00050769-0.00086906i,-0.0017714-0.0013458i,-0.0029765-0.0024978i,-0.0019957-0.0015954i,0.00031582+0.00027459i,0.0013907+0.00082026i,0.00088654-0.0001964i,0.00044705-0.00043726i,0.00034422-0.00021452i,-6.0627e-05-0.00062208i,-0.00027719-0.00055354i,7.5291e-05+0.00037174i,0.00037756+0.0010208i,0.00047147+0.00090353i,0.00033282+0.00036065i,-0.00015484+0.00014306i,-0.00040977+6.8473e-05i,0.00036226-0.00032056i,0.00069518-5.8888e-05i,0.00016391+0.00053294i,-0.00019359-5.7534e-05i,-4.8619e-05-0.00047787i,-0.00044569-0.00058145i
-0.0015356+0.0017807i,-0.00090275+0.0013206i,-0.00034653+0.0003985i,0.00076796-0.00025869i,0.0025269+0.00033395i,0.0023224+0.000265i,0.0012525-0.00022223i,0.0011749+0.00039348i,0.0009201+0.0013067i,0.00085078+0.0011787i,0.00048492+0.00017503i,-0.00012327+0.00016649i,6.2359e-05-0.00022512i,0.00089563-0.00073658i,0.00092041-0.0002066i,0.0010612-0.00050776i,0.00094998-0.0014394i,-0.00019842-0.00067603i,-0.00056286+0.00097711i,-0.00044006+0.00065427i,-0.00026423+1.3974e-05i,1.8692e-06+7.6513e-06i,0.00039045+4.2132e-05i
