0.00035907-0.00092358i,0.0018711-0.0012917i,0.0025805-0.0034394i,0.0019928-0.005227i,-0.00060365-0.003983i,-0.002374-0.0004195i,-0.0019727+0.0023483i,-0.00044465+0.0027233i,0.00069088+0.0013014i,0.00061684+6.0979e-05i,0.00014106-0.00037261i,0.00019287-0.00075188i,-5.8695e-05-0.00067657i,-0.00095373-0.00034009i,-0.00087069-0.00035838i,-0.0001263-0.00063035i,-0.00032971-0.00048521i,-0.00061345-0.00029636i,0.00012609-0.00054274i,0.00098469-0.00056259i,0.00056961-0.00036789i,-0.00011567-0.00050083i,-0.00036072-0.00029363i
-0.00051514+0.00035537i,0.0012902-6.9761e-05i,0.0036135-0.0014623i,0.0030232-0.0027612i,0.001011-0.0016022i,-0.00037218+0.0012298i,-0.00097545+0.0026976i,0.00022768+0.0021539i,0.0008408+0.0017625i,4.9242e-05+0.0016464i,-0.00026648+0.0015204i,-9.5163e-05+0.001447i,0.00012678+0.00088461i,0.00018133+0.00033232i,0.00033314+0.00053299i,0.00048015+0.00067317i,0.00014429+0.0003358i,-0.00012684-0.00028587i,0.00025887-0.00018313i,0.00074057+0.00032355i,0.00036864+0.00022187i,-0.00014482+0.00031447i,-0.00056297+0.00039609i
0.0014396+0.00035359i,0.0022834-0.00096892i,0.0041369-0.0024791i,0.0042042-0.0030759i,0.0022112-0.0025313i,-0.00029058-0.0011312i,-0.0012219+0.00076807i,-7.5538e-05+0.001999i,0.0014794+0.0018625i,0.0012247+0.00094879i,0.0002957+0.00019534i,0.00018038-2.3572e-05i,0.00059456+9.2442e-05i,0.00053138+0.00028807i,0.00030379+0.00045372i,0.00013273-0.00021322i,-1.636e-05-0.00030298i,-0.00075134-0.00021427i,-0.0012053-0.0012616i,-7.4104e-05-0.0010159i,0.0016225+0.00072902i,0.0016436+0.0014342i,0.0011693+0.00054005i
0.00087742+0.00049694i,0.0027941+0.0020247i,0.00603+0.00015995i,0.0060435-0.0026056i,0.0025365-0.0028204i,-0.00014624-0.00074397i,-0.00014136+0.0012829i,0.00018741+0.001565i,0.00067758+0.0011887i,0.00081278+0.00092428i,0.00029858+1.647e-05i,-3.6579e-05-0.00029984i,-0.00045213-5.5763e-05i,-0.00013083+0.00014789i,0.00065764+0.00073956i,0.00041298+0.0002453i,-0.00035912-0.00012793i,-0.00068429+0.00045188i,-4.4933e-05+0.00066244i,0.0003881+9.7111e-05i,0.00023865-0.00023644i,0.00019709+0.00013933i,-3.1575e-05+0.00047174i
-0.00036262-0.0014009i,0.0010272-0.0026586i,0.0038384-0.0040664i,0.0044508-0.0047539i,0.0017688-0.0036122i,4.6862e-05-0.00039564i,-0.00019284+0.0017534i,-2.1459e-07+0.0017774i,2.6328e-05+0.0012374i,-0.00023274+0.00019162i,-0.00059722-0.00052123i,-0.00097698+0.00041206i,-0.000639+0.0010685i,0.0001393+0.001034i,0.00097432+0.00025943i,0.00047768-0.0006074i,-0.00014759-0.0004716i,1.9526e-06-0.00026679i,-0.00067481-5.5278e-05i,-0.0010638-0.00038893i,-0.0014768-0.0012031i,-0.0011686-0.0014086i,-0.00024195-0.00057742i
0.0017252+0.0012655i,0.0040899-0.00077897i,0.0057062-0.0028703i,0.0040608-0.0047752i,0.00073403-0.0043127i,-0.00062391-0.00043477i,0.00039421+0.0023853i,0.0010873+0.0022417i,0.00063948+0.0012699i,6.7469e-05+0.00063568i,0.00027414+0.00010417i,0.00029101-0.00038751i,-0.00046439-0.00055919i,-0.00032949+7.5902e-05i,-3.6812e-05+0.00036446i,0.00019039-0.00025059i,0.00010385-0.00054516i,-0.00029078+6.707e-05i,-0.0002686+0.00080394i,-0.0003114+0.00033195i,-0.00039883+3.2225e-05i,-2.9237e-05+0.0010088i,0.00021345+0.0012308i
-0.00046153-0.0011582i,0.0014632-0.0018008i,0.002842-0.0025135i,0.0028205-0.0029403i,0.00081935-0.0014323i,-0.00060766+0.0018793i,-0.00016485+0.0032802i,0.00047968+0.002153i,0.00077112+0.00096633i,0.00092095+0.00036619i,0.0010481+0.00063682i,0.0004749+0.00072647i,-0.00025093+0.00020887i,-0.00033599+0.0005884i,-9.5103e-05+0.00084826i,0.00017349+0.00047166i,0.00020406-0.0001845i,0.00014188-0.00045254i,1.7801e-05-0.00011429i,-0.0002352+0.0002667i,-3.834e-05-0.00011601i,0.0002786-6.7353e-05i,-0.00031992+0.00057095i
0.0016966-0.0020458i,0.003201-0.0034968i,0.0048574-0.0045514i,0.0046985-0.0045735i,0.0013773-0.003167i,-0.00081763-0.00060181i,-0.00011563+0.0016342i,0.00075713+0.0021925i,0.00063444+0.0013061i,-0.00018038+0.00065802i,-0.0005025+0.0003803i,-0.00048953-7.4617e-05i,-9.6424e-05-0.00033879i,0.00013374-6.5476e-05i,-0.00019874+3.102e-05i,-0.00080483+0.0002441i,-0.00064459+0.0003787i,0.00026442-0.00012307i,-5.5196e-05-9.177e-05i,-0.00052734-0.00054573i,-0.00042669-0.00064123i,9.7984e-06+0.00012839i,0.0001975-0.0002755i
0.0031445+0.00014657i,0.0039453+0.00012662i,0.0053153-0.0015371i,0.0045425-0.0032192i,0.0014515-0.0031702i,-0.00095237+4.1615e-05i,-0.0004021+0.0023574i,0.0015938+0.0021638i,0.0020374+0.00096622i,0.0011873+9.4059e-05i,0.0010018+0.00034855i,9.5535e-05+2.3066e-05i,-0.00096913-0.00084178i,-0.0002103-0.00067621i,0.00013427+3.3055e-05i,0.00011814+9.1044e-05i,-0.00024176+0.0002137i,-0.000757+0.00017008i,-0.00070613-0.00010375i,-0.00031658-0.00022628i,0.00046905-0.00029899i,0.00015608+0.00010417i,-0.00019446+0.00031273i
0.00040064-0.0010023i,0.00040123-0.0018262i,0.0022576-0.0034736i,0.0034124-0.0045733i,0.0018983-0.0034884i,0.00030121-0.0010255i,-6.9017e-05+0.00059065i,0.00043005+0.00087853i,0.00076844+0.00058842i,0.00029901+0.0002727i,-0.00033383+0.00029904i,-4.2376e-05+0.00074554i,0.00023785+0.00068212i,0.00013871+0.00036194i,1.5577e-05+0.00029785i,-0.00045195+0.00067098i,-0.00021312+0.0013131i,0.00018228+0.00080036i,0.00033056-5.1316e-06i,9.205e-05+8.9873e-05i,0.00015123-2.5486e-05i,9.3376e-05-0.00045547i,-0.0005289-0.00040061i
0.0007863-0.00011925i,0.0028293-0.0013287i,0.0036777-0.0029489i,0.0027362-0.0034196i,0.00049529-0.0022159i,-0.00049076+0.00044735i,-4.5765e-05+0.0024864i,0.00091982+0.0019169i,0.00076143+0.00088999i,-0.00033528+0.00067577i,-6.8789e-05+0.00021239i,0.00025312-0.00058685i,0.00028307-0.00025198i,0.00012566+0.00019015i,-0.00027071-0.00011944i,-0.00021294-0.00011705i,0.0003498-0.0004215i,-0.00040836-0.00061181i,-0.001302-0.00034974i,-0.00078227+0.00032334i,-0.00022337+0.0002077i,0.00017672-0.00017628i,0.00034682-0.00035887i
