0.00028317+0.0004603i,0.0011026-0.00061877i,0.001247-0.0019735i,0.00012993-0.0018586i,-0.0013124-0.00057321i,-0.0023171+0.001419i,-0.0013582+0.0018692i,0.00060806+0.00072748i,0.0014385+0.00024581i,0.0017503+0.000245i,0.0015203-6.9493e-05i,0.0004876+0.00011032i,-3.7539e-05+0.0004823i,0.00024848+0.00040214i,0.00016885-8.0623e-05i,0.00020662-0.00032291i,0.00010324+0.00010162i,0.00015245-0.0001818i,0.00021437-0.00061169i,-0.00051089-0.00075831i,-0.00016079-0.00071968i,0.00046923-0.00011776i,0.00027479+5.4879e-05i
-0.00040683-0.0010217i,-0.0014732-0.00119i,-0.0027541-0.00080156i,-0.0025593+0.00071584i,-0.0022058+0.0017226i,-0.0016465+0.002431i,-0.0016882+0.0016246i,-0.0015196-0.00020614i,-0.00085436-0.00064088i,-0.00040905-0.00065378i,-0.00051094-2.664e-06i,-0.0008723+0.00011803i,-0.00043903-0.00052379i,7.7381e-05-0.00072837i,-9.6768e-07-0.00029308i,-0.00039003+0.00043221i,-0.00043351-3.5645e-05i,-5.2179e-05-0.00066326i,0.00031917-0.00084707i,0.00033946-0.00045908i,0.00049434+5.2168e-05i,3.8658e-06+0.00024171i,-1.4691e-05+0.00058365i
-1.0852e-05-0.0016706i,-0.00079761-0.0022935i,-0.0012269-0.001544i,-0.00103+0.00052151i,-0.00084036+0.0013745i,-0.00086386+0.00055897i,-0.00094083+0.00011717i,-0.00067499+7.9159e-05i,-0.00029843+0.000266i,-0.00073232+0.00076086i,-0.0011001+0.00083752i,-0.00039946+0.0001541i,8.3972e-05-0.0008047i,-0.00030805-0.00073418i,-0.00040907-0.00055176i,0.0003995-0.00037993i,0.00114+0.00047097i,0.00092876+0.00036365i,0.00022351-5.9206e-05i,-0.00036522-0.00090532i,-0.00019998-0.0014064i,0.0002055-0.00087681i,0.00049718-0.00083303i
-0.00040933-0.0015381i,-0.00025032-0.002234i,-0.0010327-0.0026913i,-0.0013474-0.0019665i,-0.0011002-0.00096213i,-0.00095339-0.00013236i,-0.00029951+4.6713e-05i,0.00024666-0.00020308i,0.00029898-0.00038622i,-0.0004529+0.0002748i,-0.00037881+0.00092366i,4.417e-05+0.00050055i,0.00026017+0.00022794i,-0.00036076-1.1017e-05i,-0.00091381-0.00047054i,-0.00016914-0.00049653i,-5.1992e-05-0.00058766i,-0.00049113-0.00032811i,-0.0002499+1.1586e-05i,-0.00027093-0.0002088i,6.2173e-05-0.00029981i,0.00036742+0.00022959i,0.00060079+0.00017715i
-0.00050016+0.0016882i,0.00054679+0.0017588i,0.00086446+0.0016933i,-0.00010538+0.00051563i,-0.00097546-0.0012596i,-0.0010172-0.0017317i,-0.00056153-0.00093133i,-0.0002707-7.0949e-05i,-0.00061864+0.0010228i,-0.00079773+0.00097148i,-0.00016577+0.00039476i,-0.00016707+0.00035695i,-0.00093304+0.00048306i,-0.0013678+0.00059828i,-0.00053174+0.00048999i,-0.00053069+0.00069943i,-0.00038845+0.00072917i,5.8512e-05+0.00083901i,-0.00019892+0.00035563i,0.00027246-0.0005559i,0.0013267-0.00019939i,0.0013958+0.0005203i,0.00062064+6.3366e-05i
-0.00060493-0.002471i,-0.00015036-0.0021329i,-0.00074425-0.00035605i,-0.0014635+0.00074515i,-0.0019346+0.00078174i,-0.0016088+0.00073386i,-0.0008333+0.0006222i,4.0337e-05+0.00067036i,0.00067839+0.00067159i,0.00017172+0.00037156i,0.00023393+0.00045096i,0.00023498+0.00031847i,-3.3216e-05+0.00019743i,-0.00037316-0.00014826i,1.7097e-05-0.00075014i,0.00046784-0.00055675i,-0.00018449-0.00056877i,-0.00028938-0.00093113i,0.00016266-0.00061831i,-0.00017248-0.00022514i,-0.0002308+0.00025834i,-2.295e-05+0.00079433i,-0.00023929+0.00043858i
-0.0012644-0.00043935i,-0.0012905-0.0017804i,-0.0019636-0.0020924i,-0.0020494-0.00090853i,-0.0017592-0.00035584i,-0.002068-0.0004805i,-0.0017972-0.00055267i,-0.00038456-0.00014597i,0.00012443+0.00065416i,3.0585e-05+0.00031416i,0.00063907+0.00017868i,0.00098719+0.00096575i,0.0010487+0.00067464i,0.00097299-0.00011697i,0.00030224-0.00069916i,0.00042739-0.00075912i,0.0010665-0.00042491i,0.00046267-0.00059879i,-0.0010147-0.0008222i,-0.0010903-0.00011519i,-0.00043358+0.00049273i,-0.00058978+0.00029966i,-0.00046405+0.00045368i
-0.00029532-0.0017981i,0.00029152-0.0010472i,0.00050641+0.00049806i,0.00045704+0.00070802i,-0.00076489-0.00030563i,-0.0016979-0.0012443i,-0.0017789-0.0010495i,-0.00078762-0.00089079i,-0.00069686-0.00022158i,-0.00043053+0.00057253i,0.00030001+0.00030447i,0.00044173-0.00029565i,0.00018911-0.00070924i,-0.00037205-0.00038994i,0.00029623-0.00031549i,0.0010278-0.0005856i,0.00094861-0.00026089i,3.8719e-05-0.00035402i,-0.00069965-0.0010905i,2.4225e-05-0.0013088i,0.0008416-0.00090623i,0.0008242+1.0402e-05i,-6.7364e-06+0.00045632i
0.0011626-0.00041058i,0.0011127-0.00032942i,-0.00018886-0.00045599i,-0.0025735-0.00096203i,-0.002947-0.00075595i,-0.0018223-0.00031647i,-0.00049957+6.7328e-05i,-0.00028298+0.00013395i,-0.00061537-3.2949e-05i,-0.00079574+0.00024863i,-0.00067902+0.00095014i,-0.00015892+0.00087531i,0.00012446+8.5286e-05i,-0.00026095-0.00016341i,-2.2635e-06-0.0001259i,0.00054662-0.00028866i,0.00027305-4.9394e-05i,-0.00022041+0.00058442i,-0.00048445+0.00029586i,-0.00081073-0.00046533i,-0.00074368-0.00023285i,7.6471e-05-7.8661e-05i,0.00061727-0.00028749i
0.00020394-0.0010701i,0.00080958-0.0014236i,0.00087548-0.00095381i,-0.0005839-2.7151e-05i,-0.0017375+2.5217e-05i,-0.0022157-7.9794e-05i,-0.0015627+0.00025854i,-0.00063107+0.0008449i,-0.00036611+0.00037966i,-0.00025295-2.9266e-05i,-0.00013679+0.00057444i,-0.00024189+0.00070554i,-8.7286e-05+0.00065238i,-3.3069e-05+0.00035675i,-0.00031485-0.00023414i,-0.00021224-0.00052072i,-9.3482e-05-0.00039284i,-0.00017605-0.00082621i,-0.00028898-0.0011531i,-0.00030017-0.00078543i,1.6707e-05-0.00080255i,0.00083148-0.00068992i,0.00088702-0.00042477i
0.0011697-0.00033239i,0.001808-0.00054049i,0.00089281-0.00030601i,-0.00016241-0.00025034i,-0.0010964-0.00038971i,-0.0020121+7.5237e-05i,-0.0021903+0.00024i,-0.0019036+0.00019707i,-0.0010419-2.6269e-05i,-0.00028724-0.00031237i,-4.3002e-05-0.0001137i,5.5795e-05+0.00045145i,0.00015141+0.00060837i,0.00060437+0.00056617i,0.0012641-0.00015213i,0.0010611-0.00066342i,0.0010409+0.00029168i,0.00050556+0.00024212i,-0.00011127-0.00088406i,0.00014969-0.0009453i,0.00024433-0.00055507i,0.00035998-0.00028263i,0.00032018+3.3808e-05i
