5.4704e-05+0.0018925i,-0.00064933+0.0019398i,-0.0017921+0.0017898i,-0.0011811+0.00087066i,0.0005217+0.00026142i,0.00044984+0.00024028i,7.2988e-05+0.0016737i,0.00035339+0.0022334i,0.00081249+0.0025449i,0.0012456+0.0018211i,0.0012709+3.0184e-05i,0.0012836-0.00039124i,8.3498e-06-0.00020454i,-0.0014424+8.3243e-05i,-0.0012462-0.00016616i,1.2898e-06-0.00018417i,0.00050324-0.00050476i,0.00014859-0.00085166i,7.642e-05-0.00023878i,-0.00019196-1.7765e-05i,0.00011057-7.0929e-05i,0.00072527-0.00015851i,5.549e-05-0.0002577i
0.00021479-0.0018113i,-0.00055768-0.0033596i,-0.00090168-0.0042093i,-0.00039011-0.0035906i,-0.0005064-0.0022459i,-0.00086445-0.0015644i,-0.0002833-0.0012692i,0.0006844-0.00070813i,0.00058497-0.00059722i,-9.6246e-05-0.00057217i,-9.31e-06+0.00063847i,-9.3506e-05+0.0012091i,-0.00044703+0.00059012i,-0.00010287+7.9155e-05i,0.00030265-0.00051445i,0.00067605+0.00012355i,0.00076876+0.00072818i,0.00021046-0.00024063i,0.0001108-0.00090855i,-7.9078e-05-0.00015809i,-0.00059131+0.00050293i,-0.00044715+5.7746e-05i,0.00010475-0.00020686i
0.0030912+0.0018944i,0.0037398+0.00096764i,0.0028483-0.00020104i,0.0014935-0.0013776i,0.0012306-0.0026372i,0.00033126-0.0029084i,-0.00083167-0.0022362i,-0.00037722-0.0010477i,0.00018715-0.00036701i,1.0688e-05+0.00035296i,-0.00023967+0.00068684i,-0.00026826+0.00063331i,-0.00074067+0.00095888i,-0.0014308+0.00058642i,-0.00061223+0.00044092i,-0.00049027+0.00079363i,-0.00082072+0.00074051i,-0.000827-2.9897e-05i,-0.00063543-0.00068345i,1.3327e-05+7.2718e-05i,8.9795e-05+0.00078384i,-0.00036148+0.0004271i,-0.00038822+0.00054582i
-0.00040757+8.7099e-05i,-0.00044754-0.00023198i,0.00045665-6.4466e-06i,0.00034934-0.00050078i,-0.00021261-0.0011382i,-0.00035382-0.0013576i,6.8686e-05-0.0011773i,0.001101-0.00071753i,0.0010739-0.00030082i,-0.00010977+0.00010343i,-0.0012024+0.00042015i,-0.0009478+0.00017574i,-0.00026807-0.00028724i,0.00030414-4.0822e-05i,0.00031441+0.00024067i,0.00064241+0.0013075i,0.00030108+0.0013426i,-0.00020848+0.00030951i,0.00014442+5.4723e-05i,0.0003435+0.0005991i,-0.00015672+0.00082949i,-0.00044344+9.8339e-05i,-0.00053049-0.00086155i
0.0020527-0.00017048i,0.0017347-0.00061512i,0.0016164-0.0016466i,0.00079987-0.0015857i,-0.00057311-0.0023996i,-0.00099132-0.0026238i,-0.00099881-0.0016033i,-0.0005019-0.00030955i,-0.00024481+0.00012184i,-0.00067311-7.0789e-05i,-0.00081517-0.00015678i,-0.00065106-0.0005207i,-9.2557e-05-0.00050956i,0.0001835-0.00025326i,0.00040535-0.0010324i,0.00093323-0.0013727i,0.00031039-0.00078755i,-0.00064827-0.00038542i,-0.00099993-0.00041669i,-0.00098033-0.00038144i,-0.00039176-0.00087146i,-0.00054396-0.00097354i,-0.0011077-0.00036017i
-0.0021783-0.00014068i,-0.0019415+0.0005627i,-0.0016414+0.00079742i,-0.0013848-8.6339e-05i,-0.001934-0.0013486i,-0.0015289-0.0017359i,-0.00011218-0.00035488i,0.00011895+0.0010322i,-0.00073247+0.0013345i,-0.0011908+0.00077402i,-0.00098299+0.00011505i,-0.0010497+1.3064e-05i,-0.0006803-0.00053817i,0.00011149-0.00079758i,0.00044803-0.00043941i,0.00040491-0.00023228i,0.00054555-0.00046735i,0.00015683-0.00041198i,-0.00041564-0.0001166i,-0.00025937-0.00050498i,-0.0001023-0.00020029i,-0.00041798+0.00014996i,-0.00090449-6.1952e-05i
0.0020328-0.001307i,0.0014858-0.0021616i,0.0014195-0.0020348i,0.0015657-0.0024296i,0.0008447-0.0028906i,-9.6083e-06-0.0024632i,-0.00053893-0.0015341i,-0.00042285-0.00069018i,7.3309e-06-0.00033714i,0.00018838+0.00010624i,0.00038817+0.00017973i,0.00063903-0.00037919i,0.00011391+0.00066169i,0.00033963+0.0013724i,0.00059263+0.00086989i,-7.075e-05-0.00044454i,-0.00017296-0.001097i,0.00023349-0.00011555i,0.00073588+0.00018097i,0.00083651+0.00030351i,0.00016241+0.00088064i,-0.0002333+0.0004413i,0.00014896+0.00041579i
0.0016528+6.2612e-05i,0.0012845-0.00093489i,0.00058051-0.0018142i,-0.00082997-0.0019428i,-0.0010989-0.0016825i,-0.00060655-0.0016166i,-0.00025331-0.0013918i,-0.00044763-0.00085611i,-0.00047262-0.00045531i,-0.00072544-0.00036025i,-0.0012629+0.00024673i,-0.001385+0.00038289i,-0.00089686-0.0001362i,9.8972e-05-0.00090517i,0.0012749-0.00055076i,0.001114+0.00069785i,-0.00014803+0.00048033i,-0.0002733-9.4275e-06i,-0.00031632+7.9234e-05i,-0.00023091+8.4279e-06i,0.00051345+0.00014644i,0.00050317+6.9377e-05i,0.00016364-0.00015289i
-0.00048553-0.0022818i,-0.001301-0.0026937i,-0.00072965-0.0015126i,-0.00044071-0.0011124i,-6.9466e-05-0.0015481i,-3.2491e-05-0.0014278i,3.5173e-05-0.0004644i,-1.0961e-05+0.00033483i,-0.00038306+0.00036661i,-4.473e-05+0.00022381i,0.00019165+0.00065527i,0.00037737+0.0008928i,0.00093157+0.00060085i,0.0010896+0.00015982i,0.0003144+0.00052848i,0.00010367+0.00054128i,-2.0581e-05+0.00029561i,-0.0001536+4.8749e-05i,-0.00031565-1.823e-05i,-0.00067004-0.00060855i,-0.00053274-0.0010787i,0.00020544-0.00057465i,0.0003273+0.00051741i
0.0015812+0.0020369i,0.0027289+0.0025065i,0.0017908+0.0010812i,0.00091259-0.0011482i,0.0003822-0.0021024i,-0.00042735-0.0018017i,-0.00021563-0.0010372i,0.00032975-0.00068537i,0.0001218-0.00067308i,0.00012048-0.00074874i,0.00013923-0.00093107i,-0.00019083-0.00036451i,0.0003056-0.00024122i,0.00054693+0.00039842i,0.00043112+0.0010388i,0.00034575+0.00026386i,-4.3413e-06-0.00050564i,0.00052348-0.00041513i,0.00039847-0.00029558i,-0.00063265-0.00058889i,-0.0003086+0.00023182i,-3.5669e-05+0.00058714i,-0.000169+0.00021731i
0.00057555-0.00012822i,0.00019108-0.00099802i,-0.00044371-0.0015745i,-0.000119-0.0013145i,0.00033165-0.0020623i,0.0011046-0.0032915i,0.00088967-0.0021787i,-0.00039043-0.00013587i,-0.00061205+0.00089086i,-0.00016538+0.00090205i,-0.00062406+0.00046951i,-0.0014932+0.00059178i,-0.00098518+0.00034186i,-0.00078117+0.00043277i,-0.00087864+0.00098871i,-0.00091707+0.00037272i,-0.00051725-0.00091121i,0.00065878-0.0010749i,0.00075098-0.00038259i,0.00070555-0.00027747i,0.00021187-0.00027135i,-0.00080017-0.00038437i,-0.0008863-0.00048976i
