-0.0032716+0.00019657i,-0.0027645-3.968e-05i,-0.0024879+0.00071044i,-0.0016713+0.001519i,-0.00055024+0.0022394i,-0.00049606+0.0022832i,-0.0010258+0.0018278i,-0.00070143+0.0011324i,-0.00098483+0.00077384i,-0.00045762+0.00091101i,0.00095987+0.00044012i,7.5622e-05+4.5929e-05i,-0.0014535+0.0002603i,-0.0021621-0.00018532i,-0.0019978-0.00063653i,-0.00041082-0.00088349i,0.00064632-0.00080068i,0.00072902-0.0010808i,0.00031762-0.0009482i,-6.4439e-05-0.00058481i,0.00031435-0.0010955i,0.00011682-0.0011708i,-0.00057309-0.00025509i
-0.0029166+0.00077619i,-0.0030701+0.0020053i,-0.0030979+0.0025674i,-0.0021418+0.0023036i,-0.00073415+0.00064928i,2.4885e-05-0.00099041i,0.0010431-0.001789i,0.0010254-0.0013469i,0.00049408-0.00043629i,0.00047375+9.8549e-05i,0.00080831+0.00033037i,0.00035334+0.00053984i,-0.0006792-0.00017478i,-0.0011177-0.0004282i,-0.00048551+0.00026995i,-9.0627e-05+0.0004247i,0.00038462+0.0003647i,0.0011728+0.0001709i,0.00079949+0.0003373i,-0.00032069+0.00018854i,-0.00062252-0.00061996i,-0.00045328-0.00068064i,5.8161e-05-0.0008946i
0.0010114-0.00036934i,0.0014072-0.00020926i,0.0013523+0.00067159i,0.00098191+0.00030784i,0.0001765-0.00057036i,-6.6399e-05-0.0011123i,-0.00036806-0.0016308i,-0.00063771-0.00091122i,-0.00035865-0.00039558i,6.6595e-05-0.00026866i,0.00019279-0.00019897i,-1.369e-05+0.00028367i,-0.0002187+0.00069501i,-0.00016544-0.00020713i,-0.00039781-0.00049891i,-0.00021559+0.00027336i,0.00062733+0.00093815i,0.00056516+0.00027811i,0.00041366-0.00080793i,0.00099441-0.00025926i,0.00066917+0.00010698i,-0.00019178+0.00025418i,-0.00074707+0.00073088i
-0.0012046+0.00070257i,-0.00097774+0.00079352i,-0.00055592+0.00060596i,-0.00051411-1.3304e-05i,-0.00028509-0.0009905i,-0.00060855-0.0015031i,-0.0012864-0.00069989i,-0.00092909-0.00039512i,-0.00074559-0.0010832i,-0.00081496-0.0013479i,-0.00052048-9.1948e-05i,-0.00052262+0.00070638i,-0.00021462+0.0001007i,-2.247e-05-0.00010849i,0.00029804+0.00029104i,0.0008317+0.00039791i,0.000723+0.00081138i,0.00064162+0.00054925i,0.00090654+0.00015513i,0.00056823+0.00057812i,0.00014789+5.7529e-05i,-7.6597e-05-0.00033864i,-0.00013161-7.7039e-05i
0.0014908-0.00095112i,0.00084739-0.0025882i,5.3348e-05-0.002653i,-0.0016699-0.0016318i,-0.0020626-0.0012606i,-0.0019228-0.0011337i,-0.0012022-0.0013472i,-0.00021412-0.0010962i,0.00016011-0.00049448i,-8.2412e-05-0.00023876i,-0.00041735-4.5531e-05i,0.00017068-0.00019942i,0.0003121-3.0793e-05i,0.00027659+0.00011915i,0.0006295-0.00021235i,0.0010812-8.5999e-05i,0.00081395+0.00017844i,-0.00016519+0.00039479i,-0.0004874-0.00019911i,-0.00028832-0.00073652i,0.00039661-1.0627e-05i,0.00073345+0.00043228i,0.00020292+0.00025236i
-0.0003159-0.00027064i,0.00081352+0.00093906i,0.00041628+0.0014171i,0.00014362+8.7297e-05i,1.4359e-05-0.00080937i,-0.0012075-0.0015826i,-0.0017169-0.0020985i,-0.0010363-0.0016097i,-0.00077738-0.00062329i,-0.00035191+0.00068248i,0.00048907+0.0012536i,0.00066141+0.00080928i,0.00080618+0.00034286i,0.00013768+0.00042396i,-0.00042329+0.00023228i,0.0001441+5.8797e-05i,0.00011706-9.0003e-05i,-0.00056398+0.00013738i,-0.00026227+0.00036655i,0.00036073+0.00035374i,0.00056642+0.00018247i,0.0004833-3.7231e-06i,0.00027485+0.00014495i
0.001255-9.1052e-05i,0.00079977-0.0018491i,1.4894e-05-0.0025404i,-0.00047454-0.0019241i,-0.00071152-0.0010084i,-0.0011861-0.00052916i,-0.0012291-0.00065714i,-0.00046847-0.00083448i,0.00016386-0.00029375i,0.00030898+0.0007905i,0.00021664+0.0014103i,-0.00026054+0.0009432i,-2.9943e-05+0.00023125i,0.00053547-0.00022078i,0.0001478-4.9748e-05i,-0.0002145+0.0009996i,-0.00027689+0.0015539i,-0.00015062+0.0010638i,0.00037499+9.3066e-05i,-1.6858e-05-0.00027445i,-0.00044068+3.9594e-05i,-0.00066474+0.00036156i,-4.3212e-05+2.7307e-05i
-0.0016807+0.00028465i,-0.00091916-0.00057471i,-0.00067608-0.00013735i,-0.00038504+0.00020358i,0.00066153-0.0012601i,0.0014373-0.0022016i,0.00053352-0.0018761i,9.5068e-05-0.0013606i,0.0006118-0.00012429i,0.00024878+0.00076759i,-0.00018992+0.00083511i,-0.00066108+0.00064215i,-0.00070122+0.00029884i,-0.00088422-0.00020605i,-0.0013336-0.00061372i,-0.0010087-0.00036148i,-0.00080702-0.00017718i,-0.0005955+0.00030216i,7.864e-05+0.00057497i,0.00012135-0.0007065i,-0.00031724-0.00076906i,-1.0719e-05+0.00018666i,7.9364e-05+0.00043702i
0.00033513-0.00053472i,-0.00040271-0.00050875i,-0.00065116-0.00054336i,-0.0010138-0.00074034i,-0.0012254-0.00075656i,-0.00054882-0.0012166i,-0.00041442-0.0016706i,-0.0013023-0.00098987i,-0.0014501-0.00074798i,-0.00056751-0.00047031i,-0.0008583+0.00062128i,-0.0012272+0.0014825i,-0.00063499+0.0008597i,-7.1469e-06-1.639e-05i,0.00054939-0.00024076i,0.00098182+4.8826e-05i,0.0010629+0.00084783i,0.00097909+0.00079159i,0.00030262-3.0354e-05i,-0.00041253+0.00010581i,-0.00082393+0.0003295i,-0.00085818-0.00037237i,-0.00064998-0.00028386i
-0.0011867+0.00045025i,0.00030817-0.00052227i,0.00066618-0.00068181i,-0.00048055-0.0007169i,-0.00092616-0.0018746i,-0.001366-0.0028049i,-0.0015316-0.0018757i,-0.00084909-0.00062811i,0.00017762-0.00016259i,0.0002873-3.5386e-05i,5.8492e-05+0.00011763i,0.00061307-0.00017035i,0.00049537-7.1879e-05i,-0.00040368+0.00046587i,-0.00029929+0.00058691i,-0.00033906+6.4762e-05i,-0.00037855-0.00020915i,0.00047421+0.00039029i,0.00049881+0.0011842i,0.00018642+0.0006394i,0.00026862-0.0005967i,-8.3096e-05-0.00094796i,-0.00052999-0.00022135i
0.0015902-0.0008202i,0.0012353-0.001276i,0.00085564-0.0011493i,2.3269e-05-0.0012131i,-0.00095205-0.0010105i,-0.001498-0.00077222i,-0.00094433-0.00089872i,-0.00041741-0.0011367i,-7.3968e-05-0.0018036i,0.00036923-0.001286i,0.0007269-0.00044659i,0.0011662-0.00030036i,0.00088783+0.00068541i,4.2781e-05+0.0012463i,-0.00084557+0.00052349i,-0.001224+0.00026994i,-0.0011193+0.00025717i,-0.0008954-0.00016007i,-0.00026525-0.00056335i,4.6995e-05-0.0002379i,-0.00021768-0.00071126i,0.00017718-0.0010061i,0.00082922-0.00052915i
0.00052021-0.0012496i,-0.0008726-0.001087i,-0.0016983-0.0017882i,-0.0020095-0.0022981i,-0.0024724-0.001947i,-0.0014424-0.001513i,3.8129e-05-0.0019872i,0.00056998-0.0014155i,-4.5124e-05-0.00016297i,-0.00035656+0.00032221i,-0.00023101+0.00037581i,7.6047e-05+0.0010432i,-0.00015683+0.0011461i,-0.00033078+0.00027959i,-0.00021501+0.00048827i,-0.00014051+0.0012667i,-0.0003403+0.00129i,-0.00024312+0.00091216i,0.00061648+0.00040829i,0.00064699-0.00010829i,0.00032453+0.00027972i,-0.0002737+0.00069597i,-0.00077739+0.00021609i
0.00032981-0.00078905i,-0.00052998-7.4114e-05i,-0.00050853+0.00050965i,-0.00016184+0.00034381i,-9.6216e-05-0.00030194i,-0.00088645-0.00021252i,-0.001616+0.00031536i,-0.00083603+0.00033817i,-0.00027116+0.00053172i,-0.00029009-5.8496e-05i,-9.5977e-06-9.9656e-05i,-0.00020269+3.4634e-05i,-0.00068606+0.00017833i,-0.00016682-8.4999e-05i,0.00048393-0.00022053i,0.0001314+0.00046891i,0.00060524-5.848e-06i,0.00077913-0.00067498i,-0.00039877-0.00038078i,-0.0012126+0.00037344i,-0.00047361+0.00017292i,0.00034288+0.00013285i,0.00013594+0.00059906i
0.00032437-9.6204e-05i,0.00016646-0.00025074i,-0.00013376-0.0013051i,-0.00090886-0.0018149i,-0.001114-0.0016155i,-0.00047387-0.0015079i,7.9012e-05-0.00079518i,-0.00023859-0.00034012i,-0.00063768-0.00070344i,0.00010675-0.00058894i,0.00069838+0.00012362i,0.00032533+0.00013401i,-0.00060657-0.00040216i,-0.001039-1.7521e-05i,-0.00089285+0.00084069i,-0.00025841+0.00031674i,-0.0004858-0.00037822i,-0.00026558-0.00076198i,0.0008442-0.00065486i,0.00074559-0.00024513i,-0.00068505-0.00016998i,-0.00088488-0.00015214i,-0.0003523+0.00021772i
-0.0012274-0.00056627i,-0.001935-0.00059605i,-0.0020883-0.00042594i,-0.0016219+0.00071283i,-0.00078401+0.00062782i,0.00033336-0.001062i,0.00011857-0.0018221i,8.6423e-05-0.0011092i,-0.00037797-3.2979e-05i,-0.00082617+0.00020255i,-0.00063581+0.00018572i,-0.00024744+0.00062942i,-0.00020475+0.00024873i,-0.00059787-0.00069442i,-0.00011886-0.00055468i,0.00073051-0.00026424i,0.00057321-0.00024856i,-0.00039787-0.00043548i,-0.00061864-0.00033338i,-0.00026101-0.00047556i,0.00012152+6.5301e-05i,0.00058682+0.00070985i,0.00051974+2.4002e-05i
-0.00060827+0.0013362i,-0.00042065+0.0024292i,-0.00024885+0.0018448i,-0.00082471-0.00028182i,-0.0013898-0.001696i,-0.0014267-0.0018297i,-0.001652-0.0023076i,-0.0012693-0.0017129i,-0.00050499-0.00044339i,-0.00033109-3.917e-05i,-5.0868e-05+0.0010695i,2.0089e-05+0.00152i,-0.0003495+0.00035585i,-0.00082221-0.00026721i,-0.00050511-0.00012181i,0.00010449-0.00015334i,0.00031327-7.3673e-05i,0.00010223-1.6113e-05i,-0.00060193-0.00033271i,-0.00075608-0.00019589i,-0.00054367+0.00028147i,-0.00033064+0.00035949i,0.00072618+0.0002109i
0.0022452-0.0015348i,0.0015483-0.0023809i,-6.5544e-05-0.0030176i,-0.00064738-0.0025517i,-0.0010249-0.0015801i,-0.0013355-0.00085771i,-0.00070122-0.00062068i,8.8173e-06-0.00055962i,0.00032923+0.00017819i,0.00031702+0.00087758i,0.0005635+0.00098105i,0.00061896+0.00064189i,0.00022924+1.8749e-06i,-3.88e-05-0.00022592i,0.00036352-2.4557e-05i,0.00074457+0.00093973i,0.00061971+0.0015419i,0.00031153+0.0007521i,0.00035568+0.00011602i,0.00061223+0.00012384i,0.00080531+0.00031291i,4.5149e-05+0.00058417i,-0.00047069+0.00063045i
0.0015428+0.0014925i,0.0010476+0.0011899i,0.0014814+0.0011451i,0.0014753+9.7726e-05i,-0.00020367-0.0016482i,-0.0014775-0.0027521i,-0.00090552-0.0024569i,-2.0874e-05-0.00087377i,-5.1928e-05+9.1727e-05i,-0.00022289+0.00033954i,0.00027086+0.00069541i,0.0012076+0.00057988i,0.0013001+0.00012844i,0.0002987+0.00016999i,-0.00038165+0.00024054i,-0.00013427+0.00021022i,-0.0003642+0.00014597i,-0.00031686+0.00035018i,0.00023025+0.00015917i,0.00065138-1.5584e-05i,0.001023+0.00026368i,0.00078883+0.00037084i,0.0005924+0.00018669i
