0.00048956+0.0012843i,0.00069997+0.00016575i,0.00026817-8.4981e-05i,-0.0008038+0.0003861i,-0.0010778+0.00060714i,-0.00059245+0.0016898i,-8.6686e-05+0.0025102i,0.00081947+0.0016165i,0.0013674+0.00052945i,0.00045026-0.00038007i,0.00020739-0.0014414i,0.0013374-0.0013533i,0.00077378-0.0001499i,-0.00024542-0.00053904i,0.00091146-0.001654i,0.0011555-0.0011816i,0.00055747+0.00017558i,0.00016478+0.00086615i,-0.00017474+0.00039234i,0.00039126-0.00047318i,0.00093954-0.00070766i,0.00085473-0.00039378i,0.00069879-0.00026192i
0.00094337+4.2885e-05i,0.00099465-0.00070051i,0.0013075-0.0016898i,0.00042636-0.0017755i,-0.0010588-0.0013506i,-0.0004896-0.00066119i,0.00040489-0.00016672i,0.00032639+0.00036359i,1.6286e-05-0.00022215i,8.3279e-05-0.0012766i,-5.4669e-05-0.00084448i,0.00055605-0.00030073i,0.0019174+0.0002201i,0.001532+4.6577e-05i,0.0011564-9.9993e-05i,0.0013594+8.6409e-05i,0.00098025+8.2676e-05i,8.1892e-06-3.9079e-05i,-0.00010516-0.00037605i,0.0003364-0.00095831i,0.00082903-0.00074676i,0.00072147-0.0008035i,5.8517e-05-0.00067424i
-0.00041686+0.00039191i,-0.00012756+0.0010435i,0.00012168+0.0018483i,0.00030282+0.0017086i,-0.00029204+0.0019423i,-0.00043432+0.0014967i,-0.00020658-0.00033634i,0.00042646-0.0013427i,0.0004098-0.00023679i,6.6713e-05+0.00052794i,-2.9394e-05-0.00024511i,0.00025448-0.0011846i,0.00035984-0.00049872i,0.00030478+0.00061317i,0.00027766+0.00059477i,0.0003983-0.00023372i,0.00055022-0.0010277i,0.00064981-0.00030909i,0.00044894+1.756e-05i,0.0003266+0.00016389i,-0.00013161+1.144e-05i,-0.00038246-0.00047545i,-0.00024372-0.00019727i
0.0014744+0.00060424i,0.0012947+0.00019036i,0.0014336-0.0011221i,0.00081738-0.0023065i,-0.00038929-0.0015812i,-0.0012021-0.00020803i,-0.0010342+0.00050077i,-0.0006928+0.00040259i,-0.00069868-0.00029041i,-0.00049788-0.00039814i,-0.00051931+0.00030856i,-0.00071744+0.0002178i,-0.00014881-0.00012008i,0.0011973+0.00065028i,0.00099444+0.00052389i,0.00014359+4.7186e-05i,0.00046639+0.00073496i,0.00077018+0.0007381i,0.0008454-6.5229e-05i,0.0012097-0.00023594i,0.0010434+0.00011236i,0.00029888+0.00055122i,0.00015314+3.107e-05i
-0.0015682+9.3522e-05i,-0.0016693+0.00063681i,-0.0012099+0.0010147i,-0.00093451+0.00092451i,-0.00097224+0.00098838i,-0.00043162+0.00083743i,-0.00011368+0.0004671i,-0.0001869+0.00022387i,0.00016985+0.00012734i,0.00015186+0.00014284i,-0.00020623+0.00020665i,-0.00032513+0.0004157i,1.3365e-05+0.00043293i,0.00027358+1.2079e-05i,0.00037603+0.00028429i,-1.1245e-05+0.00073947i,-2.8093e-05+0.00043071i,0.00044441-0.00018688i,0.00014398+0.00010344i,-0.00027659+0.00087274i,-7.4301e-05+0.00061756i,-0.00022579-0.00035826i,0.00040335-0.00091752i
0.0030113-8.0142e-05i,0.0021712-0.0011955i,0.00096405-0.002233i,0.00010078-0.0018065i,-0.0003593-0.0012354i,-1.4493e-05-0.0010578i,-0.00020064-0.00059622i,-0.0006702-0.00072326i,-0.00039361-0.0010323i,0.00031099-0.00090526i,9.141e-05-0.00015443i,-0.00075234-0.00016284i,-0.00072857-0.00024588i,-0.00018767-0.00053628i,-0.0002776-0.00052498i,-0.00047542+0.00040612i,0.00026533+0.00049942i,0.00054764-6.0479e-05i,0.00018192-0.00010878i,0.00016839+0.00033323i,-0.00015593+9.8459e-05i,-0.00016172+0.00017312i,0.00024997-7.9434e-05i
-0.0007834-0.0010471i,-7.3401e-05+6.2849e-06i,-0.00013526+0.0007659i,-6.3688e-05+0.00069823i,-0.00067604-2.8761e-05i,-0.00033289+0.00031223i,0.00085898+0.00044846i,0.0007397-0.00059579i,0.00011553-0.0008367i,-0.00084232+4.5285e-05i,-0.0010731+0.00015383i,9.7407e-05+2.4625e-06i,0.00067641+5.4731e-05i,0.0005445-0.00010094i,0.0001842-7.4144e-05i,8.228e-05-0.00033194i,0.00052305+0.00022311i,0.00057151+0.00014595i,0.00048837-0.00047655i,0.00027104-8.067e-05i,4.262e-05+0.00042949i,0.00037736+0.00035311i,0.00028292+0.00012915i
0.00062926+0.0028627i,0.0010536+0.0017359i,0.0016752+0.0013575i,0.0022515+0.00043307i,0.0017687-0.00016881i,-0.00021743-0.00024257i,-0.00086491-0.00068103i,-0.00053239-0.00075295i,-0.0004431-0.00027955i,0.0001183+0.0001887i,0.00027973-0.00036444i,-3.2753e-05-0.00096914i,-0.00023267-0.00032376i,-0.00016219+0.00028277i,2.5503e-05+0.00021439i,-2.5194e-05-6.7566e-05i,-0.00016429+7.5058e-05i,-0.00027274+0.00015576i,0.00026717+0.00042575i,0.00050265+0.00062519i,0.00040888+0.00020733i,0.00021028-2.7499e-05i,-0.00034317+0.00018998i
0.00021576+0.0017335i,0.00063739+0.0012752i,0.00077386+0.00098413i,0.00086424+7.3875e-05i,0.00050779-0.00095088i,-0.00041814-0.0010326i,-0.0014866-0.00014057i,-0.0014545+0.00038046i,-0.00077019+0.00080677i,-0.00037249+0.001041i,-0.00068172+0.0010026i,-0.00039845+0.00033568i,0.00039956+0.00018062i,-0.00039238+0.00081508i,-0.0010085+0.001165i,-0.00048714+0.00034415i,-0.00020873-0.00037163i,-0.00025838-0.00091869i,-0.00013276-0.0014835i,-0.0005607-0.00082405i,-0.00069132+0.00026744i,5.3944e-05+0.00053358i,0.00018692+0.00017962i
-0.00030621+0.0021235i,0.00051983+0.0025606i,0.00093652+0.0015038i,0.0017154-9.6538e-05i,0.0012784-0.00047147i,0.00061556-4.1135e-05i,0.00067702+5.5084e-05i,0.00044511+0.00024669i,0.00017909+0.00030013i,0.0001905-0.00027625i,0.00062188-0.00066842i,0.0008117-0.00042592i,0.00026523-0.00034806i,-0.00016591+0.00022736i,-0.00014385+0.0002984i,-6.9905e-05+0.00015995i,0.00022811+0.00044876i,0.00048744+0.00062119i,0.00036419+6.3174e-06i,0.00050426-0.00059761i,0.001028-0.00013193i,0.00068257-0.00060484i,-0.00015741-0.0010705i
0.0005083-0.00014508i,-0.00020613-0.0011485i,0.00030519-0.0012103i,0.0004428-0.00055578i,-0.00024469-0.00047734i,-0.00031026+0.00012092i,-0.00047672+0.00055619i,-0.00078507+1.1296e-05i,-0.00052008-0.00013294i,-0.00041218-0.0003114i,-0.00048852-0.00083267i,-0.0008692-0.00077286i,-0.00041408-4.9035e-05i,0.0004626+6.7153e-06i,0.00085057-8.4871e-05i,0.0012035+2.766e-05i,0.00079002-9.5369e-05i,-0.00013545+0.00027999i,-0.00021551+0.00076264i,0.00012582-7.466e-05i,0.00035956-0.00047741i,0.00053192-0.00014928i,0.00095154+9.0806e-05i
