-0.00041628+0.0012528i,-0.00012484+0.00094658i,-0.0013319+0.00046817i,-0.0022483+0.00039937i,-0.0016511+0.0010053i,-0.00020731+0.0014705i,0.00050384+0.0019517i,0.00010079+0.0019779i,-4.9533e-05+0.00129i,0.0003562+0.0006155i,0.00092804-2.6915e-05i,0.00045814-0.0013879i,-9.4412e-05-0.0018939i,-2.9415e-05-0.00077029i,0.00016935+0.00029677i,0.00030269+0.00048458i,0.00025063+0.00084655i,8.9864e-05+0.00065016i,0.00013414+0.00066931i,-0.00042166-0.00027753i,-0.00064676-0.001194i,0.00018917-0.0002785i,0.00047666-8.388e-05i
0.0018112+0.00037993i,0.0024174-0.0007442i,0.0028212-0.0022391i,0.0011167-0.0031949i,-0.00063874-0.0032434i,-0.0015181-0.0025116i,-0.00086521-0.00084698i,0.00024881+0.00072296i,-3.3055e-05+0.00027328i,-0.00029147-0.00050301i,-0.00039858+0.00028636i,-9.4881e-05+0.00078278i,0.00016327+0.00013007i,-0.00023003-0.00031467i,-0.00073569-0.0001552i,-0.0015509+0.00044442i,-0.001207+8.3285e-05i,0.0002918-0.0001645i,0.00087135+0.00045935i,0.00037742+0.00045384i,-0.00013411+0.00013858i,-2.4925e-05-0.00022869i,0.00044149-0.00034155i
0.0026619-0.00083318i,0.0017743-0.00047447i,-0.00038229-0.00019293i,-0.0013944-0.00064677i,-0.00099548-0.00068914i,-0.00014593+0.00061616i,0.00030789+0.0009079i,0.0004245+0.00077809i,0.00057761+7.4309e-05i,-0.00024702-2.9e-05i,-0.00049477+0.0010815i,-0.00021733+0.0015756i,-0.00074874+0.001381i,-0.00032473+0.0011101i,0.00039441+0.0008194i,0.0001805+0.00029061i,-0.0004082-0.00015651i,-0.00072637-0.00071083i,-0.00067188-0.00086093i,-0.00057581-0.00052213i,0.00013275-0.00026935i,3.2816e-05-0.00028767i,-0.00041176-0.00049313i
0.00019768-0.00038923i,-0.00082585-0.00025089i,-0.0018648-0.0017766i,-0.0027113-0.0032141i,-0.0026579-0.0022396i,-0.0021961-0.00047983i,-0.0012766+0.00092101i,-0.00025025+0.00065275i,0.0002135-0.00019594i,0.00032691-0.000241i,0.00055909-0.00022822i,0.00052289-0.00036332i,0.00051342-0.00013279i,0.00023053+0.0003905i,-0.00059304+0.00073691i,-0.00090082+0.00046091i,-0.0004169+0.00014222i,0.00057476+6.2462e-06i,0.00097021+0.00047445i,0.00054575+0.00060883i,0.00058468+7.3119e-05i,0.00031197-8.9792e-05i,-0.00076818+0.0004625i
9.7629e-05-0.0012513i,0.00051563-0.0014196i,0.00044834-0.0021393i,-0.00070124-0.0016466i,-0.0014741+0.00021167i,-0.0011614+0.0011412i,-6.4164e-05+0.0013526i,-7.1422e-06+0.0010736i,-3.7289e-05+0.00017995i,-0.00015506-0.00048698i,-0.00016212-0.00013769i,0.00077237+0.000186i,0.001072+2.2558e-06i,0.00055096-6.4869e-06i,0.00037937+0.0004169i,-0.0001518+0.00036127i,-0.0010464-0.00026104i,-0.00054053-0.00032431i,0.00024766-0.00049114i,7.2383e-05-0.00041106i,-9.9007e-05+0.00029329i,0.00012412+0.0007172i,-4.9634e-05+0.00022486i
-0.0010399+0.0011161i,-0.00018728+0.0014455i,-0.00020964+0.00085108i,-0.00035205+1.9542e-05i,-0.00036262+2.3032e-05i,0.00016987-0.00021274i,7.2332e-05-0.00082203i,-0.00020494-0.00073316i,-0.00015248-1.6125e-05i,-0.00022771+0.00033527i,0.00055814+2.5307e-05i,0.00059313-8.4231e-05i,5.964e-05-0.0008112i,-0.00034722-0.0013155i,-7.7401e-05-0.00061805i,0.00037438-0.00030252i,0.00026328-0.00067513i,0.00027755-0.00040128i,-0.00058086+0.00027849i,-0.001173-7.303e-05i,-0.00086735-0.0012334i,-0.00013894-0.0013543i,5.6013e-05-0.00071282i
-0.00081256-0.00031209i,-0.00053333-0.00077042i,0.0013005-0.0013703i,0.0018745-0.0012489i,0.00042153-0.0010543i,-6.5045e-05-0.00047789i,0.00020908-3.7256e-05i,3.8325e-06-0.00074822i,0.00012168-0.00084951i,0.00056865-0.00073862i,0.00052487-0.00051944i,0.00023162+0.00058142i,-0.00045895+0.0010674i,-8.7925e-05+0.00047745i,0.0011547+0.00044942i,0.00066564+0.00021714i,-0.00070512-0.00034348i,-0.00097496-0.00036796i,-7.9809e-05+0.00026391i,0.00059394+0.00086072i,0.00033954+0.0004494i,0.00042515+7.7882e-05i,0.00043245+0.00044381i
0.0015367+0.00037845i,0.00016364-0.00092007i,-0.00056984-0.0022691i,-0.0012057-0.0024933i,-0.0015056-0.0012633i,-0.001306+0.00037734i,-0.00048555+0.00066549i,-0.00024128+4.2149e-05i,-0.00037877-0.00053548i,-5.3357e-05-0.00097029i,-0.00042152-0.0013237i,-0.00051195-0.0010939i,-0.00036742-0.0010842i,-0.0011242-0.00049086i,-0.0011982+0.00013118i,-0.00066275+8.5984e-05i,-0.00017498-0.00016852i,0.00028299-0.00053361i,0.00078302-0.0002317i,0.00065928+6.2499e-06i,-2.3543e-05-0.00049212i,-0.00025758-0.00088769i,0.00013355-0.00014093i
-0.00069688-6.1147e-05i,-3.579e-05+0.00082629i,0.00020411+0.00075666i,0.0005546-0.00053735i,0.0009672-0.0012628i,0.00049842-0.00084801i,0.00030388-0.00022942i,0.00079254-0.0005004i,0.0008842-0.0010087i,4.6307e-05-0.00082542i,-0.00063972-0.00015106i,-0.00060335+0.00032427i,-0.00010069+0.00029808i,-0.0001696+0.00014719i,-0.0003943-8.2216e-05i,-0.00060598-0.00060711i,-0.00014813-0.00096126i,0.00029974-0.00052616i,0.00045735+5.9548e-08i,0.000438+0.00045713i,0.00081839+3.8333e-05i,0.0006099-0.00031255i,-0.00029119+9.0913e-05i
0.00084661+0.00073021i,0.00057384-0.00044944i,0.00050396-0.0026478i,-0.00040088-0.0036608i,-0.0021732-0.0023534i,-0.0028834-0.00044861i,-0.0015233-0.00018153i,-0.0002771+0.0004856i,3.0289e-05+0.00064734i,-0.00040663-0.00021916i,-0.0010514-0.00026294i,-0.00091186+8.9255e-05i,-0.00088738-0.00047267i,-0.00075908-0.00015951i,-0.00030212+0.00071758i,0.00039338-9.7215e-05i,0.00061651-0.00037447i,-8.6542e-05+0.0002548i,0.00043949+0.00026137i,0.00020468+0.00063591i,-0.00037837+0.00037809i,8.8779e-05-0.00010457i,0.00010592+0.00047386i
0.0013815-0.00058368i,0.0018069+0.00010758i,0.0017326+0.00014073i,0.0008936-0.00018215i,-7.6287e-05-0.00086013i,-0.00059419-0.00070504i,-0.00078893+0.00012706i,-0.00060614-0.00015332i,-0.00045833-0.00025468i,-0.00040024+0.0004398i,-0.00075737+0.00017833i,-0.00038912-0.00016357i,2.5656e-05+0.0002158i,-0.0011022+0.00013708i,-0.00095536+0.00032021i,-0.00035104+0.00043184i,-0.00057963+0.00064852i,-0.00084663+0.00089785i,-0.00022092+0.00030085i,0.00067111-0.00075266i,0.00067015-0.00074733i,8.0856e-05-0.00016689i,-5.7422e-05+5.0252e-06i
0.001087+0.00013425i,0.00091448-0.00077658i,0.00084882-0.0019121i,-0.00018573-0.0021604i,-0.00070601-0.00089932i,-0.00076902+0.00030917i,-0.00052332+0.00087986i,6.4754e-05+0.00061622i,0.00089512-0.00050765i,0.001119-0.0015335i,0.00036309-0.00098439i,0.00013881-0.0004641i,0.00039748-0.00013156i,-9.0728e-05+0.00018679i,-0.00036044+0.0003033i,-0.00017047+0.00057194i,-0.00021449+0.00085383i,-0.00057691+0.00051542i,-0.00045433+0.00029287i,1.2828e-05+0.00049425i,-0.00059885+0.00022753i,-0.00071674-0.00037568i,0.00018337-0.00021478i
-0.00046183-2.7254e-05i,-0.0013765-0.00058412i,-0.001952-0.00071622i,-0.0017907-5.4876e-05i,-0.00093892+0.00049587i,0.00031967+0.00084761i,0.00050151+0.00057121i,-5.1502e-05+0.00062108i,5.214e-05+0.00031313i,0.00055178-2.1235e-05i,0.00043899+0.00012339i,0.00018067-5.483e-05i,-0.00034292-0.00026984i,-0.00031746-0.00050859i,1.1813e-05-0.00089192i,0.00037616-0.00079449i,-9.7734e-05-0.00029017i,-0.00016459+0.00011706i,0.00049973+0.00032997i,0.0002626+3.1096e-06i,0.00019021-0.00018797i,0.00046608+0.00013039i,-0.00032222-3.2201e-05i
0.00085002-0.0011723i,0.0001685-0.00052772i,-0.00048349-0.0011441i,-0.0007562-0.0014359i,0.00037507-0.0014645i,0.0012123-0.00073623i,0.0013356+0.00049763i,0.0012625+0.001381i,0.00057059+0.001132i,7.1659e-05-0.00019375i,0.00048114-0.00011225i,0.00057449-0.00021272i,0.00084309-0.00083808i,0.00049919-0.00026993i,-0.00043209+0.00056923i,-0.00027314-4.7251e-05i,0.00011466-0.00096713i,0.00017264-0.00041368i,0.00026891-8.4359e-05i,0.00022457+8.2777e-05i,-0.00011718+0.00036414i,-0.00044405+0.00091379i,0.00031171+0.0013435i
0.00097895-0.00011656i,0.0003771-0.00048803i,0.00056441-0.0017052i,0.00080701-0.001775i,-0.00015196-0.0010329i,-0.0011189-0.00030889i,-0.00087937+0.0001015i,7.8906e-05-0.0002943i,0.00013055-0.00047571i,-0.00037193-0.00024027i,-0.00020436+0.00026754i,9.9174e-05+0.00026066i,-0.00041647+0.00038797i,-0.00097301+0.0007165i,-0.0010508+0.00062724i,-0.00080979-4.9009e-05i,-0.00045751-0.00095133i,-0.00037185-0.0010145i,-0.00044169-0.00020085i,1.287e-05+0.00023402i,-0.000254-2.6121e-05i,-0.00094719+0.00033523i,-0.0011136+0.00067367i
0.0010687+0.0010739i,0.00093663+0.00038149i,-0.00029952+7.3278e-05i,-0.00061797-0.00039116i,-0.00042686-0.00020466i,-0.00064149-0.00072636i,-0.00066874-0.0010492i,-0.00057844-0.00018066i,0.00045975+0.00051691i,0.0011467+0.00079621i,0.0005502+0.0011151i,0.00042284+0.00058823i,0.00020514+8.5736e-05i,3.7117e-05+0.0005075i,-0.00034031+0.0003149i,6.1605e-05-0.00073569i,0.00095349-0.00048324i,0.00035166+9.34e-05i,-0.00073393+0.00044884i,-0.00096399+0.00058938i,-0.00089471+0.0001969i,-0.00067738+0.00015388i,0.00027841-1.517e-05i
0.0011735+0.00045619i,0.00092401+0.00023731i,0.00055674-0.00094537i,-2.8687e-05-0.0018425i,-0.00075073-0.0012763i,-0.0015173-0.00061406i,-0.00097363-0.0001714i,-0.00044515+0.00025835i,-0.00029228+0.00011804i,-0.0003695-0.00010614i,-0.00043457+0.00044658i,-0.00019874+0.00014845i,-0.00077717-0.00014857i,-0.0011543-0.00010848i,-0.0011932-0.00048696i,-0.00064547-0.0004721i,0.00014828-0.00089813i,0.00055517-0.00071553i,0.00049596-0.00099797i,-0.00052478-0.0017106i,-0.00036844-0.001081i,0.00027244+0.00014358i,0.00047411+0.00039231i
0.00080346+0.0012377i,0.00067496+0.00054504i,-3.3589e-05+0.00020061i,-0.00056257-0.00053887i,-0.0006321-0.0014323i,-0.00052301-0.00069759i,-0.00014114+0.0003626i,4.9533e-05+0.00034534i,0.00015766-0.00053647i,-0.00020308-0.0014202i,-0.0012744-0.0012523i,-0.0013325-0.00029883i,-0.00095411+9.8992e-05i,5.5945e-06+7.4426e-05i,0.00020777+0.00055576i,-0.00052887+0.0003943i,-0.00095821+0.00014176i,-0.00078662-0.00016527i,2.0009e-05-0.00055907i,0.00025601-0.00065285i,0.00013012-0.0005821i,0.00047299-0.00059057i,0.00038616-0.00048032i
0.00087861-0.0016032i,-0.00016364-0.0027115i,0.00051754-0.0031462i,0.00056949-0.0025607i,-0.00042989-0.0024163i,-0.0012352-0.00084397i,-0.00055299+0.00013416i,0.00026379-0.00060815i,0.00011429-0.0011341i,-0.00068786-0.00012029i,-0.00097488+0.00025942i,-0.00012424-0.0002201i,0.00039782+4.2843e-06i,0.00052812+0.00018648i,0.00012368+0.0002919i,-0.00058265+0.00047698i,-0.00028241+0.00015673i,-2.4957e-05-0.00024876i,0.00016118-0.00022905i,-0.00027489-0.00019567i,2.9312e-05-0.00024529i,-6.7654e-05+9.9393e-06i,-0.00087034-0.00037558i
0.00097299+0.00083328i,0.00074775+0.00044472i,0.00096054-0.0013389i,0.00065682-0.0020135i,-0.00033925-0.0010231i,-0.00070071-0.00011221i,-0.00097697+0.00036966i,-0.0002777+0.00018559i,0.00069874-0.00063527i,0.0005169-0.00048154i,-0.00010791+0.00055725i,0.00017169+0.00030571i,0.00046648-0.00034539i,-0.00051057-1.8974e-05i,-0.0012755+0.00021562i,-0.00038095-0.00073304i,0.00055885-0.0010139i,0.00026961-0.00011684i,-0.00048476-0.00018057i,-0.00035309+8.9058e-06i,0.00033929+0.0002108i,0.00024792-0.00017924i,-0.00035775-0.00016555i
-0.00060155+0.0019969i,4.7512e-05+0.00097147i,0.00052388+0.0013141i,0.00018694+0.0012299i,-0.0001804-0.00018854i,0.00032577-0.0014831i,0.00048161-0.00079744i,-8.8242e-05+0.00042495i,-0.00049784+0.00091613i,-7.2959e-05+0.00085381i,0.00027743+0.00034375i,0.0004219-5.7636e-05i,0.000492+0.00033836i,0.00058332+0.0003987i,0.00030955-0.00012393i,-0.00049395+2.4369e-05i,-0.00055603-0.00036303i,0.00023942-0.00098495i,0.00092887-6.3874e-05i,0.0013233+0.00028111i,0.00079044-4.6513e-05i,0.0004297+0.00042373i,0.00093738+0.00087591i
0.00066059-0.00069348i,0.00048373-0.0017598i,-0.00032683-0.0015477i,-0.0004723-0.00021271i,-0.00039545+0.00041463i,-0.00087285+0.0001642i,-0.0013295-0.00010285i,-0.00056171-7.4411e-05i,0.00023237+1.1146e-05i,-0.00014819-0.00053284i,-0.00076728-0.00058559i,-0.00053871+0.00050138i,0.00038809+0.0013022i,0.0010328+0.0012943i,0.00050587+0.0009951i,9.7896e-05+0.0014522i,0.00046708+0.0012894i,0.00024786+0.00016585i,0.0006967-0.00047436i,0.00086097-0.000327i,0.0009974-0.00014129i,0.0009433+0.00022059i,-3.2306e-05+0.0005706i
0.0014643+0.00098668i,0.00088929-0.00043281i,0.0013221-0.00096636i,0.0019611-0.0015499i,0.00098971-0.001403i,-0.00017204-0.00073587i,-9.587e-05-0.00030385i,-8.0103e-05+0.00026631i,-0.00029742+0.00071694i,-0.000498+0.00022269i,1.5862e-05+0.00042423i,2.0089e-06+0.00079178i,-0.00027473+0.00066434i,-0.00026894+0.00058821i,-0.00048693+0.00055582i,-0.00055624-0.00023397i,7.7646e-05+5.7404e-05i,5.337e-05+0.0010803i,-0.00042236+0.0010945i,-0.00052569-0.00043009i,-0.00068589-0.0014193i,-0.00050362-0.00076005i,-0.00068942-0.00057104i
-0.00059523+0.00044366i,-0.00090731+0.00050502i,-0.0012715-0.00031324i,-0.00092556-0.0012968i,-8.8318e-05-0.00060534i,0.0009513+1.6733e-05i,0.0007214+0.00045297i,0.00031777+0.00088608i,0.00040531+0.00057335i,0.00070653+0.00032362i,0.00061115+0.0002983i,0.0006215-4.4404e-05i,0.00066116-0.00018551i,7.8694e-05+0.00021698i,0.0001857-6.8419e-06i,0.00087196-0.00074704i,0.00090489-0.00013123i,0.0006555+0.00020146i,0.00010412+3.1753e-05i,-1.9378e-05-0.00012048i,-2.8954e-05-0.00023664i,9.5708e-05-0.0004053i,0.00079125+0.00035262i
