0.0010057+0.00036165i,0.00047663-0.0012949i,-0.00098875-0.0033281i,-0.0018749-0.004467i,-0.0021837-0.0034259i,-0.0026941-0.00090116i,-0.0017084+0.0012315i,-0.00032148+0.0014916i,0.00088353+0.00030411i,0.00074681-0.001298i,-5.3722e-05-0.0018616i,0.0004943-0.00089236i,0.00075969-3.0424e-05i,0.00067875+3.5623e-05i,0.0014311+0.00047013i,0.00070498+0.0011409i,-0.00028518+0.001203i,0.00010437+0.00083574i,0.00021243+0.00035549i,0.00023729-0.00034345i,0.00039972-0.00087433i,0.00043391-0.00073226i,-0.00039382-0.00039513i
-3.0968e-05-0.00036289i,-0.00036386-0.00052097i,-0.00049959-0.00050455i,-0.00034096-0.0008023i,0.00042091-0.0003945i,-8.8266e-05+0.00044543i,-0.0010313+0.0001704i,-0.0012798-0.00013876i,-0.0014072+0.00042559i,-0.001223+0.00048892i,-0.00062254-0.00023452i,0.00027943-0.00036091i,0.00069839-0.00028585i,0.00026955-0.000303i,0.00070196-0.00061408i,0.0015304-0.0016482i,0.0015949-0.0014734i,0.0007996-0.0002683i,0.00016388-0.00012429i,-0.00026669-0.00032229i,-0.00042584-0.00028077i,0.00034861-0.00065655i,0.00068064-0.0013819i
-0.0020312-0.00066364i,-0.0015835+6.7695e-05i,-0.00053264-2.7792e-05i,0.00010428-0.00072331i,0.00019544-0.00021522i,0.00083218-0.00026133i,0.00058018-0.00054073i,-0.00034211+7.0476e-05i,-0.00097502+0.00069183i,-0.00075644+0.00011804i,-9.9414e-05-0.00045259i,0.00023309+3.5009e-05i,-1.0017e-05+8.9952e-05i,-0.00020747-0.00025532i,0.0001465-0.00039354i,0.0012991+0.00038497i,0.00099187+0.00067567i,-0.00010298+0.00022039i,-0.00039501+0.00078309i,-0.00023052+0.00032986i,0.00071553-0.00042397i,0.0010264-4.0179e-05i,0.00092631+0.00012534i
-0.00067424-0.00011585i,7.8382e-05+0.00045512i,0.00089135-5.7595e-05i,0.001826-0.00072521i,0.0022249-0.00076361i,0.0015389-0.0011588i,0.00026801-0.00076987i,-0.00034748-0.00061103i,0.00019696+0.00036751i,0.00052912+0.0012625i,0.00014142+0.00062258i,5.6913e-05+0.00011428i,0.00023571-0.00018989i,1.2653e-05+0.00021542i,0.00022686+0.00018538i,0.00061916-0.00036113i,0.0001942-1.2317e-05i,-8.328e-05+0.00055978i,-0.0003903+0.00053762i,-0.00091302+0.00034029i,-0.00047213+0.00032943i,0.00062112+0.00022005i,0.00077158+0.00030793i
0.0010128-0.0029143i,-0.00033354-0.0018553i,-0.00078106-0.0022404i,0.00031382-0.0028042i,0.00057862-0.0032547i,0.00023184-0.0027363i,-0.0007776-0.0021261i,-0.0014298-0.0017025i,-0.0012478-0.00089685i,-0.00096302-0.00024526i,-0.00047499-0.00011634i,5.8128e-05-0.00025387i,0.0005366+3.5305e-06i,0.00034523+0.00019205i,-0.00013192+0.00022223i,-0.00017661-5.5614e-05i,1.812e-05-0.00048023i,0.00035695-0.00013317i,0.00025605-2.8072e-05i,0.00012504-0.00046256i,-0.00029832+0.00025902i,-6.607e-05+0.00094222i,0.00074468-1.384e-05i
4.5653e-05+0.00034053i,-8.7354e-05+0.00036604i,0.00010615-0.00074631i,0.00032316-0.001921i,0.00034779-0.0019401i,0.00028472-0.0017999i,0.00036211-0.0013037i,-0.00065001-0.00057313i,-0.0017515-0.00029471i,-0.00107+4.5194e-05i,-0.00044712+0.00047342i,-4.1968e-05+0.00011714i,0.00018487-0.00059565i,0.00022747-0.00064731i,0.00033129+0.00034901i,0.00057291+0.00063617i,0.00095998+0.0004114i,0.00038275+0.00060117i,-3.2777e-05+0.00058963i,0.0001672+0.00018032i,-0.00027725+6.6015e-06i,-4.9504e-05+0.00068159i,-0.00038424+0.000742i
0.0010155+0.00017622i,0.0020302-0.00023793i,0.0021573-0.00036094i,0.0022552-0.00048324i,0.002401-0.0015899i,0.0021837-0.0018i,0.00068876-0.00094767i,-0.00082853-0.00027847i,-0.0013175+0.00056151i,-0.0012838+0.00094669i,-0.00054527+0.00077362i,-8.8271e-06+0.00038708i,0.00049474+0.00019292i,0.00068154+7.2705e-05i,0.00045341-0.00077729i,0.00051448-0.00084462i,0.00071319+4.1815e-05i,0.00037604-0.00022191i,-0.00010471-0.00075504i,-0.0005797-0.00065886i,-0.00045721-7.5402e-05i,-0.0002772+0.00044782i,5.2935e-05+0.00032907i
-0.0005117+0.00012483i,-0.00027641+0.000279i,0.0013858+6.3852e-05i,0.002036-0.00088001i,0.0011759-0.0014991i,0.0011002-0.0013298i,0.00038467-0.0015529i,-0.00083965-0.0014522i,-0.00088704-0.00050042i,-0.00038536-0.00051724i,-0.00060446-0.00079967i,-0.00059905-0.00061209i,-0.00050166-0.00010902i,-3.3055e-05+0.00014032i,0.00057446-0.00034281i,0.00060552-0.00058309i,0.00060538-0.00043949i,0.0001272+0.00029203i,-0.00079722+0.00042733i,-0.0010322-0.00035044i,-0.0013621-0.00056187i,-0.00063123-0.0011609i,-0.0001298-0.0013044i
-2.973e-05-0.0013656i,-0.00053359-0.0013118i,-0.00012942-0.0011096i,0.0001345-0.0016658i,0.00029239-0.0028387i,0.00029066-0.002228i,-0.00037251-0.00091134i,-0.00037677-0.00051971i,-0.00043761-0.00037751i,-0.00041392-0.00026705i,9.3438e-06-0.00024099i,-0.00030031-0.00010797i,-0.00074525-0.00056951i,-0.00027821-0.00085163i,0.00026237-0.00084084i,9.8861e-05-0.00025492i,-0.0001489-5.6763e-05i,-7.2231e-05-0.00018071i,4.0266e-05+0.00028999i,-3.7572e-05+0.0001318i,-0.00010149-6.1863e-05i,-0.00055021-4.9208e-05i,-0.0011431-0.000479i
-0.0026069-0.00059844i,-0.0015431-0.0014134i,-0.0012237-0.0010601i,-0.0011342-0.00014267i,-3.5329e-05+0.00099468i,0.0011677+0.00097572i,0.00093595-0.00056414i,-0.00044456-0.00081515i,-0.00069166-0.00038965i,-0.00042211+6.3252e-05i,-0.00033703+0.0010364i,0.00030437+0.0016325i,0.00029456+0.00061771i,5.644e-05-0.00027909i,0.00055858-0.0009991i,0.00061095-0.0018687i,-0.00017182-0.0015897i,-0.00056173-0.0012297i,-0.00051375-0.00070494i,7.86e-05-0.00066378i,0.00043827-0.0011886i,0.00069303-0.0014686i,0.0004881-0.0011693i
-0.00037244+0.00060779i,-0.00053498+0.0008999i,0.00042751+0.00059975i,0.0015799+0.00074647i,0.0020002-8.7773e-05i,0.0016446-0.0012619i,0.00107-0.00046178i,-0.00021102+0.00014001i,-0.00028747-0.00011116i,0.00071871-0.00013999i,0.00096693-0.00016425i,0.00099112-0.00050001i,0.00038055-0.00030049i,-9.5318e-05-0.00019621i,0.00039902-0.00079995i,0.00059885-0.00069456i,0.00066781-0.00035421i,0.00087096-0.00017914i,0.00018237+0.0001136i,-0.00029781-6.8704e-06i,-1.189e-05+0.00031644i,-0.00031432+0.0011567i,-0.00023617+0.0014431i
