0.0016691+0.00064068i,0.0018244-0.0015679i,0.00043124-0.002875i,-0.0011344-0.0028036i,-0.0015257-0.0023336i,-0.0015301-0.00086904i,-0.0012484+0.00078222i,2.7632e-05+0.0011902i,0.0010821+0.00080267i,0.0011696-0.00025209i,0.00039336-8.5463e-05i,-6.912e-05+0.00046113i,0.00046355+0.00051738i,0.00035918+0.00066318i,-6.517e-05+0.00089482i,-0.00035634+0.00096346i,-0.00026855+0.0003498i,0.00055416+0.00040161i,0.00044034+0.00075704i,-0.00021797+0.00036519i,-0.00034569-0.00062503i,-0.00040743-0.0010499i,-0.00017319-0.00064772i
-0.00025137-0.00034271i,-0.0021988-0.00078787i,-0.0021526-0.00032756i,-0.00062229+0.001291i,5.2809e-05+0.0019045i,-0.00061989+0.00092349i,-0.0010035-0.00011935i,-0.00099621-0.00048919i,-0.00024201-0.0001492i,4.0707e-05-9.9488e-05i,-0.00055012-0.00023432i,-0.0010739+0.00014903i,-0.00062084+0.00031422i,8.9828e-05-0.00014853i,0.00015642-0.0010843i,2.74e-05-0.00087025i,-0.00020432+0.00011478i,0.0002684-8.5142e-06i,0.00076392-0.00039728i,0.00036674-0.0007815i,-0.00027594-0.00030859i,-0.00049054+0.00031342i,-0.00059429+0.0002137i
-2.7799e-06-0.0019218i,-0.00067594-0.0025275i,-0.001147-0.0016732i,-0.00072989+0.00034591i,-0.00028686+0.00081047i,0.00048015+0.00067454i,0.0012324+0.0010061i,0.00059042+0.001327i,-0.00016334+0.00062661i,0.00017245-0.00039918i,0.00020707-0.00084254i,-0.00041293-0.00066881i,-0.00050753-0.00047159i,7.6759e-05-9.3364e-05i,0.00061299+0.00040721i,0.00060864+0.00021483i,0.00049315+0.0003312i,9.5544e-05+0.00016385i,1.6183e-06-8.8691e-05i,-0.00019136-0.00015273i,-0.00063849-0.00032024i,-0.00047606-0.0003484i,-0.00040772-0.00024062i
0.00023092-0.00093897i,-0.00025107-0.00030962i,-0.00054142-0.00065985i,-0.0013476-0.001513i,-0.0017278-0.0012764i,-0.00096832-0.0008142i,-0.00054111-0.00046045i,-0.00074565-0.0005719i,-0.00088731-0.0010577i,-0.00062075-0.00082585i,-0.00030412+0.00017984i,0.00059563+9.5694e-05i,0.00043574-0.00050216i,-8.2569e-05-5.9047e-05i,0.00025228+0.0006413i,0.00077375+0.00087644i,0.00019787+0.00022189i,1.6028e-07+6.5326e-05i,0.00076112+0.00060471i,0.00050813+0.00059068i,1.0797e-05+0.00033247i,-0.00034155+5.2059e-05i,-0.00058681-0.00019243i
0.0013472-0.0020063i,-0.00018213-0.0023419i,-0.001483-0.0019724i,-0.0014924-0.00074534i,-0.00017922-9.156e-05i,0.00010478+0.0012146i,-9.7214e-05+0.0020152i,0.00030783+0.00060728i,-3.5002e-05-0.0005327i,-0.00083766-0.00052688i,-0.00097539-0.00040409i,-0.00033355-8.4633e-05i,6.8882e-05+0.00075453i,0.00034627+0.0010653i,0.00034284+0.00022609i,-0.00024133-0.00035807i,-0.00065219+0.0003726i,-0.0012778+0.0006095i,-0.00076532+0.00010911i,0.00021507+0.00039619i,0.00011642+0.00048749i,-7.1476e-05-1.6256e-05i,-0.00011567-0.00014369i
0.00017483-0.0005946i,-0.0016701-0.00076473i,-0.0018364-0.00073868i,-0.0013475-0.00018279i,-0.00066197-0.00027469i,3.564e-05-0.00050256i,-0.00023743-0.00049581i,8.8472e-05-0.00026407i,-0.00042858-7.0339e-06i,-0.00072192-9.886e-05i,0.0003181-0.00033705i,0.00037697-0.00044117i,0.00060924-0.00031716i,0.00043568+3.1835e-05i,-6.3369e-05+0.00066257i,0.00039412+0.00084642i,4.8228e-05+0.00094579i,-0.00037098+0.00091358i,-2.9613e-05-4.0867e-05i,0.000206+0.00044257i,-0.00054605+0.0012006i,-0.001124+0.00045517i,-0.0012704-0.0003042i
9.2822e-05-3.4101e-05i,0.00029734-0.00016241i,-3.7578e-05+0.00013418i,0.00012362+0.00015501i,0.0010699-0.00011306i,0.001213-0.00010145i,0.00026849+0.00040697i,-0.00051519+0.00061023i,-0.0006158+7.3332e-05i,-0.00029171-0.00046648i,-0.00024253-9.5446e-05i,-0.00034317+0.00042252i,-0.00057382+0.00043544i,-9.8343e-05+0.00036695i,0.00089289+0.00029156i,0.00059163+0.00065314i,0.00025145+0.0011522i,0.00014451+0.0012737i,-0.00057138+0.00054305i,-0.0011001-0.00046744i,-0.00096385-0.0003714i,-0.00051362-0.00032187i,3.0086e-06-0.00050652i
0.0021963-0.0010082i,0.0011505-0.0024959i,0.00092517-0.002944i,0.0013496-0.0023533i,0.00063981-0.0016545i,-0.00060926-0.0011049i,-0.00072551-8.7643e-05i,-0.00012426+0.00046501i,-0.00014425+0.00023991i,-0.00078742+0.00042164i,-0.00034115+5.6054e-05i,0.00054254+3.227e-05i,3.1113e-05+0.00083913i,-0.00066115+0.0005744i,6.3376e-05-0.00029961i,0.00040313-0.00015402i,0.00068809-0.00013097i,0.00057423-2.6259e-05i,0.00015129+0.00043882i,0.00033224+0.00083089i,0.00027216+0.00043103i,4.8023e-06-0.00042369i,-0.00018872-0.00043325i
0.00027362+1.3337e-05i,-0.00046927-0.00075772i,-0.00087861+0.00016697i,-0.00049809+0.0004819i,0.00052331+0.00040547i,0.001413+0.00033222i,0.0010743-7.7154e-05i,0.00052843-0.00026142i,0.00045838-0.00021318i,-0.00025058+5.8205e-05i,-0.001086+6.4223e-05i,-0.0010788-0.00061678i,-0.00047706-0.0008529i,-0.00044333-0.00054397i,-0.00054304-0.00010321i,7.5814e-05+0.00073839i,-0.00039412+0.00081479i,-0.0012557+0.00018645i,-0.00083626-0.0003307i,-0.00019083-0.00054171i,-7.0774e-05-0.00038717i,9.2583e-05-0.00037272i,0.00041886+0.00038953i
0.001691-0.0010195i,0.00057955-0.0018803i,-0.00046363-0.0020538i,-0.00086121-0.00097483i,-0.0001523-0.00059762i,0.00064268-0.00032971i,0.00022993-0.00019783i,-2.2813e-05-0.00087273i,-0.00044547-0.00096464i,-0.00060058-0.00012492i,-0.00058413+0.00037969i,-0.00020954+6.8893e-05i,0.00061542+0.00020948i,0.00027626+0.00056314i,-7.6823e-05+0.00073467i,0.00019709+0.0005401i,0.00054951-2.4898e-05i,0.000895-1.2574e-05i,0.00078174+0.00030078i,0.00013374+0.00026927i,-0.00066904-0.00013298i,-0.00090321-0.00014546i,-0.00063665-0.00012027i
0.00029421-0.00046715i,0.00027006-0.00033236i,-2.7466e-05+0.00023373i,0.00019685+0.0004322i,0.00072138+0.00030827i,0.00096803-3.7947e-05i,-0.00020356-0.00015051i,-0.0013034-0.00038494i,-0.001097+0.00025576i,-0.00086808+0.00059491i,-0.00026285+0.00022976i,8.1156e-05+0.00068405i,-0.00045238+0.0010032i,-0.00052323+0.00044412i,-1.6352e-05-0.00013692i,0.00010693-9.7727e-06i,0.00037784+0.00041217i,0.00015899+0.00018674i,0.00033138-0.00024706i,0.00086701-0.00065459i,0.00043747-0.00075058i,-0.00049124-0.00031935i,-0.00045186-2.0536e-05i
