-0.0013196-0.0011509i,-0.0011579-0.0022143i,-0.0023617-0.0027127i,-0.0016048-0.0027985i,-0.00058072-0.0015342i,-0.001122+0.0005922i,-0.000641+0.0013054i,0.00024474+0.0010744i,2.0345e-05-0.00014904i,0.00047185-0.001489i,0.00064829-0.0012109i,-6.8548e-05-0.0005986i,1.8883e-06-0.001083i,0.00030888-0.0009272i,-3.597e-05-0.0003219i,-7.5289e-05-0.00050795i,0.00016956-0.00064229i,-0.00030776-9.6487e-05i,-0.00099297+0.00043628i,-0.00067814+0.00056269i,-5.8815e-05+0.00026714i,0.00051078-0.00014958i,0.00069256+0.00026294i
0.0010906-0.00022497i,0.0021059-0.0020639i,0.0023293-0.0025244i,0.0012635-0.00042421i,0.00089803+0.00027551i,0.00086563-0.00034909i,0.00024505-0.00081214i,-0.00025984-0.00064201i,-0.00024487-0.00060415i,-0.00024732-0.00044637i,-7.9436e-05+0.0002958i,-0.00010786+0.00078243i,-0.00048395+0.0005022i,-0.00054505-0.00048592i,-0.00019343-0.000457i,-0.00012736+0.00016961i,-0.00023218+0.00012785i,-0.0005262+0.00012601i,-0.00089716+0.0001462i,-0.0010742+0.00012634i,-0.00076231-0.00036971i,6.2943e-05-0.00034852i,0.00012845+0.00025364i
-0.00099349-0.00078118i,-0.0012913-0.00057607i,-0.0013926-0.00067377i,-0.001158-0.00084411i,-0.00022895-0.0011082i,-0.00013058-0.00098463i,-0.0005535+2.7428e-05i,-0.00013988-0.00037189i,0.00080743-0.00063369i,0.0005139+2.9043e-05i,0.00026647-0.00021661i,0.00066761-0.0010191i,0.0010448-0.0003439i,0.00051339-0.00026819i,0.00026004-0.00028043i,0.00052246+0.00036321i,0.00019993+0.0003912i,0.00020284+3.6717e-05i,-6.0925e-05+0.00034627i,-0.00088049+0.00065243i,-0.00050639-0.00024081i,0.00019071-0.00021537i,0.00020076+1.1446e-05i
-0.00029664-0.0025209i,-0.0010808-0.0019142i,-0.0024224-0.00066729i,-0.0018765+0.00028392i,-0.0013264+0.00075183i,-0.0010956+0.0012288i,-4.5556e-05+0.00086608i,0.00063301-2.7772e-06i,0.00084665-0.00036986i,0.00038168+0.0006669i,-0.00010158+0.0009131i,-0.00012505+3.2871e-05i,6.5671e-05+0.00020662i,8.3935e-05+0.00041619i,-0.00024148-0.00020449i,-7.4974e-05-0.00022971i,0.00037325+6.514e-05i,0.00040525+0.00038066i,0.00036881+1.548e-05i,0.00035544-0.00035953i,0.00032113-0.00075774i,0.00032157-0.00088334i,-0.00049371-0.00047533i
0.00065759+0.0023079i,0.00052786+0.001368i,0.00063442+0.0011019i,0.0015247+0.00085329i,0.0020278+0.00053268i,0.0010931+7.8241e-05i,-0.00020785-3.0771e-05i,-0.00035626+0.00036213i,0.00028274+0.00034892i,0.00073645-0.00056956i,0.00082126-0.00080629i,0.0012054+2.8467e-05i,0.0014315+0.0007795i,0.00053773+0.00058508i,-8.8055e-05+0.00013388i,-0.00076058+6.9697e-05i,-0.0010121-0.00051583i,-0.00045151-0.00084953i,-0.00062761-0.00018462i,-0.00028825+0.0002268i,0.00022352-0.00017746i,-1.8992e-05-0.00071034i,0.00053592-0.00067971i
0.00085363+0.00096766i,0.00042735-0.00048936i,-0.00024604-0.0014348i,0.0009347-0.0013772i,0.0026628-0.00053767i,0.002218-0.00032589i,0.00025726-0.00044051i,-0.00044058+0.00056759i,-0.00017024+0.00072805i,-0.00047387+0.00022706i,-0.00085859+0.00091124i,-0.00043144+0.0012191i,-0.00051296+9.5488e-05i,-0.00046964-0.0005681i,-0.00024294+0.00036635i,-0.00042972+0.00064965i,-0.00040473+0.00025914i,7.7971e-06-9.0141e-05i,4.3755e-06+0.00011493i,-0.00064006+5.7453e-05i,-0.00055947+0.00012062i,9.4716e-05+0.00054396i,0.00055298+0.0007386i
0.00079125+0.00026047i,-0.00011096-0.0010397i,-0.00029966-0.0008475i,0.00073507-0.0011498i,0.00091571-0.0019054i,-0.00032272-0.0016914i,-0.00096082-0.00070349i,-0.00060453+0.00035901i,-0.00060392-6.0251e-07i,-8.6104e-05-0.00039598i,-1.6819e-05+0.00021165i,0.00025436+0.00022888i,0.00072671+0.00022631i,0.00056822+0.0002707i,-1.5326e-05+0.0001125i,0.00012109-5.721e-05i,-6.4991e-05-0.00016069i,-0.0011272+4.8497e-05i,-0.00068629+6.9627e-06i,0.00024237+0.00016732i,0.00038292+0.00021984i,-1.51e-05+0.00022184i,-0.00044724-0.00036707i
0.0010691-0.0020658i,0.0002233-0.0011792i,-0.00062525-0.00084506i,-0.001311-0.00060044i,-0.0011256-0.0002269i,6.7946e-05+0.00027594i,0.00079812+0.00071807i,0.00097322+0.00075203i,0.00024084+0.00023621i,3.2446e-06-0.00029165i,0.00030682-0.00036655i,4.3667e-05-0.00024619i,-0.00021825+0.00029847i,0.0004195+0.00050891i,0.0007207+0.00060771i,0.00037174+0.00043311i,0.00013195-0.00046735i,-7.2678e-05-0.00084457i,-0.00051347-9.0296e-05i,-0.00084523+0.00036001i,0.00016166+0.00058505i,0.00075168+0.0011278i,0.00045384+0.00059935i
0.0015163+0.00071889i,0.002031-0.0014119i,0.0021892-0.0024728i,0.0017754-0.0010026i,0.00064212-0.00043922i,0.00067057-0.00071348i,0.0013076-9.1421e-05i,0.0015559+0.00025006i,0.0013124+0.00023062i,0.00089158+0.00018819i,0.00095548+0.00089036i,0.00045201+0.00063674i,-0.0002072-0.00036433i,8.4806e-05-0.00013182i,-6.6803e-05+0.00040497i,-0.0005119+0.00041624i,-0.00034846+0.00015707i,-0.00031099-0.00012676i,-0.00010812-0.00055107i,0.00012353-0.00068307i,-2.3582e-05-0.00052306i,-0.00038361-0.00076967i,-0.00074765-0.0003753i
-0.0013244-0.0017487i,-0.0013295-0.0015343i,-0.0017509-0.0013094i,-0.001559-0.00061406i,0.00012772-0.00014895i,0.001228-6.4722e-07i,0.0011259+0.00017913i,0.00090948-7.0695e-06i,0.00050798-0.00050303i,-0.00024115-0.00015438i,-0.00066027+0.00051759i,-0.0005809+0.00035841i,-0.00041842-0.00028259i,-0.00054847-0.0003915i,-0.0009228-2.2042e-05i,-0.0003795-4.8983e-05i,-0.00028946-0.00012682i,-0.00047056+0.00039526i,-6.6537e-05+0.00085905i,0.00027642+0.0010794i,7.7349e-05+0.00061424i,-0.00093024-0.00045555i,-0.00058162-0.00050565i
0.00053877-0.00014332i,0.00085495-0.00015995i,0.0020725-0.00014098i,0.0024575-0.00073322i,0.0012854-0.00073955i,0.00028335-0.0002625i,-0.00035688+0.00047378i,-0.00076828+0.00069995i,-0.00059144+0.00026894i,-3.3039e-05-6.7812e-05i,0.00013343+4.2764e-05i,9.5187e-06+0.00010599i,0.00020189+0.00022703i,-5.5092e-05-0.00030878i,-0.0003664-0.00024674i,-0.00040785+0.00041435i,-0.00021639+4.8285e-05i,-0.00030303-0.00021553i,-0.00041944-0.00051741i,-0.00015265-0.00023629i,0.0001527+0.0002378i,0.00025463-0.00024785i,-0.00048378-0.00055589i
