-0.0023237+0.0020711i,-0.00079769+0.00064334i,-0.00085291+2.6814e-05i,9.5922e-05+4.5707e-05i,0.00072816+0.0016143i,0.00073512+0.0018204i,0.00067962+0.00069589i,0.0013116+0.00012098i,0.0013102+0.0001276i,0.0003934-8.4757e-05i,3.2432e-05-0.00082883i,-0.00018205-0.0017259i,-0.0006855-0.0020021i,-0.00079879-0.0017976i,-0.00014881-0.00091086i,6.4917e-05-0.00017194i,0.00042858-7.7262e-06i,0.00037578-0.00012005i,0.00028055-0.00079306i,0.00026996-0.0010844i,0.00053698-0.00076415i,0.00058993-0.00034261i,0.00023027-4.4839e-05i
0.0013066-0.0015731i,0.00082184-0.001187i,0.00076034-0.0015677i,0.00041344-0.001159i,-0.00048821-0.00063773i,-0.00050717-0.00021675i,0.00021972+0.00019059i,0.00034296+2.574e-05i,0.00042338-0.00010496i,0.00023105-0.00020159i,-0.0010579-0.00056065i,-0.0010083+4.9393e-05i,-0.00026767+0.00040519i,-0.00038099-0.00018654i,-0.00025553-0.00035015i,0.00022197-0.00014238i,2.5943e-05-0.00055999i,-2.6887e-05-0.00060536i,0.00040725-5.1968e-05i,-0.00024067-0.00041953i,-0.0007634-0.00099379i,-0.00072987-0.00063668i,-0.00035508-0.00065725i
0.0016491+0.00034609i,0.0024947+0.0011119i,0.0027508+0.00038457i,0.0021419-0.00059826i,0.00097997-0.00086243i,0.00018847+5.8543e-05i,0.00012879+0.00063515i,-0.00035481+7.5462e-05i,-0.00013925-2.7233e-05i,0.00063325-9.6297e-05i,0.00089856-0.00028804i,0.00041297+0.00031035i,-0.00019619+0.00035258i,8.4954e-05-0.00038835i,0.00021556-0.00034758i,-7.7377e-05-0.00027786i,-0.00059491-0.0006972i,2.2238e-05-0.0007865i,0.0012472-0.00056634i,0.00034791-0.00028221i,-0.00042375+0.00034581i,-3.6299e-05+0.00071742i,-0.00011774+0.00058519i
0.0019005+0.0011198i,0.0032582-0.00028742i,0.003936-0.0017202i,0.0025791-0.0024651i,0.00029564-0.0023067i,-0.0012352-0.0021933i,-0.00087231-0.0014045i,-0.00018319-0.00036523i,0.00023593-0.00051442i,-0.00015055-0.001029i,-0.00084263-0.0008255i,-0.00081681-0.0005813i,-0.00032899+8.6192e-05i,-0.00045727+0.00073907i,-0.0005677+0.00036022i,0.00050288+0.00022083i,0.00077141+0.00045301i,0.00030764+0.00018296i,0.00052151-0.00025445i,0.00031064-0.00032103i,3.0717e-05+0.00016124i,-3.0382e-05+0.00016877i,-8.0112e-05-0.0002303i
0.00034359+0.00027498i,-0.0014753+0.0011216i,-0.0030249+0.002916i,-0.0012301+0.0033304i,0.00056331+0.0022394i,0.00048406+0.0013577i,-7.288e-05+0.0001658i,-0.00031239-0.00096495i,-0.00060491-0.00044693i,-4.2316e-05+0.00063567i,0.00067033+0.00085678i,0.00016439+0.0011074i,-0.00049373+0.00067563i,-0.0004466-0.00054206i,-1.8515e-05-0.0009739i,0.0002337-0.00024345i,2.976e-05+0.00049968i,-0.00029715+0.00040181i,0.00019885+8.1541e-05i,0.00060279+0.00034583i,0.00050238+0.00033731i,0.00056432+0.00020717i,-6.3181e-05-0.00019186i
-0.00044329-0.00075027i,0.00065112-0.00033831i,0.00088578+0.00088868i,0.00058851+0.0013004i,6.4071e-05+0.0007298i,-0.00032644+1.7667e-05i,0.00021907+0.00010419i,-0.00039703+0.00048201i,-0.0012316-2.3347e-05i,-0.0010034-0.00023463i,-0.00032612-6.0633e-05i,0.00016285-0.00019792i,0.00016606+7.312e-05i,-0.0005804+0.00072228i,-0.00091978+0.00073951i,-5.0867e-05+0.00028498i,-5.1204e-05-3.7382e-05i,-0.00034505+2.8135e-05i,4.1437e-05+7.3469e-05i,0.00022989+0.00021523i,0.00079929+0.00071042i,0.00088542+0.0004395i,0.00026277-0.00032398i
0.00080109+0.00012859i,0.00037911+0.0001151i,0.00070385-0.00069247i,0.00063779-0.0018252i,0.00011124-0.0018057i,-0.0001905-0.0012419i,6.966e-05-0.00078561i,0.00045367+8.577e-05i,2.2787e-05+7.0904e-05i,0.00033582-0.00033689i,0.0004063-0.00015276i,-0.00028737+0.00015833i,-0.00045102+0.00031775i,4.9983e-05-0.00025673i,0.00060675-0.00066924i,0.00013007-0.00066543i,2.8269e-05-0.00020431i,0.00043359+0.00050641i,0.0004096+0.00066706i,-0.00019025+0.00034657i,-0.00012526-7.7717e-05i,0.00014127-0.00019819i,-0.00032914-0.00046179i
-0.00014234-0.0015358i,-0.0014185-0.00081514i,-0.0020282+0.00054033i,-0.0014197+0.0015483i,-0.0011691+0.0010515i,-0.0010186+0.00015072i,-0.0005854-0.00040466i,-0.00074443-0.0004464i,-0.00022737+0.00029957i,-5.5373e-05+0.00055177i,-0.00096183+0.00038382i,-0.00097022+0.0004747i,1.1086e-05+0.00067453i,-0.00037169+0.00056132i,-0.00076698+0.00028314i,-0.00041321+0.00037809i,0.00018086+0.00099298i,0.00039132+0.00093999i,0.00021453+0.00066785i,-0.00029751+0.00082836i,0.0001982+0.0011409i,0.00056395+0.00079785i,-0.00071282+6.7406e-05i
-0.00099646-0.00084279i,-0.00068808+0.0010771i,0.00057548+0.0022655i,0.00081123+0.0018435i,0.00043186+0.00070537i,0.00047305+0.00094227i,0.00089398+0.00079008i,6.0625e-05+3.2188e-05i,-0.00073163+0.00022748i,-6.456e-05+0.00089694i,-0.00072261+0.00052573i,-0.00090046+0.00029953i,-0.00017009+0.00063613i,-9.5642e-06+0.00039062i,-0.00065901-0.00043729i,-0.00059087-0.0008533i,0.00037763-0.000863i,0.00017778-0.0007369i,0.00034084+5.2378e-05i,0.00038377+8.9004e-05i,0.00020654-0.00034137i,-4.0743e-05-0.00030079i,-9.1378e-05-0.00035106i
-0.0024438-0.0022972i,-0.0024446-0.0010919i,-0.0019813-0.0010965i,-0.0015568-0.00058068i,-0.0011216+0.00011152i,-0.0002689-0.0003565i,0.00053834-0.00047487i,-0.00034707-0.00027056i,-0.00050425+6.7414e-05i,4.1937e-05+0.00031793i,-0.00070744-2.3649e-05i,-0.00091791-0.00025336i,-0.00014075-8.6227e-05i,0.00013345+0.0002725i,0.00025803+0.001028i,9.319e-05+0.0012596i,2.1013e-05+0.0006044i,0.00081445+0.00020706i,0.00069965-9.4401e-05i,-0.00022153-7.4614e-07i,-8.0481e-05+0.00022677i,-0.00032962-0.00025177i,-0.0011142-0.00044592i
-0.00067458-0.0011857i,-0.00053308+0.00032794i,-0.00071224+0.0011353i,-0.00052492+0.0012308i,-0.0006294+0.00071105i,-0.00037441+0.00047678i,-0.00030595+1.8059e-06i,0.00016901-0.001051i,4.2503e-05-0.00021362i,-0.00060619+0.0012159i,0.00022391+0.001195i,0.00067348+0.00042846i,0.00040492-4.9685e-05i,8.1241e-05-0.00029364i,-0.001178-0.00072323i,-0.0012075-0.00053553i,-0.00031815+0.00034082i,8.6227e-05+0.00079118i,8.0763e-06+0.00063608i,0.00068534+0.00049998i,0.0010274+0.00053541i,0.00037562+0.00058387i,-0.00018314+0.00037297i
