-0.0034348+0.0022009i,-0.0018841+0.0017389i,-0.001113+0.001952i,0.00010433+0.0018817i,0.00092445+0.0021844i,0.0011396+0.0020238i,0.00060337+0.0010886i,0.00067093+0.0013544i,0.0012447+0.0017003i,0.00099893+0.00060571i,0.00069635-0.00026899i,0.00067181-0.00046236i,-0.00041541-0.00084514i,-0.0011155-0.00065781i,-0.00092353+5.9039e-06i,-0.00051398+0.00044494i,-8.9638e-05+0.00058071i,-1.409e-06-3.5159e-05i,0.00014061-1.589e-05i,0.00050573-2.5798e-05i,0.00099333-0.00039715i,0.00055674+0.00027281i,-0.00028796+0.00099719i
-0.00031606+0.0022978i,-1.4429e-06+0.0011326i,0.00040408+0.00090647i,0.00075891-0.00011662i,0.0011896-0.0014806i,0.00057282-0.0017129i,-0.00058227-0.0012125i,-0.001157-0.00068329i,-0.0014228+6.2839e-05i,-0.00053252+0.00014589i,0.00033571+0.00019082i,0.00021389+0.00019732i,0.00017599-8.4673e-06i,-0.00012123+0.00036849i,-0.00084116+0.00092735i,-0.00068873+0.00050024i,4.8982e-05-0.00050958i,0.00043434-0.00085765i,0.00065243-0.00053603i,0.0004968-0.00064865i,7.5681e-05-0.00048191i,-0.00018205-6.2686e-05i,0.00014103+0.00018342i
0.00092776+0.00091906i,0.0009338+0.0012248i,0.00063678+0.00098414i,3.3056e-05+0.00027339i,0.00022814-8.667e-06i,-0.00013553-0.00056719i,-0.00086925-5.2527e-05i,-1.7632e-05+0.00096306i,0.0010115+0.00030878i,0.00085495-0.00089875i,0.00036798-0.0006175i,-0.00014285-8.6072e-05i,-0.00032685+0.0003872i,-0.00031206+0.0011028i,0.00016869+0.0011813i,0.00018399+0.00035595i,0.00010953+0.00035622i,0.00020028+0.00060088i,-8.7919e-05+0.00026418i,-4.6064e-05-6.4e-06i,-0.00035617-0.00042527i,-0.0004788-0.00047149i,0.00052607-0.00040472i
-0.0022229+0.00089245i,-0.0030432+0.0016631i,-0.0040186+0.0024273i,-0.0028343+0.002075i,-0.001367+0.001679i,-0.00050109+0.0007364i,0.00038925+8.6414e-06i,0.00021033+0.0001906i,-5.5857e-05+0.00027365i,0.00028214+0.00077102i,0.00098307+0.0011507i,0.0010551+0.00086184i,0.00061254+0.00015721i,0.00051074+0.00015494i,0.00062023+0.00046184i,0.00024718+0.00046516i,-0.00017173+6.2777e-05i,-0.00037667-0.00018072i,-0.00085185-0.00041155i,-0.00056396-0.00025272i,0.00054458-0.00039023i,0.00086969-0.00097409i,0.00070902-0.00068614i
-0.0016402+0.00035033i,-0.002031+0.00068164i,-0.0006968+0.0012371i,-1.1694e-05+0.0014488i,0.00045229+0.001955i,0.00099936+0.001436i,0.00061495+8.4756e-05i,-5.5138e-05-0.00021657i,-0.00047779+0.00039219i,0.00058455+0.00092068i,0.001279+0.00052163i,0.00046124-0.0001378i,9.4051e-07+9.4278e-05i,0.00041314+0.00060973i,0.00076331+0.0006799i,0.00056215+0.00025311i,0.00011176+2.6894e-05i,0.00022171+0.00051226i,0.00028935+0.00017883i,-0.00037288-0.00069729i,-0.00082715-0.0013495i,-0.00043834-0.00129i,-0.00017245-0.00094599i
0.00020085-0.00051839i,-0.00035787-0.00074156i,-0.0011124-0.00084239i,-0.0013261+5.6301e-05i,-0.00087183+0.0012449i,0.00010041+0.0011862i,0.00033524+0.00076677i,0.00054367+0.00076966i,0.00031409+0.00053728i,-0.0001742+0.00087009i,-0.00026782+0.001631i,-0.00035294+0.00061876i,-0.0001102-0.0001485i,0.00029584+7.799e-05i,0.0006052-0.00039216i,0.00064742+0.0001089i,-0.00037054+0.0010326i,-0.00085605+0.00099498i,-0.00060076+0.00055303i,-0.00012321+0.00014028i,0.0004221+0.0002572i,0.00030786+0.00040423i,0.0001479+0.00068281i
0.00013239+3.9564e-06i,0.00029403-0.00060678i,0.000444-0.00036443i,0.00042896-0.00055248i,0.00076458-0.00072761i,8.4124e-05-0.00097612i,-0.00024722-0.00012097i,-0.00027367+0.00071817i,0.00041219+0.00057535i,0.0015719+5.7836e-05i,0.00095307+6.8089e-06i,0.00013396+0.00036308i,-0.00015953+0.00068485i,-0.00055725+0.00089224i,-0.00036237+0.00038654i,-0.00027338-0.0002721i,-0.00031926-0.00010011i,-0.00057906+4.3169e-05i,-0.00048717-1.1909e-05i,0.00018281-0.00014854i,0.00050185-0.00010754i,0.00057547+0.00025892i,0.00048941+5.6814e-05i
0.00035909-0.00056226i,9.8522e-07-0.00065563i,-0.001277-0.0017139i,-0.0019922-0.0016452i,-0.0019716-0.00070408i,-0.0010373-0.00082982i,-0.00015864-0.00080923i,-0.00019335-0.00041118i,-0.0002497-0.00018851i,4.366e-05-0.00064063i,0.00021818-0.0011046i,6.5132e-05-0.00045587i,0.00060538+0.00024618i,0.00054918+0.00028079i,0.00025986+0.0003173i,-0.00012352+0.00021604i,-0.00029476-0.00036882i,0.00037013-0.00066072i,0.0004976-0.00041517i,0.00021811+0.00013665i,-0.00024341+0.00061249i,-0.00049333+0.001333i,0.00040933+0.001178i
-0.0002699+6.4982e-05i,2.0153e-06+0.00020247i,0.00038307+0.00027209i,-0.00044518+0.0004523i,-0.00049489+0.00023591i,-0.00033763+0.00011713i,-0.0003783+0.00028167i,-8.356e-05+0.00034997i,0.00013808+0.00048937i,-0.000372+0.00057372i,-0.0012079-7.7645e-05i,-0.0006134+0.00020024i,2.5547e-06+0.00086732i,-2.1324e-05+0.00045885i,0.00015626-0.00029005i,0.00012939-0.00036275i,0.0003176-0.00030142i,-8.2854e-05-0.00036607i,4.5664e-05-0.00067707i,0.00045466-0.0012765i,0.0001826-0.00083939i,-0.0001023+7.4287e-05i,-0.00010694+4.1301e-05i
-0.0012704-0.0013358i,-0.0013677-0.00049761i,-0.00058806+0.0011102i,-0.00030438+0.0017123i,0.00030932+0.00094061i,0.0010533+0.00064932i,0.00074631-5.5773e-05i,6.7712e-05+4.6791e-05i,-0.00044754+0.0010757i,-0.00079645+0.00085199i,-0.00038781+4.0646e-05i,0.00016306-0.00044358i,0.0005005+8.2862e-05i,-0.00029558+0.0010027i,-0.00060809+0.00095909i,-3.9772e-05+0.0008983i,5.2927e-06+0.0010422i,-0.00010938+0.00080214i,-0.00027669-0.00042716i,-0.00020786-0.00091714i,-0.00024083-0.00025409i,-0.00031493+0.00015748i,-6.1858e-06-0.00021915i
-0.0013743+9.8839e-05i,-0.00090741+0.0010508i,-0.00040867+0.00079495i,6.9532e-05+0.00064101i,5.4432e-05+0.00052629i,0.00016872+0.00044365i,0.00014264+0.00020272i,-0.0006237-0.00024202i,-0.0011079-0.00014652i,-0.00074563+0.00047409i,-0.00046231+0.00042622i,-0.0001506+0.00049471i,-0.00052115+0.00056501i,-0.00035196+0.00095183i,1.6337e-05+0.00095579i,0.00073401-0.0004421i,0.00092973-0.00083467i,0.00064124-0.00029411i,0.00019538-0.00048717i,-0.0002306-0.00041033i,-0.00018446+0.00061891i,4.6215e-05+0.00077976i,0.00054716+0.00035158i
