-0.00012735+0.0014034i,0.00075743+0.00080254i,0.000608-5.8872e-06i,0.00094205-0.00046255i,0.00095851+0.0011456i,-1.5719e-05+0.0020441i,-0.00072294+0.00097065i,-0.00010367+0.0006677i,0.0005769+0.0013037i,0.0001202+0.0011016i,0.00023921+0.00036995i,0.00061002+0.00023276i,-0.00019227+0.00023019i,-0.00034576+0.00010344i,-0.0006387+0.00037105i,-0.00083573+0.00063094i,-0.00029169+0.00046901i,0.00017293+0.00024918i,-5.1806e-07+0.00017106i,7.9266e-05-0.00014752i,0.00051527+7.3001e-06i,7.3841e-05+0.0004533i,0.00028906-0.00010276i
-0.0016251-0.00015242i,-0.00095239+2.0701e-05i,0.00075865+0.00087632i,0.0013375+0.0017785i,0.00085087+0.002127i,0.0014679+0.0013967i,0.0011865+0.00031084i,0.0002213-0.00028539i,0.00034093-0.00051665i,0.00052068+0.00031759i,0.00092258+0.00069691i,0.00059064-0.00035032i,0.00049186-0.00056432i,-7.0881e-05+0.00022707i,-0.00080204+7.1225e-05i,-6.0571e-05-0.00015416i,0.00085991+4.9685e-05i,0.00056766-0.000265i,-0.00048918-0.00016309i,-0.00027359-0.00027786i,0.00025089-0.00080654i,0.00025809-0.00082258i,0.00017858-0.0010284i
0.00082671-0.00078476i,0.0011531-0.0011205i,0.0015269-0.0015448i,0.0013614-0.00099198i,0.00053827-0.0010548i,-0.00013385-0.0012605i,-0.00039662-0.0011433i,-0.00055275-0.00067612i,-0.0002977-0.00046952i,5.1124e-05-0.0003543i,-0.00068018-0.00022299i,-0.00064601-0.00061979i,-5.3064e-05-0.00023595i,0.00038848-0.00012896i,6.3165e-05-7.8041e-05i,-0.00038069-6.6158e-05i,-0.00023732+0.0002367i,-0.00031648-0.00023868i,-0.00084056-0.0010616i,-0.00086534-0.00058843i,-0.0004243-0.00049086i,2.636e-05-0.00070419i,0.00023859-0.0003963i
0.00083969-0.00022983i,0.000761-7.3635e-05i,0.00037226+0.00026735i,0.0004758+0.00028509i,0.00022961+0.00051035i,0.00015747+0.00015687i,0.00013121-0.00016773i,-0.00082625+1.2226e-05i,-0.0011292-0.00025716i,-0.00075655-0.00071161i,-0.00092281-0.00074567i,-0.00045592-0.00016096i,0.00023053+0.00024743i,4.6809e-06-1.1699e-05i,-0.00013744-0.0002681i,-0.00042329-0.00054208i,0.00037077-0.00051272i,0.0010906-0.00034078i,0.00040124-9.8865e-05i,0.00062688+0.00051334i,0.00083502-4.8159e-06i,0.00058987+0.00041425i,0.00017289+0.00096419i
-0.0024135+0.0021699i,-0.00045091+0.0020754i,0.00062517+0.0020342i,0.0017928+0.0014452i,0.0018003+0.0012491i,0.00070535+0.0010468i,-0.0002199+0.00081915i,-0.00011021+0.00044425i,0.00016348+0.00029639i,0.00021774-6.2524e-07i,-4.5419e-05-0.0003147i,-0.00045848-0.00039401i,-0.00087447-0.00028403i,-0.00015662+0.00036557i,0.00064864+0.00065093i,0.00013687+0.00067688i,-0.00020084+0.00088849i,0.00016819+0.0010512i,0.0003988+0.00075371i,0.00057947+0.00099915i,0.00095291+0.00040526i,0.0010433-0.00054691i,0.00073693-0.00024962i
0.00076991-0.0023493i,0.00043947-0.0012897i,5.726e-05-0.00054077i,0.00025687+0.00011012i,0.00043219+0.0010849i,0.00013739+0.00078978i,0.00036344-0.00078421i,0.00014562-0.0015008i,-0.00023916-0.0014705i,-0.00024767-0.0020795i,-0.00031814-0.0016277i,-0.0002804-0.00065333i,1.736e-05-0.00011213i,3.1387e-05+0.00010323i,0.00020178+0.00027773i,-3.2332e-05+0.00064089i,-0.00075093+0.00029472i,-0.0006092+0.00041493i,0.00017284+0.00087851i,0.00052618-4.2633e-05i,-0.00013202-0.00078253i,-0.00043354-0.0003069i,-0.00029368+0.00015582i
-0.0013831+0.00080223i,-0.0007706+0.0017924i,0.00035002+0.002105i,0.0014226+0.0025164i,0.0014021+0.002171i,0.0010017+0.0006303i,0.00092596+1.8402e-05i,0.00072358-0.00035357i,-0.00011152-0.00036281i,-0.00067153-0.00017584i,7.7381e-05-0.00010913i,0.00040922+0.00021328i,-0.0003153+0.00048326i,-0.00061294+0.0003517i,0.00014682+7.8013e-05i,0.00068707+0.0007824i,0.00051925+0.0010785i,0.00035295+0.00089798i,9.3417e-06+0.0005369i,-0.00024141+9.2333e-05i,-0.00069772+0.00044002i,-0.00098703+0.00029579i,-0.00081111-0.000163i
0.0027747-0.0010567i,0.0022505-0.0015172i,0.0013632-0.0018948i,0.0010402-0.0016637i,5.1219e-05-0.0014943i,0.00011287-0.0010958i,0.00010053-0.00027645i,-0.00093206+1.2599e-05i,-0.00031019+0.00036885i,-0.00029344+0.0003689i,-0.00061485-0.00016856i,-0.00047741-4.8847e-07i,-0.00062921+0.00059057i,4.8895e-06+0.00062834i,8.012e-05+0.00078968i,0.00012663+0.00098172i,0.00076378+0.0004566i,0.00034578-1.3134e-05i,-0.00034655+0.0002859i,-0.00037609-8.3981e-05i,-0.00032862-0.00077317i,-0.00051528-0.001389i,-0.00027372-0.0015064i
-2.4407e-06-0.001464i,-0.00072796-0.00079011i,-0.00029334+0.00018003i,0.00074298+0.00074693i,0.00063361+0.00068913i,0.00055977+0.0010696i,0.00036987+0.0011214i,-0.00011193+4.2883e-05i,-0.0003028-0.00078259i,-7.4034e-05-0.00066038i,0.00020382-0.0005561i,0.00029643-0.00039375i,0.00052394+2.3456e-05i,0.0004694+0.00041847i,0.00050965+0.0003346i,0.00039746+1.6599e-05i,-8.4754e-05-2.8064e-05i,-0.00038032+5.4488e-05i,-0.00018626-0.00031535i,-0.00019092-0.00063445i,5.7798e-05-0.00029711i,0.00019499+4.2016e-05i,-0.00043539+0.00073884i
-0.00043467+0.0015689i,-6.819e-05+0.0017001i,0.00083418+0.0014827i,0.0010678+0.0011654i,0.00088738+0.00018639i,0.0013395-0.00076443i,0.0012551-0.00043236i,-2.04e-05+0.00017043i,-0.00056365+0.00047136i,-0.00059204+0.00018238i,-0.00057699+0.00017768i,-0.00040659+6.3089e-05i,-0.0008531+0.00027488i,-0.00077193+0.00071981i,-4.06e-05+0.00089748i,0.00029295+0.00068126i,-4.3536e-05-8.8003e-05i,-0.00022766-0.00042477i,-0.00017012+0.00027286i,-0.00046063+0.00074237i,-0.0010108+0.00058248i,-0.0002957-0.00021879i,0.00057864-8.4043e-05i
-0.00069425+0.0025003i,0.00062369+0.0031022i,0.0026154+0.0030222i,0.0022568+0.0023392i,0.0014098+0.0017784i,0.0011283+0.00064947i,0.00041249-0.00027087i,0.00025203-0.00088123i,0.00043294-0.00075696i,0.00023914-4.9894e-05i,-0.00030608+0.00026802i,-0.0011562-5.1299e-05i,-0.0011084-0.00056803i,-0.00031176-0.0001555i,0.00018101+0.00051264i,-0.00030483-9.3425e-05i,-0.00015997-0.00095973i,0.00049144-0.00026805i,0.00037939+0.00086525i,0.00018155+0.00097752i,0.00036772+0.00093322i,0.00073457+0.00037061i,-4.1674e-05-4.1518e-05i
