-0.00017659+0.00018952i,0.00046868-0.0016088i,-0.00050044-0.0034963i,-0.0016557-0.00097051i,-0.0026914+0.0017057i,-0.0019139+0.001651i,-0.00081951+0.0017153i,0.00063663+0.0021073i,0.0018+0.0014415i,0.001024+0.00018631i,0.00027096-0.00018817i,0.00035052+0.00023257i,-3.9827e-05+0.00014768i,0.00012711+0.00021523i,0.00012319+0.00074333i,-6.2325e-05+0.00060832i,-0.00022926+4.2791e-05i,-0.0005497-0.00010018i,-9.0236e-05+0.00013022i,0.00029934+0.00015884i,0.00025068+7.8109e-05i,0.0005455-0.00066268i,0.0005818-0.00055896i
0.00090044+0.00091357i,0.00083539+0.00058303i,0.0018151+0.00044049i,0.0016769+0.00019638i,0.00071897-0.0005583i,-0.0007252-0.00016176i,-0.0012584+0.00066437i,-0.00015035+0.00016699i,0.00072127-0.0003914i,0.0011622-0.00055073i,0.0006522-0.00024219i,-6.7034e-05+0.00027824i,-0.00098912+0.00038572i,-0.0018084+0.00050003i,-0.00098808-0.00024225i,0.00035488-0.00010984i,2.1292e-05+0.00042298i,-0.00084911-0.00040357i,-0.00068758-0.00078238i,-0.0001466-0.00066543i,-3.3334e-05-0.0010848i,-0.00010333-0.0010616i,0.00026381-0.00023543i
-0.00092498+0.00089048i,0.00044737+0.0007704i,0.00061383+0.0028101i,0.00024655+0.0031301i,0.00026044+0.0016147i,-0.00016337-0.00026472i,-0.00025129-0.00086344i,0.0001272-0.00065424i,-9.8024e-05-0.00042657i,-0.00012432-0.00011222i,-2.4489e-05+0.00030908i,-0.00010969+0.00044142i,-6.4793e-05+0.00051027i,-0.00037719-0.00029297i,-0.00045606-0.00049867i,-0.00060388+0.00051295i,-0.00095878+0.00026198i,-0.00050337-0.00051239i,0.00067574-0.00031108i,0.00080334+0.00010478i,0.0002526-3.2796e-05i,2.7841e-05-0.00052836i,0.0003182-0.00070096i
3.0433e-05-0.00101i,-0.001231-0.00156i,-0.0014713-0.00098595i,-0.001303+0.00087962i,-0.0012052+0.0012857i,-0.00081337+0.00044966i,-0.00025419+0.00061955i,-0.00040904+0.0010358i,6.6299e-05+0.00025964i,0.00051361-0.00063969i,0.00052248-0.00057417i,0.00027254-8.5269e-05i,-3.0948e-05+0.00055176i,0.00014868+0.00070096i,0.00028862-0.00011372i,0.00015128-0.0010756i,0.0001686-0.0010726i,0.00028594+0.00041319i,0.00051021+0.0010624i,0.00019559+0.00060409i,-0.00020483+0.00036892i,-0.00025713+0.00014528i,-0.00013272-0.00051516i
0.00049445+0.0017454i,0.00059849+0.00086191i,0.0010878+0.00046765i,0.0012791-0.0011946i,0.0015221-0.0021752i,0.00058447-0.0012589i,0.00025299-0.00023454i,0.00028269-5.2069e-05i,0.00024172-0.00053013i,0.00026562-0.00077684i,-0.00015575-0.0010097i,-0.00050594-0.0011175i,-6.0519e-05-0.00096236i,0.00014631-0.00044577i,-0.00013944-0.00021049i,-0.00027765-0.00044929i,8.8441e-05-0.00041687i,0.00019158+0.00031289i,0.00071372+0.00014771i,0.00086589-0.00051053i,0.00066171-0.00025566i,9.9532e-05+0.00010212i,-0.00068381+0.00018299i
0.0011456+0.00038764i,0.00041649-0.00066835i,2.3541e-05-0.00062273i,-1.912e-05-0.00017093i,0.00049924-8.4748e-05i,0.00102-0.00062534i,0.00038214-0.00069757i,-0.00033075-0.00054871i,0.00026107-0.00035608i,0.0010391-0.00051174i,0.00085835-0.0005258i,0.00046426-0.00044804i,0.00055267-0.00020538i,0.00035775+0.00012085i,0.00011301-0.00049086i,-0.00011959-0.00082021i,-7.792e-05-0.00080139i,0.00022234-0.00047126i,0.00034492+0.00062385i,6.3183e-05+0.00069434i,-0.00067224+0.00064137i,-0.00087229+0.00096422i,-0.00018354+0.00041836i
-0.0025045+0.00088564i,-0.0019892+0.0015392i,-0.0017279+0.0017662i,-0.00080449+0.0023081i,-0.00067754+0.0016049i,-0.000914+0.00093971i,-0.00056041+0.00080904i,-0.00056797+0.00044003i,0.00010191-0.00013822i,-0.0002238-4.7226e-05i,-0.00058735-5.9232e-05i,-7.7334e-05-0.00031321i,0.00054622-0.00087398i,0.0010084-0.0015995i,0.0010064-0.001534i,0.0009591-0.00068069i,0.00040984+3.9039e-05i,0.00024801-3.7493e-05i,1.9048e-05-0.00030368i,-0.00020594-0.0001586i,2.0697e-05+1.6863e-05i,-0.00031164-2.5327e-05i,-0.0005373-0.0006496i
-1.8291e-05+0.00047102i,-0.00017887+0.00035956i,-0.00012713+0.00026092i,-0.00058037+0.0010226i,-0.00018518+0.0013565i,0.00011776+0.00080225i,0.00043546+6.4888e-05i,0.0010162-0.0009066i,0.00071153-0.0012019i,0.0001446-0.000747i,3.9209e-05-0.00012645i,0.00036006+0.00021365i,0.00016042+0.00027569i,-0.0004406+3.4537e-05i,-0.00060346-0.0011838i,-0.00024872-0.0012488i,-0.00093123-0.00018932i,-0.00080842-0.00026912i,0.00045071-0.00072517i,0.00027614-0.00029383i,0.00014972-3.8001e-05i,0.00023106+0.0002314i,-6.0491e-05+0.00038473i
-0.00028579-0.0018403i,-0.00043198-0.0017621i,-0.002022-0.00087615i,-0.0017381+0.00010601i,-0.0009306+0.0016209i,-0.0010024+0.001633i,-0.00045041+0.00037005i,0.00095212+0.00053884i,0.0013239-0.0004906i,0.0010591-0.0010046i,0.00031843-6.7219e-05i,-0.00024033+0.0003246i,0.00027773+0.00032008i,-9.4888e-05+0.00055086i,-0.00094454+0.00025022i,-0.00083636-0.00050754i,-0.00063191-0.00022637i,-0.00056804+0.00060961i,-0.0004366+0.0013942i,-0.00029825+0.0015707i,-0.0005909+0.001089i,-0.0004956+0.00030637i,-0.00043437+7.1946e-05i
-0.00080667+0.00061066i,-0.0002976+0.0013024i,-0.00018544+0.0014079i,-0.00042269+0.00168i,-0.00088563+0.0019754i,-0.00032136+0.0013506i,-9.6611e-05+0.00033077i,0.00014166+2.283e-06i,0.00051125+0.00036251i,0.00047892+0.00020865i,0.00053212-0.00036628i,0.00017231-0.00065685i,-0.00047523-0.00069727i,-0.00032413-0.00083945i,-0.00037641-3.6351e-05i,-0.00019162+0.00052275i,1.7603e-05+7.1942e-05i,-5.3108e-05+0.00036531i,0.00047746+0.00074429i,0.00086762+0.00042769i,0.00069502+0.00012594i,6.3871e-05+0.0001595i,-0.00072065+0.00072026i
-0.0012299-0.00046043i,-0.0020468+0.00065088i,-0.0026764+0.0014614i,-0.0019943+0.0017391i,-0.0016841+0.0017021i,-0.0013169+0.00033124i,-0.00095495-0.00013414i,-0.00040874+0.00047446i,0.00031015+0.00035216i,0.00064508-0.00051113i,0.00054535-0.00082846i,-9.0016e-05-0.0007943i,8.7599e-05-0.00065738i,0.00023462+1.4843e-05i,7.1296e-05-0.00049439i,0.00029727-0.00066763i,0.00020448-0.0006747i,-0.00018027-0.00044237i,-0.00020435-0.00035146i,0.00048463+0.00015086i,0.0001229+0.00043175i,-0.00018052+0.00033329i,-5.4427e-05+0.00040444i
0.0018058+0.000303i,0.001431-0.00032252i,0.0024098-0.00092264i,0.0018106-0.00070426i,-0.00035075-0.0011688i,-0.00049139-0.0015811i,-6.6463e-05-0.00099087i,0.00053837-0.00025403i,0.0016012-0.0005345i,0.0019243-0.00109i,0.0010418-0.0007287i,9.533e-05-0.00031565i,-0.00040273-0.00041758i,-0.00035529-0.00078641i,-1.1936e-05-0.0011125i,0.00038938-0.0015762i,0.00018646-0.0013731i,-0.00031248-0.00036827i,-0.00038867-8.9307e-05i,-0.00083857-0.00015879i,-0.00078525-0.00020141i,-4.1186e-05-0.00070691i,-0.00019699-0.00052142i
0.00053365-0.00080542i,-0.00095427+0.00021677i,-0.0013592+0.0012211i,-0.0013613+0.0017764i,-0.0018772+0.0015545i,-0.001583+0.0014117i,0.00012264+0.00069588i,0.0013234+0.0003148i,0.00073691+0.00011815i,-0.00028693-0.00061658i,-0.00052195-0.0001341i,9.8843e-05+0.0003297i,0.00089647+0.0003848i,0.0011181+0.00050745i,0.00078621+0.00031692i,0.00019506+6.1407e-05i,0.00031128+0.00010592i,0.00058116+0.00026239i,0.00029413+0.00036116i,0.00043889+0.00030458i,0.00024825+3.0519e-05i,-0.00023893-0.00055494i,-0.00027744-0.00064357i
-0.0013929+0.0012472i,-0.0016912+0.0010812i,-0.0015765+0.0016551i,-0.00094107+0.0016974i,0.00038005+0.0010052i,0.0011081-0.00011861i,0.001114-0.00040236i,0.00035865+0.00037063i,-3.2153e-05+0.00034577i,0.00012261-2.8923e-07i,5.5211e-05-0.00030623i,0.00022354+0.00052507i,0.00024203+0.00084309i,0.0002852+0.00037591i,-9.0115e-05+0.00059758i,-0.00060055+0.0010084i,-0.0012683+0.0010832i,-0.00099392+0.00057882i,0.00034792+0.00025356i,0.00022899+0.0002098i,6.9525e-05-0.00044707i,-0.00014251-0.00013986i,-0.0005377-0.0006567i
-0.0029192-0.0011139i,-0.0014527-0.00011191i,-0.0013289+0.0015665i,-0.0015687+0.0031552i,-0.00038313+0.0032693i,0.00083793+0.0025454i,0.00090202+0.0013402i,2.9872e-05-4.3108e-05i,0.00012178-0.00049522i,0.00055114-0.00082821i,0.00070658-0.00044346i,0.0011314-0.00042545i,0.00088816-0.00016157i,0.00066673+7.028e-05i,0.00048085-0.00042033i,-3.2005e-05-0.00040313i,0.00016661-0.00056615i,-9.7614e-05-0.00093904i,-0.00012628-0.00034601i,8.8431e-05+0.00048583i,7.0683e-05+0.00026761i,0.00039186+0.00028912i,0.00014072+0.00054471i
-0.001059-0.0028473i,-0.0017468-0.0018867i,-0.0027719-0.0004377i,-0.0028795+0.0016423i,-0.0030725+0.0034488i,-0.0021245+0.0027075i,-0.00041514+0.00049723i,0.00031502-0.0014209i,0.0011294-0.001679i,0.0013059-0.00058791i,0.00035143+0.00041317i,-0.0005998+0.00099308i,-0.00024681+0.00030787i,2.4808e-05-0.00065653i,-0.00018455-0.00032663i,0.00013612+0.00012736i,0.00048326-5.4752e-05i,0.00010731+0.00014173i,0.00016223+0.00071354i,0.00010797+0.0013419i,-0.00041523+0.0016302i,-0.00025856+0.0010037i,0.00034009+0.00042743i
0.00061163-7.5352e-05i,-1.2395e-05-0.00070983i,-0.00029455-4.9585e-05i,-0.0002001+0.0011592i,0.00040515+0.0015679i,0.0010476+0.0011828i,0.0012452+0.00069352i,0.00029609-0.00014046i,0.00034724-0.00088151i,0.0011362-0.00082853i,8.4476e-05-2.9493e-05i,-0.00071708+0.00016426i,-0.00076466-0.00020927i,-0.00040942-0.00064952i,0.00017405-0.0011148i,0.00041449-0.0010873i,9.0531e-05-0.00012078i,-0.00038467+0.00014801i,-0.00052598-0.0007303i,0.00019222-0.0012874i,0.00045948-0.00092234i,0.00029299-0.00044201i,0.00051883-0.00067757i
0.0010546+0.00032623i,0.00054686-0.00049713i,0.00063437-0.00069773i,0.0003492+7.3261e-05i,-6.8469e-05+0.00012375i,-0.00014776-0.0007756i,-0.00040106-0.00088333i,0.00017388-0.00021655i,0.0013442+0.00010356i,0.0014039+7.661e-05i,-0.00010455-0.00035373i,-0.0011842-0.00060459i,-0.00098834-0.00011717i,-0.00062534-0.00016331i,-0.00026288+3.3658e-05i,-0.00029895+0.00046586i,-0.0005149+0.0003133i,-0.00036055+0.00023901i,0.00032246+2.9949e-05i,0.00015793-0.00026307i,-0.00030322-0.00056202i,-9.8934e-05-0.00060639i,-5.2559e-05-0.00034778i
4.2461e-05-0.0011261i,-0.0010455-0.00043772i,-0.0025909+0.00018661i,-0.0029192+0.00020524i,-0.0025895+5.7889e-05i,-0.0018181-0.00017712i,-0.00080373-0.00021422i,0.00058073+0.00028039i,0.00094169+0.00042295i,0.00049328+0.0006376i,-0.00054893+0.0012105i,-0.00078687+0.0010568i,9.9284e-05+0.0010113i,0.00023162+0.00073269i,0.00029826+0.00077082i,-4.6015e-06+0.00088494i,0.0002677-0.00037177i,0.00035848-0.00085661i,-6.7821e-05-0.00025469i,9.83e-06+0.00026761i,0.00046171+0.00073826i,0.0015595+0.0010364i,0.0014511+0.00040086i
0.00072647+0.0011298i,0.0011959+0.0010213i,0.00053748+0.00074025i,-0.00024932+0.00054363i,-0.00032476+0.00038911i,0.00024398+0.00071869i,7.0535e-05+0.0015739i,0.00045135+0.0010124i,0.0011963-0.0001735i,0.0012517-0.0004179i,0.00077776-0.00012424i,-0.00052745+5.4713e-05i,-0.0012493-0.00075345i,-0.00052778-0.0011487i,-0.00043544-0.00060663i,-0.0010313-0.00020223i,-0.0003414-0.0012422i,-2.8381e-05-0.0016743i,-0.00039891-0.00053715i,-0.0004618-0.00028215i,-0.00049355-0.00059483i,-0.00071129-0.00064316i,-0.00047381-0.00075824i
