-0.0037545+0.0021592i,-0.0019345+0.0018663i,-0.0018901+0.0012746i,-0.0023845+0.00078389i,-0.0021288+0.0005667i,-0.0019954+0.0013291i,-0.001598+0.0019837i,-0.0008765+0.001552i,0.00018386+0.00066016i,0.00057724-0.00043698i,0.00016745-0.0012901i,-0.00069555-0.0015244i,-0.0015644-0.00095393i,-0.0014305-0.00027617i,-0.00077618-0.00079429i,-0.00078247-0.00070879i,-0.00042734+0.00016254i,-0.00014103+0.00076467i,-9.8694e-05+0.00085529i,-5.3868e-05-0.00012809i,0.00037782-0.00023486i,-0.00012664+0.00015843i,-0.001566-0.00034016i
-4.216e-05-0.0009411i,-0.0010437+6.1765e-05i,-0.0022053+0.0016179i,-0.00092109+0.001991i,0.00018717+0.0014348i,-0.0007464+0.001085i,-0.0013225+0.00052522i,-0.00044703-2.8692e-05i,0.00016738-0.00050495i,6.7107e-05-0.00017031i,-0.0004239-3.9098e-05i,-0.00029669+4.7554e-05i,0.00078079+0.00084741i,0.00069892+0.00071299i,9.9483e-06+0.00032889i,-0.00063527-9.6002e-05i,-0.00075236-0.00036105i,-0.00023052+0.00033762i,-5.6887e-05+0.00061841i,-0.00072358+0.00023398i,-0.00064973+0.0003338i,-0.00025351+0.00033483i,-0.00070607-4.6102e-05i
-0.00068767+0.00084003i,-0.0017403+0.00065493i,-0.0020389+0.0012647i,-0.0021661+0.0015563i,-0.0015442+0.0012111i,-0.00031766+0.001036i,-0.00030475+0.0012988i,-0.00050402+0.00039059i,-0.00022123-0.0006159i,-0.00025865-0.00021411i,7.1061e-05+0.00014928i,0.00043899+0.00030002i,0.00042546+0.00017635i,0.00061201-0.00039273i,0.00034452-0.00017376i,-0.00026774+4.3506e-05i,0.00026634+2.0477e-05i,0.00064556+0.00058365i,0.00035963+0.00027588i,0.00022655+0.00013398i,-0.00033371+0.00063916i,-0.00065957-0.00025627i,-0.00080995-0.00091635i
-0.0039755-0.001085i,-0.0026885+0.00037023i,-0.0013733+0.0008446i,0.0005105+0.001124i,0.00093752+0.0013574i,9.797e-05+0.0007119i,0.00052908-0.00027065i,0.0015904-0.00078001i,0.0015047-0.00026138i,0.00072431+0.00060412i,0.00022405+0.00063542i,0.00023012+0.00040651i,0.00040394-5.7794e-05i,0.00041921-0.00045228i,0.00060592-0.00075456i,0.0006956-0.00033112i,0.00028936+0.00070375i,-0.00022444+0.00069769i,0.00026672+0.00033488i,0.00052038+0.00061432i,-2.9356e-05+0.00046707i,0.0002259-0.00025674i,0.00043994-0.00012319i
0.0031502-0.0010454i,0.00031873-0.00044191i,-0.00082525+0.00053228i,-0.0010984+0.00094647i,-0.00051789+0.00018839i,-0.00018702-0.00043525i,-7.3023e-05+0.00022443i,0.0010717+0.00035178i,0.001366-0.00057716i,0.00010433-0.001228i,-0.00072883-0.00087279i,-0.00045903-0.00053266i,0.00051874-0.00059392i,0.0011655-0.00030315i,0.00055745+0.00043172i,-2.5735e-05+0.00070829i,-0.00018169+0.0010229i,-0.00040515+0.00069274i,-0.00072142+0.0002833i,-0.00095499+0.00034155i,-0.0012515+7.862e-05i,-0.0013309-0.00051445i,-0.001172-0.00024225i
-0.0035455-0.0015511i,-0.0031679-0.00064777i,-0.002955-0.00044462i,-0.0029445-7.8608e-05i,-0.0016702+0.00089227i,-0.00083625+0.0012416i,-0.00098493+0.00082666i,-0.00055705-0.00016992i,0.0001504-0.00064081i,0.00065236+0.00010922i,0.00092821+0.00076934i,0.00075408+0.00031412i,0.00057078-0.00030107i,0.0004971-0.00038431i,0.00038558-0.00028745i,0.00029044-0.00044523i,-6.0321e-05-0.00022955i,-0.00045014+0.00043183i,-0.00016798+0.00036643i,-0.00018885+5.305e-05i,-1.4296e-05+0.00035284i,0.00069827+0.00037693i,0.00012914+0.00021976i
0.0019615-0.0017908i,0.0011104-0.0015107i,-0.0003245-0.00080327i,-0.0010898-0.00029101i,-0.00097274-0.00026796i,-0.00090038-0.00013127i,-0.00079577-0.00036874i,0.00017941-0.00030804i,0.0010716+0.00027834i,0.00046595+0.0002556i,-0.00046833-8.5401e-05i,-0.00021915+0.00012659i,0.00025534+0.00045588i,0.00013839+0.00011623i,4.4672e-05-0.00056982i,-0.00038781-0.0012226i,1.0485e-05-0.00085353i,0.00062888+0.00012531i,0.00043698+0.00098377i,0.00010715+0.0013452i,0.0005546+0.001221i,0.00036052+0.0010422i,-0.00033248-0.00010123i
0.00016577+0.0023763i,-0.00076077+0.0014642i,-0.0015462+0.0016177i,-0.0007949+0.0018217i,-0.00016265+0.0012751i,-0.0006328+0.0010659i,-0.00071803+0.00038503i,0.0004478-0.00066665i,0.00069813-0.00086144i,7.0991e-05-0.00050585i,-0.00011367-0.00073606i,8.2118e-05-0.00046138i,-0.00045457-0.00037187i,-0.00036674-0.00048102i,0.00049064-0.00032864i,0.0008697-0.00038348i,0.00079867-0.00019872i,0.00024277+0.00032006i,-0.00034389+0.0006682i,-0.0003306-3.0817e-05i,-0.00018017-0.00065884i,0.00018767-0.0011297i,0.0001791-0.0013354i
5.5232e-05-0.0021738i,-0.0017394-0.00070482i,-0.0024604+0.0014858i,-0.0022931+0.0019995i,-0.0020526+0.00052588i,-0.0016842+0.00016623i,-0.00083006-2.9995e-05i,-0.00021846-1.1292e-05i,0.00033801+1.3937e-06i,0.00043367-0.00047453i,-0.00014029-0.00043668i,-0.00016545-0.00025351i,1.3984e-05-0.00028481i,-2.92e-05-0.00061645i,-0.00044375-0.00030462i,-0.00016869-0.00023342i,0.00036203-1.215e-05i,-0.0003438+0.00071047i,-0.00096941+0.00037176i,-0.00090595-0.00047893i,-0.0008371-0.00076732i,-0.0011441-0.0001486i,-0.00070966+0.00053076i
0.0022193+0.002613i,0.0015306+0.0022748i,0.00076409+0.00165i,0.00065124+0.0012852i,0.00044669+0.00085167i,0.00012748-0.00015371i,0.00046072-3.5508e-06i,0.00094628+0.0011339i,0.00087342+0.0011426i,0.0013524+0.00038148i,0.00091243+0.0003504i,1.1706e-05+0.00018074i,-0.00049094-0.0001303i,-7.6858e-05+0.00027752i,0.00010049+0.00032736i,5.1066e-05-0.00031708i,0.00054437-0.00016551i,0.000735-0.00014256i,0.0012442-0.00014295i,0.0012646+0.00067155i,0.00051586+0.00053184i,2.001e-06-9.2651e-05i,-0.00044984+9.6355e-05i
-0.0027322+0.0022462i,-0.0025146+0.0023673i,-0.0022128+0.00342i,-0.00043264+0.0036786i,0.0012599+0.0020512i,0.0010333+0.00022322i,1.3789e-05+1.985e-05i,-6.2677e-05+0.00037794i,0.0002493+0.00052965i,0.00071943+5.6141e-05i,0.0010547-0.00049203i,5.212e-05-0.00055229i,-0.0011732-0.00074872i,-0.0010951-0.00091919i,-0.00078259-0.00071845i,-0.0008226-0.00033337i,-0.00028355-0.00066213i,0.00051461-0.00091225i,0.00042184-0.00065709i,-0.00019626+0.00035203i,0.00022281+0.0012102i,0.00095858+0.00053449i,0.0012869+5.9971e-05i
-0.00046323-0.0013582i,-0.0020135+8.4692e-05i,-0.0034249+0.00087871i,-0.002422+0.00075087i,-0.00088419+0.0013024i,-0.00034911+0.0011308i,0.00019761+0.0005615i,0.00058156+0.00027865i,0.00073629-0.0002789i,0.0013822-0.00034686i,0.0015572-0.00037361i,0.00085864+0.00020719i,0.00073066+0.00021544i,0.0004047-0.00015244i,-0.00037349-4.006e-05i,-9.3175e-05-0.00046121i,0.00042153-0.00056867i,0.00058002-0.0001075i,0.00049759+0.00029676i,0.00036316+0.0001955i,1.5363e-05-0.00054135i,-1.4023e-05-0.00068744i,0.00014897-0.0001221i
-0.0024953+0.00059569i,-0.0015689+0.00035044i,-0.0012421+0.00025134i,-0.0009998+0.00014581i,-0.00098216-5.6311e-08i,-0.00071144-0.00028074i,0.00032954-0.00027135i,0.00080185-0.00028845i,0.00024253-0.00020656i,-0.0006511-0.00012326i,-0.0012695+0.0002912i,-0.0010424+0.00016058i,-0.0002111-0.00017484i,-0.0001829-0.00029913i,-0.00063705-0.00059925i,-0.00029272+8.9392e-05i,-2.7554e-06+0.00099933i,-5.3684e-05+0.00069692i,-0.00047096+5.6494e-05i,-0.00012619-0.00016223i,0.00053197-0.00057047i,0.00073754-0.00088824i,0.00044825-0.0005827i
0.0017127-0.0019195i,0.0019254-0.0014567i,0.00051431-0.00073354i,-0.00049089-0.0012491i,-0.00040822-0.0019418i,-0.0013888-0.00092197i,-0.0017611+0.00069054i,-0.00010587+0.00061488i,0.00043227-0.00017654i,-0.0001495-0.00058054i,-0.00012141-0.0004423i,-0.00012904+7.0158e-05i,0.00012226+0.00036044i,3.769e-05+0.0009629i,7.2457e-05+0.0011123i,0.00066418+0.00062959i,0.00027467+0.00015917i,9.3269e-05+0.00013183i,0.00012043+0.00057123i,0.00028709+0.00077821i,0.00043829-0.00012419i,0.0003075-0.00097806i,-7.513e-05-0.00058037i
0.00087057-0.0025425i,-0.0011466-0.0011821i,-0.0025561+0.00036226i,-0.0026276+0.0013214i,-0.0023183+0.00068818i,-0.0017835+6.6125e-05i,-0.00073155+0.0002424i,-0.00031187+0.00045264i,-5.3245e-05+0.000431i,0.00017256+0.00029845i,0.00014138+0.00059585i,2.464e-05+0.0010547i,0.00027375+0.0011994i,0.00053495+0.00057913i,0.00059972-0.00030541i,-6.1487e-05-0.00058418i,-0.0005238-0.00014788i,6.4725e-05+0.00041547i,0.00024567+8.7247e-06i,0.00020853-0.00042462i,-4.1624e-05-0.00049825i,-9.8468e-05-0.00043008i,-5.9966e-05-0.00010967i
-0.001953-0.0014817i,-0.0017586-0.0015211i,-0.0014139-0.00023755i,-0.0012404+0.00059856i,-0.00068661+0.00033273i,-0.0012358+0.00032519i,-0.0016571-9.042e-05i,-0.001188-0.00064031i,0.00010797-0.00043811i,0.00074049-0.00012584i,-0.00040405-0.00034i,-0.00088019-0.00038851i,-0.00038251-0.00015888i,-8.0949e-05-0.0004624i,-8.2936e-05-0.00043105i,0.00032791-0.00051881i,0.00017878+5.1894e-05i,-0.00033737+0.00058007i,0.00057247-0.00012344i,0.0012481-0.00052047i,0.00067744+0.00020801i,-0.00033705+0.00042001i,-0.00085437+0.00049906i
0.0019089-0.00029946i,0.00036644-0.0001633i,-0.00028331+0.0008644i,0.00068188+9.7556e-05i,0.00078446-0.00074273i,-0.00047371-0.00038938i,-0.00058492+6.5907e-05i,0.00024454-0.00016301i,0.00075723-0.00063172i,0.00098573-0.00083999i,0.00076605-0.00090572i,0.00061012-0.00067459i,0.00068992-0.00058344i,-0.00012988+0.00022054i,-0.00078913+0.00052567i,-0.0005526+0.00021214i,0.00043792+0.0002464i,0.00075712+0.00060715i,0.00011381+0.00034046i,-0.000123+1.8055e-05i,0.00021794+0.00011872i,0.001132+7.3814e-05i,0.0010014+6.3215e-05i
