-0.0040391+0.0010963i,-0.0034856+0.0003868i,-0.0021631+0.0016467i,-0.0013998+0.0021394i,-0.0006171+0.0025735i,-9.6524e-05+0.0019217i,0.00020334+0.0010095i,0.00041157+0.0016206i,0.00046826+0.0015188i,0.00095336+0.00027054i,0.0012071+0.0001084i,0.00088966+8.8297e-06i,0.00021148-0.00087552i,-0.00016905-0.0014198i,-0.00035055-0.00067544i,-0.00049167+0.00063996i,-0.00033077+0.0006401i,-0.00070226+0.00078262i,-0.0004488+0.00090429i,-0.00035489+0.00013432i,-0.00074466-0.00018374i,-0.00094644-5.0956e-05i,-0.00051356+0.00041173i
-0.0010819-0.0019143i,-0.0016759-0.0025116i,-0.0029989-0.0020833i,-0.0023549+0.00019265i,-0.0011944+0.0020881i,-0.00068673+0.0026364i,-0.00014097+0.0014219i,0.00011141-4.6149e-05i,0.00025387+0.00022728i,-9.5662e-05+0.0010895i,-0.00045024+0.0011493i,-3.5714e-05+0.00035198i,0.00037943+0.00015464i,0.00089999+0.00057312i,0.0010442+0.00022188i,0.00098619-5.0561e-05i,0.00018414+0.00049743i,-0.0008289+9.0598e-05i,-0.00073978-0.00051967i,0.00022559+0.00030888i,0.00091217+0.00033262i,0.00094219-0.000448i,0.00078365-0.00025223i
-0.00029711+0.0043799i,0.00071782+0.0045287i,0.0020516+0.0044368i,0.0026357+0.0034886i,0.001926+0.0018067i,0.0016461+0.00066028i,0.0017224+0.00063773i,0.00081993+0.00040051i,-0.00013716+0.00050632i,-0.00030399+0.00070982i,0.00037561+0.00033993i,0.00078061+0.00045873i,8.9084e-05+0.000215i,-0.00074807-0.00044289i,-0.0005525-0.00040308i,-0.00016099-6.5334e-05i,9.5027e-05+0.00018543i,0.00025368+0.00045218i,-0.00018222+0.00041891i,-0.00057143-4.9196e-05i,-0.0003642+6.3796e-05i,0.00036692+1.6185e-05i,0.00084355+0.0001059i
-0.0024688-0.0018352i,-0.0030342-0.0014961i,-0.0026307+0.00053242i,-0.0015139+0.0021468i,-0.0006723+0.00241i,0.00046502+0.0018481i,0.00037174+0.00098316i,-0.00059123+0.00017454i,-0.00064913+0.00059054i,5.6012e-05+0.0014256i,0.0004229+0.0016238i,6.6719e-05+0.00086723i,-0.00066859-2.4011e-05i,-0.00055775-0.00066948i,0.00023441-0.00089656i,8.2779e-05-6.844e-06i,-0.00012143+0.00062126i,4.1803e-05+0.00044953i,7.7536e-05+5.5981e-05i,-0.00015919+0.00037912i,-0.00031832+0.00096151i,0.00019524+0.00064516i,0.00062162-0.00013651i
-0.0010572+0.0001158i,-0.00074361-0.00022899i,-0.00086726-0.0005214i,-0.0005774+0.00028365i,1.9609e-05+0.0016648i,0.00087241+0.0018589i,0.00091776+0.0012722i,0.00078775+0.0007167i,0.00077858+0.00074002i,5.6299e-05+0.00085023i,-0.00032165+0.00062816i,-0.00032985+0.00017502i,-0.00030285-0.00013577i,0.00037693-0.00010809i,0.00095943+0.00026656i,0.00065484+0.00065768i,0.00014118+0.00059886i,9.7976e-05+0.00046505i,0.00025057-7.3477e-05i,-0.00038235-8.0555e-05i,-0.00047714+0.00094661i,0.0001844+0.00047085i,0.00019867-0.00010762i
0.0025429-0.0024441i,0.0023506-0.0021951i,0.00064535-0.0018728i,-0.0012275-0.00048519i,-0.0019204+0.0012786i,-0.0011655+0.0017849i,-1.4784e-05+0.0001339i,0.00026951-0.00074349i,-4.2476e-05-0.0004275i,-0.00024303-0.00045608i,-0.00024878-9.5261e-05i,9.8212e-05+0.00035195i,0.00070147+0.00017137i,0.00041101+0.00028116i,-0.0002361+0.00010888i,6.0068e-05-0.00024387i,0.00021197-0.0002052i,0.00055644-0.00017491i,0.00056555+5.3273e-05i,-0.00025402+8.2967e-05i,-0.00035064+3.2626e-05i,0.00020805-0.00010848i,0.00051394-0.00075401i
-0.00069159+0.0022062i,0.0005142+0.0032494i,0.00021718+0.0033173i,-0.00056255+0.0026038i,-0.00035793+0.0017846i,0.00016848+0.00099488i,0.00033204+0.00098752i,0.00052658+0.00089844i,0.00047477+0.00061161i,-0.00039667+0.00019454i,-0.00029389-0.00025598i,0.00048691-0.00025344i,0.0001614+0.00018618i,-2.8042e-05+0.00035516i,0.00044223+3.8153e-05i,0.00043306-0.00055819i,0.00032084-0.0005004i,-0.00048683-0.00026678i,-0.00073777-0.00013651i,-0.00045695-5.7408e-05i,-0.00095554-0.00039631i,-0.0011498-0.00041278i,-0.00089651-0.0003287i
0.0019659+9.6573e-05i,0.0010953+0.00079731i,0.0014747+0.00096997i,0.00082799-0.00011184i,0.00015569+0.00085971i,0.00011113+0.0020243i,0.00025898+0.0013545i,0.0003466+0.00022512i,0.00084837-0.00023662i,0.00033845+0.00027075i,1.3609e-05+0.00039885i,-0.00019193-9.9169e-05i,-0.0011268-0.00059136i,-0.0010602-0.00029024i,-0.0006282+0.00060247i,-0.00056615+0.00083592i,-0.00087345+0.00075068i,-0.00043838+0.00065729i,0.00036509+8.7809e-05i,0.00043467+0.00010377i,5.7182e-05+0.00054034i,-0.00015397-1.0114e-05i,0.00068352-0.00081303i
0.00027925+0.00048986i,0.0014647-7.0076e-05i,0.0022178+0.00012958i,0.0014485-0.00060455i,0.0012956-0.00078419i,0.0016899-4.2772e-06i,0.0011796+0.001008i,-0.0003342+0.0012106i,-0.0011177+0.00091551i,-0.00094159+0.0011317i,-0.00018294+0.00075867i,0.00026785+0.00012433i,0.00063202-0.00021848i,0.0010974-9.4943e-05i,0.00063832+0.00075356i,0.00049502+0.00054342i,0.00072948-3.5746e-05i,0.0006973-6.0519e-06i,0.00065292+0.00023161i,3.3318e-05+0.0003703i,-0.00019601+0.00034162i,0.00013727+1.3798e-05i,0.00033722+0.00048928i
-0.0028448-0.0023911i,-0.0037313-0.0027362i,-0.0046068-8.9027e-06i,-0.0033121+0.0018856i,-0.00036879+0.0020619i,0.0011172+0.001261i,0.0010312+0.00010666i,0.0006189-7.3787e-05i,5.2964e-05+0.0006354i,8.0968e-05+0.0013475i,0.00060895+0.0014327i,0.00094967+0.00018837i,0.0014783-0.00070393i,0.0015165-3.7725e-05i,0.00069063+0.00012594i,-0.00017135-2.1871e-05i,-0.00080526+0.00072026i,-0.00088742+0.0012782i,-0.00070784+0.00078878i,-0.00032659+0.00053061i,-0.00050163+0.00060221i,-0.00068191+0.00055369i,2.9631e-05+0.00088879i
0.0016539+0.0017094i,0.0023591+0.0013177i,0.0022275+0.00053878i,0.0014829+0.00044221i,0.00090084+0.0012335i,0.0010483+0.0016071i,0.0012627+0.00054491i,0.00043386-0.00060304i,-0.00033104-0.0011154i,-0.00014298-0.00041771i,0.00038825+8.1871e-05i,0.00019986-0.00037064i,-0.00013271-0.00032777i,-0.00054632+8.2328e-05i,-3.2898e-05+0.00023902i,-0.00031936-0.00037986i,-0.00099611-0.00021996i,-0.00052807+0.0003017i,-0.00021866+0.00013328i,-0.00021142+0.00021952i,-0.00037806-8.1526e-05i,-6.3074e-06-0.00030315i,0.00043196-0.00056616i
