0.00050685+0.0012382i,0.00052803-0.00010899i,0.00051831-0.0021414i,-0.00012981-0.0023918i,-0.00083568-0.0011057i,-0.00099407+0.000354i,-0.00066748+0.0014201i,0.00048118+0.0014277i,0.0014084+0.00096419i,0.00086537-0.00064502i,0.00028108-0.0022441i,-0.0005659-0.002097i,-0.00060454-0.0011568i,-0.00011454-0.00064341i,-0.00029002-0.00057986i,-0.00051958-0.00030063i,-0.00050149+0.00039721i,-0.00042221+0.00048401i,-0.00033592-1.7646e-05i,-0.00015711-0.0002258i,-3.323e-05+4.6329e-05i,-0.00055007-5.4252e-06i,-0.00075879-0.00057554i
-9.6638e-05-0.0018157i,0.0010903-0.0012768i,-0.0010482-0.0012425i,-0.0023414-0.00034196i,-0.0015618+0.0004846i,5.0154e-05+0.00094985i,0.0010759+0.00058506i,0.0006537+0.00011263i,0.00010967-0.00022442i,-0.0001111+1.9967e-05i,-1.4693e-05+0.00068582i,0.00065622+0.0010806i,0.00038754+0.0012602i,-0.00081212+0.00092743i,-0.0012482-0.00027779i,-0.00095249-0.0013423i,-0.00047083-0.00076088i,-0.00013592-0.00013042i,0.00010197+0.00016091i,0.000228+0.00047512i,0.0001587+0.00039522i,2.1267e-05+6.2773e-05i,-5.4055e-05+0.00072847i
-0.0018191-0.00020501i,-0.0011874+5.6102e-05i,-0.0012286+0.0011398i,-0.00035528+0.0015378i,0.0011215+0.00049946i,0.0012154-0.00058395i,-0.00026307-0.001273i,-0.00072075-0.0010062i,0.00037116-2.7946e-05i,7.1615e-05+0.00066405i,-0.00031234+0.00059671i,0.00028113-0.00053085i,9.8224e-05-0.00086722i,-0.00025304-0.00058481i,0.00025595-0.0006268i,0.00056157-0.00025351i,0.00030385-0.00015666i,0.0002094+0.00017818i,-5.182e-05+0.00011715i,0.00019978-0.00013463i,0.00079389-0.00019123i,0.00072213-0.00052886i,-6.2875e-05-0.00070707i
0.00077126+0.001143i,0.0009445+0.0012721i,0.00016606+0.00068862i,0.00060372+6.8554e-05i,0.0013157+0.00063278i,0.0015242+0.00058755i,0.0015804-7.2674e-05i,0.0012416-0.00049729i,0.0012051-0.00033165i,0.00097993+6.8097e-05i,0.00093473-0.00017742i,0.00091035-0.00042607i,0.0010717-0.00091414i,0.0011849-0.00065376i,0.00093847+0.00023941i,0.0011803+0.00066042i,0.001288+0.00037994i,0.00039313+0.00040283i,-0.00079285+0.00047763i,-0.0010131+9.8915e-05i,-5.243e-05-6.3336e-05i,-0.00025993+0.00024165i,-0.00060408+0.0007121i
-0.0011176+0.00091432i,-0.00032114+0.00020932i,0.0010533-0.00052655i,0.00079031-0.00071163i,0.00070035-0.00045547i,0.0010161-0.0005412i,0.00065128-0.00060321i,-0.00049513-0.00025521i,-0.00055258+0.00035522i,0.00056285+0.00073383i,0.00050467+0.0011112i,-0.00049938+0.001318i,-0.0008044+0.00068874i,-0.00060844-0.00011477i,-0.00034292-0.00024076i,-0.00010393-0.00043343i,-0.00044308-0.00077507i,-0.00044204-0.00029155i,8.8574e-05+0.00021519i,0.00027433+0.0003037i,-6.8583e-05+0.00019207i,-0.00020305+0.00029525i,3.8138e-05+0.00017513i
-0.0010704+0.00064992i,-0.0012833-0.00029416i,-0.0014517+0.00060237i,-0.00060649+0.0012654i,0.0011378+0.00091063i,0.0018316+1.8372e-05i,0.0010872-0.0011187i,0.00055943-0.0016684i,0.00030788-0.00084856i,0.00021979+0.00029512i,0.0004809+0.00019023i,0.0010707-0.00024794i,0.00068212-0.00042594i,0.00011801-0.00038151i,0.00048777+0.0002114i,0.00022519+1.084e-06i,-0.0003376-0.00047198i,-0.00029975-0.0006465i,4.0681e-05-0.00083315i,0.00079143-0.00059212i,0.0009568-0.00021605i,0.0011929-0.00010711i,0.0014882+0.00021118i
-0.0015208-3.8103e-05i,-0.0010278+0.0010152i,-0.00030048+0.0016948i,0.00098736+0.0023804i,0.0019374+0.0021308i,0.001982+0.0010708i,0.00097915-8.3809e-05i,-0.00021216-0.0004944i,-0.00042747-0.00068522i,-0.00026602-4.013e-07i,0.00010459-4.1755e-05i,0.00024081-0.00052501i,7.9665e-05-0.00053412i,0.0007781-0.00028164i,0.00091435+0.00065099i,0.0004961+0.00047i,0.00027508-0.00028073i,-0.00032166-9.4617e-06i,-0.00066672-0.00019729i,-0.00025554-3.4451e-06i,0.0001553+0.00051319i,0.00024296+0.00070399i,-0.00031503+0.0010117i
-9.6075e-05-0.0010773i,-0.00092629-0.00050683i,-0.00034247+0.00085238i,0.00019229+0.001361i,0.00086689+0.00092607i,0.0015127+7.9489e-05i,0.00090457-0.00037152i,-8.2148e-05-7.5307e-05i,-0.0004704+0.00011218i,-0.00035216+0.0002891i,8.3784e-05+0.0010386i,-7.1637e-05+0.0012292i,-0.00020242+4.8089e-06i,0.00020369-0.00012869i,-0.00063505+0.00010553i,-0.0013749-0.0010657i,-0.0010089-0.001165i,7.4214e-06-0.00041708i,0.0003164+3.5929e-05i,-3.0997e-05+1.543e-05i,-5.6143e-05+0.00010413i,0.00016629+0.00034157i,0.00018354+0.00086426i
0.0010127+0.00051889i,0.00061354-4.6275e-05i,0.00051789-0.0012168i,0.00089505-0.0013616i,0.0015824-0.0007523i,0.0016314-0.0010466i,0.0013893-0.0018705i,0.00069258-0.0013178i,0.00016224-0.00033465i,4.1489e-05+7.0083e-05i,-0.00022888-0.00017121i,-0.00029979-0.00052961i,-0.00044903-0.0007315i,-0.00021289-0.00015822i,0.00018263+0.00022833i,0.00044562+0.00029008i,0.00037983+0.00073877i,1.6968e-05-9.5725e-05i,0.00026951-0.00021081i,0.0005537+0.00065096i,-7.7995e-05+0.00061005i,-0.00087159+0.00074454i,-0.00035209+0.0012589i
0.00019634-0.00025545i,-7.1611e-05-0.00052263i,-9.6828e-05+0.00018897i,0.00016423+0.00081847i,0.00028924-0.00045644i,0.00054465-0.0010756i,0.00061428-0.00080176i,0.00028162-0.0004233i,-0.00027326-0.00047757i,0.00020252-0.00065104i,0.00042432-0.00022435i,-6.3237e-06+0.0007839i,-0.00019422+0.00076807i,-0.00022297+0.00021527i,2.6081e-05+0.0006049i,0.00068002+0.00077506i,0.00051643+0.0002963i,-1.7943e-05-0.0002823i,0.00079842-0.00022819i,0.00082033-1.8912e-05i,-0.0003192+4.7246e-06i,-0.00095401+0.00024887i,-0.00079794+0.00042094i
-0.00090725-0.00063268i,-0.00043872-0.00012693i,-0.00036368+0.00015393i,0.0001184+0.00018262i,0.00092035+0.0010695i,0.0012963+0.0010671i,0.001341-1.1644e-05i,0.00064544-0.00069998i,0.00018283-0.00063854i,0.00047007-0.00025632i,0.00082991-0.000125i,0.0011026+0.00033164i,0.00083266+0.00012926i,0.00074717-0.00031102i,0.00069288-0.00023824i,0.00021575-0.00026887i,-0.00020474-0.0002981i,-0.00069369-0.00020994i,-0.00022565+9.8829e-05i,3.6647e-06-0.00024109i,-8.9063e-05-0.00093832i,0.00052734-0.0011777i,0.00066753-0.001568i
