0.0026601+0.0014825i,0.0033343-0.00054374i,0.0022456-0.0024572i,-0.00021916-0.0028474i,-0.0022505-0.0020676i,-0.0035302-0.00029466i,-0.0024634+0.0010816i,-8.5064e-05+0.0011072i,0.00087161+0.00062443i,0.000603-0.00017168i,0.00093671-0.00097345i,0.00048364-0.0011357i,-0.00043574-0.00050811i,-0.00031367-0.00054397i,0.00015549-0.0010544i,-0.00032766-0.00076414i,-0.00053926-0.00074138i,-0.00013513-0.0010017i,-0.00032491-0.0010083i,-0.00024056-8.5099e-06i,-0.00036112+0.00023304i,-0.00080598-0.00086497i,-0.00029423-0.00060942i
-0.00033238+0.0014267i,0.00052376+0.0020543i,0.0015479+0.0019492i,0.0014603+0.0011967i,0.0015592-1.6909e-05i,0.0013849-0.00059727i,0.00012016+0.00020889i,-0.00059124+0.0010097i,-6.2972e-05+0.00081734i,0.00065357+0.00071028i,-3.6919e-05+1.0211e-05i,-0.00027471-0.0011502i,0.00088235-0.0013163i,0.00098244-0.00033136i,7.9394e-05+0.0001409i,0.00013091+2.4106e-05i,0.00067692-6.4208e-05i,0.00031832-0.00014456i,3.6019e-05+0.0001426i,-0.00037626+0.00036088i,-0.00011416+0.00038632i,-0.00051575-0.00018309i,-0.00078945-0.00089942i
-0.00088709-0.00015402i,-0.0012616-0.0001546i,-0.00076838+0.00040092i,2.1075e-05+0.00088937i,0.00047227+0.00074097i,0.00064838+0.0007706i,-0.00043144+0.00089172i,-0.0010879+0.0012001i,-0.0011255+0.0014271i,-0.00079139+0.0012599i,0.00060439+0.00046728i,0.00079102-0.00032418i,0.00039565-0.00058586i,-0.00030387-0.00034305i,-0.00010561-7.4977e-05i,0.00080271-2.1639e-06i,0.00063416-2.1047e-05i,-8.7701e-05-6.151e-06i,4.0522e-05+4.0279e-05i,-9.469e-05+0.00030227i,-0.00067386+0.00063508i,-0.00086825+0.0012157i,-0.00028671+0.00054009i
0.00018414+0.0007243i,0.00039588+0.00049465i,0.0009166+1.0946e-05i,0.0020387-9.5628e-05i,0.00090947-4.154e-06i,-0.00068537-0.00010314i,-0.00094147-0.00035133i,-0.00038068+5.1423e-05i,-2.1309e-06+8.9559e-05i,-0.0003383-0.00039105i,-0.00014639-0.00067441i,8.2607e-05-0.001065i,0.0001542-0.0013484i,0.00068776-0.0006214i,0.0007131-0.00061672i,0.00039625-0.0004677i,0.00041047-0.00032822i,2.9405e-05-0.00081662i,-0.00020577-0.00064313i,-0.00024769-0.00017007i,-0.00029381+5.1376e-05i,-0.00035177+0.00031586i,-0.00021721+0.00056896i
0.00072859-0.00029251i,0.00062006-0.0010064i,0.00096832-0.0011453i,0.0021272-0.0011241i,0.0016619-0.0016958i,-0.00021074-0.001588i,-0.00056852-0.00074275i,0.00026871-0.00012475i,8.397e-05-0.00025111i,-0.00015154+7.1668e-05i,0.00024131+0.00011971i,0.00051236-0.00046511i,0.00018335-0.0003646i,0.00022314-0.00029711i,0.00040293-0.00039862i,0.00065007-0.00053572i,0.0010655-0.00043615i,0.00030392+0.00089028i,2.3313e-05+0.00078412i,0.00025941-0.00077947i,0.00034245-0.00061295i,0.00093113+0.00020998i,0.00070954+0.00036277i
-0.0015679-0.00036584i,-0.001551-0.00043481i,-0.0010654+0.0002354i,-0.00041516+0.00081861i,-7.7195e-05+0.00057325i,-0.0006094-0.00022805i,-0.0004008-0.0003834i,0.0003724+0.00017645i,0.00046468+0.00032444i,0.00047068+0.00043026i,0.00061954-0.00020441i,0.00053473-0.00025568i,0.00035848-0.0002899i,0.00024704-0.00069471i,0.00021853-0.00037712i,-0.00010381-0.00023117i,-0.00037128-0.00041211i,2.8493e-05-0.00083137i,0.00059806-0.00052994i,-0.00034655-0.00067231i,-0.0010648-0.00078806i,-0.00041045-3.2703e-06i,0.00023147+0.00036345i
0.0013628-0.0011485i,-0.00026442-0.0012767i,-0.0010226-0.00080776i,-0.00031324-0.0002465i,1.0188e-05-4.058e-05i,-0.00029654-0.00013315i,-0.00032046+0.00014177i,0.00010024+0.00046138i,0.0001276-5.4194e-05i,0.00015546-0.00042219i,0.00086118-0.00032216i,0.00099723+0.00025004i,0.0011081+0.00099585i,0.0011922+0.00071422i,0.00074892-0.0006457i,9.6605e-05-0.0015i,0.00030385-0.00097074i,0.00027142+4.6472e-05i,-8.2242e-05+0.00075959i,-0.00051516+0.001056i,-0.00046428+0.0005629i,-0.00058055+0.00051213i,-0.00088812+0.00051908i
0.0017063-0.00094564i,0.001045-0.00079868i,-0.00025311-0.0010577i,-0.0011585-0.0008188i,-0.0018026-0.00016073i,-0.0011779+4.3047e-05i,-0.00029051-0.00021213i,-0.00014191-9.3189e-05i,-0.00036843-0.0002043i,-0.0010849-0.00015092i,-8.7318e-05+0.00036524i,0.00072241+0.00083876i,0.0002097+0.0003204i,6.3947e-05-0.00059315i,0.00056469-0.00032949i,0.0013552+0.00048252i,0.0010351+0.00091096i,0.00035817+0.00037264i,0.00038652-0.00058332i,0.00013523-0.00088073i,0.00072376-0.00066205i,0.0013367-0.00023582i,0.00072279+0.00033039i
-0.00094546-0.00052559i,-0.0016748-0.00085821i,-0.0012352-0.0011602i,-0.00038263-0.0013127i,-0.00085826+2.5542e-05i,-0.0013187+0.00087819i,6.73e-05+0.00059278i,0.00088106+9.8112e-05i,-0.00018867+0.00011805i,-0.00018519-1.1486e-05i,0.00067642-0.00064409i,0.00023396-0.0011275i,8.1797e-07-0.0011457i,0.00041089-0.0010083i,0.00076851-0.00061216i,0.00068276+4.8159e-05i,-0.0001724+8.9188e-05i,-8.5151e-05-9.8323e-05i,-0.00036509-0.00010912i,-0.00083805-0.00041806i,-0.00023475-0.00060965i,-2.3718e-05-0.0011261i,-0.00020307-0.00094062i
0.0010838-0.00090946i,0.0013545-0.0022269i,0.0017001-0.0017633i,0.00094477-0.00090288i,1.3299e-05-0.00059782i,-0.00092399-0.001081i,-0.0011969-0.0010198i,-0.00064008-0.00013004i,-0.00043273-0.00029058i,-0.00059305-0.00022037i,-0.00023498-0.00017605i,7.102e-05-0.00037232i,-0.0004181-0.00017418i,-0.00081761+0.00032229i,-0.00057026+0.00041333i,-0.0010719-0.00018147i,-0.0010842-0.00057556i,-0.00039435-3.7263e-05i,-5.8832e-06+0.0002313i,0.00012172+8.5801e-05i,0.00020173+8.5245e-05i,4.938e-05-0.00066164i,-0.00028907-0.00054688i
0.00091752-0.00071417i,0.00035456-0.0021636i,0.00086636-0.0025814i,-0.00014434-0.0010472i,-0.00087234-0.0004271i,-0.00026026-0.00083073i,0.00029414-0.00053022i,0.00054256+0.00019408i,2.0715e-05+1.5819e-05i,-0.00016755-0.00091567i,-0.00026661-8.0062e-05i,-0.00067202+0.00060217i,-0.00076001-1.0684e-05i,-0.00076649-0.00096271i,-0.0004073-0.0012146i,0.00010533-0.00081786i,0.00010557-0.00080234i,0.00011392-0.00071037i,0.00053751+0.00035604i,0.00071625+0.00075997i,0.00044437-7.5754e-05i,0.00052604-0.00018557i,0.0009829-0.00034422i
