-0.0020044-0.00016763i,-0.0012705-0.00021601i,-0.0022624-0.00075081i,-0.0025804-0.00085593i,-0.0018008+0.00035573i,-0.0015304+0.0011663i,-0.0016073+0.0015964i,-0.00063322+0.001987i,0.00039981+0.001865i,0.0013191+0.0017483i,0.0023141+0.00091255i,0.0020911+0.00011671i,0.00067-0.00031424i,-0.00020382-0.00082526i,-0.0003766-0.00050964i,0.00017709+0.00015013i,0.00081685-0.0002919i,0.0011288-0.00061622i,0.00081671-0.00024337i,0.00016469-0.00010438i,8.5223e-05+0.00025011i,0.00070464+3.2938e-05i,0.00091095-0.00032609i
-0.0011756-0.0026363i,-0.0018842-0.0014291i,-0.0025022-0.0017266i,-0.0029499-0.00063148i,-0.0026992+0.00065647i,-0.00099468+0.0012105i,-0.00053832+0.00057801i,-0.00061136-0.00020883i,-0.00027477-0.0010593i,-0.00027021-0.00072011i,-4.3392e-05+0.00039529i,0.00033554+0.00041738i,0.0012692+0.0004388i,0.0011991+0.0011493i,0.00036775+0.0011999i,0.00043924+0.00039645i,0.00063907+0.00038793i,0.00038646+0.00097624i,-0.0004581+0.001093i,-0.00064318+0.00085638i,-0.00061727+0.00063987i,-0.0011205+0.00030765i,-0.00091701-0.00018677i
0.001796-0.001644i,0.00075623-0.00094571i,-0.0009365-0.00071446i,-0.0022521-0.0012101i,-0.0030828-0.0014343i,-0.0017563-0.00059702i,-4.2022e-05-2.7016e-05i,0.00038708+0.00046203i,0.00015996+0.00045507i,-0.00015423-0.00034061i,-0.00017716-0.00027167i,-0.00019876+4.1263e-05i,0.00017806+0.00050132i,1.7659e-05+0.00050505i,-0.00063992+0.00033077i,-0.00070004+5.9675e-05i,4.166e-05-0.00048123i,0.00033048-0.00014366i,3.7811e-05+0.00077447i,-0.00041128+0.0011149i,-0.0004147+0.0010207i,-9.0624e-05+0.00054523i,0.00068214+0.00044576i
0.0016259-0.0016461i,-2.2245e-05-0.0020124i,-0.00074466-0.0034762i,-0.0014823-0.0041085i,-0.0017411-0.0042141i,-0.0019677-0.0029367i,-0.00074262-0.0021184i,0.0006955-0.0014698i,0.00062214-0.0010526i,-0.00024327-0.00099797i,-0.0014522-0.00066503i,-0.001496-9.8367e-05i,-0.00087186+0.00097153i,-0.00017288+0.0010311i,0.0006284+0.00022148i,0.00020712-0.00015034i,-0.00071582-0.00044477i,-0.001176-0.00092453i,-0.00039353-0.0010152i,0.00023445-0.00050929i,-6.606e-05-0.00029801i,-0.00037074-0.0006773i,-0.00093347-0.00059713i
-0.00060319+0.00089433i,-0.0004641-0.00051294i,-1.0843e-05-0.0020468i,-0.00019238-0.0028851i,0.00049529-0.0026231i,0.00073512-0.0004801i,-0.0004213+0.00011123i,-0.00086992-0.0003374i,-0.00027089+0.00026779i,9.6029e-05+0.00056546i,5.873e-06+0.00055807i,0.00026066+9.1584e-05i,-0.00040284-0.00026947i,-0.00067881-0.00049419i,-0.00016563-0.00076556i,-0.00020659-0.00025998i,-0.00063148-0.0001973i,-0.0010434-0.00096185i,-0.00048614-0.00072197i,5.8729e-05+0.00058861i,-0.00077927+0.00094646i,-0.0013289+3.6096e-05i,-0.00057646-4.9658e-05i
-0.00070929+0.001741i,-0.0011886+0.0012138i,-0.0012325-4.1326e-05i,-0.00081414-0.0008035i,5.2491e-06-0.0017512i,0.00097809-0.0016188i,0.00099612+0.00014935i,0.00042261+0.00079202i,0.00027541+0.00051658i,0.0001728+0.00045636i,-0.00013835+0.00047092i,-8.8127e-05+0.00037792i,-0.0007971-0.00032883i,-0.00059467-0.0011297i,-0.0001469-0.0013255i,-0.00054686-0.0011541i,-0.00099236-0.00064243i,-0.0010119-0.00070892i,0.00035774-0.00076741i,0.0011929+7.5922e-05i,0.00056709+0.0003203i,0.00031719-0.00025468i,0.00072207+0.00026735i
0.00063954+0.00015009i,0.00075578-0.00019842i,0.001434-0.0016264i,0.0012847-0.0022917i,0.00082994-0.0022952i,0.00055929-0.0018469i,0.00022928-0.00051225i,0.00029522+0.00074255i,0.00080606+0.0010334i,0.00075695+0.00036343i,0.00059481-0.00029372i,0.00033982-0.00058997i,0.00012368-0.00082513i,-0.00012881-0.00071039i,-0.00021082+0.00020104i,-3.0974e-05+0.00020206i,-2.8478e-05-0.00058769i,-0.00097145-0.00060897i,-0.0011661-0.00084122i,3.5613e-05-0.0012802i,0.00046035-0.0008986i,0.00027418-0.00079622i,-0.00031876-0.00063531i
0.00070402+0.0014432i,0.0011415+0.0011323i,0.00062495+0.0012526i,0.00014481+0.00076289i,0.00064748+4.3801e-05i,0.0006119+0.00047709i,0.00051339+0.00095456i,0.00067891+0.00061413i,0.0011647-2.0222e-05i,0.0015102+1.5261e-05i,0.00075206+0.00053325i,-0.00012597+0.0006056i,-0.00039453+0.00083452i,0.00028632+0.0012436i,0.00093995+0.0011134i,0.00076209+0.00063286i,0.00040284+2.3872e-05i,0.00061646+0.00012662i,0.00037001+0.00015019i,-0.00017233-0.0007242i,2.3941e-05-0.00077172i,-6.7432e-06+0.00027097i,-0.00062598+0.0005089i
0.00016098-0.00086448i,0.00023118-0.00087491i,-0.0002676-0.0011595i,-0.00080951-0.001458i,-0.0002701-0.0015604i,-4.6875e-06-0.00087906i,0.00035171-0.00074262i,0.00049093-0.00081034i,-0.00049712-0.00013567i,-0.0012263+9.846e-05i,-0.00042211+0.00030739i,0.00070697+0.00051049i,0.0010889-0.00041361i,0.00077468-0.0005653i,-0.00023741-0.00025488i,-0.00016674-0.00048506i,0.00021954-0.00013814i,0.00032668+0.00034136i,0.00098098+0.00065312i,0.00061586+0.00047521i,-4.1713e-05+0.00056562i,-0.00033384+0.00027145i,-0.00057883+0.00043378i
0.00034657-0.00095167i,0.00028846-0.00086499i,-4.3687e-06-0.0020912i,-9.0143e-05-0.0029175i,-0.00098768-0.0020783i,-0.001639-0.00077445i,-0.0012497-0.00061407i,-0.00062366-0.00069007i,0.00021896-0.00027363i,0.00050572-0.00050465i,-0.00020389-0.00067462i,-0.00030664-5.2919e-05i,-0.00050385+0.00019394i,-0.00093191+0.00030563i,-0.001007+0.00080861i,-0.00034086+2.2117e-05i,0.00053205-0.00087746i,0.00082609-0.00073775i,0.00030826-0.0002358i,0.00032298-0.00042358i,0.00050476-0.00074011i,0.00011667-0.00030647i,0.00019375-0.00055921i
-0.0021088-0.00044025i,-0.0018234-0.00013266i,-0.0019297-0.00014507i,-0.0024768-0.0002711i,-0.0019509+0.00051256i,-0.00080329+0.00044349i,0.00013875-0.00095091i,9.1591e-05-0.0019456i,0.00013068-0.0012934i,0.00029479+0.00021474i,-1.8958e-05+0.00085802i,-0.00015547+0.00055243i,-3.6665e-05-9.5419e-05i,-7.5307e-05-0.00087132i,2.0934e-05-0.0007543i,-1.6392e-05-0.00025989i,-6.977e-05-0.00049201i,-0.00013082-0.00020756i,0.00025864+0.00014538i,0.00083753+0.00023971i,0.0007394+0.0002131i,0.0006162+4.4952e-06i,2.2131e-05-3.079e-06i
