-0.0026977-0.0016758i,-0.0024867+0.00017658i,-0.003185+0.0017245i,-0.0043914+0.0026803i,-0.0045122+0.0023255i,-0.0027816+0.0014639i,-0.001421+0.0020608i,-0.00088642+0.002577i,0.00013823+0.0026535i,0.00082205+0.002761i,0.0010527+0.0025965i,0.00076025+0.0021009i,0.00026208+0.001261i,-0.00010347+0.0007733i,-0.00017604+0.00061558i,0.00030718+0.00025587i,0.0003071-0.0002681i,-9.0954e-05-0.0002005i,0.00010024+0.00025816i,0.00039293+0.00077204i,1.3416e-05+0.00066835i,-0.0004315-0.00054898i,-0.00025141-0.0010848i
0.00021789+0.00020511i,-0.00043321+0.00047413i,-0.0011124+0.00028362i,-0.0013336+0.00029184i,-0.0016991+0.0010404i,-0.0018398+0.0012645i,-0.00061722+0.00065508i,0.00073766+0.00055422i,0.00018669+0.00044284i,-0.00072315+0.00067467i,-0.001016+0.0016216i,-0.00056272+0.0015614i,0.00042314+0.00080037i,0.0003698+0.00025933i,0.00013859-0.00048044i,0.00018939-0.0007803i,6.5352e-05-0.00060954i,-0.00013021-0.00015713i,-0.00039139-5.4674e-05i,0.00034772-0.00072153i,0.0008366-0.00064696i,-0.00019777-0.00080854i,-0.00059066-0.00043411i
-0.0012877+0.0016158i,-0.0017872+0.0024028i,-0.00092017+0.002983i,-0.0013853+0.0032029i,-0.0022029+0.0029129i,-0.0012485+0.0023459i,-4.3559e-05+0.0011708i,0.0006587-0.00049324i,0.00076938-0.00090617i,0.00058667-0.00045156i,0.00086307+0.00054885i,0.0014265+0.00080801i,0.0019663+0.00046647i,0.0016003+0.00054i,0.0011418+0.00060529i,0.0011953-0.00013019i,0.00032694-0.00061774i,-0.00060468-0.00071307i,-0.00050306-0.00062589i,5.3317e-05-0.00040196i,0.00011984-0.00014442i,-0.00030893+0.00011244i,0.00038213+9.2455e-05i
0.0004243+0.00064277i,-0.00060953+0.0010494i,-0.0003328+0.0019853i,0.00014423+0.0014126i,-0.00075486-3.0485e-05i,-0.0014894+0.00055488i,-0.0010433+0.0010671i,-0.00042007+0.001315i,0.00012782+0.0018921i,0.00031647+0.0013563i,0.00098802+9.041e-08i,0.001524-7.1458e-05i,0.00073812+1.5628e-05i,0.0002763+0.00036486i,0.00063927+0.00094726i,0.00082934+0.0010395i,0.00080346+0.00076575i,0.00084914+0.00045291i,0.00044206+0.0002202i,-0.0008516-1.6412e-05i,-0.0013187+0.0001105i,-0.0013459+0.00050543i,-0.0014227+4.6533e-05i
0.0013296+0.00086668i,0.00035932+0.00080025i,-0.00044707+0.0016865i,-0.0012715+0.0008118i,-0.00047916-4.9581e-05i,0.00034194+0.00011409i,-5.5967e-05-7.3177e-06i,-0.00089357+0.00047103i,-0.00041086+0.00028382i,-0.00018276-8.5829e-05i,-0.00030148-0.00025153i,-0.00040793+0.00033873i,4.445e-05+0.00084548i,0.00068621+0.00037445i,2.7827e-05-0.0001456i,-0.00066874-0.00062916i,7.7027e-05-0.00075705i,0.00097064-1.8344e-05i,0.00042493+0.00068892i,-0.00035931+8.9534e-05i,-0.00043574-0.0006121i,0.00035866-0.00037909i,0.00071616-0.0004041i
-0.0004525+0.00031747i,-0.0014335+0.0010879i,-0.0012635+0.0022049i,-0.0023219+0.0018512i,-0.0024693+0.00087054i,-0.00064996+0.0011822i,0.00019322+0.0010289i,0.00011017+0.001202i,0.00062093+0.0014415i,0.00058396+0.0014018i,0.00093516+0.0013632i,0.00088139+0.0010968i,0.00083478+0.00049582i,0.00094139+0.00036984i,0.00031154+0.00044867i,-0.0007451-0.00022724i,-0.0011116-0.00029854i,-8.9202e-05+0.00015053i,8.9973e-05+8.1187e-05i,7.3137e-05-0.0003244i,0.0002562-1.5389e-05i,2.8632e-05+0.00027428i,0.000441+0.00074952i
-0.0018476-0.0026205i,-0.0025789-0.001816i,-0.003101-0.0018162i,-0.0031176-0.00081169i,-0.0027709+0.00093418i,-0.00091339+0.0014859i,0.00071987+0.00083474i,0.00042283+0.00074277i,-6.5747e-05+0.00125i,-0.00014239+0.0014343i,-0.00027643+0.0013309i,-0.0001397+0.00091479i,0.00031357+0.00017892i,0.00032982+0.00034964i,-2.8574e-05+0.00025366i,0.00071798-0.00083996i,0.0013292-0.0010756i,0.00028241-0.00071142i,-0.0001316-0.0007975i,-0.0002113-0.00032967i,-0.0011141+0.00040037i,-0.0012274+0.00016456i,-0.00038751-0.00011365i
-0.00052251+0.00011412i,-0.0013619+0.00083795i,-0.0017068+0.0017001i,-0.0017085+0.001936i,-0.002184+0.0010849i,-0.0021688+0.00068023i,-0.0012082+0.00072628i,-0.00061716+0.00037388i,-0.00023897+0.00071322i,-7.2631e-05+0.00082464i,-2.8061e-05+0.00066553i,0.00065147+0.0004945i,0.0012488+0.00072314i,0.00064385+0.00095825i,-0.00020473+0.00041497i,-0.00019075+0.00051368i,0.00060012+0.00053561i,0.00075995-0.00019869i,0.00057527-0.0003763i,0.00029539+0.00011763i,-0.0002837+0.00014058i,-0.00055217+0.00016251i,-0.00028876+0.00029408i
0.00021098+0.00030629i,-0.0016024+0.00043055i,-0.0013414+0.00036575i,-0.00088467+0.00090486i,-0.0014753+0.0013052i,-0.0014868+0.0011579i,-0.0005069+0.0006266i,-0.00010167+0.0010947i,6.0479e-05+0.0016522i,-3.5727e-05+0.0011881i,7.9892e-05+0.00051074i,0.00057926+0.00068965i,0.000347+0.00069229i,0.00012175+4.6944e-05i,-2.4108e-05-0.00024631i,-0.00012321-0.00083703i,-0.00028337-0.00037238i,-0.00038942+0.00088605i,7.7982e-05+0.00093826i,0.00068406+0.00090001i,0.0011932+0.00063059i,0.00082197+4.2936e-06i,-0.00030726-0.00013766i
-0.0016629-1.249e-05i,-0.0019046+0.00085514i,-0.0031669+0.0016786i,-0.003764+0.0027482i,-0.0031915+0.0029384i,-0.0018379+0.0015541i,-0.00052568+0.00091523i,-0.00050844+0.00051133i,-0.00070318+0.00058636i,-0.00049776+0.00096187i,-0.00035716+0.00088037i,0.00014426+0.00052305i,0.000681+0.00024692i,0.00073672+0.00046111i,0.00072609+0.00039373i,0.00027801+9.658e-05i,-5.1015e-05+0.00027249i,-3.4078e-05-0.00038854i,-0.0003283-0.00057973i,-0.00042078-0.00020266i,-0.00058277-0.000286i,-5.464e-05+0.00061486i,0.00097931+0.00073195i
-0.00099954+0.0010316i,-0.0017072+0.0016677i,-0.0017293+0.0010136i,-0.00090544+0.0015741i,-0.00056475+0.0012369i,-0.00044762+0.00059696i,1.4305e-05+0.0006194i,0.00013457+0.00087253i,-0.00052125+0.00095905i,-0.00082335+0.0011352i,-0.00019885+0.0013954i,0.00092879+0.00092022i,0.0011489+0.0003824i,0.00026087+0.00038674i,-0.00030689+0.0001984i,4.0237e-05+4.8582e-05i,0.00044327+0.00035989i,-2.9177e-05+0.00041726i,-0.00041186+0.00031785i,0.00011351+0.00050996i,2.7683e-07+0.00042613i,-0.00052089+4.7846e-05i,2.7504e-05+5.1021e-06i
0.00037982-0.0003187i,-0.00081793+0.00017631i,-0.0019409+0.0012661i,-0.0020276+0.00077923i,-0.002224+0.00054651i,-0.0019757+0.0011545i,-0.00066822+0.00080027i,-0.00012257-0.0001043i,-0.0003215+0.00025573i,-0.00044737+0.00080367i,-0.00051517+0.0005761i,-0.00034658+0.00039085i,-4.6421e-05+0.00011526i,0.000195-0.00011345i,0.00028585-0.00040969i,4.5773e-05-0.00018154i,0.00011446-0.00016375i,0.00065108-0.00033177i,0.00038141+0.00014683i,7.7671e-05+0.00047407i,0.0003484+0.00031681i,0.00054604-0.00014718i,-3.6007e-05-0.00041125i
0.001969+0.0015792i,0.0011181+0.0016648i,0.00071855+0.0015229i,-0.00061579+0.00053596i,-0.00086136-0.00027684i,-0.00019119-6.9227e-05i,0.00028779+0.00046119i,-3.3391e-05+0.00074624i,-0.00027505+0.0012015i,0.00010187+0.0013371i,0.00054138+0.00064133i,0.00051108+0.0001603i,0.00047262-0.00031293i,0.0003579+0.00013992i,0.00013675+0.0006371i,-0.00012+6.5428e-05i,-0.00012639-0.00030218i,0.00027941-0.00037836i,0.0001959-0.00046045i,0.00016147-0.00019697i,0.000408-0.00026983i,0.00060806-0.0005794i,0.00038895-0.00060362i
-0.00018441-0.0018553i,-0.001332-0.0012997i,-0.0025361-0.00049843i,-0.0031132-0.00026879i,-0.0029851+0.00039628i,-0.0023586+0.0012595i,-0.00089729+0.00085679i,0.0004209+0.00085329i,0.00044482+0.0017625i,0.00015745+0.0012783i,0.00087422-2.3193e-05i,0.00067377-0.00027459i,0.00045028-0.00010202i,0.00052581+4.592e-05i,-0.00032178+0.00034641i,-0.00038938+0.00040637i,-0.00015854-0.00030274i,1.6376e-05-0.00076703i,0.00020083-0.00049208i,0.00029096-0.00017304i,0.00060956+0.00015542i,0.00051924+0.00067231i,-0.00044172+0.00011456i
0.0013907-0.00042785i,0.00106-0.00035694i,-0.0006749-0.00027007i,-0.0020569-0.00070487i,-0.002464-0.0008512i,-0.0013708-0.00027183i,-0.00058981+0.00011301i,-0.00015804-1.0275e-05i,0.0014333+0.00011951i,0.0013993+0.00039104i,0.00011508+0.00039129i,0.00024246+0.00060662i,-0.00020419+0.00097002i,-0.00051873+0.00069839i,3.665e-05-0.00053312i,-0.00016337-0.0011372i,-0.0003316-0.00097379i,0.00024789-0.00071515i,0.00066838-0.00017827i,0.00043367+0.00044553i,0.00035954-3.234e-05i,0.00074092-0.00068699i,6.3541e-07-0.00081027i
-0.00084686+0.0019053i,-0.00095508+0.0010061i,-0.00079445+0.00091452i,-0.0015623+0.00087939i,-0.0021528+0.00029334i,-0.001254-5.9126e-05i,-0.00024298-0.00042101i,-0.00054506-9.5422e-05i,-0.00099259+0.00028969i,-0.00031622-9.4952e-05i,0.0013693-0.00037966i,0.00083063+0.00037313i,0.00028939+0.00059523i,0.00052521+0.00095833i,0.00035666+0.0015253i,0.00051347+0.00082875i,0.00051701+0.00034815i,0.00027756+0.00032245i,3.722e-05+0.00043408i,-0.00033988+8.4935e-05i,-0.00041445-0.00021691i,-0.00012202-2.9591e-05i,-3.5952e-05-0.00026656i
0.00071234+0.0019056i,0.0013655+0.0012784i,0.0013021+0.0011318i,0.00095126-0.00026732i,0.00027605-0.00048796i,-0.00029337+0.0008109i,0.00072744+0.00094841i,0.0010423+0.00054322i,0.00054559+0.00048067i,0.00029954+0.00092524i,0.00065146+0.0011869i,0.0011856+0.00099271i,0.00054286+0.00084508i,-0.00027386+0.00019707i,0.0001718-6.4479e-05i,0.00081698+0.000149i,0.00061149+1.0169e-05i,9.8422e-05-1.7095e-05i,0.00051063-2.9492e-05i,0.0011564-0.00026248i,0.00091419-0.00065671i,-0.00053491-0.00023121i,-0.0011474+0.00030299i
-0.0012965+8.6548e-05i,-0.0019062+0.001452i,-0.0021408+0.0030259i,-0.002816+0.0025088i,-0.0030485+0.0019787i,-0.0015076+0.0022795i,-0.00047573+0.0019944i,-0.00053937+0.0013736i,1.6312e-05+0.00069068i,0.00011269+0.00033043i,0.00024519+0.00040231i,0.00023021+0.00035099i,0.00022182+0.00015503i,0.00050628+0.00023576i,-6.1591e-05-0.00087758i,-0.00031549-0.0011455i,0.00055615-0.00022755i,0.0007709+0.00035555i,0.00019417+0.00078974i,-0.00029213+6.8192e-05i,-0.00075873-0.00027689i,-0.00010903+0.00046365i,-4.2405e-05+0.00043796i
-0.00045979+0.00010094i,-0.00041086+0.00066339i,-6.7857e-05+0.0015822i,-5.0788e-05+0.0011949i,-0.0010832+0.00017029i,-0.001644-0.00030851i,-0.0013982-0.00026291i,-0.0010682-0.00017914i,-0.00053497+9.8837e-05i,0.00013008+0.00043483i,0.00031081+0.00039456i,0.00067734+0.00016429i,0.00093845-0.00014043i,0.00024085+0.00033725i,-0.00021953+0.00088431i,0.00018011+0.00011314i,0.00011107-0.0013621i,5.2237e-05-0.001002i,0.00041457+0.00019481i,-7.9786e-05+0.00013578i,-0.00015657-0.00018455i,0.00065722-0.00054008i,0.00098724-0.00041039i
-0.00048418+0.0011864i,-0.0002551+0.0019492i,-0.0009296+0.0014504i,-0.0010458+0.00058991i,-0.00064427+0.00028952i,-0.00077477+0.00073638i,-0.00069426+0.00050058i,-0.00043961-0.00018747i,-1.6041e-05+0.00066135i,0.00059129+0.0012188i,0.00083477+0.00071582i,0.0012592+9.7781e-05i,0.00080431-0.00024542i,0.00039049-6.6819e-05i,0.00056883-3.7451e-05i,0.00090994-0.00046492i,0.0010862-0.00021482i,0.00017289+0.00037114i,-0.00021265+0.00016099i,-1.1282e-05-3.6322e-05i,0.00036104+0.00013728i,0.0010343+0.00019954i,0.0007949-0.00026875i
0.00055379+0.0011272i,-9.2258e-05+0.0013459i,-0.00055146+0.0020652i,-0.001047+0.0017692i,-0.0011625+0.001217i,-0.0010665+0.00054364i,-0.000661+8.4726e-05i,-0.00067251+0.00027847i,-0.0011774+0.00060133i,-0.00091404+0.00088202i,-7.989e-05+0.001027i,0.00063054+0.00095466i,0.00072686+0.00087663i,0.00060226+0.00041343i,0.0005394-0.00023478i,0.00039014-0.00057441i,0.00011963-8.8829e-05i,-0.00050518+0.0004008i,-0.00068314+0.00046507i,-0.00043796+3.6847e-05i,2.3642e-05-9.0704e-05i,0.00061398+0.00027997i,0.00039163+0.00039277i
-0.0012082+0.00064533i,-0.0015098+0.0010769i,-0.0025942+0.0013525i,-0.0024699+0.0021081i,-0.0018168+0.0032037i,-0.0013087+0.0023619i,-0.00070238+0.00043476i,-0.00031186+6.6768e-06i,-0.00040468+0.00051928i,-0.00059558+0.00075277i,0.0002149+0.000981i,0.00059674+0.0012928i,0.00070168+0.0011959i,0.00077014+0.00097732i,0.0002258+3.3945e-05i,0.00043695-0.00074523i,0.0005554-0.00064743i,-2.3271e-05-0.00049836i,-0.00012973-0.00054126i,0.00048114-0.00027085i,0.00027732-0.0011807i,0.00014855-0.0013825i,0.00052807-0.00018727i
-0.00044755+0.0015921i,-0.00060564+0.0014302i,-0.00038111+0.0027015i,-0.00018304+0.0031219i,0.00032223+0.0019904i,0.00044309+0.0013196i,-0.00045798+0.0010407i,-0.0009646+0.00049707i,-5.7903e-05+0.0007973i,0.00031632+0.0016908i,0.00028325+0.0013359i,0.00092067+0.00064936i,0.00070173+0.00070408i,0.00017839+0.00048648i,0.00076563-0.00017763i,0.0010727-0.00016631i,0.00057601+0.00022174i,0.00040539+0.00082851i,-0.00011319+0.00093711i,-0.00027348+0.00050311i,-0.00051573+0.00043364i,-0.0010411+0.00043029i,-0.00072098+0.00011359i
-0.00062683+0.00027962i,-0.0009176+0.00019423i,-0.0017666+0.00034172i,-0.001436+0.00069641i,-0.00064945+0.0010714i,-0.00035281+0.00094184i,3.9898e-05+0.00037457i,-0.00020723-3.0171e-05i,-0.00067196+0.00016992i,-0.00044395+0.00074498i,1.8398e-05+0.00099422i,0.00048093+0.00093931i,0.00068072+0.00092208i,-7.1932e-05+0.00077777i,-0.00073467+4.5521e-05i,-0.00058714-0.00034978i,-0.00048259+0.0001954i,-0.0009344+0.00011588i,-0.0012805-0.00039872i,-0.00099903-9.8354e-05i,4.3449e-06-9.9239e-05i,0.00052102+9.9618e-05i,7.8864e-06+0.00043318i
