-0.002191+0.00035167i,-0.001628+0.0002616i,-0.0023562+0.00051405i,-0.0023469-5.8021e-05i,-0.0019343+0.00055744i,-0.0014017+0.0017102i,-0.0017936+0.0019829i,-0.0013642+0.0022492i,-3.9347e-05+0.0019496i,-8.5892e-06+0.0010101i,1.0106e-06-5.2445e-05i,0.00042409-0.00067345i,-0.00022455-0.0010474i,-0.0013977-0.0011892i,-0.001727-0.0011209i,-0.0012171-0.00070427i,-0.00032052+0.00066216i,0.00040445+0.00092819i,0.00033684+0.00015265i,6.0078e-05+0.00023207i,0.00022046+0.00033474i,5.456e-05-5.3456e-05i,-0.00092585-0.00041827i
0.00060793-0.0020395i,0.00021844-0.0013927i,0.00014162-0.0010589i,0.00040448-0.00024561i,0.00013407-0.0002997i,-0.00070774+9.1547e-05i,7.6861e-07+0.00053941i,0.00112-5.041e-05i,0.00087832+6.2595e-05i,-0.0001092+0.00043186i,-0.00014357+0.00052679i,0.00033452+0.00078289i,5.2329e-05+0.00053382i,-0.00040591+4.5741e-05i,-0.00019117-0.00020596i,0.00025477-0.00046914i,0.00030543-0.00090182i,3.022e-05-0.0012979i,0.00035678-0.0006106i,-5.3162e-05-0.00044964i,-0.00012227-0.00062578i,-8.336e-05-0.00011649i,-0.00078947-0.00049462i
-0.00066803-0.00036311i,-0.0010332-0.00017159i,-0.0013228+0.001505i,-0.0012959+0.0016965i,-0.00039315+0.00081604i,0.00025563+0.00012458i,-5.2528e-05-0.00014992i,0.00022703-3.9873e-05i,0.00066868+0.00016966i,0.00049894+0.00023983i,5.0988e-05-0.00032975i,0.00019824-0.00058243i,0.00034897+0.00026459i,-0.0003345+0.00032724i,-0.00024748-0.00037677i,-2.8979e-05-0.00027238i,-0.000205+0.00011064i,0.00028466-6.3466e-05i,0.00090374-0.00012485i,0.00088946+4.8869e-05i,-0.00024549+0.00053491i,-0.0011103+0.00095691i,-0.00067325+0.00049942i
0.00069364-0.00077682i,0.001296-0.0019296i,0.0014161-0.0030935i,0.00018205-0.0026247i,-0.00018845-0.00063262i,-0.000683+0.00081354i,-0.0012375+6.5059e-05i,-0.000383-0.00045585i,4.4464e-05+0.00084184i,0.00020051+0.0012309i,0.00011144+0.00065084i,-0.00091826+4.6532e-05i,-0.0012764-0.00037595i,-0.00025818-0.0001069i,0.00080175+0.00047067i,0.001069+0.00042528i,0.0011054-0.00035226i,0.0010875-0.00096377i,0.00053992-0.00096561i,0.00031299-0.00099153i,-0.00012047-0.00099022i,-0.00015335-0.00014497i,-0.00059647+0.00021315i
0.0010739+0.00051031i,-0.00023865-6.3839e-05i,-0.00038112-0.00063121i,0.00016284-0.0015421i,0.00021591-0.0016905i,-0.00092021-0.00055813i,-0.001005+0.00035419i,-0.00020032+0.00014528i,-0.00034325-9.2073e-05i,-0.00033502-0.00016172i,-0.0003409-0.00024097i,-0.00062011-0.00030884i,-0.0005389+0.00024654i,-0.00068569+0.00090637i,0.00028871+0.0010733i,0.00051707+0.00083158i,-0.00026877+0.00012813i,-0.00073412-3.7058e-05i,-0.00077119-0.00025545i,-0.00022375+0.00045532i,8.2321e-05+0.0013767i,0.0011839+0.00084952i,0.0016173+0.00010308i
-0.0011121-0.00030998i,-0.0014972-0.0014389i,-0.001555-0.0019995i,-0.0002841-0.00073099i,0.000579+0.00041801i,-6.0127e-05+4.542e-05i,-0.00066851+0.00034238i,-0.00030465+0.00090217i,0.00035519+0.0008156i,0.00074644+0.00018614i,0.0006046+0.00026699i,0.00053658+7.2389e-05i,0.00038117-0.00060987i,-0.00043149+1.9011e-05i,-0.00097604+0.0011321i,-0.00077602+0.0010806i,-0.00041651+0.00031974i,-0.00015263-0.00047677i,-8.4408e-05-0.00067614i,0.00030921-0.00033983i,0.00042103+0.00015772i,-0.00024012+0.00048816i,0.00039129+0.00014141i
0.00018151-6.0065e-05i,0.0011698+0.00021866i,0.0025375+0.00058532i,0.0024669+0.00073829i,0.0014344-1.8432e-05i,0.00011049-0.00075713i,2.8873e-05-0.00061291i,-0.00014009+0.00040484i,-0.0002596+0.0011816i,0.00083794+0.00077203i,0.0001595-0.00011986i,-0.00084383-0.00044037i,-0.00016341-3.5451e-05i,0.00067085+0.00011728i,0.00094791+0.00039425i,0.00099569+0.00064824i,0.00056429+0.00031905i,0.00022647-0.00039772i,0.0004328-0.0004847i,0.00044035+0.00011048i,-0.00021689+0.00082999i,-0.00029561+0.00052025i,-9.7967e-05-0.00048871i
-0.0007089+0.00098685i,-0.00099298+0.00089859i,-0.0010432+0.0011154i,-0.0014931+0.0007562i,-0.0015568+1.374e-05i,-0.0014894-0.00020842i,-0.00080376-0.00051729i,-0.0004455-0.00045973i,-0.00065405+0.00015922i,-0.00062117+0.00030801i,-0.00089072+0.00026683i,-0.0012474-0.00020725i,-0.00098421-0.00063028i,-0.00051764-0.0006172i,-0.00042091-0.00016627i,-0.00032683-1.2951e-05i,9.2597e-05-4.5282e-05i,0.00054182-0.00039631i,0.0010013-0.00033169i,0.00037743+2.0333e-05i,7.0777e-05+3.9648e-05i,0.00044144-2.6277e-05i,0.00014015+0.00026265i
-0.00032359+7.6876e-05i,-0.00050641-0.0013351i,0.00060276-0.0019086i,0.0014886-0.00033931i,0.0013687-0.00029953i,0.00048441-0.00073067i,-0.0002313-3.4875e-05i,-0.0002087+0.00077075i,-1.4714e-05+0.0010438i,0.0001409+0.00074188i,0.00047631+0.00067621i,0.00052931+0.00041968i,0.00042946+0.00021043i,-0.00037883+0.00084475i,-0.00011616+0.0010427i,0.00025748+0.00057165i,-0.00021795-0.00015428i,-4.4312e-05-0.00043431i,0.00058154-3.1384e-05i,0.00074972+0.00035549i,0.0005709+0.00027616i,0.0010215+1.3487e-05i,0.0012014+7.3514e-05i
0.00084945+0.0010179i,0.00077466+0.0012044i,0.00095757+0.00087805i,0.0014247-0.00026551i,0.00040488-0.0014754i,-0.0010637-0.0012704i,-0.00077308+6.7271e-05i,-0.00066018+0.0010984i,-0.00053431+0.0013903i,-0.00038555+0.00098715i,-0.00050287+0.00092088i,-0.00068712+0.00048775i,-0.00090562-0.00018555i,-0.00089078-0.00039443i,-0.00049308-0.00028298i,-0.00019235-8.4932e-05i,-0.0003425-0.00021982i,5.0069e-05-0.00058873i,0.00071108-0.00029403i,0.0012341+0.00010311i,0.0013939+0.00026636i,0.0014502+0.00046938i,0.0014063+0.00030247i
-0.0034114-0.0010881i,-0.0032786-0.00050348i,-0.00363+0.00071036i,-0.0025175+0.00089054i,-0.00062512+0.00075586i,0.00043701-0.00052573i,0.0010162-0.0011628i,0.00052294-0.00089692i,0.00010633-0.00049752i,0.00023525+0.00061752i,-0.00067798+0.00075033i,-0.00089821+0.00033654i,0.00018222-0.00012221i,0.0005367-0.00069456i,0.00028425-0.00081196i,-0.00010087+3.2683e-06i,-0.00054584+0.00055052i,-0.00019095+0.00014374i,0.00029709+5.7568e-05i,0.00012891+0.00042767i,0.0002045+0.0005584i,0.0002167+0.00015503i,0.0003311-3.9427e-05i
-0.00012983-0.00091209i,-0.00066564-0.00045661i,-0.0005426-0.00041173i,-0.00077052+4.9261e-05i,-0.00063322+0.00050883i,-0.0011033+0.00012628i,-0.0011333+0.00010329i,-0.00022381+0.00078262i,0.00012404+0.00116i,-1.0687e-05+0.00072293i,-0.00027959+0.00028907i,-0.00015987+0.00052341i,-0.00036399+0.00069919i,-0.0010009+0.00092003i,-0.00022826+0.00025318i,0.00057424-0.00045645i,0.0015747-0.00062772i,0.0015966-3.4432e-05i,0.00030334+0.00066966i,0.00047335-0.00016877i,0.00074937-0.00052999i,0.00091001+9.268e-07i,0.0004529-1.269e-05i
-0.00067063-0.00031467i,-0.0016251-1.2599e-05i,-0.0015944-0.00022176i,-0.0012727-0.00054042i,-0.0010685-0.0001302i,-0.0013797+0.00076436i,-0.00087226+0.0008672i,-9.8574e-05+0.0007323i,-0.00039908+0.00047576i,-0.00085258-0.00012358i,-0.00041515-0.00036136i,-0.00046776+0.00044121i,-0.00043477+0.00048314i,0.00028154-7.9619e-06i,0.00056201-0.00037233i,0.00077601+0.00013185i,0.00051323+0.00092342i,0.00065365+0.00097229i,0.00074209+0.00070309i,0.00022421+0.00017324i,-0.00010506-0.00039176i,-0.00048857-0.00069997i,-0.0004811-0.00041062i
-0.0012211-0.0010437i,-0.0010143-0.0010215i,-0.0016328-0.0014962i,-0.0016944-0.0010372i,-0.00020249+0.00037454i,0.00063195+0.0013506i,0.0001639+0.0015767i,-0.00034209+0.0011727i,-0.00036765+0.00045249i,-0.00029225+3.95e-05i,-0.00067095-0.00021373i,-0.00047995-1.4706e-05i,-0.0003553-3.4373e-05i,-0.00048876-0.00023456i,-0.00025888+0.00019908i,0.0001802-0.00020658i,0.00039781-0.0009534i,0.00051114-0.0011416i,0.00026471+0.00017008i,-1.7937e-05+0.00078647i,-0.00014141+0.00036775i,-0.00045838+0.00015411i,-0.00086128+0.00034579i
0.0007358-0.00032514i,0.00052955+0.00010693i,0.00081298+0.0010145i,0.00090106+0.0016318i,0.00061439+0.0010277i,-0.00016312+0.0003388i,-0.00042764+0.00042831i,-9.4205e-05+0.00066546i,-0.00041349+0.00061533i,-0.00059084+8.9181e-05i,-0.00062607-0.00066324i,-0.00035541-0.00051181i,-0.00024397+0.00057575i,-0.0005718+0.0011924i,-0.00079421+0.00038656i,-0.00065686-0.0011917i,-0.00073351-0.001366i,-0.00045154-0.00068737i,0.00040864-2.0485e-05i,0.00026115+0.0007815i,-0.00084187+0.00066895i,-0.00088134+0.00021296i,1.4825e-05-0.00026353i
-0.0010412-0.0012195i,-0.00054966-0.0017999i,-0.00071308-0.0015808i,-0.00083435-0.00077101i,-0.00064994-0.00016346i,-0.0012276+5.2645e-05i,-0.0013638+0.00038211i,-0.00056131+0.00048848i,0.00049798+0.00042783i,0.00053569+0.0001044i,-0.00060185+0.00038996i,-0.00058569+0.00076911i,9.3914e-07+0.0012851i,-0.00086251+0.0010638i,-0.0014592+1.1772e-06i,5.9346e-05-0.00014788i,0.00085255+8.2531e-06i,0.00064337+0.00041635i,0.00066537+0.00025095i,0.00052673-0.00065967i,0.00057641-0.0011089i,0.00034646-0.0010088i,-9.7737e-06-0.00087207i
-0.00081632-0.00062086i,-0.00027626-0.00035486i,-2.4644e-05-0.00017542i,0.00014384+0.00049868i,-0.00087386+0.00070707i,-0.0011895+0.00011219i,-0.00020155-0.00023205i,0.00025261-3.8974e-05i,0.00012957+0.00030957i,4.5505e-05+8.0234e-05i,-0.00040182+0.00022493i,-0.00022738+0.00056504i,0.00024785+0.00032377i,0.00057553+0.00012314i,0.00045316+0.00016856i,0.00048189+3.0785e-06i,0.0010348-2.7515e-05i,0.00075073+6.4025e-06i,0.00022477-0.00020034i,0.00032895-0.00049627i,0.00033799-0.00022701i,0.00024809+8.0449e-05i,0.00069816-0.00011349i
-0.0007415+0.00047188i,-0.00045477+0.00042182i,-0.00057034+0.00021872i,-0.00073366+0.00012139i,-0.00085366+1.6389e-05i,-0.00076895-0.00059493i,-0.00040255-0.00049495i,0.00031654-0.0001674i,0.0010181+0.00027035i,0.00043697+0.00060639i,-0.00019052+0.00054959i,-0.00064322+0.00047886i,-0.00055054+0.00055915i,-0.00067597+0.00065634i,-0.00097003+0.00055604i,-0.00032361+0.00099319i,0.00046536+0.00088914i,0.00037213-0.00022787i,0.00027854-0.00019511i,0.00046329+0.00060574i,0.00025017+0.0011174i,8.6405e-05+0.00071035i,0.00061512+0.00065566i
-0.00073338-0.0015677i,5.6141e-05-0.0010347i,0.0010204-0.00022111i,0.0003055-0.00033301i,-0.00085476-0.0012102i,-0.0009562-0.0010007i,-0.0006858-5.3434e-05i,-0.0010011+0.00063959i,-0.00088252+0.0009728i,0.00011359+0.0005969i,1.8146e-05+8.0716e-05i,-0.00087215+0.00047633i,-0.0002366+0.00060612i,0.00029567+0.00086868i,-0.00032411+0.001031i,2.6875e-05+0.00084009i,0.00093316+0.00067189i,0.0012952+5.2174e-05i,0.00079597-0.00031233i,0.00045844-0.00025333i,0.00054786-4.3921e-05i,0.00090982-0.00048553i,0.0010095-0.00085793i
-0.00093953-0.0016436i,-0.00076553-0.00078267i,-0.00083175-0.00017518i,-0.0010888+0.00011842i,-0.0012014-0.00032663i,-0.0010266-0.00051351i,-0.00051631+0.00012937i,-0.00064029+0.00026483i,-0.0003737-0.00015534i,-0.00045884-0.000372i,-0.00066232-0.00016292i,-0.00015845-0.00025864i,4.3042e-06-0.00050395i,-0.0001879-0.00029819i,-0.00078943-0.00063073i,-0.00054253-0.0013892i,-0.00029348-0.0011076i,-0.0007219-0.0011096i,-0.00014184-0.00090656i,-0.00035586-0.00028117i,-0.0011313+0.00030692i,-0.00089414+0.00052156i,5.1188e-05+9.5489e-05i
-0.00056061-0.00015741i,-0.0011176+0.0001688i,-0.0017936+0.00025421i,-0.0019495+0.00071713i,-0.0012011+0.0017617i,0.00034905+0.001344i,0.0010105+0.00049631i,0.00084208+0.00056908i,0.00069814+0.0010426i,0.0005065+0.00037844i,-3.1478e-07-0.00058649i,-0.00017238-0.00075577i,0.00021967-0.00093271i,0.00057096-6.1693e-05i,0.0001968+0.00038008i,-0.00025977-9.9231e-05i,-0.00078874-2.6549e-05i,-0.001027-7.3922e-05i,-0.00076555+0.00010127i,-1.4388e-05-0.00050049i,0.00089692-0.00096692i,0.00050282-0.00062808i,-0.00010652-0.00017772i
0.0010112-0.00041779i,0.00055056-0.00069781i,0.00078153-0.0010134i,0.00057882-0.00080598i,0.00023134-0.0010048i,-9.2582e-05-0.00035875i,-0.00069768-0.00042035i,-0.00031705-0.00081824i,0.00047945-0.00015093i,0.00010898+8.6801e-05i,-0.00018943+0.00040273i,-5.2488e-05+0.00081595i,0.00031826+0.00015695i,0.00051542-6.1101e-05i,0.00072783+0.00024863i,0.0011012-0.00040725i,0.00074773-0.0010101i,0.00024053-0.00063244i,2.2164e-05-0.00070844i,-0.00034611-0.0004695i,-0.00044926+0.00028093i,0.00056581+0.00015255i,0.0017503-0.00048232i
-0.0014474-0.00050585i,-0.00093763-0.00084956i,-0.0011882+0.00010499i,-0.0009652+0.00091782i,-0.00015215+0.00068233i,0.00021972-9.6641e-05i,-0.00036788-0.00028889i,0.00024158+0.00032044i,0.00020518+0.0010597i,-0.00080001+0.0012698i,-0.00058859+0.00073036i,-0.0003281+9.3675e-05i,-5.1009e-05+0.00012734i,-6.0453e-06+0.00049533i,0.00010286+0.00032374i,0.00062074+0.00016638i,0.00058736+0.00038202i,0.00062536-6.9482e-05i,0.00085394-0.0002023i,0.00050493+0.00062476i,0.00054116+0.00084627i,0.00025161+0.00022301i,-0.00015167-0.00017369i
-0.0018992+0.00070894i,-0.0010581+0.00082482i,-0.00053594+0.0015983i,-0.00045694+0.0013273i,0.00048422+0.00053967i,0.00045496+9.136e-05i,-0.00056132-6.2185e-05i,-0.00065614+6.0647e-06i,-0.00058208+0.00039893i,-0.00067742+0.00081895i,0.00022096+0.00036995i,0.00075032-0.00040034i,3.4573e-05-0.0008676i,-0.00057473-0.00081667i,-0.00016402-4.5145e-05i,0.0005354+0.00057542i,0.00028085+0.00042846i,-0.00019245+0.00017909i,-0.00041164+0.00049738i,-0.00027169+0.00064962i,-0.00065665+0.00063997i,-0.00087087+0.00087002i,-0.00013161+0.00027432i
-0.00017676-7.758e-05i,-0.00049172+2.4212e-05i,-0.00021094-0.00022137i,0.0001254+1.1015e-05i,0.00073416-0.00023604i,0.0010746-0.00039198i,0.00066994+0.00015788i,-0.00025948+0.00046826i,-0.00082051+0.00047502i,-0.00032437+0.00032554i,-0.00036763+0.00041642i,-0.00024551-4.1938e-05i,0.00094112+5.6506e-05i,0.00072444+0.00028473i,-0.00041389+0.00019943i,-0.00019076-7.5789e-05i,0.0006971+0.00015809i,0.0005982+0.00079562i,0.00033384+0.00093051i,0.00070475+0.00073936i,0.00055741+0.00023945i,0.00047523-0.00057425i,0.00085334-0.0007827i
7.6303e-05+0.00054243i,5.4343e-06-0.00035648i,0.00061247-0.0011827i,0.00044032-0.00040105i,-0.00042361+0.00069145i,-0.00063481+0.00067001i,-0.00042872-0.00021828i,-0.00015438+2.8621e-07i,-0.00020044+0.0004701i,-0.00019578+9.6192e-05i,0.00037789-0.00033094i,-0.00011932-0.00086819i,-0.0005565-0.0007414i,-0.00036922+0.00091139i,0.0004239+0.0010534i,0.00078904+0.00043128i,0.00085411-0.00015285i,0.0010755-0.00088415i,0.00095799-0.00064019i,0.00048076-8.4044e-05i,7.4485e-05+2.6497e-05i,-1.5814e-05-5.1718e-06i,-0.00022554-0.00067815i
0.0010855-0.000881i,0.00071978-0.00079255i,0.00053738-0.0014628i,0.00020539-0.0020235i,-0.00078208-0.0016506i,-0.0016135-0.0013447i,-0.0007259-0.00021878i,0.00012501+0.00070537i,0.00076013+0.00069504i,0.00085576+0.0006139i,0.00023352+7.8737e-05i,-0.00029421+0.0002972i,-0.00058429+0.0006545i,-0.000732+4.9688e-05i,-0.00055644-6.1352e-05i,-0.00044485-0.0002288i,-0.00032048-0.00066391i,0.00051286-0.00056837i,0.0011511+0.00010528i,0.00036488+0.0012833i,-0.00039813+0.00098459i,0.00012184-0.00023054i,0.00042481-0.00042421i
-4.0383e-05-0.00076879i,-0.00085377-0.00050103i,-0.001293+0.00071119i,-0.0015546+0.0012222i,-0.0012467+0.00054589i,-0.00013229-0.00058324i,0.00068858-0.0013459i,0.00071119-0.00030907i,-0.00010388+0.0002618i,-0.00040052+0.00029004i,5.9204e-05+0.0011845i,0.00051135+0.0011882i,0.0007169+0.00040144i,0.00029422-0.00014583i,-0.00029166-9.8858e-05i,-0.00019104+0.00029698i,0.00034942+0.00037443i,0.00029715+0.0001692i,-0.00014832-0.00035326i,-0.00047967-0.0012186i,-0.0004631-0.00094283i,4.4506e-05+0.00025174i,-5.1246e-05-2.2989e-05i
-0.00036309-0.00087407i,-0.00013454-0.00033543i,-0.00024371+0.00026932i,-0.00037393+0.00053959i,-0.00027052-4.1557e-05i,-0.00012178-0.00036873i,-0.00099371-0.00025608i,-0.0011883+8.4037e-05i,-0.0004161+0.00039621i,-8.564e-05+0.00017264i,-0.0002456+0.00027888i,-0.00029787+5.383e-05i,0.00016586-0.00018372i,1.2961e-05-0.00047759i,-0.00029697-0.00030685i,-0.00017707+0.00011737i,-3.3153e-05-0.00014086i,-2.0533e-05-0.00021213i,4.3497e-05+0.00054246i,-0.00016+0.0011194i,-6.6989e-05+0.00071861i,1.6268e-06+0.00025932i,-0.00053137-0.00061765i
