-0.0029604+0.00016337i,-0.0025427+8.9419e-05i,-0.0034857+0.00063689i,-0.0026885+0.0011226i,-0.0029483+0.0019623i,-0.0033666+0.0017384i,-0.0014032+0.0010335i,0.00032712+0.00064951i,0.0015819-0.00019393i,0.0023791-0.00036087i,0.0011488-0.00031704i,0.00031184-0.00087704i,0.0014737-0.0013142i,0.001201-0.0010711i,-0.00028707-0.00033172i,-0.00084258-1.9972e-05i,-0.00075371-0.00025403i,-0.0002486+4.4254e-05i,1.1166e-06+0.00021644i,0.00060482-0.00015974i,0.0008865-0.00041844i,0.00070664+0.00019243i,0.00033402-0.00012756i
0.0016627+0.0017745i,0.0010528+0.0010315i,0.0013932+0.00060438i,0.0014547+0.0001796i,0.00062679-0.0001088i,-5.3939e-05+4.8134e-05i,7.168e-05+0.00043613i,0.00044494+0.00040367i,4.3622e-05+7.864e-05i,0.00020335-0.00032339i,0.00081606-0.00085441i,-0.00029187-0.0010944i,-0.0007095-0.00071279i,-9.6728e-05+0.00016712i,-0.00022396+0.00033828i,-0.00028806-6.5058e-06i,-2.9041e-06-0.00083341i,-0.00025322-0.0012083i,-0.00017428-0.00040259i,0.00060522-0.00063181i,0.00061375-0.00082506i,6.4359e-05-0.0003101i,-0.00012143-0.00017143i
-0.0022141-1.6232e-05i,-0.0030679+0.00026173i,-0.0042314+0.00075766i,-0.003275+0.0014339i,-0.0011202+0.0016809i,-0.00040231+0.0013367i,-0.00019108+0.00107i,-8.1745e-05+0.0012719i,0.00018423+0.00075582i,0.00076723+0.00024981i,0.00036144+0.00026538i,0.000502+0.00033581i,0.00041156+0.0001504i,0.00024948-0.00021035i,0.00029328-0.00026277i,0.00052154-0.00061752i,0.00096324-0.0011808i,0.0012306-0.00083516i,0.00091053+0.00028843i,-4.2701e-06+0.00044102i,-2.4295e-05+8.918e-05i,0.00032192+0.00063193i,0.00014733+0.00065497i
0.00091385+0.00050367i,0.00023113+0.00027204i,0.00051377+0.00042432i,0.0010523+0.00028278i,0.00069559-0.00045867i,0.00017291-0.0010726i,7.6551e-05-0.00097733i,0.00037673-0.00029672i,0.00060303-0.0003231i,7.3953e-05-0.00055909i,-0.00039383-8.5018e-05i,-9.9676e-05+0.00028119i,-0.00035156-9.5795e-05i,-0.0011312+0.00025935i,-0.00058831+0.00096731i,-0.00064787+0.0005341i,-0.00055141-0.00033432i,0.00033537-7.5335e-05i,0.00057385-0.0001766i,0.00035816-0.00045886i,-0.00011371-0.00062348i,2.9659e-05-0.00029685i,7.343e-05+0.00024524i
-0.0011906-0.0026911i,-0.0014286-0.0034606i,-0.0015189-0.0029947i,-0.0014687-0.0020132i,-0.0013971-0.0010686i,-0.0015599+5.5027e-05i,-0.00015217+0.00020021i,0.00085464+3.0902e-05i,-7.1728e-05-0.00045572i,-0.00055281-0.0010947i,0.00064937-0.00097167i,0.0016502-0.00048169i,0.0014626-0.0002966i,0.00034322-0.00070471i,-0.00031455-0.00058805i,-0.00036502-0.00037536i,-0.00026488-0.00044496i,0.0001864+8.9046e-05i,-0.00025451-3.0058e-05i,-0.00083059-0.00017421i,-0.00080517+3.9502e-05i,-0.00059346-4.7026e-05i,-0.00040435+0.00033486i
-0.00014355+0.00063593i,-0.00014141+0.0011259i,4.8015e-06+0.0010615i,0.00065574+0.00026705i,0.001589-0.00013233i,0.00092472-0.00033514i,-0.00036753-0.0005668i,-0.00092594-0.00036935i,-0.00014944+0.00013564i,0.00094845-0.00011541i,0.0003075-0.0011071i,-0.00015541-0.0013486i,-5.2537e-05-0.00089367i,-0.0014629-0.00041346i,-0.0018066-0.00019872i,-0.001325+1.8257e-05i,-0.0005388+9.3925e-05i,0.00029223+0.00045157i,-0.00024534+0.00051291i,-0.0012836-7.7403e-05i,-0.00099055-0.00018835i,0.0003053+0.00063277i,0.00030622+0.00084475i
0.0001132-0.00028822i,0.00045744-0.00082628i,-7.6174e-05-0.0010931i,-0.0013134-0.00045564i,-0.0010137+0.00023787i,-0.00010152+0.00023536i,-0.00012862+0.00021576i,3.0632e-05+0.00032531i,0.00072832+0.00032513i,0.001221-0.00029947i,0.0011817-0.0013703i,0.00050266-0.0018008i,-0.00016615-0.0011955i,-0.00054486-0.00090696i,-0.00048533-0.00060733i,-0.00040701-0.00046632i,-0.00010316-0.00091671i,0.00015938-0.0006106i,0.00021176+0.00015543i,-0.00040699-0.00011429i,-0.0013101-0.00081099i,-0.00090628-0.00057621i,-0.00013935-0.00036743i
0.0017009-0.0018113i,0.0010455-0.0014963i,0.00038412-0.001562i,0.00033693-0.0013498i,-5.0496e-05-0.00021233i,-0.00079107+0.00065549i,-0.0013453+0.00032409i,-0.00079358-0.00055513i,-5.7904e-05-0.0013302i,0.00035076-0.0017346i,0.00076835-0.0013861i,0.00076436-0.0003974i,0.00065309-0.00025203i,0.00047511-0.0013012i,-0.00023502-0.0014972i,-0.00080027-0.00081435i,-0.00094828-0.00057535i,-0.00099706-0.00094276i,-0.00037779-0.0010944i,-4.6687e-05-0.00058942i,-0.00035921-0.00055802i,-7.5123e-05-0.00069261i,4.0049e-05-0.00051132i
-0.0010233-0.001442i,-0.00077436-0.0024998i,-0.0014123-0.0024577i,-0.0027048-0.0010334i,-0.0030095-0.00015991i,-0.0016724+0.00052174i,-0.0010352+0.0011907i,-0.00092634+0.0005415i,-0.00062589-0.00064287i,-0.0006859-0.001094i,-0.00077338-0.0006362i,-0.0001821-0.0001252i,-6.1115e-05+0.00036107i,-0.00016767+0.00033535i,0.00017284-1.8233e-05i,0.00088221-0.00019381i,0.0013102-0.00035658i,0.00056647-0.00011413i,-0.00022354-4.8668e-05i,-0.00059967-6.7366e-05i,-0.00094508-0.00040616i,-0.00076708-0.00070203i,-0.00012357-9.1113e-05i
-0.0013975+0.00027809i,-0.0013187+0.00081345i,-0.00077896+0.0018358i,0.00026288+0.0012529i,0.0014699+0.00062032i,0.00088327-0.0003198i,0.00049378-0.00094806i,0.00075261-0.00036817i,0.00090808+0.00028867i,0.0009538+0.00011097i,0.00055466-0.00026046i,0.00010801-6.6995e-05i,-6.9385e-06-0.00026987i,0.00020859-0.00047724i,0.00058078-0.00066611i,0.00061645-0.00055543i,-0.00041855-0.00073245i,-0.0014229-0.0010492i,-0.0011664-0.00066461i,-4.2129e-05-0.00048928i,0.00096932-1.4541e-05i,0.0011988+0.00015848i,0.00052361-0.00016992i
-0.00074792+0.00021412i,-0.00045375+0.00031154i,7.971e-05-0.00020121i,-0.00084183-0.00082166i,-0.0013943-0.0011609i,-0.00099745-0.00085706i,-0.001036-7.0066e-05i,-0.0008996+9.8673e-05i,-0.0010884-0.00056043i,-0.0014315-0.00094436i,-0.00050064-0.0006706i,0.00032934-0.00070015i,0.00074903-0.00010184i,0.00043433+0.00048i,0.00043783+3.5287e-05i,0.0008611+0.00027765i,0.00088385+0.00037183i,0.00095165+0.00031476i,0.00046952+0.00011313i,0.00085358+0.00053843i,0.0011846+0.0012955i,0.00023259+0.00081685i,4.4605e-05+0.00020741i
