-0.0011689+4.0816e-05i,-0.00089441-0.00059176i,-0.0017306-0.00063891i,-0.0017006-0.00026198i,-0.0017898+0.00066375i,-0.001654+0.0014642i,-0.00078842+0.0017712i,0.00025788+0.0014911i,0.0011312+0.00066214i,0.0013704+0.00054772i,0.0012839+0.0010435i,0.0011922+0.0004635i,0.00098319+0.00038749i,0.00016154+0.00037271i,-0.00019257+0.0003002i,-0.00035996+0.00028826i,9.9865e-05-2.5545e-05i,0.00096674+0.00060466i,0.00050153+0.0013646i,-0.00038731+0.001247i,-0.00058791+0.00066971i,0.00017644+0.0006129i,0.00026667+0.00040773i
-0.001338-0.0009852i,-0.0011051-0.0011045i,-0.00049686-0.00090092i,0.00019943-0.00074908i,0.00072822-0.00056994i,0.00087075+3.8783e-05i,4.59e-05-4.813e-05i,-0.00042138+0.00024434i,-0.00042384+0.00080124i,-0.00048396+0.00027575i,-0.00074339+0.0010116i,-0.00032712+0.0012696i,0.00052927+0.00051193i,0.00042414+0.00044428i,-6.6056e-05+0.00049575i,0.00024283+0.00026493i,0.00015515-1.738e-05i,-0.00052542+0.00027137i,0.00014911+0.00042037i,0.0014689+0.00016656i,0.0014038+0.00037286i,0.00035261+0.000282i,0.00011718+0.00011898i
-0.00016072-0.0019917i,-0.00024396-0.00061404i,-0.00071379-0.00051637i,-0.00094569-0.00066327i,-0.00031385-0.00042235i,0.0005793-0.00080193i,0.00026261-0.00064401i,-0.00051913+0.00012421i,-0.00020617+0.00062775i,0.0001414+0.00017984i,-7.1035e-05+0.00091498i,-1.2257e-05+0.0021539i,-4.4848e-05+0.0023294i,0.00038793+0.0013035i,0.00084572+0.00028104i,3.2948e-05-0.00013011i,-0.00049348+8.1886e-05i,-0.0005285+0.0003275i,-0.00047181+0.00013997i,-0.0001782+0.00030646i,-0.00053446+0.00088671i,-0.0010423+0.0014362i,-0.0011169+0.0016772i
-0.0014515+0.00067955i,-0.0019583-0.00056057i,-0.0025461-0.0014572i,-0.0022491-0.0010128i,-0.0012251-0.00018273i,-0.00033467-0.00030039i,-0.00055428-0.00030689i,-0.0005504-0.00033774i,0.00031455-0.00053949i,-0.00049605-0.00037747i,-0.0017101-0.00015015i,-0.00089358-0.0002598i,0.0005711-0.00044168i,0.00068431+0.0004571i,5.2651e-05+0.0010453i,-0.00034633+0.00023543i,-0.00035617-0.00015492i,2.6569e-06-7.7746e-05i,0.00019383-0.00078834i,-0.0005715-0.00082861i,-0.00068093+9.9267e-05i,-0.00053576+0.00084994i,-0.0005312+0.00039191i
0.0035785+0.00012105i,0.0035024+0.00011233i,0.003937-0.00054026i,0.0026892-0.0016477i,0.001234-0.0024012i,0.00032487-0.0012602i,-0.00038325+2.2793e-05i,-0.00038263+0.00050575i,-0.00010177-0.00041134i,-0.0003657-0.0017512i,-0.00029091-0.0011117i,-0.00035169+0.00086869i,-0.00068983+0.0020241i,-0.00010489+0.0021189i,-0.00031691+0.0012958i,-0.00013764+0.00027767i,0.00064152+1.0844e-05i,0.00044965-0.00011635i,0.00069486-0.00050352i,0.00018082-0.00045136i,-0.00058257+1.6315e-05i,-0.00075809+0.00040889i,-0.00037826+0.00050637i
-0.0021112+0.0011458i,-0.0040157+0.00057898i,-0.0031255+0.00070594i,-0.00058359+0.00068196i,0.00039732+0.00013631i,-3.1587e-05-0.00015497i,-0.00016828-0.00078638i,-0.00049322-0.0010118i,-7.1546e-05-0.00071396i,0.0001522-0.00051737i,2.839e-05-0.00057312i,0.00020175-0.00065165i,-0.00011849-0.00055917i,-2.8283e-05-0.00046118i,-0.00084174-0.00010326i,-0.0012389+0.00030079i,0.00012377+5.2683e-05i,0.00091028-0.00022544i,0.00013734-0.00037186i,-0.00053978-0.00034612i,-0.00019981+0.00044184i,0.00048197+0.00083246i,0.00031604+0.00062264i
0.00070054+0.0016275i,0.0013179+0.0011501i,0.0018997+0.00068403i,0.0016905-1.657e-05i,0.0018317-0.00056412i,0.001296-0.00073266i,0.00013794-0.00043586i,0.0001098-0.00016747i,-0.00024648+0.00028715i,-0.00096902+0.00047691i,-2.7685e-05+0.00015447i,0.0004845-9.869e-05i,-0.0001038-0.00035681i,-0.00055456-0.00035421i,-0.00040497+0.00020504i,-0.00049411+0.00069522i,-0.00084212+0.00059628i,-0.00032056-0.00015036i,-1.5767e-05-0.00048971i,-0.00014392-5.3705e-05i,0.00031054+0.00052609i,0.0014344+8.6862e-05i,0.0015085-0.00051524i
-0.0017928-0.0013261i,-0.0032893-0.00037587i,-0.003704+0.00075582i,-0.0024343+0.0010305i,-0.00074764+0.0002427i,0.0010187-0.00019341i,0.00095053-0.00032458i,-0.00027225-0.00012698i,-0.00096525+0.00070048i,2.6018e-05+0.00082354i,0.00073457+9.4302e-05i,0.00041803+9.9154e-05i,0.00068835+0.00010822i,0.00077574+0.0002742i,4.7515e-05+0.0009377i,-0.00023806+0.00082456i,-0.00043386+0.00018809i,-0.0003397-0.00034146i,-0.00015941+0.00020208i,-0.00045523+0.00059215i,-0.00046041+0.00025811i,-0.00014928+0.00039186i,0.00031758+0.001154i
0.00073976-0.00037767i,0.00047903-0.0015851i,1.2717e-05-0.0020283i,0.00015502-0.0011188i,0.00042621-0.00049397i,0.00033121-4.9696e-05i,0.00088259+1.2335e-05i,0.00068316+0.00052073i,0.00018646+0.00095127i,-0.00020766+7.7304e-05i,-0.0005927-1.6418e-05i,0.00012523+0.0011453i,0.00055643+0.0015656i,0.00060464+0.00051565i,0.00072885+0.00020357i,0.00040956+0.00055007i,-0.00035603+0.00054992i,-0.0013033+0.0005047i,-0.0013552+0.00022573i,-0.00073818+6.1536e-05i,-0.00060867+0.00033523i,-0.00056124-0.00039168i,-0.00038-0.00081567i
-0.00053341+0.00012474i,-0.00056454+0.00086727i,-0.0014687+0.0010074i,-0.0013066+0.00020711i,-0.00035132-0.0010002i,-0.00017155-0.00079729i,-0.00093369+0.00019633i,-0.0011768+0.00043245i,-0.00097624-4.9775e-05i,-5.1166e-05+0.00042756i,0.00063489+0.00073819i,0.00054178+0.00081065i,0.00012202+0.0013147i,-0.00077915+0.0013863i,-0.0010412+0.00083903i,-0.00052021+0.00019126i,0.00028143-0.00012514i,0.00099716+0.00010845i,0.00071585+0.00058221i,9.4559e-05+0.00063224i,-0.00055304+0.00050077i,-0.00088663+0.00094433i,-0.00038982+0.00036628i
-0.0012658-0.0013287i,0.0001276-0.0018853i,9.764e-05-0.0023765i,0.00014411-0.0018331i,0.00072915-0.00072778i,0.00044717-0.00037579i,-0.00058313-0.00065405i,-0.00018193-0.001144i,0.00076177-0.0007525i,0.00087732-0.0005849i,0.0007551-0.00064215i,-0.00028922+0.0003129i,-0.00095006+0.00084679i,-0.00064357+0.00027964i,-0.00033809+4.7706e-05i,-0.0007078-0.00043815i,-0.00057684-0.0002585i,-8.8607e-05+9.8102e-05i,-5.5352e-05+0.00015209i,-0.00029233-0.00018815i,-3.1412e-05-0.00031836i,3.5604e-05+0.00019543i,-0.00026925+0.00027358i
