0.000132+0.00024705i,0.00041949-0.00048324i,-0.00090267-0.00012886i,-0.0014521+0.00051768i,-0.0007691+0.00082205i,-9.5977e-05+0.0013783i,-0.00015207+0.0020309i,-0.00011946+0.0021705i,0.00046163+0.0012519i,0.00031665-7.388e-05i,-0.00033482-0.00068712i,-0.00082588-0.0005809i,-0.0010003-0.00032846i,-0.00076489+0.00015453i,-0.00055471+0.00046074i,-0.00053694+0.00067345i,-2.6022e-05+0.00091442i,0.00037532+0.00049037i,-0.00016263+0.0002684i,-0.00048076+0.00049526i,-7.5542e-05-7.7131e-06i,0.00077015-0.00071628i,0.00098184-0.00012098i
-0.0015555-0.0018295i,-0.0016847-0.0020428i,-0.0021837-0.00028426i,-0.00091909+0.0012813i,0.0005821+0.0013136i,0.0012291+0.00078464i,0.00077351+0.00047855i,0.0002354+6.683e-05i,-0.00044249+2.8589e-05i,-0.0010302+0.0011264i,-0.00034773+0.00070494i,0.00056043-9.1339e-05i,6.6685e-05+0.00022361i,-0.00027357+0.00035747i,0.00040122-0.00016692i,0.00055062-0.00044634i,-0.00013128+0.00025985i,-0.00018325+0.00075858i,0.00080717+0.00087565i,0.00053446-5.5473e-05i,-4.9918e-05-0.00064914i,-0.00031067-0.00029317i,-0.00044059+8.9729e-05i
-3.2804e-05+0.0017861i,0.0012616+0.0015481i,0.0018349+0.0015361i,0.0010782+0.0011117i,0.0010811+8.498e-05i,0.001594-0.0011982i,0.0010713-0.0013327i,0.00018159-9.8138e-05i,-0.00044434+0.00062778i,0.00013442+0.00053539i,3.4797e-05+0.00029503i,-0.00056391+4.986e-05i,-0.0007042-9.922e-05i,-0.00090861+6.0745e-05i,-0.00049108-8.9363e-05i,-0.00038599+0.00030342i,-0.00036828+0.00034768i,-0.00027398+0.00034469i,-0.0004578+0.00037162i,-0.00041862-0.00051371i,4.2036e-05-0.00041862i,0.0010222-0.00040042i,0.00076852-0.000121i
-0.00053801-0.00051998i,-0.0015154-0.0017563i,-0.0013294-0.00058595i,-0.00032029+0.0011683i,0.00021906+0.0011564i,-0.00027702+0.0013526i,-0.00034909+0.0013429i,0.00034346+0.00091684i,0.00036395+8.179e-05i,0.00012587-6.2944e-05i,0.00049024+0.00063035i,0.00054949+0.00025742i,-0.00041276-0.00040418i,-0.00081011-0.00016539i,-0.00010369+0.0002107i,4.8049e-05+0.00084224i,-0.0007067+0.0008559i,-0.0010585+0.00015156i,-0.00087876+0.00013478i,-0.0010137-6.0143e-05i,-0.00053751-0.00011931i,-0.00015941-0.00037693i,-4.2796e-05-0.00067087i
0.0012745+0.00038584i,0.0023097+1.8588e-05i,0.0018183-0.00032127i,0.0017125+0.00028885i,0.0018812+0.00070847i,0.0014926+0.0010696i,0.0015996+0.00087829i,0.0011136+7.6389e-05i,0.00044541-0.00053632i,0.00053097-0.00099609i,6.7334e-05-0.00032247i,-0.00031801+0.00081693i,-0.00054637+0.00039721i,-0.00077188+0.00010221i,-0.00064901+0.00017814i,-8.625e-05+0.000341i,-7.389e-05+0.00086965i,-0.00051766+0.00069234i,-0.00021096+0.00034253i,0.00056861+0.00015276i,0.00053165+0.00013217i,1.802e-05+5.2414e-05i,-0.00013963-0.00027794i
-0.00085025-0.00098276i,-0.0013356-0.00095244i,-0.0027085-0.0008855i,-0.0026798-0.00095022i,-0.00090878-0.00051476i,0.00090742+2.5985e-05i,0.00081826+0.00058494i,0.0002982+0.00092243i,-0.00013411+0.00048124i,-0.00091379+5.0342e-05i,-0.00084407-3.5974e-05i,0.00026826+0.00013422i,0.00051974+0.00043229i,0.00026893-0.00026129i,0.00035309-0.0010103i,0.00030753-0.00065591i,0.00033037-0.00027764i,-0.00047026+0.00082436i,-0.00089328+0.0014894i,-0.00084954+0.00072564i,-0.00061151+0.00022693i,0.00010206+0.00014819i,0.00056544+0.0004947i
-0.00094144-0.0017391i,8.536e-05-0.00066723i,4.0462e-05+0.0015192i,-0.0006297+0.0018598i,0.00017528+0.0011849i,0.001233+0.0014108i,0.0010194+0.0012516i,0.00069802+0.00071763i,-4.1773e-05+0.00010417i,-0.00071559+0.00025133i,-0.00032925+0.00067415i,-9.8681e-05-0.00018229i,-0.00062711-0.00062193i,-0.00076791-3.656e-05i,-0.00056533+0.00028299i,-0.0004391+0.00034331i,-0.00025639-0.00016186i,-6.3477e-05-0.00058166i,9.4597e-05-1.6074e-05i,-7.3176e-05+0.00030899i,-0.00091722+0.00038223i,-0.00075501+0.00037545i,-0.00048848+0.00041395i
0.00029035-0.0016839i,-0.0001869-0.0020724i,-0.0001754-0.0016945i,-0.00062162-0.0009652i,-0.00032178-0.00092205i,0.00065024-0.00029877i,0.00037992+0.0006072i,0.00033696+0.00050287i,0.00021461+0.00034412i,-0.00047991+0.00073671i,-0.0011499+0.0010433i,-0.0010781+0.00092618i,-0.001049+0.00054116i,-0.00087068-0.00010118i,-0.00033695-0.00091546i,0.00015036-0.00068462i,0.00031875+0.00032757i,0.00045687+0.00027565i,0.00057835-8.3368e-05i,0.00032198-2.4329e-05i,0.00030893+6.6318e-05i,-8.4537e-06+2.9344e-05i,-0.0006011-0.00010341i
0.0012171-0.0011434i,0.0012188-0.0015407i,0.0012931-0.0014953i,0.00060088-0.00030915i,0.00030912+0.00049778i,0.0013449+0.00067987i,0.00099535+0.00010228i,-0.00032044-0.00043619i,-0.00060152-0.00028789i,-0.0010516-0.00010509i,-0.001614+0.0001925i,-0.0012244-3.5587e-05i,-0.0004797+5.4428e-05i,-0.00054064-0.0002455i,-0.00068529-0.0003996i,-0.0005522-0.00019017i,-8.3527e-05-0.00041903i,0.00088764-0.00048625i,0.001019+0.00014589i,-0.00032284+2.1408e-05i,5.506e-05-0.00069291i,0.00057926-0.0004958i,4.9273e-05+0.00015874i
0.000228+0.00086595i,0.00035758+0.0011823i,0.00098131+0.0012716i,0.0014889+0.00043638i,0.0018414-0.00055318i,0.0010223-0.0014868i,-5.663e-06-0.00073757i,-0.00092463-0.00012659i,-0.0011059-0.00023413i,-0.001107+0.00022925i,-0.001334+0.00063004i,-0.0013969-0.00018179i,-0.0016389-0.00096875i,-0.0012982-0.00070136i,-0.00077865-0.00029442i,-0.00031085+3.7645e-05i,6.4541e-05+0.00057877i,-0.00022124+0.0013772i,-0.00038845+0.00089861i,0.00023003-2.4503e-05i,0.00060131-0.00018021i,0.00042867-0.00042064i,0.0002643-0.00070331i
-0.00013593+0.00024007i,0.00053441-0.00011809i,0.0010281+0.0001334i,0.0012567+0.00028712i,0.00077016+0.00044757i,-0.00048016+0.00074046i,-0.00082863+0.00064364i,-0.00010771+0.00038753i,0.00026785+0.00051304i,0.00046266+0.00023663i,0.00016195+3.5217e-05i,8.0757e-06+0.0003838i,0.00014399-0.00012626i,4.1503e-05-0.001246i,0.00061164-0.00068705i,0.0003919+0.0010443i,-0.00069394+0.0015228i,-0.0002861+0.0010279i,0.00058858+0.00035295i,0.0006785-0.00013706i,-0.00033951-2.3992e-05i,-0.0010473+0.00011675i,-0.0010074-0.00040717i
-0.0009388+0.00082002i,-0.0014311+0.0022329i,-0.0016647+0.0033586i,-0.00030407+0.0030664i,0.0012387+0.0015045i,0.0013185+9.0576e-05i,0.00022342-0.00021696i,-0.00048648+0.00058722i,-0.00053835+0.00083991i,-0.00019572+0.00082798i,0.00026157+0.00099456i,0.00063994+0.00078897i,0.00074474+0.0001526i,0.00046587-0.00032312i,-3.2821e-05-1.762e-05i,-3.2073e-05-8.5299e-05i,-8.1775e-05-0.0009066i,-0.0001775-0.00090699i,0.00068007+0.00017446i,0.00087983+0.00073609i,0.00050291+4.8623e-05i,0.00064688-0.00035776i,0.00070223-0.00055653i
4.7582e-05-0.0015112i,4.7276e-05-0.00098357i,-0.00041113-0.00070735i,-0.00091027-0.00024933i,-0.00087882+0.00040349i,-0.00040719+0.0011432i,5.9709e-05+0.00087525i,0.00042436+6.7427e-05i,-0.00015854-0.00038208i,-0.00085003-0.00031138i,-0.00077339-0.0005174i,-0.00033778+0.00028008i,-0.00060426+0.0011696i,-0.00082451+0.00038261i,0.0001866+0.0003167i,0.001128+0.00066011i,0.0012881+0.00010987i,0.0012943-0.00038172i,0.00099531-0.00012419i,0.00024294-4.5845e-05i,-0.00011204+7.805e-05i,6.039e-05+0.0004867i,-1.4892e-05+0.00015435i
0.00021183+0.00086724i,0.0011199+0.00088027i,0.0015164+0.0011996i,0.0018383+0.001211i,0.0019662+0.00088429i,0.0011029-2.3649e-05i,6.7535e-05-0.00021999i,-0.00035196+0.00046439i,-0.00050791+0.00082732i,-0.0010135+0.00073271i,-0.00017119+0.00012399i,0.00053361-5.6349e-05i,-0.00034165-0.00030265i,-0.000451-0.000266i,-0.00011391-0.00030613i,0.00013128-0.0003629i,7.0575e-05+0.00026312i,-0.00017816+0.00072392i,-0.00019254+3.7645e-05i,1.8451e-05-0.00067166i,0.00045731-0.00078605i,8.5789e-05-0.00026267i,-0.00017093+0.00018723i
0.0013488+0.0011712i,-0.00011491+0.00057267i,0.00028227+0.00089847i,0.0011772+8.2643e-05i,0.0020135-0.00074524i,0.0010092-0.00022737i,0.00020047+0.00066697i,0.00013465+0.0014327i,-0.00026822+0.00096615i,-0.00031926-0.00023497i,-0.00081968-0.00055401i,-0.0015979-0.00043221i,-0.001845-0.00104i,-0.0012324-0.0013825i,-0.00013963-0.0010514i,-1.0369e-05-0.00018822i,0.00016275+0.0014402i,0.00029418+0.0015746i,-0.00016339+0.00059287i,8.6739e-06+0.00050483i,0.00041996+0.00084102i,0.00084923+0.00089721i,0.0005241+0.00059086i
0.00035039+0.00018396i,0.00016377-0.00072892i,0.00043964-0.00028411i,0.0010292-0.00029467i,0.0013837-0.00035637i,0.0024558+0.00058513i,0.0017638+0.00065827i,0.00049205+0.00040753i,0.00036786+0.00051284i,-0.00044552+0.00063469i,-0.0011295+0.00048166i,-0.00095238-0.00024798i,-0.00087143-0.0010607i,-0.00094012-0.00079497i,-0.00082216-0.00031454i,-0.00054573+0.0006709i,-0.00062327+0.0018577i,-0.00036263+0.0019021i,0.00013957+0.00096282i,0.00020593+0.00030731i,-0.00018929-3.4474e-05i,-6.1688e-05-0.00039348i,0.00033937-0.00024369i
0.0013708-0.0010905i,0.00082619-0.0011948i,-0.00038544-0.0019398i,-0.00095638-0.0014344i,-0.0011339+4.2373e-05i,-0.001011+6.988e-05i,-0.00065493-0.000158i,0.00013576+7.4417e-05i,0.00047517-0.00027002i,-0.00063634-0.00074306i,-0.0019029-0.00048454i,-0.001458+0.00063244i,-0.0013198+0.0011434i,-0.0012842+0.00089354i,-0.00042328+0.0013276i,0.00026523+0.0013668i,0.00033573+0.00087147i,0.00031675+0.000554i,0.00043278-0.0005205i,-1.1879e-07-0.0010632i,-0.00018291-0.00052134i,-0.00017293-0.00013345i,-0.00046098+0.00042243i
-0.0021435+0.00090535i,-0.0016627+0.00068421i,-0.0022784+0.0010802i,-0.0014214+0.0020187i,0.00084974+0.0024233i,0.0015035+0.0021431i,-0.00013749+0.0014854i,-0.0015435+0.00071637i,-0.0014928+0.00060936i,-0.00099648+0.0012313i,-0.00068958+0.0015599i,1.8499e-05+0.00088596i,-2.3146e-05+0.00010211i,-0.00027783-0.00026703i,-0.0003611-0.00023701i,-0.0001939+9.8922e-05i,-0.00041692+0.00012546i,0.00028297+0.00019599i,0.00041492+0.00067173i,-0.00034353+0.00055922i,-5.2781e-05-0.00028383i,0.00048973-0.00023667i,-0.00015028+5.6809e-05i
0.00085578-0.00048385i,0.00082057-0.00058634i,0.00093192-0.0010404i,0.0006301+0.00037431i,-0.00017779+0.0010066i,-0.00027559+9.8154e-05i,-0.00017407-4.338e-05i,2.4448e-05+9.0682e-05i,0.00043037+0.00022588i,-0.0003866+0.00013019i,-0.0014214-0.00079107i,-0.0014702-0.0005403i,-0.0010159-0.00027156i,-0.00054034-0.00038113i,-0.00027021-7.9419e-06i,-0.00043195+0.00061751i,-0.00051693+0.00015181i,-0.0003373-0.00012207i,-0.00013809+0.00079672i,9.8313e-05+0.00075759i,-0.00010662-4.9132e-05i,-0.00084973-0.00013185i,-0.00097187+7.1646e-05i
-0.0004341-0.00038634i,-0.00089262-0.00012431i,-0.0012063-0.00083179i,-0.00024464-0.0018444i,0.00059266-0.00062197i,0.00084156+0.00075182i,0.00067833+0.00011144i,0.00046722+9.8718e-05i,0.00019689+0.0005685i,-0.00050927-8.073e-05i,-0.00057169-0.00042846i,-0.00043985+1.9542e-06i,-0.00080319+0.00028036i,-0.0012308-6.0153e-05i,-0.0015016-0.00024616i,-0.00063839-0.00053586i,0.00011656-0.00084749i,0.00011455-9.6294e-05i,-0.00018469+0.00029394i,0.00067693+0.00012293i,0.001247-0.0006017i,0.00035241-0.00083347i,0.00014399-0.00027199i
-6.4719e-05+0.0010557i,0.00059597+0.001619i,0.0009358+0.001256i,0.00087996+0.00092534i,0.00071391+0.0010264i,0.00068414+9.8495e-06i,0.00036991-0.00085078i,-0.00013898-0.00086299i,0.00016689+0.00012467i,0.00051365+0.00099724i,-0.00012757+0.0011706i,-0.00052102+0.001035i,-0.00022165+0.0012409i,0.00027725+0.0010405i,0.00048833+0.00015415i,-0.00020919+0.00014653i,-0.00061373+0.00071869i,-6.9845e-05+0.00059614i,-7.803e-05+0.00063111i,0.00020562+0.00082832i,0.00064297+0.00056504i,0.00011068+0.00016903i,-0.00037601+0.00023427i
0.00058407-7.6789e-05i,0.00047698-0.001259i,1.8933e-05-0.0011371i,5.1037e-05-0.00058265i,-8.2718e-05+0.00016421i,-0.00039032+0.0011051i,1.5677e-05+0.00078976i,-0.00029047+0.00045123i,-6.1733e-05+0.00045325i,-0.00010469+0.00059355i,-0.00097947+0.00052862i,-0.00066348+0.00076702i,-0.0005891+0.00053553i,-0.00090345-0.00018823i,-0.00067498-0.00020058i,-0.0001197+0.00014488i,0.00014851-0.00022721i,-0.00034738-0.00050333i,-0.0011489+0.00014045i,-0.0010671+0.000961i,-0.00096211+0.0004585i,-0.00049384+0.00039578i,0.00017836+0.00069301i
0.0025798-0.00084273i,0.0023626-0.0019995i,0.0020898-0.0025205i,0.0011165-0.0019547i,0.00032815-0.00072922i,0.00043778-0.00069568i,0.00032497-0.0012776i,-6.6462e-05-0.00075029i,-0.00015207-0.00031202i,-0.00055385-4.6822e-05i,-0.00032523+0.00029579i,-0.00016769-0.00011002i,-0.00098405-0.00026822i,-0.0010353+0.00033485i,-0.00037445+1.4734e-05i,-1.8826e-05+0.00015993i,-0.0004052+0.00080273i,-0.00080753+0.00032284i,-0.00016768+0.00021676i,0.00054636+0.00028452i,0.00046882+0.00047226i,-7.4909e-05+0.00043011i,-0.00028085-0.00032415i
-0.00053087-0.00028595i,-0.00087288-0.00030622i,-0.0019735-6.2812e-05i,-0.0017966+0.00066536i,-0.00048846+0.0016586i,0.00093352+0.001182i,0.00081871+0.00013829i,0.00026264-1.2278e-05i,2.5444e-05-0.00020237i,-7.1136e-05+0.00026299i,0.00020169+0.00096135i,0.00065585+0.00071999i,0.00025082+0.00029134i,-0.00038322+0.00057226i,-0.00047886+0.0008476i,4.5877e-05+0.00042112i,0.00011921+0.00048574i,-0.00033166+0.00028959i,-0.00021838-0.00039152i,0.00027259-0.00017878i,0.00059407+0.00024877i,0.00022654-0.00012595i,-9.641e-05-0.00041621i
