-0.0028165+4.6682e-05i,-0.0036127-0.00098215i,-0.0046922-0.0011209i,-0.0037538+0.00021169i,-0.0029176+0.00083891i,-0.0029698+0.0013284i,-0.0022298+0.0014312i,-5.8163e-05+0.0016194i,0.001183+0.0013545i,0.0017883+0.00035247i,0.0023042-0.00021193i,0.00085116-0.00030069i,-9.731e-05-0.00068237i,9.4585e-05-0.00010643i,-0.00032306-0.00011618i,-0.0010972-0.00031619i,-0.001852-9.0995e-05i,-0.0011157-0.00018291i,-4.8774e-05-0.00043929i,-5.2431e-05-9.2471e-05i,-0.0001865-0.00010962i,-0.00035904-0.00018854i,-8.7191e-05+8.8136e-05i
-0.0014352-0.00096013i,-0.0024772-0.00073346i,-0.0033208+0.00050417i,-0.0021879+0.0016624i,-0.0016515+0.00090935i,-0.0017357-0.00028123i,-0.001131-0.0004571i,-0.00070104+0.00039569i,-0.0011443+0.00035506i,-0.00077579-0.00045262i,-9.2857e-05-5.3422e-05i,0.00060225+0.00024575i,0.00049323-2.0176e-05i,-0.00013231-0.00033426i,-0.00036733+7.5849e-05i,0.00016729+0.00091487i,0.00019336+0.00069551i,-0.00049845-0.00020919i,-0.00062087-0.00022273i,0.00036113-0.00038018i,0.0010614-0.00042449i,0.00076028+0.00019186i,0.00039196+0.00035616i
-0.00016095+0.0005996i,8.7869e-05+0.00054592i,0.00025949-0.00018956i,-0.00066662-0.00086934i,-0.0019136-0.00093733i,-0.0017589-0.00049819i,-0.00066896+0.00011571i,-0.00086941+0.00035002i,-0.00063556-0.00027757i,-0.00030103-0.00088646i,-0.00075507-0.0013518i,-0.00064656-0.00086065i,-0.0010248-0.00010397i,-0.0010439-0.00031717i,-0.0003543-0.00068585i,-6.9118e-05-0.00064722i,-0.00015206-0.00013838i,-1.01e-05+0.00037899i,-0.00016838+0.00070349i,-0.00029775+0.00066364i,5.2512e-05-8.3836e-05i,-0.00010878-0.0005875i,-0.00043698+2.8163e-05i
-0.0010249+0.002283i,-0.00044293+0.0024544i,0.00019804+0.0016951i,0.0008022-0.00016569i,0.00022658-0.0012589i,-0.00060352-0.001162i,-0.00077408+4.5066e-05i,-0.00056719+0.00083757i,-0.00047251+0.00087967i,-0.0001596+0.00025616i,-0.00019675-0.00049649i,-0.00033304-0.00083495i,-5.7382e-05-0.0008289i,-0.00065782-0.00084542i,-0.00093139-0.00012963i,-0.00054017+0.00049103i,0.0006025-0.00016444i,0.00080089-0.00078105i,6.3345e-05-0.00080182i,-0.0003079-3.699e-05i,-0.0011504+0.00091993i,-0.0010042+0.00076309i,5.1931e-05+0.00029418i
-0.0015792-0.00075667i,-0.0018371-0.0006649i,-0.0024202-0.00045758i,-0.0022569-0.00031412i,-0.0024698-0.00039304i,-0.0019965-0.00091746i,-0.0013025-0.00043361i,-0.00056783+9.9244e-05i,7.1306e-05+2.9066e-05i,0.00064716-3.4958e-05i,0.0012538-0.00042816i,0.0012111-0.00011787i,0.00037924+0.00021256i,-3.3155e-06-5.3485e-05i,0.0003841-2.7095e-05i,0.0007871+3.8903e-05i,0.00057409+0.00014779i,0.00061561-0.00037932i,0.00086388-0.00036028i,0.00064822+0.00059827i,0.00074113+0.00050281i,0.00073034+0.00054607i,0.00046101+0.00094817i
-0.00048168-0.0010364i,-0.0007629-0.00017956i,-0.00151-0.00051272i,-0.001762-0.00072954i,-0.0016885-0.00066372i,-0.0013447-0.00075073i,-0.0012513-2.8968e-05i,-0.0012741+0.00057895i,-0.00079929+0.00039773i,2.5748e-05+0.00032579i,-1.527e-05-0.00028585i,-0.0006619-0.0002096i,0.00012424+0.00062971i,0.00078162+0.00098999i,0.00086544+0.0007666i,0.00072098+0.00053927i,-5.5852e-05+0.00037889i,-0.0002367+0.00012595i,-0.00013368+0.00049866i,-6.486e-05+0.00077567i,-0.00014003+0.00059792i,-0.00031305-0.00020416i,-0.00042006-0.00018254i
0.00046244+5.1576e-05i,0.0011573+0.00058241i,0.0011189-0.00034337i,-3.8566e-05-0.0015943i,-0.0020532-0.0018865i,-0.0030356-0.001699i,-0.002457-8.9874e-05i,-0.0021008+0.00072512i,-0.00088165-0.00019988i,-0.00020997-0.00081945i,-6.3209e-06-0.00067168i,0.00048641-0.00099217i,-0.00013227-0.0007434i,-0.00044442-0.0002578i,-0.00025665-0.0008681i,-0.00026734-0.00072251i,-0.00015296+0.00055429i,0.0001709+0.001031i,-4.7971e-05+0.00061072i,-2.7634e-05+0.00066785i,0.00059261+0.00031286i,0.00024777+0.00022118i,-0.00051595+0.00039908i
-0.00041112-0.00031722i,-0.00029755+0.0003959i,-0.0014075+0.00089357i,-0.0019346+0.0017624i,-0.0022885+0.0016472i,-0.0020517+0.00061205i,-0.0011075+0.00033176i,-0.00014637+0.00041121i,0.00013835+0.0004978i,0.00017897+0.00045793i,0.00016271+0.00013455i,0.00023081-0.00014333i,0.00090132-0.00034562i,0.00046563-0.00063359i,-0.00041338-0.00024081i,-0.00074069+0.0003025i,-0.00039157+0.0004655i,-0.00031035+0.0001818i,-0.00022846+0.00059137i,0.00018459+0.0010285i,0.00058641+0.00023333i,9.1099e-05-9.1084e-05i,-0.00039865+0.00018556i
0.00011329+0.0010066i,0.0013624+0.0011234i,0.00034224+0.00063066i,-0.0014826-0.0004942i,-0.0023922-0.0011691i,-0.0021985-0.00046326i,-0.0018747+0.00052515i,-0.0013788+0.00080037i,-0.00093924+0.0010105i,-0.00048479+0.0017235i,5.2329e-05+0.0011302i,0.00022704-0.00015684i,0.00010137-5.555e-05i,0.00016734+0.00046439i,0.00045239+0.00095406i,0.00049013+0.00025883i,0.00041175-0.00052247i,0.00043043+0.00059241i,-9.9205e-05+0.0012691i,-0.00039219+0.00051651i,-0.0006809+0.00042422i,-0.00037481+0.00026041i,0.00010467+0.00020419i
0.00020227+0.00036433i,0.00027738-0.0012342i,0.00062779-0.0019743i,0.00038218-0.0012202i,-0.0010976-0.00015973i,-0.0017303+6.9231e-06i,-0.001403+0.00057276i,-0.00041257+0.0011002i,-0.00021171+0.00054949i,-0.00028745+0.00021509i,-0.00021288+0.00012355i,-0.00016593+3.915e-05i,-7.5544e-05-0.00031734i,-0.00024889-0.00021528i,-0.00081538+0.00030107i,-0.0011153-0.00024429i,-8.4794e-05-0.0006139i,0.00088479-0.00073495i,0.00064623-0.0011384i,0.00022729-0.00085968i,0.00069924+0.00018181i,0.00012576+0.00048854i,-0.00033468+0.0001429i
-0.00072154-0.0010874i,-0.00050423-0.00080691i,-0.0009591+0.00016859i,-0.0016109+0.00078803i,-0.0022251+4.853e-05i,-0.0016136-0.00093855i,-0.00083876-0.00096374i,-5.7251e-05-0.00010842i,-3.0808e-05+0.00051504i,0.00046449+0.00066074i,0.0012303+0.0003459i,0.0013101+8.6542e-05i,0.00081001-4.014e-05i,0.00055827+0.00016821i,0.00054925+0.0001041i,-0.00038191+6.2924e-05i,-0.0013565+0.0010607i,-0.0012302+0.0015553i,-0.00047386+0.0011055i,0.000265+0.00039976i,0.00065465+2.3769e-05i,0.00020974+0.00084939i,-0.00021837+0.00096416i
