0.00092349+0.00097295i,0.0012669-0.0003783i,0.00049301-0.00097684i,-0.00075447-0.0012911i,-0.0022008-0.002055i,-0.0025194-0.00031096i,-0.0015776+0.0016781i,9.006e-05+0.0022297i,0.00080394+0.0017475i,0.00058962+0.00077004i,0.00054453-0.00015175i,0.00044161-0.00025108i,-7.4466e-05+0.00079065i,-0.001014+0.0014662i,-0.0012585+0.00088792i,-0.0012625+0.00053129i,-0.00053836-4.1381e-05i,-0.00015951-1.7447e-05i,-0.00033607+0.00028131i,0.0004758-0.00019176i,0.00024168-0.00072085i,-0.00025278-0.00069222i,0.00011661-0.00050365i
0.00048213-0.0014484i,-7.591e-05-0.0011163i,-0.00043116-0.0015806i,-0.00014074-0.0014697i,0.00039474-0.0013275i,-0.00017068-0.00044435i,-0.00013824+0.00045625i,0.00037015+0.0005586i,0.00058077+0.00040462i,0.00034682+0.00044318i,-0.00047612+0.001081i,-0.00099887+0.0011694i,-0.0010649+0.00097646i,-0.00050641+0.0012286i,0.00017721+0.0010341i,0.0004199+0.0010131i,0.00053022+0.00072965i,0.00047886+0.00040141i,0.00062299-0.00011637i,0.00045608-0.00033906i,0.00015827-0.00021294i,2.8815e-05-0.00044309i,-0.0002928-0.00079639i
-0.00078776+0.0011459i,-0.00028124+0.0011251i,0.00056318+0.0010759i,0.00078688+0.00019776i,0.0007106-0.00092477i,-0.00018136-0.0010767i,-0.0012413-0.00030819i,-0.0011312+0.00048569i,-0.00060522-0.00017336i,-0.0002943-0.00077211i,0.00075216-2.9049e-05i,0.00092884-0.00045751i,-0.00023285-0.00073632i,-0.00086755+2.1455e-05i,-0.00056775+0.00021164i,0.00042534+6.6939e-05i,0.00044525+0.00042922i,0.00022807+0.00041455i,0.00025112-0.00047232i,0.00043246-0.00093113i,0.0002355-0.00057445i,-0.00027011+0.00017913i,0.00010303+0.00047108i
-0.001477+0.0028494i,-0.00045647+0.0029381i,0.00033534+0.0030916i,0.001327+0.001267i,0.0018319-0.00089122i,0.0016053-0.0011715i,0.0010196-0.00049131i,-7.0644e-05-1.7898e-05i,-0.00098884+5.379e-05i,-0.00082539+0.00046156i,-0.00012069+0.00075742i,0.00045435+0.0006591i,0.00029686+0.00032239i,-0.00041902-0.00041795i,-0.0003047-0.001151i,0.00024222-0.00058879i,0.00026046+0.00033623i,0.00018093+0.00048818i,0.0003654+0.00070382i,0.0005588+0.00045916i,0.00028266-0.00013486i,-0.00036359-0.00055307i,-0.00051307-0.00049311i
0.0011995-5.8302e-05i,0.00054357+0.00036698i,0.0014534+0.00026534i,0.0022472-0.00046387i,0.0014661-0.0019681i,-0.00013427-0.0017815i,-0.00084377+0.00013461i,-0.00031026+0.00057105i,8.7007e-05+0.00023592i,0.00037806+0.00028068i,0.00022727+0.0010646i,-2.9954e-05+0.0015595i,-0.00046221+0.0017858i,-0.001101+0.00082752i,-0.00037839-0.00017633i,0.00072763-0.00014856i,0.001247+0.00034755i,0.0012944+0.00088445i,0.00080835+0.00088643i,0.00047739+0.00042966i,0.00019864-3.2711e-05i,-0.00010601-5.5703e-05i,-7.1413e-05-0.00087729i
0.00092931+0.0015011i,0.0010026+0.0011066i,0.00053693+0.0007866i,0.00025647+0.00082047i,0.00049739+0.00029194i,0.00025197-2.8478e-05i,4.5374e-05+0.00031783i,0.00040304+0.00018554i,0.00039624+0.00037269i,-0.0001466+0.00050665i,0.00010342-0.00025662i,0.00032366+0.00016284i,-0.00029499+0.00087169i,-0.00041365+4.1331e-05i,0.00045304-0.00071038i,0.00037129-0.00041101i,5.2277e-05-7.0108e-06i,0.00032489+5.1297e-05i,0.00011515-0.00035987i,-0.00052632-0.00089927i,-0.00081262-0.00011071i,-0.00051723+0.00040197i,-9.4528e-06-0.00053413i
0.0009059+0.0005115i,0.001185+0.00024788i,0.001779-0.00042025i,0.0019695-0.001215i,0.00095381-0.0020565i,0.00019457-0.0020435i,-1.6394e-05-0.0010992i,-0.00038113-0.00031853i,-0.0010131-0.00018159i,-0.0014166-0.00012115i,-0.0010032+3.8943e-05i,-0.00079665+0.00038929i,-0.0010242+0.0005996i,-0.00049565+0.00044783i,0.00011934-5.7532e-05i,0.00081784-0.00038352i,0.0011136+0.00046184i,0.001239+0.00082973i,0.0012095+0.00047186i,0.00045889-0.00086359i,0.00014456-0.0019248i,0.00012874-0.00089143i,-0.00027557+0.00051871i
0.00030384-0.00021377i,0.00066131+0.00010306i,0.00092092+0.00025489i,0.00055381-0.00012368i,0.00035346-0.00099278i,-0.00011961-0.00072781i,-2.8531e-05-0.00036431i,0.00099739-0.0002641i,0.00054252-0.00034292i,-5.8254e-05-0.00050214i,0.00094813+0.00021363i,0.00027152+0.001234i,-0.00099586+0.0017242i,-0.00096614+0.0016014i,-0.00074159+0.00041688i,-0.00035349-0.0004326i,0.00038739-0.00059819i,0.0010064-0.0004898i,0.0011763+0.00010435i,0.00068115+0.00058948i,0.00030084+0.00070007i,0.0001799+0.00091933i,-0.00014477+0.0003149i
0.0014966+0.00081131i,0.0017185+0.0010034i,0.0023507+0.0010078i,0.0022955-0.0011716i,0.00065846-0.0026587i,-0.00075228-0.0017833i,-0.00044183+0.00017174i,0.00015026+0.00091925i,0.00041198+0.00078172i,0.00025426+0.00010818i,0.00074918+0.0001584i,-0.00010676+0.0011029i,-0.00081885+0.00146i,-0.00033617+0.0007021i,-0.00088105+0.00025718i,-0.00076138+0.00017291i,-2.901e-05-0.00030506i,0.00019241-0.00023i,0.00033758+0.00035123i,-3.773e-06+6.3082e-05i,-0.00017596-0.00048688i,-3.9727e-05-0.00046056i,0.00017369+9.9372e-05i
-5.6164e-05-0.0015753i,-0.00043282-0.0020576i,2.5569e-05-0.0012836i,8.5384e-05-0.00091602i,-0.00061813-0.00072809i,-0.00078559+0.00025068i,-0.00033846+0.00051906i,-0.00043026+0.00024231i,-0.00035563+0.00045036i,-0.00019982+0.00072641i,-0.0006956+0.00076076i,-0.00080265+0.0011773i,-0.00061067+0.0016626i,-0.00058018+0.00099082i,-0.00075679-0.0003591i,2.8658e-05+0.00037128i,0.00077501+0.0014068i,0.00013894+0.00084866i,-0.00074654-5.3322e-05i,-0.0002341-0.00016573i,0.00068579+0.00019872i,0.00059315+0.0006521i,0.00032996+0.00063914i
0.00084451+2.9027e-05i,0.0012406-0.00019713i,0.0022334+0.00027367i,0.001684-0.00084684i,0.00070443-0.0018471i,0.00016784-0.0011222i,5.9885e-05+0.00056917i,0.00041726+0.0010733i,0.00065845+0.0002273i,0.00041862-3.129e-05i,0.00033071+8.189e-05i,-0.00038933+0.00028026i,-0.00095211+0.00035928i,-0.00067062-5.7952e-05i,-0.00026493-0.0006336i,0.00026386-0.00047048i,0.0011939+0.0002994i,0.0016266+0.00045527i,0.00047954+0.00084048i,-0.00027007+0.00063229i,-0.00045887-0.00028593i,-0.00010329-0.00012231i,0.0002893-0.00030936i
