-0.001021-0.0014135i,0.001113-0.0023389i,0.00056848-0.002204i,-0.00075917-0.00087989i,-0.0010429+0.00036044i,-0.0014067+0.00056464i,-0.0016874-6.3282e-05i,-0.0012742+8.432e-05i,-0.0010275+0.00041544i,-0.00019241+0.00065984i,0.0012656+0.0011156i,0.001676+0.00074914i,0.00088506-0.00039338i,0.00015938-0.00039745i,-0.0001841-0.00040342i,-0.0008949-0.00046504i,-0.00080217+1.5677e-05i,-0.00074781+0.00032358i,-0.0011136+0.00024354i,-0.00078013-0.0003218i,0.00028237-0.00035632i,0.00085936+3.2565e-05i,0.00093249+0.00045473i
-0.00013766-6.1448e-05i,0.00094993-7.8713e-06i,0.001302+0.00080257i,0.00090731+0.00013912i,0.00057543-0.0011114i,0.00052338-0.0011074i,0.00021904-0.00055419i,0.00060333-0.00037761i,0.00036997+5.9788e-05i,-1.4368e-06+0.00015945i,0.00027155-0.00042949i,-0.0001932+4.1038e-05i,-0.00083217-3.8143e-05i,-0.0004862-0.00044561i,-0.00010725-0.00030063i,-7.9047e-05-0.00069372i,-3.5966e-06-0.00050699i,-0.00023869-0.00038935i,-0.00046271-0.0011614i,-0.00020208-0.00053823i,-0.00034083+0.00030309i,-0.00084541+0.0004702i,-0.0012729+0.00051263i
-0.00065929-0.00062758i,-0.00071954-0.00036246i,-0.00076858-0.00099827i,-0.00066341+0.00046925i,-0.00065671+0.0016611i,0.0001227+0.00045741i,0.00096136-4.6786e-05i,0.00023679+0.00046194i,-0.00020725+0.001082i,2.879e-05+0.0011192i,0.00037669+0.00090505i,0.00027618+0.00054708i,-0.00032827+0.00061788i,-0.00039916+0.00061687i,-0.00032962-0.00042264i,-0.00060393-0.00055495i,-0.00052927+0.00010816i,-0.00021318+0.00013348i,0.00011247+0.00040966i,0.00023392+9.2983e-05i,-3.3369e-05-0.00029456i,8.6883e-05+0.00054509i,3.5121e-05+0.001217i
2.9334e-05+0.0014144i,0.00031824+0.0013645i,0.00067376+0.0013069i,0.00086219+0.00043407i,0.00095479-0.00010181i,0.00099573-0.00050305i,0.0013314-0.00096206i,0.0018065-1.3074e-05i,0.001719+0.00088307i,0.0015789+0.00028582i,0.0013853-0.00038511i,0.00080572-0.00042381i,0.00029886+6.8124e-05i,-0.00018546+0.00012013i,-0.00030071-0.0006715i,0.00029426-0.00053205i,0.00055159-7.5113e-05i,-3.3028e-05+3.366e-06i,-0.00012393+0.00053403i,0.00012114+0.00013609i,-0.00010497-0.00015465i,-0.00010508-0.00029183i,-0.0005162-0.0007195i
0.00074288-0.00021688i,0.0020548+0.00044906i,0.0015966+0.00040804i,9.1664e-05-0.00062233i,3.3293e-05-0.0009015i,0.0004299-0.00075087i,0.00028146-0.00054154i,-4.4453e-05-0.00070202i,-0.00040059-0.00055437i,-0.00037757+0.00031935i,-0.00039957+0.00068596i,-0.00036498+0.00029067i,-0.00034847+0.00020232i,-3.6451e-05-5.1286e-05i,-0.00010487-0.00057171i,-0.00079254-0.00022749i,-0.00080989+6.4773e-05i,-0.00049263+0.00017593i,-0.00046397+0.00032245i,-8.8506e-05+9.8966e-05i,0.00073319-0.00034599i,0.0010762+2.1746e-05i,0.00043832+8.1568e-05i
0.00043868+0.0032431i,0.00042685+0.0030337i,0.00050168+0.0022458i,-3.3436e-05+0.0017576i,-0.00011369+0.00059138i,0.00052743-0.0010622i,0.00060848-0.00081154i,0.00029433+0.00031978i,-2.7443e-06+0.00068624i,0.00042167+0.00074703i,0.00049085+0.00016791i,0.00026129-0.00030705i,-0.00021112-0.00052161i,-0.00074256-0.00045451i,-0.00031998-0.00045306i,-0.00037536-8.5015e-05i,-0.001228-0.00037174i,-0.0011294-0.00053186i,-0.00078635+7.383e-05i,-0.0006124+0.0001552i,-1.8739e-05+0.00026819i,0.00074418+6.5573e-05i,0.0012155-0.00073804i
0.0013604+0.00015183i,0.0026794-0.0011096i,0.0021167-0.0011257i,0.0016522-0.00049938i,0.0014176-0.0010767i,0.00039904-0.0014527i,-0.00073087-0.0011092i,-0.00093361-0.00062169i,0.00013418-0.00010334i,0.00099162-8.9429e-05i,0.00084061-0.00042017i,-7.5507e-06-0.00038544i,-0.00057152-0.00049544i,-0.00040448-0.00026951i,-0.00050969+9.3747e-05i,-0.0015415-0.0001307i,-0.001457-0.00012721i,-0.0006861+3.3746e-05i,-0.00067322+0.00082886i,-0.00015074+0.0013071i,0.00033531+0.0011121i,-0.00023574+0.00082466i,-0.0006679+0.00012794i
0.0012377-0.0013207i,0.00029307-0.00084799i,-0.00010867-0.00049008i,-0.0008231-0.0010771i,-0.0018511-0.00086265i,-0.001626+3.7383e-06i,-0.00033088+0.00019247i,0.00046712-0.00028516i,0.00030939-0.00047101i,0.00020223-0.00065526i,0.00019911-0.0010527i,0.0005808-0.00036313i,0.00010122+0.00028886i,-0.00056361+0.00049382i,2.668e-05+0.00014645i,-7.0037e-05-0.00049575i,-0.00097349-0.00092785i,-0.0011418-0.00098779i,-0.00070322-0.00069915i,-0.00040127-0.00034516i,-0.00010708+0.00035944i,-0.00012626+0.0010143i,-8.1869e-05+0.00049447i
0.0016039-0.0013969i,0.00083906-0.002981i,0.0013525-0.0045929i,0.00031671-0.0036311i,-0.0010497-0.0015521i,-0.00079354-0.00065108i,-0.00042106-0.00016327i,-0.00056836+0.00032616i,0.00072127+0.00022854i,0.0012809-0.00029857i,0.00078827+1.4958e-05i,-0.00014605+0.00018826i,-0.00084284-0.00064632i,-0.00034228-0.00084302i,-0.00076887-5.7244e-05i,-0.00084553+0.0009586i,-0.00057144+0.00085827i,-0.00034409-0.00050207i,0.00012365+4.0142e-05i,0.00016942+0.00035697i,0.00012169-0.00010919i,0.00022538-0.00020039i,-0.00014092+1.5798e-06i
-0.0010387-0.00018513i,-0.0011854+0.0009292i,-0.00073157+0.00070086i,-0.00066137+0.00033006i,-0.0013851+0.00079707i,-0.0010832+0.0007898i,0.00011075+0.00051963i,-5.6104e-05+0.0004623i,-0.00030585+0.00070501i,-0.00078236+0.00052509i,-0.0011981+0.00056712i,-0.00050056+0.00054348i,-7.6556e-05+0.00018994i,-0.0003172-0.00022126i,-9.5972e-05-0.00038485i,-0.00013238+0.00029339i,-0.00081532+0.00054107i,-0.00090388+0.00018059i,-0.00068409-0.00038184i,-0.00023351-0.00029178i,5.8958e-05-2.3847e-05i,-0.00016536+0.00038162i,0.00010986+0.00095344i
-0.00045835-0.0010422i,-0.00089372-0.0026377i,-0.0010564-0.0032206i,-0.00090899-0.0023301i,-0.00098214-0.00039993i,-0.00019175+0.00087009i,0.00016376+0.00020472i,0.00011094-0.00011328i,0.00078273-0.00026493i,0.00047897-0.00042079i,-0.00036899+0.00014074i,-0.00071702+0.00029062i,9.0502e-05-0.00022633i,0.0010485-0.00049706i,0.00041583-0.00080823i,-0.00076452-0.0013317i,-0.00013242-0.0013678i,0.00063342-0.0012314i,-0.00018766-0.00094913i,-0.0011565-0.00032168i,-0.0010231+0.00011378i,0.00015887+0.00014757i,0.0011191+0.00021174i
