0.0007204+0.001354i,0.00097776-0.00048327i,0.00037201-0.0015277i,-0.00028177-0.0012896i,-0.0011581-0.0016178i,-0.0024226-0.00065978i,-0.0021224+0.0010037i,-0.00069274+0.001394i,-0.00023439+0.0008644i,0.00041518+0.00020388i,0.00098374-0.00020051i,0.00029677+0.00014989i,-0.00023215+0.00021756i,9.9332e-05+5.9094e-05i,-0.0001007+0.00021962i,-0.00043154+0.00049768i,-0.00011509+0.00078695i,0.00010964+0.00045558i,-0.00014222-0.00071119i,0.00034867-0.0015493i,0.00048187-0.0010452i,-0.00039795-0.0002345i,6.0131e-05+0.00041783i
-0.00079965-0.0011292i,-0.00072889-0.00074764i,-0.00014757-0.0010815i,-0.00043957-0.00021639i,-0.00039583+0.0014777i,0.00014119+0.0019119i,0.00010318+0.00072761i,-0.00025978+7.9622e-05i,-0.00022937-0.00011291i,-0.00017371-0.00054837i,-0.00037269-0.00061707i,-0.00013723-1.3975e-05i,8.6393e-05+0.00021435i,0.00057682-9.1002e-06i,0.00083184-0.00033559i,0.000874-0.00013213i,0.000782+0.00065992i,0.00086091+0.00079602i,0.00057253+0.00022457i,-1.5803e-05+0.00018906i,-0.00020323+0.00013523i,-0.00015976+0.00014199i,3.5079e-05-0.00016533i
0.0017201-0.00059714i,0.00099999-0.00039157i,-0.00034798-0.00013369i,-0.0011856-0.00073179i,-0.0012453-0.0013472i,-0.0010669-0.00071027i,-0.00040914+0.00029244i,0.00019152+0.00076321i,0.00025091+0.00022257i,0.0004752-0.00045126i,0.0011078-0.00028371i,0.0013857+3.1038e-05i,0.00072646-0.00061955i,0.00030787-0.0013518i,0.00051872-0.0015341i,0.00035193-0.0012446i,0.00013036-0.00067888i,1.6423e-05-0.00071032i,0.00064657-0.00065612i,0.0009591-0.00042546i,0.00033957-0.00022136i,-0.0001014-0.0001027i,-0.00020445+0.00056608i
0.0019762+1.2275e-05i,0.0011141-0.0014734i,0.0003231-0.0019823i,-0.0010216-0.0011926i,-0.0018711-0.00086558i,-0.00083882-0.0013181i,0.00065246-0.00043949i,0.001192+0.00046306i,0.00104+0.00050905i,0.00077819+0.00028768i,0.00073087+0.00054213i,7.3151e-05+0.00076943i,-0.00071237+0.0001343i,-0.00022015-0.00042601i,0.00046396-0.00017313i,0.00025143+0.0003531i,0.00030655+5.1784e-05i,0.0009279+0.00011526i,0.00084424+0.0002762i,0.00062182+0.00033507i,0.00051331+0.00088387i,-8.1847e-05+0.00084939i,-0.00038189-7.0601e-05i
-0.0012392+0.00035024i,-0.00010426+5.7757e-05i,0.00078108+0.00032769i,0.00085954-0.00013879i,0.00084792-0.0010977i,7.4125e-05-0.0010975i,-0.0011297-0.00066991i,-0.0015383-0.00047624i,-0.0011328-0.00022907i,-0.00040371+0.00011879i,0.00038753+0.00016424i,-3.0607e-05+0.0003201i,-1.5944e-05+0.00017862i,0.00061798+0.00056526i,-0.00016105+0.00054324i,-0.00045522+0.00015539i,0.0001511+0.00047948i,0.00088309+0.00045783i,0.0011881-0.00018801i,0.00063059-0.00022303i,0.00075908+0.00020596i,0.0007347+0.00029382i,0.00037915-5.5147e-05i
-0.00034154-0.00213i,-0.00042024-0.0020087i,-0.0011466-0.0017647i,-0.00159-0.0012056i,-0.0016836-0.0013038i,-0.0010681-0.0007568i,-0.00070464+3.3069e-05i,-0.00045876+0.00030499i,-0.0003033+0.00022379i,-0.00023718+3.4292e-05i,0.00032604-0.00051695i,0.00075111-0.00058083i,0.0010041-4.287e-07i,0.00048112+0.0006566i,-0.00036433+0.00015494i,-0.00020278-0.00064804i,0.00041344-0.00036613i,0.00074509+0.00042493i,0.00021103+0.00082733i,5.0005e-05+0.00054864i,-0.00015926+0.00010471i,-0.00018362+0.00016415i,0.00028813-0.00031756i
0.00060468-0.0016352i,0.00024159-0.001141i,-0.00024351-0.00060297i,-0.0011236-0.00059373i,-0.00074722-0.001345i,-0.0005857-0.00048566i,-0.00057499+0.00016697i,1.0142e-05-0.0002339i,0.00022012+0.0005052i,0.00016836+0.001415i,0.00019489+0.00044205i,0.00024684-0.0012901i,0.00039895-0.0014928i,7.5768e-05-0.00050782i,-5.2062e-06-8.1744e-05i,0.00044215-0.00027599i,0.00023314-0.00072824i,0.0001064-0.0014154i,0.0010398-0.00096116i,0.00071097-0.00029777i,-0.00051166-0.00076934i,-0.00052772-0.00045493i,-0.00021264+9.2011e-05i
-0.00020663+8.561e-05i,-0.0010391-0.00078356i,-0.0014064+0.00023275i,0.00014639+0.0010608i,0.00093706+0.00085783i,6.1979e-05+3.0174e-05i,-0.00023461-0.00060589i,-0.00049875-0.00058836i,-0.0010458-0.00063846i,-0.00048664-0.00067612i,-0.00079496-0.00026204i,-0.00069487+0.00033929i,-0.00019289+0.00012028i,-0.00049829-2.3383e-05i,-0.00030431-0.00037062i,-0.0001758-0.00074942i,0.00018455-0.00069336i,0.00026067-0.0002127i,-0.00020493-0.00017868i,0.00012588-0.00063639i,0.00057791-0.00016256i,0.0008396-0.00019524i,0.00014389-0.00019426i
-5.7867e-05-0.0013055i,0.00031344-0.00044982i,-0.00014951-0.00072364i,-0.0010684-0.00050765i,-0.00033584-0.00030648i,4.5601e-05+7.8213e-05i,-0.00020303-0.00039034i,0.00012596-0.0011566i,0.00049053-0.0010569i,5.8025e-05-0.00013748i,-0.0001762+0.00027174i,-0.00019542-3.2551e-05i,-0.00016006+3.4748e-05i,0.00036123-9.8204e-05i,0.00061678-1.7541e-05i,0.00027432-0.00034041i,-0.00022336-0.00021756i,-0.00021603+0.00029976i,0.00034486+0.00033444i,0.00018416+0.00027353i,-0.00042913+7.1484e-05i,-0.00051602+0.000419i,-0.0002276+0.00086955i
0.00021613-0.00042012i,0.00096944-0.0011589i,0.0011774-0.00071938i,0.00084958-0.00025435i,0.00058173+0.00021325i,0.00016617+0.00040677i,-0.00029321+0.00025793i,7.6033e-05+0.00012224i,0.00011028+0.00018655i,-0.00045051+3.8483e-06i,-0.00051649-0.00050216i,-0.0005636-0.00060509i,-0.00037601-0.00012761i,-0.00023303-9.7774e-06i,0.00014743-0.00034617i,0.00028704-0.00034006i,0.00019872-0.0006359i,0.00063652-0.00066131i,0.0002683-0.00094359i,-0.00027669-0.0007747i,0.00047343+7.6334e-05i,0.0011201+0.00037449i,0.0012019+0.0002197i
0.0003084-0.00086541i,2.2655e-05-0.00053042i,-0.00069286-0.00011284i,-0.00065557-0.00069222i,-6.4643e-05-6.5174e-05i,0.00022876+0.0004855i,0.00042951+0.00059542i,0.00089894+0.00083533i,-9.3255e-05+0.00058806i,-0.00091052-0.00093147i,0.00013011-0.0014811i,0.00058116-0.00031703i,0.00034431+0.00075939i,0.00046465+0.00040956i,-1.3717e-05-0.00040386i,-0.00050779+8.5478e-05i,0.00050249+0.00092568i,0.0010406+0.0010342i,-0.0003598+0.0010354i,-0.0017834+0.00048447i,-0.0011138-0.00029783i,4.0713e-05-0.00094536i,-0.00030351-0.00084076i
-9.2996e-05+0.00011155i,-0.0007941+1.2742e-05i,-0.0012543-0.00022833i,-0.00034807-0.00080008i,0.0004803-0.00090924i,0.0003994-0.0017357i,-0.00049463-0.0015362i,-0.00067639-0.00024053i,1.2405e-05+0.00045853i,-8.7128e-05+0.00032859i,-0.0007002-0.00047968i,-0.00064854-0.0014129i,-0.00071055-0.0011082i,-0.00093293+0.00035296i,-0.0010404+0.00093501i,-0.00045676-0.00033682i,0.00016125-0.00045445i,0.00034977-0.00057289i,0.00019056-0.0011864i,-0.00022838-0.0012056i,0.00020223-0.0013315i,0.00026922-0.00064272i,-0.00019354-9.871e-05i
-0.0003122+0.0017701i,0.00024072+0.00038715i,-0.00011559-0.00039386i,-0.0010669-0.00032069i,-0.00078137-0.00059848i,-0.00069329-0.00059445i,-0.00070627-0.00011268i,-0.00044733-0.00025543i,-0.00034448-0.0006364i,9.8921e-06-0.00050104i,0.00071297-0.00045741i,0.00039422-0.00039261i,-0.00010895-0.00016249i,6.5431e-05+0.00030718i,-0.00019502+0.00037534i,-0.00050149+0.00037225i,0.00021973+8.9332e-05i,0.00084818-0.00016797i,0.00065573-1.0126e-05i,0.00032745-0.00021877i,-0.00010536+1.6368e-05i,0.00022737+0.0003546i,0.00032424+0.00018478i
0.00075294-0.00058832i,0.00063509+1.6261e-05i,0.00026222+0.00049874i,0.00051649+0.00071031i,0.00069301+0.0010911i,-2.7147e-05+0.0011442i,-0.00061525-0.00016598i,-0.00016782-0.00073115i,0.00030829-0.00018498i,0.00058857-0.00025632i,0.00060882-0.00081974i,0.00070983-0.00091967i,0.00055174-0.00087491i,-0.00070093-0.0004874i,-0.00097699-0.00015964i,0.00022589-0.00057276i,0.0008972-0.00031145i,0.00063396+0.00049774i,-0.00010928+0.00065599i,-0.00033589+0.0002752i,-7.3258e-05+0.0010264i,-0.00049403+0.00092151i,-0.00042446-0.00036004i
0.00073497+0.0013775i,0.00036675-2.6179e-05i,-2.4644e-06-0.0018384i,-8.0883e-05-0.0021892i,-0.00076701-0.0018879i,-0.0011391-0.00067776i,-0.0010267+0.00037114i,0.00020333+0.00058292i,0.00094053+0.00017121i,0.00037653-0.00053421i,0.00023118-0.00092799i,0.00064125-0.00064044i,0.0012486-0.00062319i,0.0010124-0.00054462i,0.00020062-0.00022343i,0.00019566-0.00047231i,0.00026953-0.00070419i,-0.00036003-0.0011117i,-0.00038323-0.00092022i,0.00039822-0.00079233i,0.00069057-0.0010011i,0.00017477-0.00042596i,-0.00020042-0.00013018i
-0.0012669-0.00017784i,-0.0013103+2.1401e-05i,9.978e-05-0.00035424i,0.00057857-0.00094897i,0.00062134-0.0014416i,0.00041906-0.0014876i,0.00017487-0.00061208i,0.0004113+0.00015976i,0.0003111+0.00032449i,0.00023628+2.2579e-05i,0.00036213-0.00087923i,0.00034812-0.0009439i,0.00025254-0.00047122i,7.967e-05-0.00034992i,-0.00013841-0.00073375i,-0.00011843-0.0010561i,-0.00059553-0.000935i,-0.00039436-0.00050454i,0.0002898-0.00034597i,0.00038733-0.0010474i,-0.0002176-0.0014579i,7.2821e-05-0.0012931i,4.8159e-05-0.0001594i
-0.00019584-0.0014775i,-0.00042473-0.0013187i,-0.0012795-0.00030792i,-0.0012525-7.5564e-05i,-0.0005257-0.00056683i,-0.00086599-0.0013982i,-0.00087132-0.00083156i,-0.00040983-0.00015657i,0.00033629-8.9266e-05i,0.0014442+0.0010353i,0.0015955+0.0014627i,0.00088032+0.00094985i,0.00036653-5.4917e-05i,-0.00027312-0.00091377i,0.00020036-0.00070486i,0.00055828-0.00046686i,0.00047427-0.00060872i,0.000524-4.2286e-05i,0.00012868+0.00024955i,0.00018438-0.00042913i,0.00018889-0.00072278i,9.6798e-05-8.375e-05i,0.00011694+0.00012183i
0.00019202-0.0014611i,0.00048589-0.0012931i,-8.4788e-05-0.00026963i,-0.00069427+0.0013824i,-0.00040706+0.0015732i,0.00052285+0.00038421i,0.0011107-0.00041863i,0.00082192-0.0007422i,0.00026517-0.00050503i,-0.00072755-0.0003248i,-0.00066375-0.00064571i,-0.00011152-0.00083271i,2.8554e-05-0.00041659i,-0.00023672+0.00041177i,-0.00044419-0.00013535i,0.00018936-0.0010178i,0.00036348+4.3157e-05i,0.0002513-0.00015005i,-8.8067e-05-0.00067611i,0.00016346-0.00072423i,-0.00025948-0.0011025i,-0.00056595-0.00030464i,-4.2555e-05+0.00023403i
-0.0015869-0.0018644i,-0.0014912-0.0017803i,-0.0014923-0.0019902i,-0.00089586-0.0014148i,-0.00028538-0.00020957i,-3.9679e-05+0.00014389i,8.7733e-05-0.00075358i,7.2585e-05-0.00050068i,-0.00039807+0.00018328i,-0.00034373+0.00089155i,0.0010381+0.0013747i,0.0015723+0.0004966i,0.0010698-0.00044312i,0.00079536-0.00054437i,0.00079419-0.00062333i,0.00046567-0.00021675i,0.00069145+0.00011533i,0.00094528+0.00028934i,0.00057221-1.4144e-05i,0.00034816-0.00013952i,-0.00027907-0.00030874i,-0.00082861-0.00037854i,-0.00042113-0.00020492i
-0.00039649+0.00025647i,3.7147e-05+0.00051961i,4.1888e-06+0.00048683i,-1.7893e-05+0.0013707i,0.00078626+0.0011292i,0.0010015+0.0011035i,0.00035783+0.00089664i,-9.6882e-05+0.00027091i,0.00019184+6.633e-05i,0.0011451+0.00013124i,0.00069253+0.00025369i,-0.0002815-0.00034011i,-0.00043526-0.0011537i,-0.00038838-0.0013975i,0.00029845-0.00059614i,0.00072822+0.00074458i,0.00075257+0.0010242i,0.0011392+0.00038305i,0.0012213+0.00064845i,0.00067178+0.00077217i,0.00022772+0.00017655i,-0.00015491-0.00055366i,-0.00031587-0.0011353i
0.00073965-0.00052688i,0.00078256-0.001112i,2.3585e-05-0.0014531i,-0.00038175-0.0013021i,-0.00094174-0.00096593i,-0.00071422-0.0010941i,0.00018278-0.00076602i,0.00046247-0.0011806i,0.0003295-0.0022165i,-0.00038252-0.0015299i,-0.00038526-0.00096631i,-0.00038309-0.00079827i,-0.0007302+0.00012457i,-0.00025276+0.00041992i,-7.9952e-05+0.00058914i,-0.00033311+0.00050079i,-9.2786e-05-0.00038784i,-0.00017977-0.00081762i,0.00016753-0.00016714i,0.00024491+0.00013905i,-0.00026015-0.0002656i,-4.4724e-05-6.6663e-05i,0.00022214+0.0005594i
0.0009808-0.00059961i,0.001726-0.0006163i,0.00063567-0.0006171i,-0.00048393-2.5956e-05i,-0.00015755+0.00055998i,0.0002018+0.001092i,-9.9994e-05+0.0012382i,1.9207e-06+0.0010229i,-0.00054059+0.0001369i,-0.00077238-0.00096762i,-0.00022495-0.0011034i,0.00067424-0.001087i,0.0014004-0.00089592i,0.00097357-0.0009538i,5.302e-05-0.0016591i,0.00040101-0.0014988i,0.00072266-0.00065892i,0.00030497-0.00061352i,0.00037182-0.00034195i,-6.6818e-05-0.00040857i,-0.00068117-0.00085684i,-0.00075594-0.00072494i,0.00040982-0.00010561i
-0.00093643-0.0007377i,-0.00028146-0.00040735i,-0.0015375-0.0001716i,-0.0016682-0.00037628i,-0.0010139+5.192e-06i,-0.00075894+9.5793e-05i,-0.00016209-0.000124i,0.00014477-0.00020084i,0.00014396+0.00045586i,-0.00015088+0.0010824i,0.00012407+0.00079843i,0.0007775+0.00043627i,0.00077827-0.00042769i,0.00023572-0.001188i,0.00037006-0.00055035i,0.00050788+0.00016051i,9.1197e-05-2.0357e-05i,0.00018137+2.9204e-05i,0.00063878-0.00014289i,0.00072057-0.00044791i,0.00031957-0.00012069i,-6.72e-05-5.8475e-05i,-0.00054965-0.00013661i
-0.00068982-0.00057681i,-0.00016078-0.0012041i,-0.00036267+3.7014e-05i,-0.00030586+0.0011237i,0.00039235-1.3523e-05i,-0.000348-0.0010767i,-0.0011156-0.0009184i,-0.00024804-0.00048836i,4.3423e-05+9.5362e-05i,-8.5294e-05+0.00038095i,0.00022627-0.0001385i,2.7247e-06-0.0005118i,-0.00035397-0.00062869i,-0.00021164-0.00026188i,-0.00013911+0.00061791i,-0.0001094+0.00020867i,-0.00048002-0.00040779i,-0.000898-0.0003002i,-0.00058441-0.00032526i,-0.0001324-0.00056756i,0.00019382-0.00046624i,-0.00035189-0.00020213i,-0.00049991-0.0002595i
-0.0024992-0.0017763i,-0.00097428-0.001787i,-0.0010968-0.0006557i,-0.0014078+0.00057064i,-0.001515+0.00076735i,-0.0011801+0.00026243i,-0.00098571-0.0007148i,-0.00091814-0.00094317i,-0.00069918-0.00068136i,-7.5175e-05-5.1388e-05i,0.00037017+0.00028047i,0.00057314-0.00084148i,0.00043671-0.0012319i,-0.00032772-0.0010863i,-0.00042907-0.00080724i,-0.00016411-1.526e-05i,0.0001964+0.00028597i,-2.2417e-06+0.00044982i,-0.00084505+0.00014174i,-0.00051782-9.3758e-05i,0.00065523-0.0002383i,0.0011771-0.00056867i,0.00077944-0.00059694i
