-0.0013581+0.001566i,-0.0014047+0.002096i,-0.0023819+0.0023448i,-0.0019253+0.0012875i,-0.0013363+1.5493e-05i,-0.0013291-0.00096916i,-0.00035726-0.0011205i,0.00036712-0.00014013i,0.0006359+0.00072371i,0.00072036+9.9238e-05i,0.00078561-0.00044738i,-5.2697e-05-0.00021716i,-0.00082916-0.00056229i,-0.0012402-0.0010351i,-0.0011088-0.00067203i,-0.00023607+8.6885e-05i,0.0002697+0.00030758i,0.00015776-0.00058283i,-0.00027078-0.0004177i,-0.00049433-0.0001032i,-0.00044154-0.00040298i,-3.5012e-05-0.00031024i,0.00073545-0.00018401i
0.0013713-0.00015532i,0.0022522-0.00032459i,0.003247-0.00029345i,0.0034344+0.00013835i,0.0021883-0.00038826i,-0.00039322-0.00069406i,-0.001719-0.000683i,-0.0019237-1.2034e-05i,-0.0015814+0.00053341i,-0.0003863+0.00080215i,-0.00015668+0.00091401i,-0.0010201+0.00067604i,-0.0010024+0.00044728i,-5.4573e-06-0.00021167i,0.00063977-0.00052694i,0.00044763-0.00040348i,0.00035145-0.00019195i,0.00045071-1.6028e-05i,0.00019093-0.00018557i,-1.4312e-05-0.0004496i,-4.3298e-05-0.0003448i,0.00018551+9.0449e-05i,0.00040707+0.00016153i
-0.0001584+0.0016788i,-0.0017142+0.0022545i,-0.001338+0.0029084i,0.00072025+0.0019121i,0.0011349-0.00050369i,-0.00072997-0.0019759i,-0.0011191-0.00079594i,-0.0013654+0.00058411i,-0.0012325+0.0013916i,-0.00066705+0.0012793i,-0.00037057+0.00053133i,-0.00047944+0.00078297i,-0.00060143+0.00046601i,-0.0003936-0.00042512i,-6.2836e-05-0.00070267i,-0.00028902-0.00085714i,-0.00030763-0.00086475i,0.00031657-0.00082977i,0.00068079-0.00090497i,0.00022745-0.00047407i,0.00022931-0.00045883i,0.00035165-0.00068516i,-2.0245e-06-0.00063722i
0.00075796+0.00089791i,0.0011178-0.00020247i,0.001719-0.00062731i,0.00078847-0.00068431i,-0.00027847-0.00079236i,-0.00087173-0.0007286i,-0.0011697-0.00071179i,-0.00081553-0.00038848i,7.328e-05-0.00011766i,-0.00060675+0.0002419i,-0.0016059-3.2468e-05i,-0.00090741+0.00025333i,-0.00023161+0.0009798i,0.000404+0.0010684i,0.00082484+0.00028546i,0.0003615-0.00020512i,8.605e-05-1.0976e-05i,3.9606e-05+0.00024537i,-4.8737e-05-0.00018429i,-2.2348e-06-0.00061546i,0.0001022-0.00077295i,-0.00023292-0.00085259i,-0.00062563-0.0010241i
-0.0003533+0.0018525i,-0.0010229+0.0024683i,-0.0010709+0.004328i,0.0002837+0.0037554i,0.0013312+0.001548i,0.00071295-0.00069805i,-0.00018736-0.0021383i,0.00015149-0.00083275i,-8.6509e-05+0.0003264i,-0.00043419+0.00089161i,-0.00029525+0.00094887i,-2.4316e-05+0.00054247i,0.00023907+0.00032107i,0.0004253+5.672e-05i,0.00015387+5.2608e-05i,-5.6854e-05+0.00031945i,0.0010805+0.00041603i,0.0016873+3.9144e-06i,0.00075402-0.00061341i,-8.7e-05-0.0012095i,-0.00018267-0.001016i,1.9787e-06-0.00038815i,7.7094e-05-2.4027e-05i
0.00041452-0.00095404i,0.00064928-0.0010397i,0.00152-0.00065374i,0.0020191-0.00034096i,0.0011179-0.00085379i,-0.00022239-0.0019757i,-0.0007827-0.0018491i,-0.00043278-0.00040039i,-0.00043445+0.00040534i,-0.00095945+0.00024765i,-0.00069542+0.00053475i,0.00026612+0.00084093i,0.00034489+0.001114i,-0.00060228+0.0010914i,-0.00048045+0.00017582i,0.00051838-3.6649e-05i,0.00047134-9.7075e-05i,0.00041736-0.00026539i,0.0010242-0.00029874i,0.0014759-0.00082466i,0.00067255-0.0010362i,0.00037495-0.0008757i,0.00042669-0.00026989i
-0.0029754+0.00026955i,-0.0019786+0.0016976i,-0.001203+0.0029708i,-0.000248+0.0030506i,0.00050418+0.0018636i,0.00082395-0.00010744i,0.00061856-0.00064006i,-0.00025898-0.000415i,-0.0013743+3.6423e-05i,-0.0012938+0.00063003i,-0.00050944+0.00059915i,0.00028714+0.00045598i,0.00073163+0.00038533i,0.0012306-0.00013528i,0.00059777-0.00095457i,5.1696e-05-0.00088551i,0.00046446-0.00031126i,0.0002729-0.00079003i,-0.00031523-0.00061402i,-0.00078555-8.5739e-05i,-0.00069433+0.00014918i,-0.00013012+8.2309e-06i,0.00012455-0.00056963i
0.00086095-0.0014308i,0.0010673-0.0017242i,0.0008848-0.0012269i,-2.8331e-05-0.0010691i,-0.00012559-0.0010284i,7.1886e-05-0.0010954i,0.00014024-0.00067449i,-0.00052052+0.00011251i,-0.0013431+0.00072316i,-0.0010969+0.0010045i,-0.00051995+0.00061926i,-0.00057089+0.00045154i,-0.00065524+0.00039132i,-0.00024305+0.00043835i,-1.6213e-05+0.00047026i,0.00019994+0.0011245i,-4.9789e-05+0.0016817i,8.7706e-05+0.0011701i,0.00072041+0.00036598i,0.0004389-0.00047794i,-0.00068113-0.00050652i,-0.000469+0.00014174i,0.00024615-8.6763e-05i
-0.00093903+0.0013721i,-0.00015742+0.0017279i,0.00085209+0.0029943i,0.002023+0.0025198i,0.0021763+0.00024504i,0.0014213-0.0012844i,6.6786e-05-0.0020061i,-0.00096096-0.0017207i,-0.0010273-0.00050073i,-0.001026-1.5067e-05i,-0.00074534+0.00017652i,-0.00051588+0.00041184i,0.00018284+0.00022076i,0.00033861-7.0575e-05i,0.00021316+0.0003076i,0.00033272+0.00029426i,-0.00022139-0.00056319i,-0.00024749-0.00049238i,-0.00057638-0.00054894i,-0.0012606-0.0011953i,-0.0015276-0.00071777i,-0.00082189-0.00041816i,0.00020559-2.5428e-05i
-0.00054327-0.00015864i,-0.00098834-4.5029e-05i,-4.8422e-05+0.00050898i,0.00095466+0.00060872i,0.00073614-7.4824e-05i,-0.00063814-0.0011068i,-0.0014978-0.0012245i,-0.0011678-9.2159e-05i,-0.00088218+0.00058004i,-5.6922e-05+0.00044732i,4.8946e-05+0.0002998i,-0.00056982+0.0010188i,3.9643e-05+0.00093143i,0.00013438-7.5158e-05i,-8.6493e-05-0.00020762i,0.00057358-5.1133e-08i,0.0005234-0.00032028i,0.00039516-0.00071158i,-9.0368e-05-0.00021863i,-0.00071287-0.00010037i,-0.00028791+6.3453e-05i,0.00048352+3.489e-05i,0.00090848-0.00012443i
-0.00013557+0.00050912i,-0.000254+0.0012052i,-0.00036954+0.002416i,0.00079034+0.0020576i,0.0010188+0.00062238i,0.00016194-0.00092892i,-0.0010386-0.00074549i,-0.00097085-0.00061371i,-0.00061032+0.0001127i,-0.000763+0.00057661i,-0.00054109+0.00027838i,-0.00074336+2.341e-05i,-0.0011851-0.0003503i,-0.00096471+0.00017143i,-0.00026888+0.00022179i,0.00046033-0.00085912i,0.0003761-0.0014983i,-0.00012664-0.00084389i,-0.00021121+0.00056389i,0.00025852+0.0001747i,0.00061633-0.00061107i,4.4238e-05-0.00057773i,-0.0002414-0.00035468i
