-0.002521+0.000468i,-0.00079968+0.00015757i,-0.00065816+0.00082539i,-0.00025334+0.0020607i,0.00010704+0.0030749i,0.00063902+0.002881i,0.00038593+0.002282i,-0.00013812+0.001977i,0.00063332+0.0014514i,0.0018926+0.00061305i,0.0015332-0.00064062i,0.00088934-0.00078941i,0.00059079-0.0009417i,0.00068861-0.0014866i,0.001182-0.001262i,0.00056596-0.00076829i,-0.00019635-0.00023527i,-4.1355e-05+0.00010426i,9.6259e-05+0.00011924i,-7.7896e-05-0.00021715i,5.2232e-05-0.00028539i,-0.00010103-0.0011046i,-0.00072718-0.0011416i
0.0030533-0.0015854i,0.0022864-0.001406i,6.6113e-05-0.0014697i,-0.0013777-0.00083021i,-0.0013521+0.0009181i,-1.43e-05+0.0027934i,0.0012858+0.0026614i,0.0012692+0.00085845i,0.00028182+0.00027202i,-0.0004678+0.00047083i,-0.00039527+0.00068666i,-4.7544e-05+0.0008409i,0.00029391+0.0014048i,0.0014156+0.0023982i,0.0018712+0.0022802i,0.0011387+0.0010522i,0.00033964-0.00013223i,-0.00034289-0.00063939i,-0.00035271-0.0004085i,0.00020346-0.00024703i,0.00011602-0.00054581i,-0.00030064-0.0006767i,-0.00026202-0.00096362i
0.0010224-0.001238i,0.0016196-0.0015164i,0.0007612-0.0011179i,-0.00035442-0.0011179i,-0.00085922-0.00049605i,-0.00030917+0.0011523i,0.00060049+0.001413i,0.00073334+0.00083186i,0.00026223+0.00031088i,-0.0003109+0.00040472i,-0.00074816+0.00053407i,-0.0003116-0.00010823i,0.0004764+0.00049651i,0.0004934+0.0013575i,7.3196e-05+0.0013583i,-0.00010415+0.00090945i,0.00065342+0.00040982i,0.0016888+0.00015444i,0.00093375-0.00029209i,-0.00049907-0.00047048i,-0.0011962-0.00019493i,-0.00093242+5.1099e-05i,-0.00012632-3.8189e-05i
-0.00095976-8.1872e-05i,-0.00085852-0.0003255i,-0.001204-0.00071003i,-0.00033623-0.0012031i,0.00068132+0.00017265i,0.00042507+0.0016373i,0.00087356+0.0021055i,0.00087751+0.0019555i,5.7062e-05+0.00055089i,-0.00052961-0.00033495i,-0.0004586-0.00088966i,-1.7856e-05-0.00053417i,0.00042376+0.00015364i,0.00021304-4.9126e-05i,0.00029287-0.00082533i,0.00074485-0.0013715i,0.00030885-0.00097954i,4.7374e-05-0.00059525i,-0.00048866-5.2226e-05i,-0.00098778+0.00026254i,-0.0006426-5.9178e-05i,5.556e-05+6.976e-06i,0.00033198-8.0585e-05i
0.0028646+0.00018323i,0.0033385+0.00046114i,0.0037305-6.5488e-06i,0.0023757-0.00031675i,0.00016682+0.00076352i,0.00050596+0.0011466i,0.00061368+0.00041853i,0.00054895+0.00031716i,0.00059657-0.00032112i,0.0002077-0.00080432i,-0.00040529-0.00043994i,-0.00082641+4.0466e-07i,-0.00060095-0.00036086i,-0.00028856-0.00043746i,-0.00047575+0.00032794i,-0.00054916-0.00021971i,-3.6579e-06-0.00089751i,0.00023238+0.00022816i,0.00030043+0.00079914i,0.00061969+5.7094e-05i,0.0005441-0.00052556i,0.00018115+0.00041449i,0.00010029+0.00057054i
0.0013681+0.00065136i,0.0010352+0.00084206i,0.00050533+0.00030863i,-0.00020873+0.00026832i,-0.00053425+0.00074083i,-0.00027304+0.00081881i,0.00047548+0.00043929i,0.0012024+0.00047295i,0.0012559-4.1602e-06i,0.00035325-0.00056164i,-0.00031493-0.00027891i,-0.00037644-0.00032225i,-0.00019378-0.00024647i,-4.6537e-05-0.00011568i,-0.0003932-7.6665e-05i,-0.00059095-0.00017357i,-0.00063178-0.00037821i,-0.00058505+0.00022452i,-0.00027652+0.00048415i,-0.00046934+0.00031407i,-0.00088801+0.00063793i,-0.0010906+0.00018626i,-0.00095768+8.9392e-06i
0.0019156+0.00052473i,0.0014063-0.00023825i,0.0014095-0.0004787i,0.0012813+0.00020339i,0.0012354+0.00039519i,0.00099339+0.0010856i,0.00051296+0.0016638i,0.00058029+0.00096108i,-9.5033e-05+0.00015686i,-0.00023572+1.8324e-05i,0.00033156-0.00069473i,0.00014567-0.0013383i,5.6174e-05-0.0010203i,9.044e-05-0.00090605i,-3.2455e-05-0.0003108i,0.00059761+0.00025271i,0.0014217-0.0001082i,0.00056803+1.878e-05i,-0.00084578+0.00068664i,-0.00074645+0.00093428i,3.3323e-05+0.00041981i,0.00063119-0.00042137i,0.00084003-0.00026763i
0.00022219-0.00059697i,0.00016947-0.0014099i,8.9581e-05-0.0016999i,-2.4908e-07-0.0015285i,9.7361e-05-0.00010558i,-0.00025411+0.0013739i,-0.00013435+0.0016971i,-2.3683e-05+0.0008161i,-0.00058507-0.00042364i,-0.00057166-0.0004382i,-6.3848e-05+0.00061401i,0.00030532+0.0003921i,0.00039047-0.0001552i,0.00031772+0.00090425i,0.00012825+0.0010924i,0.00027692+0.00045488i,0.00061615+0.00031131i,0.00093549+0.00034758i,0.0011304+7.5806e-05i,0.0012436-0.00014116i,0.0012997-0.00060922i,0.0003434-0.00098475i,-8.8493e-05-0.00010875i
0.0027543+0.00091209i,0.002939+0.00097771i,0.0027764+0.0011604i,0.0014972+0.001565i,0.00023719+0.0014858i,0.00055206+0.0010909i,0.0004883+0.0010792i,0.00013739+0.0016675i,0.00031997+0.0011758i,0.00036172-0.00014792i,0.00042371-0.00089081i,0.00069782-0.00025925i,0.00085628-0.00030918i,0.00015951-0.0012824i,-0.00036425-0.00068829i,-0.00056567+0.00027154i,-0.00022583-0.00032827i,-0.00041536-0.00067855i,-0.0012033-5.807e-05i,-0.00075518+4.8397e-05i,-3.2714e-05-0.00051894i,-0.00022282-0.00099676i,-0.00078971-0.00067352i
-0.00016229-0.00034253i,-0.00010327-0.00040748i,-2.8945e-05-0.0010506i,-6.595e-05-0.0012139i,-0.00043209+0.00023967i,-0.00074666+0.0019431i,-9.5723e-05+0.0015747i,0.00048093-0.00014358i,-0.0001094-0.0010749i,-0.00061189-0.0011756i,-0.00012942-0.001036i,-0.00031246-0.00036412i,-0.00062012+0.00066493i,-0.00075852+0.00011273i,0.00018256-0.00039525i,0.00054559+0.00058578i,-0.00016134+0.00040218i,-0.00040966-0.00039942i,-0.00019358+4.3726e-05i,7.5445e-05-0.00020019i,0.00036125-0.00079381i,0.00029441-0.00051629i,-0.00011465+6.365e-05i
0.0013459-0.0018983i,0.0020125-0.0028506i,0.0010445-0.0028507i,0.00010891-0.00099328i,-0.00080308+0.00075024i,-0.00058896+0.0014562i,0.00017331+0.0014841i,0.00025337+0.00032352i,0.00032561-0.0010416i,0.00043888-0.0011061i,0.00017174-0.00063215i,-4.4276e-05-0.00064808i,2.836e-05-0.00067094i,0.00034877-0.00054908i,0.0012548-0.00083136i,0.00046468-0.0012838i,-0.00085268-0.0010744i,-0.0013142-0.00091746i,-0.00092787-0.0010922i,-0.00034326-0.00097507i,-0.0002874-0.00068505i,-0.00011946-0.00021816i,-1.0416e-06-0.0001808i
