-0.00024062-0.00065549i,-0.00022466-0.0025516i,-0.0014454-0.0030532i,-0.0024786-0.0018882i,-0.003067-0.00054264i,-0.0024279+0.0011597i,-0.00059184+0.0021415i,0.0003177+0.0019596i,0.00088795+0.0001945i,0.0012243-0.0015953i,0.00037775-0.0011065i,-0.00012331-0.00051996i,-0.00052958-0.00029685i,-0.001163-0.00030781i,-0.00028326+0.00044069i,-0.00052751+0.0009487i,-0.0007512-0.00012058i,-7.3162e-05-0.0010047i,8.6793e-05-0.00066427i,-0.00012206-0.00023139i,-0.0004963-0.0011075i,-0.00016458-0.0015644i,3.4227e-05-0.00091437i
-0.0011908-0.0012412i,-0.0011348-0.00019758i,-0.00088881+0.0010133i,-0.00015388+0.0011575i,0.00041638+0.00030207i,0.00037201+9.7751e-05i,-0.00016099+5.4531e-05i,-0.00031662-0.00010808i,-0.0001514-9.325e-05i,-0.00014984+5.6458e-06i,0.00013476+0.00022848i,0.0003049+0.00033756i,0.00063026-3.7929e-06i,0.0014918-0.00021962i,0.00094535-0.00040042i,-0.00014962-8.02e-05i,-0.00018978+0.00036741i,-0.00030253+0.00010039i,4.5704e-05+0.00022178i,-1.7554e-06+0.00035687i,-0.00063476+1.0663e-05i,-0.0010424-0.00064891i,-0.00075688-0.00010167i
-0.0006047-0.0027927i,-0.0012384-0.0018841i,-0.0025232-0.00025064i,-0.0028115+0.0011412i,-0.0019856+0.0019778i,-0.00061323+0.0014775i,0.00061238+1.3614e-05i,0.00069446-0.0006699i,-0.0002209-2.3827e-05i,-0.00045547-0.00017257i,0.00039678+0.00031903i,0.00022169+0.00034447i,-6.5734e-05-0.00022081i,0.00061515+0.00013561i,0.00062591+0.0002949i,0.00039957-0.00023709i,0.00057762-0.00061647i,0.00069523-0.00031748i,0.00040753-0.0004126i,-0.00012717-0.00059083i,-0.00051404-9.4754e-05i,-0.00024449+0.00022619i,5.7382e-05+0.00030719i
-9.2587e-05+0.00045973i,-0.00057067+0.00090909i,-0.00091245+0.0005833i,-0.0015107+0.00088501i,-0.0020198+0.0014339i,-0.0019307+0.0014025i,-0.00092121+0.00064869i,0.00043141+7.3206e-06i,0.00020733-0.00036283i,-0.0001617+3.219e-05i,-0.00045556+0.0007473i,-0.00062811+0.0003005i,-0.00044355-0.00013973i,-0.00088768-0.00049901i,-0.00094293-0.00077506i,-1.1347e-05-0.00066167i,0.00041152-0.00052152i,0.00042757-0.00047121i,0.00034409-0.00032806i,0.00038303+4.3622e-05i,0.00061709-0.00010648i,7.2382e-05-3.4649e-05i,-0.00022268-0.00011479i
-0.0012494+0.00083256i,-0.002488+0.0014801i,-0.0027799+0.0024623i,-0.001598+0.0024813i,-0.00083299+0.0014843i,-5.9793e-06+0.00089262i,0.00029698+0.0010146i,0.00042495+0.00078101i,0.00072157+7.632e-05i,0.001495+0.00017992i,0.0014738+0.00036698i,0.00024826+0.00041828i,-0.00049518+0.00035949i,-0.00021408-7.0881e-05i,0.00027419-6.6168e-05i,0.00070253-6.6964e-05i,0.00046119-8.7435e-05i,-0.00018902+0.00014596i,-0.00055797+3.3665e-05i,-0.00053813-8.1148e-05i,1.3715e-05-0.00028968i,0.00058039-2.7624e-05i,0.00034361-0.00047998i
-0.00082599+0.00015632i,-0.0025449+0.00011476i,-0.0020909-0.00029397i,-0.00070342-0.00024314i,-0.00093472+0.00024928i,-0.0012302+1.1265e-05i,-0.0017292-0.00052181i,-0.0012064+0.0005061i,-0.00053003+0.0011149i,-0.00011073+0.00066369i,0.00051207+0.00050197i,0.00028498+8.5583e-05i,0.00072607+0.00027318i,0.0015927+0.00012905i,0.0010739-0.00017192i,0.00030066+0.00026211i,-0.00063772+2.7429e-05i,-0.00077628+4.7747e-05i,0.00015118+0.00089459i,5.0227e-05+0.0012221i,6.4903e-05+0.00034383i,-0.00010183-7.481e-05i,-0.00014977-0.0001201i
0.001046-0.00046642i,0.0012094-0.0014358i,0.0004704-0.0015577i,-0.00051101-0.00073201i,-0.0010926-0.00030989i,-0.0014751+0.00040545i,-0.0010803+0.0011165i,-0.00067052+0.00028981i,-0.00033011-0.00061622i,-1.3853e-05-0.00067576i,-3.5624e-05+7.579e-05i,-0.00011373+0.00048247i,9.6387e-05+0.00051803i,-0.00080364+0.00096643i,-0.0010969+0.0019596i,-0.00023323+0.001845i,-0.00010617+0.00012386i,1.1476e-05-0.00043532i,8.4084e-05+7.97e-05i,-0.00055599-0.00021071i,-0.0006092-0.00027952i,0.00034927+8.3568e-05i,0.00030348+0.00052851i
-0.00012045+0.00054531i,0.00025501+0.00099748i,0.00085536+0.0013726i,0.0013129+0.0012608i,0.00096618+0.00076543i,3.3822e-05+2.8235e-05i,-0.0004752+0.00030495i,-0.00012823+0.00016129i,0.00052676+0.00014871i,0.00062877+0.00099947i,0.00019748+0.00095825i,0.00039928+0.00064147i,0.0012639+0.00091095i,0.00079281+0.00033586i,0.00031626-0.00054839i,0.0012625-0.0010939i,0.00074098-0.00078822i,-0.0009124+0.00027076i,-0.0013782+0.00041739i,-0.00079441+0.00028104i,-1.6245e-05+0.00036116i,0.00015031-0.00011233i,-0.00047959+3.1935e-05i
-0.00016615-0.00013797i,-0.0001836-0.00015545i,-0.0010085+0.00065905i,-0.001551+0.00075483i,-0.00074924+9.7976e-05i,0.00021164-0.00043066i,-0.00036325-0.00028537i,-0.00062731-0.00035944i,0.00069829-7.8518e-05i,0.001287+0.0003447i,0.00053357+0.00028622i,-0.00057395-0.00011003i,-0.0010168+0.00013801i,-0.0007858-1.7568e-05i,-0.00024831-0.00064283i,-7.6505e-05-0.0014281i,7.4425e-05-0.0014567i,0.00053206-0.00036283i,0.0007269+0.00034349i,0.00044464-5.7405e-05i,9.5275e-05-0.00011678i,-0.00051972+0.00011744i,-0.0013691+0.00013016i
0.0012225+0.00040745i,0.0014793+0.00092807i,0.001065+0.00028009i,0.00033035-0.0010783i,-0.00055661-0.00092878i,-0.00057659-0.00046256i,-5.5222e-05-0.00044185i,-0.0005519+0.00018836i,-0.00081647+8.3304e-05i,-0.00065422+0.00020369i,-0.00058046+0.00055108i,5.7911e-05+0.00033498i,-5.1133e-05+0.00055148i,-0.0006584+0.00064532i,-0.0004963+0.00010081i,-0.00033964-0.00018838i,-0.00032919-0.00014799i,-0.00029153+0.00028456i,-0.00016181+0.0008107i,0.00052086+0.0014258i,0.0010492+0.00089249i,0.00056661-0.00039264i,-0.00027281-0.0011588i
-0.0019474-0.0010101i,-0.0029113+5.5735e-05i,-0.0031102+0.0012716i,-0.0019512+0.0015338i,-0.00085167+0.00077347i,-8.4854e-05+0.00039556i,0.00034552+0.00064537i,0.00015839+0.00023331i,0.00028051+0.00044962i,0.00015769+0.00075468i,-0.00011232+0.0001632i,0.00092483-0.00053827i,0.001403-0.0012071i,0.0007123-0.0008839i,0.00077267-0.00010908i,0.00084734+3.8728e-05i,5.8635e-05-0.00020393i,-0.00051004-0.00033959i,4.4139e-05-0.0003829i,0.00050887-0.00054454i,0.0005524-0.00033988i,2.2886e-05+0.00013156i,-9.8785e-05+0.00044806i
