-0.0021282-0.0013467i,-0.00085447-0.0028101i,-0.0024617-0.0023389i,-0.0032843-0.0010801i,-0.00082706+0.00083418i,0.0016249+0.0027532i,0.0016253+0.002283i,0.00037294+0.0009666i,-0.00020152-4.8045e-05i,0.0004938-0.00053515i,0.00066257-0.00046028i,8.9372e-05-0.0010299i,0.00064312-0.0008852i,0.0010303-0.00065595i,0.0010008-0.00058917i,0.00071221-0.00069309i,0.00026503+1.4415e-05i,0.00023524+0.00062236i,3.1462e-05-0.00030628i,-0.00053369-0.0015861i,-0.00013699-0.0013208i,0.00035911-0.00067788i,0.00043782-0.00013198i
0.0022597+0.0044267i,0.0037505+0.0043806i,0.002841+0.0029483i,0.00068758+0.00043954i,0.00025324-0.00047217i,0.00091173-0.00087492i,0.00070306-0.0001701i,-1.7974e-05+0.00076284i,-0.0005154+0.0007482i,-0.00082473+0.00031308i,-0.00052045-0.00051835i,3.7301e-05-0.00047023i,0.00054642-8.961e-05i,2.3134e-05-0.00024957i,-0.0012018-0.00070432i,-0.00068996-0.00098849i,-8.9571e-05-0.0010563i,-0.00059741-0.00058191i,-0.00071589+0.00038259i,-0.00081858+0.0010401i,-0.00072696+0.0005595i,-0.0004766-0.00024038i,-0.00019466-0.00068953i
-0.00052207+0.00084264i,-0.0011164+0.0021143i,-0.0010216+0.0014475i,-0.0015384-0.00010088i,-0.0018233-0.00026774i,-0.00057917+0.00073152i,0.00069094+0.0010686i,0.0011256+0.00086432i,0.00070037+0.00076397i,0.00022426+0.00070829i,0.00050874+0.00083401i,0.00055473+0.00021412i,0.00045143-5.484e-07i,0.00023142+0.00038569i,-7.7959e-05+0.00051989i,-0.00066558+0.00027809i,-0.00090272-0.00025613i,-0.00071334-0.00074027i,-0.00016593-0.00059838i,0.000198-0.00013491i,-0.0001958+5.4114e-05i,0.00091127+0.00064132i,0.00087846+0.00073014i
-0.00065711-0.0021754i,-0.0010109-0.0031132i,-0.0016106-0.002784i,-0.0030969-0.0025724i,-0.0019947-0.0013538i,0.00040543+0.00077503i,0.0015024+0.00095005i,0.0017514+0.00033285i,0.00096402+0.00016066i,-7.7051e-05+0.00081346i,-8.7773e-05+0.00040674i,0.00020877-0.0004667i,0.00041423-0.00039253i,0.00085859+0.00044565i,0.00080763+0.0005906i,0.00049042-0.00030116i,0.00027291-0.00084859i,-0.00047885-0.00098992i,-0.0011446-0.00042507i,-0.00080563-0.00035338i,-0.00038056-0.00041222i,-0.00066318-0.00024196i,-0.00017296-0.00011096i
0.0019361+0.0020408i,0.0018262+0.000791i,0.0022059-0.00036226i,0.0016634-0.00098895i,0.0016649-0.00050746i,0.0020471+0.00095717i,0.0022135+0.00084526i,0.0011437+0.00038837i,-0.00074968+0.00041183i,-0.0015995-0.00031102i,-0.001445-0.0011043i,-0.00027082-0.0004494i,-0.00061934-0.0005186i,-0.0015777-0.00050458i,-0.00070193-4.1478e-05i,6.6536e-05-0.00044405i,-0.00062806-0.00046594i,-0.00066372-0.00097879i,-4.6609e-05-0.0010564i,-7.699e-05+0.00032967i,5.952e-05+0.00069295i,0.00032055-0.00021528i,0.00029903-0.00064505i
-9.191e-05+0.0013136i,0.00085307+0.0016376i,0.00058088+0.001561i,-0.00027299+0.00068093i,0.00042668+0.00081221i,0.0018275+0.00074754i,0.0015862-0.00047573i,0.00060976-0.00011233i,0.0005774+0.00089116i,0.00045155+0.0010644i,-5.8186e-05+0.00087508i,-0.00078449+9.0805e-05i,-0.00077962-0.00088499i,-0.00022868-0.00047875i,2.5219e-06-7.6462e-05i,-0.00013807-0.00088967i,-0.00085213-0.0013389i,-0.00085626-0.0010336i,-0.00064181-0.00013401i,-0.00052508+0.00090594i,-0.00024592+0.00068176i,0.00021463+0.0006961i,0.00050003+0.00042104i
-0.0020732+0.00088656i,-0.0022856+0.00090627i,-0.0017591-2.8761e-05i,-0.00074435-0.00047207i,-8.28e-06-0.00028312i,0.00026514+0.00020741i,0.00062284+0.00060307i,0.0001264+0.00014148i,-0.00063196-0.00018726i,-0.00079273-0.00086015i,-0.0006083-0.00077816i,7.7664e-05-3.2659e-05i,0.00068377+0.00017516i,0.00057525+0.00027076i,0.00035904+0.00072472i,0.00045617+0.00088376i,0.0001351+0.00036643i,-7.1699e-05-0.00018955i,7.2294e-05-0.00033937i,-2.0122e-05-3.0947e-05i,-0.00013478+0.00022729i,0.00024416-0.00019169i,0.0008821-0.0004276i
0.0020514-0.0011458i,0.0029427-0.0027661i,0.0026542-0.0037147i,0.0013257-0.0034974i,0.00034757-0.0024619i,-0.00042622-8.1987e-05i,0.00033702+0.0013287i,0.00035808+0.00052274i,-0.00041368-0.00059607i,-8.1641e-05-0.00058579i,0.00038584-0.00041471i,0.0003693-0.000451i,2.86e-07-0.00015356i,-3.013e-05+0.00048165i,5.6256e-05+0.000401i,-3.2757e-05+0.00030298i,-0.00046835+0.00034222i,-0.00070504+0.00031501i,-0.00034272-0.0001344i,-0.00032381+0.00026534i,0.00023658+0.00069405i,0.00050102+0.0002682i,-0.00017391+3.216e-05i
0.0030875+0.0017762i,0.0030181+0.00076191i,0.0026765-0.00010265i,0.00068487-0.00097864i,-0.00063578-0.0003686i,-0.00056123+0.001371i,3.4442e-05+0.0014154i,0.00062591+0.00046085i,0.00016868+1.7391e-05i,-0.00021108-0.00014527i,0.00010768-0.00021779i,0.00019312-0.0003868i,3.2571e-05-0.00045889i,-0.0006315+0.00056471i,-0.0011894+0.0005369i,-0.00060601-0.00021328i,0.00013166-0.00013684i,0.00013366+0.00029759i,-0.0003635+0.00075851i,-0.00072499+0.00038987i,-0.00087151+0.00026464i,-0.00092091+0.00069617i,-0.00011198+6.5481e-05i
0.00087298+0.0022529i,0.00040122+0.0019263i,-0.00044673+0.0011606i,-0.0014042-4.1393e-05i,-0.0018267+6.4442e-05i,-0.0012033+0.00038972i,1.0835e-05+0.00046524i,0.0005936+0.00077792i,-0.00061684+0.00030972i,-0.0010101-6.2631e-05i,0.00027983+8.9605e-05i,0.00093099+0.0003574i,0.00014769+0.00082813i,-9.894e-05+0.00026516i,0.00021529-0.00060208i,-0.00046184-0.00040426i,-0.0010107+7.4857e-06i,-0.00094979+0.00019069i,-0.00062219+0.00061423i,-0.00061202+0.00092668i,-0.00091704+0.00029932i,-0.00079709+0.00013408i,-0.00059111+0.00019527i
-0.00021369-0.00021781i,-0.00075726-0.00068017i,-0.0011177-0.0016581i,-0.00035274-0.00093071i,-0.00024033-5.2117e-05i,0.00032469-0.00010313i,0.00073645+0.00040116i,0.00018489+0.00089657i,-4.4864e-05+0.00053641i,8.2474e-05-1.4004e-05i,-0.00016016-0.0014081i,8.1678e-05-0.0017572i,-0.0001947-0.00078422i,-0.00028038-0.00046572i,0.00024924-0.00087018i,1.4092e-05-0.0011815i,-0.00010412-0.00065269i,-0.0005707+0.00063637i,-0.00090341+0.00014813i,-0.0013595-0.00042979i,-0.0019347+0.00013988i,-0.00048073+0.00023635i,0.00055153+0.00045287i
