0.00050618+0.0007497i,0.00080333-0.00056732i,-0.00032266-0.00071976i,-0.0014858-0.0015729i,-0.0014534-0.0011808i,-5.8164e-05+9.8042e-05i,0.00081496+0.00078099i,0.00072789+0.0015462i,0.00051458+0.001833i,0.00048161+0.00053595i,0.00042466-0.00098913i,-0.00041274-0.0010026i,-0.0011553-0.00024638i,-0.00079693-0.0006251i,-0.00030894-0.00080876i,-4.4027e-05-0.00028299i,7.8787e-05-0.00083267i,-0.00017164-0.0014017i,-0.00046606-0.00085864i,-0.00067978-0.00045363i,-0.00039646+6.2683e-05i,0.00034315+0.00018705i,0.00027084+0.00050925i
-0.0031301-0.0017397i,-0.0039682-0.00024247i,-0.0032463+0.00085891i,-0.0016774+0.0014137i,-0.00039542+0.0016894i,0.0015022+0.00047796i,0.0017814-0.00082669i,0.0012839-0.00066586i,0.0003365+0.00023867i,-7.1556e-05+0.00054403i,0.00069735+0.00047756i,0.0013429+0.00085346i,0.0015419+0.0013895i,0.0007964+0.00083027i,-0.00037518-2.4168e-05i,-0.00015637-0.00031849i,-0.00010927+5.7599e-05i,-0.00016785+0.00084736i,0.00040891+0.00068029i,0.00016421+0.00052168i,-0.00012702+0.00041445i,-0.00036959-0.00039425i,-0.00024922-0.00025631i
-0.0010885+0.00058338i,-0.0011191-0.00081277i,-0.00021457-0.00028219i,0.00077087-0.0001615i,0.00096179-0.0006302i,0.00086339-0.0012144i,0.00082295-0.0012571i,0.00017835-2.2737e-05i,-5.6646e-05+0.00073281i,-2.2534e-05+0.00073346i,-6.7153e-05+0.00074656i,0.00024985+0.00044743i,0.00054141-0.00051142i,-0.00020055-0.0015224i,-0.000267-0.0012871i,7.2589e-05-0.00051005i,-0.00011708-0.00032486i,-3.2859e-05-0.00015458i,0.00031405+0.000715i,0.00036089+0.00079487i,-3.6375e-05+0.00043338i,-2.8534e-06+0.00055073i,3.8498e-05+0.00046778i
0.0010933-0.00078232i,0.0010331-0.001388i,0.0008472-0.0014202i,0.00065683-0.001231i,0.00015421-0.00067445i,0.00058444-0.00035315i,0.00071314+0.00018328i,0.00012165+0.00044263i,2.1283e-05+0.0009138i,3.2762e-06+0.001116i,-0.00054107+0.00029455i,-0.00011561-0.00016569i,0.00059784-0.00035553i,2.3716e-05-0.00014361i,-0.0002532+5.9938e-05i,-9.9544e-05+0.00038235i,-0.0001253+0.00030951i,-0.00036237-0.00046386i,-0.00057102+0.00010131i,-0.00067539+0.00064652i,-0.00037548+0.000461i,-0.00010353+0.00037247i,-0.00019296+0.00054172i
0.00044286-0.0013735i,0.0012541-0.00057432i,0.00096354+1.1383e-05i,0.00064592-0.00084116i,0.00062941-0.0010892i,0.00052951-0.00067987i,0.00042727-4.4252e-05i,0.00014488+0.00042452i,6.2289e-05+0.00036457i,0.00045127-0.00012914i,0.00057596+0.00020838i,0.00024814+0.00067328i,0.00028225+0.00059752i,0.00013236+0.00069754i,0.00011315+0.00027568i,0.00015327-0.00014867i,-8.1388e-05-0.0003463i,-0.00022121-0.00032042i,5.8645e-05+0.0005422i,0.00011042+0.00035902i,-0.00012171-8.1873e-05i,0.00010468+0.00030073i,0.00016087-4.5493e-05i
9.8623e-05-0.0009614i,-0.00082931-0.00091706i,-0.00061321-0.0010037i,0.00084068-0.00072841i,0.00090614-6.135e-05i,0.0011965+0.00063858i,0.0015343+0.00069419i,0.00011011+0.00016111i,-0.00045292+0.00041021i,-0.00035003+0.00056154i,-0.00029539-0.000259i,-0.00020589-0.00052615i,0.00076088-0.00031624i,0.0015179-0.00010335i,0.0005291+0.00010062i,0.00024912-2.3162e-05i,0.00057564+0.00083965i,9.3381e-05+0.0013593i,-0.0011166+0.00067008i,-0.00038569+0.00029201i,0.00025159+7.8667e-05i,-0.00042845-0.00047187i,-0.0010817-0.00066516i
0.00076043-0.00030899i,0.00077994-0.00026817i,0.0009903+0.00029044i,0.00055028+0.00036994i,0.00058479+1.4428e-05i,0.00091138-0.000185i,0.0008532-0.0010116i,0.00062931-0.0010613i,0.00037792-4.2771e-06i,0.00023562-8.5048e-06i,-0.00075403-0.00047412i,-0.0015839-0.00035495i,-0.00081393-0.00055001i,-0.00049233-0.00072494i,-0.0012872-9.2491e-05i,-0.0011607+0.0002533i,-0.00049105-7.787e-05i,-0.00046228+0.00013929i,-0.00025485+0.00043806i,6.5878e-05+0.00060982i,-0.00011036+0.00065903i,9.8605e-05+0.00051063i,-0.00024605-8.4071e-05i
-0.0012307+0.00023453i,-0.0014396+0.00074634i,-0.00096068+0.00028429i,-0.00023139+0.00072076i,6.6359e-05+0.0011416i,0.00012331+0.0014554i,6.687e-05+0.0013709i,0.00037255+0.00081658i,0.00091908+9.7973e-05i,0.00122-0.00031631i,0.00062568-0.00040533i,8.7071e-05-0.00024344i,0.00048493-0.00039275i,0.001051-0.00014778i,0.0010275+0.00028444i,0.00015404-0.0007712i,-0.00032341-0.0013777i,-0.00044173-0.00032445i,-0.0011556+0.0009062i,-0.00070547+0.0010198i,-0.00025834+0.00043261i,-7.9972e-05+0.0001305i,9.7667e-05+0.00012961i
-0.00015987+0.00058662i,-0.00033395+0.00084118i,-0.0004944-0.00079877i,0.00072703-0.0011491i,0.0011663-0.0009768i,0.00071453-0.0010951i,0.00051724-0.00062716i,0.0001924-9.5457e-06i,-0.00013865+0.00042306i,7.2696e-05+0.00019804i,0.00051884+0.00027352i,0.00057154+0.00016206i,0.0011774-0.00020686i,0.0013425-0.00059583i,0.00064055-0.001236i,0.00027974-0.00020832i,0.0002679+0.00024803i,-4.134e-05+7.1907e-05i,-0.00052038+0.00016919i,-0.00036998+0.00013883i,-0.00013211+0.00024163i,-0.00056937-0.00017364i,-0.00084715-0.00061669i
-0.00039895+0.00050707i,-0.00027329+0.00060412i,0.00033958-3.0084e-05i,0.00029158-0.0010411i,-0.00018442-0.00095877i,-4.8182e-05-0.00080536i,9.2134e-05-0.00088353i,-6.1198e-05-0.00056369i,4.6744e-05-0.00016508i,-0.00023369+3.0291e-05i,-0.00048733+0.00035116i,3.8046e-05+0.00035105i,0.00057451+0.00046743i,0.0001641-0.00038675i,0.00018761-0.00058946i,6.4867e-05-0.00042773i,0.00014687-0.00083058i,0.00086612-0.00066922i,0.00046962-9.6284e-05i,-7.6446e-05-4.9806e-05i,-0.00034053-0.00053947i,-0.00018697-0.00042564i,0.00048017+0.00036269i
-0.00036927-0.00010606i,-0.00026335-8.1988e-05i,0.00098526-0.00043004i,0.0012623-0.00053184i,0.00097635-4.9491e-05i,0.0010919-0.00013838i,0.0012082-0.0001457i,0.00098638+9.2408e-05i,0.00022902+9.8073e-05i,0.00051252-0.00024366i,0.0013425-0.00046117i,0.00081536-0.00080199i,0.00038112-0.00057661i,0.00045824-0.00013629i,0.00023289+6.9828e-05i,0.0002271-0.00050664i,-6.7057e-05-0.00088164i,-0.00024377+0.00039076i,0.00049435+0.00072687i,0.00046634-0.00017942i,0.00018905-0.00080687i,-0.00016234-0.00078454i,-0.00013053+2.6942e-05i
