-0.0018747+0.0010654i,-0.00057149+0.0006895i,-0.00054866+0.0006361i,-0.00020212+0.00041759i,-0.00025965+0.0018252i,-2.6632e-05+0.0026343i,0.00053143+0.0022888i,0.0013454+0.001974i,0.0015238+0.0011923i,0.0011517+0.001134i,0.00076493+0.00023386i,0.0010665-0.0011016i,0.0015203-0.0015073i,0.0011291-0.00081961i,-0.00030705+0.00014821i,-0.00015031+0.00013372i,0.00066562-0.00034887i,0.00021701+2.5239e-05i,-0.00018993+0.00049654i,-0.00021541+0.00013313i,0.00033458-0.0005724i,0.00033511-0.00016475i,2.956e-05+0.00069962i
0.0013367-0.00032751i,0.00077383-0.00044238i,2.4858e-05-0.00085125i,-0.00013292-0.00090341i,-0.0002177-0.00078496i,-0.0010666-0.00033132i,-0.0012804-9.6064e-08i,-0.0005071-8.54e-05i,-0.00014931-0.00038365i,-0.00013285-0.00045749i,1.3998e-05-0.00045863i,0.00027041-0.00051453i,0.00046454+0.00024812i,-5.9247e-05+0.00052688i,-0.00027189-2.0175e-05i,0.00010116+0.00022187i,0.00022274+1.4949e-05i,0.00019202-0.00060822i,0.00043751-0.00026556i,0.0007923-0.00034664i,0.00067432-0.0001132i,0.00031704+0.00011805i,-0.00026534+0.0002661i
-0.00036333+0.00088194i,-0.00018476+0.001011i,0.0002612+0.0010145i,0.00097839+0.00050437i,0.0010333-9.5889e-06i,0.00062163-0.00029475i,-0.00015362-0.00043447i,-0.00039054-0.00056414i,-0.00024804+6.0265e-05i,-0.00027218-0.00015682i,8.5395e-05-0.00032829i,0.00074643+0.00061514i,0.00055196+0.0010275i,0.0001207+0.00055706i,-0.00030632+0.00031333i,-0.00015277+0.00071131i,0.0005373+0.0010254i,-0.00010864+0.00098702i,-0.00063502+0.00061979i,-0.0004159+0.00031508i,-0.00031717-7.4389e-06i,1.5586e-05-0.00047762i,0.00041947-0.00027761i
5.2485e-05-0.00013512i,0.00041555+7.6407e-05i,0.0005076+0.0011949i,-0.00016508+0.0020438i,0.0002127+0.0017815i,0.00096118+0.00045731i,0.00073055-0.00011311i,0.00056856-0.00036584i,0.00059508-0.00044015i,0.00046147+5.0959e-06i,0.00024899-0.00035291i,-0.00012534-0.00061839i,-0.00021904-0.0001631i,7.4595e-05-0.00075357i,0.0004191-0.0008854i,0.0003119-0.00020734i,-0.00069548+0.00026642i,-0.0011326+4.1904e-06i,-0.00016865-7.3009e-05i,0.00039334+0.0004025i,-0.00029354+3.9445e-05i,-0.00045756-0.00023245i,7.9239e-06+2.6789e-05i
-0.0019415+0.003309i,-0.00085122+0.0026824i,9.8145e-05+0.0011989i,0.00091941-0.00052453i,0.0010889-0.0006793i,0.00053367-0.0005466i,0.00031139-0.0011253i,0.00039441-0.00072862i,-6.518e-05-3.267e-05i,-0.00043549-0.00017452i,0.00034071+0.00010907i,0.00015038-0.00013726i,-0.0002908-0.00057919i,-0.00038436-0.00088382i,-0.00053542-0.0005477i,-0.00065069+0.00027509i,-0.0012089+0.00048927i,-0.0014747+6.8337e-05i,-0.0008481-0.00051756i,-0.00024823-0.00030865i,-0.00052706-0.00012414i,-0.00089026+9.606e-05i,-0.0010319+0.00020495i
-0.0022556-0.0023493i,-0.0014213-4.2249e-05i,-0.00032994+0.00055175i,-0.00012801+0.0010029i,-0.0003527+0.00045779i,0.00030442-0.00045768i,0.00074826-0.00018196i,0.00046445-0.00017867i,-0.00037424-0.00031591i,-0.00081616-2.5297e-06i,-1.6173e-07+0.00044248i,0.00064534+0.00042492i,-5.6745e-05-0.00033132i,-0.00066995-0.0006205i,-0.00067804-8.2483e-05i,-0.00082856+0.00018557i,-6.0666e-05+0.00054344i,0.0002449+0.00070758i,3.9769e-05+0.00049443i,0.00037771+0.0006737i,0.0011142+0.0008624i,0.00075176+0.00075038i,-0.00011487+0.00029292i
0.00032182+0.0021188i,1.8475e-05+0.0010463i,0.0009233+0.0012329i,0.001564+0.00072938i,0.0012023-0.00055658i,0.00039841-0.00085909i,5.7517e-05+0.00026529i,0.00017072+0.00039394i,0.00029227-0.00041133i,0.00047234-0.0010795i,0.00029505-0.0014894i,3.199e-05-0.00067522i,-9.9698e-05+0.00061586i,4.3801e-06+0.0004967i,-2.9988e-05+0.00011268i,-0.00022335+0.00067776i,-0.00056924+0.00069552i,-0.0004632+0.00010845i,1.4271e-05+0.00020284i,-6.6422e-07-0.00023721i,0.00028233-0.00034598i,0.00082046+8.6163e-05i,0.00084488+0.00019894i
-0.00076692+0.00014768i,-0.00014364+0.0011818i,0.00019425+0.00085538i,0.00027616+0.00033721i,2.6047e-05+0.00018707i,0.00023699-0.00056575i,0.00041196-0.00089359i,0.00015051-0.00082308i,0.00021466+3.0429e-05i,0.00090903+0.00041859i,0.00071941-0.00013182i,0.00045479-0.00043638i,0.00038829-7.4526e-05i,0.00016091+0.00024331i,-0.00052461-0.00026549i,-0.00066529-0.0004397i,-0.00010622-0.0001184i,0.00020779+0.00044954i,0.000339+0.00022854i,0.00011145-0.00021072i,0.00017766-4.1424e-05i,0.00094725+8.4225e-05i,0.00079993+0.00053085i
0.0022196+0.0018453i,0.0015492+0.0011662i,0.0013667+0.00022045i,0.0008981-0.00029983i,0.00029467-0.0012449i,0.00034919-0.0010921i,0.00035574+0.00014512i,-4.9462e-06+0.00044531i,0.00026258+0.00017908i,0.00056152+0.0003413i,0.00016302+0.00088125i,-0.00022604+0.00029241i,-0.00055928-0.00032592i,-0.0002115+6.9978e-05i,-0.00026157-0.00019925i,-0.0010033-0.00062694i,-0.00059813-0.00033789i,-1.9845e-06-0.00071341i,0.00058712-0.0013091i,0.00044812-0.00036199i,-0.00032498+0.00076316i,0.00016364+0.00083673i,0.00040973+0.00089998i
-0.0012341-0.0011558i,-0.00020256-0.00029626i,0.00039087+0.00014987i,0.00064325+8.9229e-05i,0.000613+8.4357e-05i,0.00075363+8.311e-05i,0.0011244-7.8839e-05i,0.0011969+1.4947e-05i,0.00030963-0.00037546i,-0.0007061-0.00058732i,-0.00077401-0.00045126i,-0.00063868-0.00031005i,-0.00064295+0.00043739i,-0.00018049+0.00036662i,0.00024055-0.00021476i,0.00033647-0.00071638i,-0.00038516-0.0015098i,-0.00096518-0.0014097i,-0.00070968-0.0009855i,-0.00031086-0.00087351i,-0.0001024-3.7682e-05i,-2.6444e-05+0.00011218i,-0.00056823-2.2381e-05i
0.0019622+0.00049363i,0.00011714+0.0016759i,0.0004993+0.0015236i,0.000915+0.00017794i,0.00021078-0.00067748i,-0.0006-0.00010818i,-7.5771e-05+0.00021532i,-3.9e-05+0.00014311i,-2.2199e-05-2.2161e-05i,0.00025281-3.7178e-05i,-6.0791e-05-4.8871e-05i,-0.00065727+0.00020773i,-0.00081061+9.3383e-05i,0.0002193-0.00035608i,0.00082066-0.00014561i,0.00091148+7.7836e-05i,0.0003817+0.00041012i,-0.00036845+0.00076065i,-0.00052462+0.00020737i,-0.0002062-0.00043246i,-9.596e-05-0.00047571i,-0.00028952-0.0001382i,-0.0001654+0.00068724i
