-0.001694+0.00029363i,-0.00073178+0.00028818i,-0.00077567+0.00059845i,-0.00066959+0.0011157i,-0.00031463+0.0016045i,2.4417e-05+0.00092574i,-0.00061136+0.0011377i,-0.00065347+0.001158i,0.00036996+0.00023411i,0.00092803-0.00045336i,0.0010878-0.00074725i,0.0010735-0.0012497i,0.00067935-0.0021144i,-1.1144e-05-0.0019608i,-0.00033249-0.00071373i,-0.00014718+0.00029661i,0.00016869+0.00096578i,0.00044742+0.0011883i,0.00021975+0.00073337i,-0.00042826+0.00034633i,-0.00045501+0.00053281i,-0.00023269+0.00040488i,0.00030579+8.6167e-05i
0.00063662-0.00031587i,0.0017652-0.00021883i,0.0023566+0.00013986i,0.0021203+0.00045856i,0.0025355-7.0238e-05i,0.0029061+0.00038309i,0.0016329+0.00083958i,0.00045208+0.00011529i,-0.00015303+0.00010011i,-0.00039023+0.00012455i,-4.4714e-05-0.00059055i,-0.00030058-0.00049716i,-0.00017588-0.00058996i,8.9827e-05-0.0002463i,0.00034203+0.00039413i,0.00016853-1.5772e-06i,-0.00053733-0.00046915i,-0.00056194+0.0001678i,-0.00049218+0.0010674i,-0.00051522+0.00070228i,-0.00010832+1.2983e-05i,0.00018029-0.00026677i,-0.00014755+0.00014489i
-0.0001974+0.00077683i,0.00060595+0.0012144i,0.0016508+0.0016409i,0.0018702+0.0013443i,0.001682-6.3982e-05i,0.00036702-0.0012754i,5.9148e-05-0.0011222i,-0.00010908-0.000388i,-0.00040306-0.0005647i,-0.00048778-0.00023829i,-0.00092021+0.00024622i,-0.00064275+0.00040296i,0.00011295+0.0004276i,0.00022861+0.00021075i,0.0002504+0.00022199i,7.1122e-05+0.0010924i,-0.00063098+0.0011173i,-0.00099553-7.3207e-05i,-0.0010085-0.00036892i,-0.0014468-0.00019359i,-0.001406-0.0001806i,-0.00077712+0.00014387i,-0.0008973-0.00046118i
0.0012455-0.00056531i,0.0015758+0.00019895i,0.0014693+0.0005341i,0.0010204+0.00031938i,0.0010817-0.00064609i,0.00089101-0.00063087i,0.00031154-0.00014992i,0.00037169-1.7203e-05i,0.0010233-0.00028654i,0.00048995-0.00037461i,-0.00033402-6.549e-05i,-0.00026402-1.6601e-05i,-0.00067588-0.00083252i,-0.00090121-0.0012184i,-0.00090524-0.00022198i,-5.7253e-05+0.0001159i,0.00046698-0.00014342i,-0.00034594+0.00031255i,-0.00076835-6.9311e-06i,-0.00057772-0.00070149i,-0.00011125-0.00042577i,-0.00039668-0.00068256i,1.674e-05-0.00117i
0.0029098+0.0011012i,0.0037347+0.00099552i,0.0041623-8.1349e-05i,0.0027381-0.0010524i,0.00093732-0.0014533i,-0.00020037-0.0010694i,-0.00031029-0.00033293i,0.00026116+0.00013315i,5.4673e-05+0.00025294i,-0.00069645+0.00048765i,-0.0010343+0.00084175i,-0.0013596+0.00055061i,-0.00066649-0.00018253i,0.00028728-0.00023233i,0.00035577+0.00055459i,0.00072033+0.00060115i,0.00042653+0.00045203i,-0.00019938+0.00052083i,-0.00038707-0.00010079i,-0.00061009-0.00062543i,-0.00056243-0.0009205i,-0.00013082-0.0010974i,-0.00014068-0.0010991i
0.00033135+7.5912e-05i,-0.00011321+0.00052483i,-4.2396e-05+0.0014653i,0.00037498+0.0012213i,0.0010394+0.00068652i,0.00096693+0.00098197i,0.00062707+0.0011412i,-5.3921e-05+0.0010508i,-0.00053829+0.00075002i,-0.00050255+0.00039027i,-0.00051677+9.1053e-05i,-6.7474e-05-0.00019991i,0.0010685-0.00068381i,0.00098728-0.00092015i,-7.3009e-06-0.00059183i,-6.249e-05+0.00067248i,-0.00023208+0.001181i,-0.00049507+0.0006973i,-0.00025482+0.00048766i,-0.00047074+0.00034791i,-0.00064023+0.00010933i,-0.00032516-0.0004223i,0.00025417-0.00030358i
0.0016515-0.00089729i,0.0011001-0.0016002i,0.00102-0.0020843i,0.0015481-0.0013924i,0.00058469-0.00098339i,-0.0010049-0.00054699i,-0.00057855+0.00022993i,2.608e-06+8.7125e-05i,-0.00051253-0.00076356i,-0.0012219-0.00043925i,-0.00056964-0.00015873i,9.8017e-05-0.00017864i,-0.0004174-7.3333e-05i,-0.00070527-1.3997e-05i,1.0736e-05-0.00029472i,0.00050718-0.00022328i,0.00017331+0.000174i,-7.9409e-06-0.00026693i,-0.00053423-0.00045687i,-0.00040162+6.3994e-05i,-0.00020865+9.6679e-05i,-0.00067026-0.00097533i,-0.00031804-0.00085246i
0.0018159+0.00024024i,0.0024161+0.00063312i,0.0029335+0.00093255i,0.0027145+0.0012622i,0.0012635+0.00088189i,0.00015454+0.00076688i,-0.0002077+0.00079267i,9.4248e-05+0.00056916i,0.00036949+0.00064086i,0.00021802+0.00093518i,0.00063727+0.00076504i,0.00052685+0.00021433i,0.00050487+0.00026263i,0.00080378-0.00020291i,0.00075654-0.00094343i,0.00069557-7.2322e-05i,0.00052023+0.00072084i,0.00033704+0.00054986i,-0.00013714+0.00070395i,-0.0001197+0.00064293i,0.00021628-0.00055617i,-0.00038357-0.0014281i,-0.00065536-0.0010213i
-0.00039663-0.00082236i,-0.00063604-0.00022065i,-0.00076914+0.00055437i,0.00068059+0.0012576i,0.0014532+0.00091225i,0.0013117+0.0003555i,0.00053174+0.0006925i,-0.00044361-1.1774e-05i,-0.00092641-0.0014546i,-0.001436-0.0012476i,-0.0012107-0.00057743i,0.00018153+1.4063e-05i,0.00072568+0.00053765i,0.00030945-1.8948e-05i,0.00031685-0.00031119i,0.00025165-0.00013539i,0.00026149-1.8266e-05i,0.00020662+0.00057269i,3.6862e-06+0.0012177i,-0.0001875+0.00084773i,-0.0007597+0.00035142i,-0.00088683-0.00011764i,-0.00057876-0.0002814i
0.00022471+0.0004431i,0.00065818+0.00021409i,0.0018291-0.00095393i,0.0030048-0.0019756i,0.002819-0.00095251i,0.0016132+0.0005576i,0.00097509+0.00073718i,0.00057999-0.00011929i,0.00047318-0.00070318i,-3.6803e-05-0.0011841i,-1.0457e-05-0.0013185i,9.6083e-05-0.00074458i,0.00047802-0.00019679i,0.00058524-8.3028e-05i,0.00031044-0.00027156i,2.6444e-05-0.00040785i,-0.00051487-0.00024176i,-0.00049545+0.00028352i,9.6573e-05+0.00023949i,-0.00033516+5.2676e-05i,-0.00072982+0.00027446i,-0.00045685+0.00017655i,0.00025158+4.8012e-05i
0.00047871-8.4078e-05i,0.00079614-5.2764e-05i,0.0015159-0.0004909i,0.0013478-0.00078882i,0.00077607-0.0005748i,0.00063441-0.00064861i,0.00063613+0.00015845i,0.00055358+0.00081698i,0.00062219+0.00024814i,0.00053046-0.00099502i,-8.5857e-06-0.0012408i,0.0001832-0.00035872i,0.00027451+0.00061995i,-0.00034231+0.0010222i,-0.00099498+0.00032643i,-0.0009733-0.00039535i,-0.00057079-0.00024146i,-0.00070063-0.0008837i,-0.00070727-0.0018359i,-0.00038641-0.0022711i,-0.00018606-0.0020953i,0.00011257-0.001073i,-0.00028793-0.00082715i
0.00036972-0.00012016i,0.0006526+0.0010385i,0.00092959+0.00095625i,0.0011303+0.0001988i,3.8308e-05+0.00054252i,-8.0002e-05+0.00034418i,3.2947e-05-0.00017797i,-0.00048746+0.00011268i,-0.00085162-2.4546e-05i,-0.00089571-0.000149i,-0.00049784+0.00075601i,-0.00032481+0.00091119i,-0.00065766+7.2303e-05i,-0.0011699-0.00038131i,-0.0010158-0.00045781i,-0.00043619+0.00024739i,-0.00037105+0.00083566i,-0.00028084+0.00048523i,0.00032828+2.2741e-05i,0.00026943-0.00012538i,-0.00012996-4.7579e-05i,0.00019871-0.00051512i,-0.00019452-0.00074356i
-0.00039133-0.00070052i,-0.0011102+0.0012079i,-0.00062905+0.0017798i,0.00023897+0.0014292i,0.00037495+0.00096608i,0.00042382+0.0011175i,0.0010762+0.0002839i,0.0015953+2.0437e-05i,0.0010048+0.00095611i,-0.00049537+8.8703e-06i,-0.0010491-0.00016107i,-0.00016549+0.00037262i,0.00011938+0.00016915i,-0.00011241+1.0075e-05i,0.00012493-0.00019495i,-1.257e-06-0.00026146i,-0.00013713+0.0002352i,3.0809e-05-0.00014588i,0.00063894-0.0008448i,0.00054786-0.00082288i,0.00024078-0.00063188i,0.00036685-0.00074601i,0.00018797-0.00078046i
0.00026917-0.00056465i,-0.00024296-0.00065586i,2.9964e-05-0.0004728i,0.00017557-0.00080038i,0.00024767-0.00033908i,0.0001701+0.00044919i,-0.00030425+0.0012423i,-0.00034821+0.0016189i,-0.00052261+0.00037976i,-0.00095451-0.00059034i,-0.00053243-0.00018971i,-6.0966e-05+0.00022064i,-5.4817e-05-0.0004205i,0.00045694-0.00043133i,0.00053541-0.00015552i,-0.00011017-0.00019651i,0.00033121-0.00019858i,0.00066844+0.00055462i,-3.5586e-05+0.00042809i,-0.00013604-6.5658e-05i,0.00078864-2.8251e-05i,0.00080392-0.00078364i,0.00021825-0.00092993i
8.8168e-05+0.000836i,0.0013875+0.0011737i,0.0034421+0.00073883i,0.0044647-0.0001098i,0.0034704+0.00023628i,0.001262+0.00073073i,-0.00012849+0.00080026i,0.00047691-6.3175e-05i,0.00099663-0.00063254i,0.00045312+0.00012091i,0.00073595+0.00024686i,0.0012347+0.00010235i,0.00045112+0.0001406i,-0.00021555+0.00021386i,-0.00092803+0.00078352i,-0.0010102+0.00036864i,-0.00032381+0.00027885i,0.00010223+0.00062518i,0.00033712+0.00044813i,4.8156e-05+0.00047625i,-3.4586e-05+2.6353e-05i,-0.0001789+0.00044451i,7.4728e-05+0.00090628i
-0.0011437+0.00013507i,8.2203e-05+0.0016151i,0.0012344+0.0021799i,0.0017354+0.0013641i,0.0013576+0.00015806i,-0.00011537-0.00051715i,-0.00058383-0.00050699i,1.4177e-05-0.00098522i,-0.00045047-0.0010952i,-0.0012563-0.00063089i,-0.00089181-0.00016762i,0.00013801-0.00032183i,0.0007684-0.00040071i,0.00074635-6.6142e-05i,-7.2272e-05-0.00026243i,-0.000362-0.00071075i,-0.00036864-0.00071294i,-0.00045714+0.00013438i,-0.0008633+0.00090866i,-0.0006354+0.00066171i,-0.00011822-0.00010689i,4.9588e-05-0.00041091i,0.00027595-0.0006508i
