-0.0022165+0.00018884i,-0.00075084-0.00053185i,-0.0006126-0.00086534i,0.00049968-0.0010179i,-2.3145e-05+0.00027352i,-0.00071008+0.001814i,-0.00035496+0.0016597i,0.00015483+0.0010125i,0.0006656+0.00090684i,0.0010261+0.00072592i,0.0016153+0.0002257i,0.0011822-0.00037517i,9.1805e-05-0.0012095i,4.9971e-05-0.0015255i,0.00067984-0.00063776i,0.00097679+0.00034819i,0.00066257+0.0011038i,3.21e-05+0.0012341i,-0.00061797-0.00021586i,-0.0010115-0.0011949i,-0.00050844-0.00014538i,-0.00030152-0.00020796i,0.00044294-0.0003312i
0.0011328+0.0015795i,0.00026252+0.0007122i,0.00085984-0.00060898i,0.001884-0.0018742i,0.0024423-0.001526i,0.0012859-0.0011364i,0.00027422-0.0010078i,0.00060431-0.00026395i,0.00066446+0.00037977i,0.00098743+0.00032825i,0.0010946+0.00012516i,0.00093751-0.00077047i,0.00086103-0.0012342i,0.00044219-0.00092456i,0.00014149-0.0010319i,-0.0002089-0.00085457i,1.5867e-05-9.445e-07i,3.6903e-05+0.0012841i,-0.00020027+0.0012856i,-1.7677e-05+0.00050131i,-0.00016424+8.5715e-05i,3.4207e-05-0.00057162i,0.00062556-0.0012157i
0.00102-0.0012862i,0.0015437-0.0020653i,0.0021473-0.0017091i,0.0018665-0.0014383i,0.00039771-0.0014652i,-0.00054785-0.00060014i,-0.00075402+0.00013906i,-0.00045235-0.00030754i,-0.00023842-0.00046935i,-0.00047361-0.00012192i,-0.00047849+0.00018125i,-0.00027603+0.00036502i,-0.0003073+0.00036366i,-0.00024188+1.1268e-05i,0.000139-0.00051854i,0.00071424-0.00025692i,0.0010374+0.00012734i,0.00062526-0.00037723i,0.00034915-0.00077204i,0.00020905-0.00042539i,0.00027723-0.00037135i,0.00081626-0.00026335i,0.0010806+0.00025582i
-0.0010803-0.0016342i,0.00018329-0.000474i,0.0018249+0.00065852i,0.0027265-0.0007227i,0.0018496-0.0014468i,0.00055781-0.00031448i,0.00034911+0.00071591i,0.00044151+0.00020947i,4.2459e-05+0.00032069i,5.7839e-05+0.00056025i,0.0005954-0.0002719i,0.00033276-0.00080029i,-7.5322e-05-9.8341e-05i,0.00032001+0.00034516i,0.00050308-0.0004569i,0.00014063-0.00073521i,0.00059445-0.00024826i,0.0012295+0.00018784i,0.00090151+0.00039769i,-0.00018294-0.00026083i,-0.00015338-0.00082373i,0.00027098-0.0006323i,0.00050997-0.00044797i
0.00017233-0.0015309i,7.1489e-05-0.00023147i,0.00025617-0.0016171i,0.00076943-0.0023037i,0.00048767-0.001394i,-0.00046833-0.00043534i,-0.00073517+0.00018734i,-0.00059446+0.00079471i,-0.00025323+0.00036779i,-0.00043089+0.00045675i,-0.00018468+0.00024458i,-0.0001325-0.00013734i,-0.00048418+0.00026127i,-0.00079999+9.5438e-05i,-0.00030605-0.0002837i,0.00089122-0.0002184i,0.00070615-5.5051e-05i,0.00070515+0.00036838i,0.00085906+0.00097926i,0.00054561+0.00067465i,-6.2142e-05-0.00036453i,-0.00052657-0.00063503i,-0.00096385-8.5895e-05i
-0.00074184+0.00023469i,0.001223+0.00091557i,0.002123+0.00032702i,0.0016053+0.00018692i,9.323e-05+0.00043111i,-0.00043012+0.00051119i,0.00063092+0.00066138i,0.00076298+0.0012094i,0.0001843+0.0013913i,-0.00024338+0.001086i,0.00011952-0.00013074i,0.00074155-0.00053722i,0.00055536+0.00042315i,0.00044706+0.00028556i,0.00032889-0.000209i,-0.00037716-0.0003161i,-0.00041834-0.00021237i,-0.0001806+0.00044707i,0.00047049+0.00079104i,0.00053796+0.00054053i,-0.00013938+0.00033779i,-0.00029994+0.00029512i,-0.00052742+0.00023688i
-0.0035458-0.00085186i,-0.0014293+0.00017763i,0.00085256+0.00078532i,0.0022935+0.00028667i,0.0019123-0.00042962i,0.00025196-0.00098175i,-0.00051529-0.0011079i,-0.00072171-0.00012171i,-0.00067077+0.00046499i,-0.00019283+0.00046025i,0.0001557+9.3073e-05i,0.00078894-0.00030742i,0.00059751-6.587e-05i,4.9178e-05+0.0005458i,0.00060102+0.00077687i,0.00047203+0.00018009i,0.00041222+0.000339i,0.0007751+0.00015301i,0.00058581-0.00015345i,-0.00042405+0.00033726i,-0.00014727-4.4934e-05i,0.00020258-0.00071749i,-0.0001707-0.00034432i
0.0012946-0.0020505i,0.0019223-0.0015908i,0.0029863-0.002473i,0.0023296-0.002793i,0.00030887-0.0023387i,-0.00092008-0.0017926i,-0.0010689-0.0011349i,-0.00040536-0.00046652i,-8.3036e-05-5.5635e-05i,9.9992e-05+0.00034137i,0.0006333+0.00057535i,0.00074504+0.00016167i,0.00043378-0.00058568i,0.00050418-0.00076485i,0.00065276-0.00081217i,0.00070969-0.00039977i,9.7771e-05-0.00043887i,-0.000115-0.00076492i,0.00033133-0.00074253i,0.00059969-0.00047765i,0.00043981+0.00017161i,9.5349e-05+0.00046332i,-0.00011932+0.00032378i
0.00082946-0.00043513i,0.00032523-0.0016693i,0.00094682-0.0023319i,0.0011765-0.0023852i,-0.0001432-0.0016894i,-0.0011508-6.9376e-05i,-0.00066103+0.00076941i,1.6232e-05+1.8827e-05i,0.00015999-0.00076655i,0.00014806-0.0005807i,0.00029622+0.00016314i,0.00022428+0.00083615i,-0.00010534+0.00057392i,-0.0002431+9.7452e-05i,0.00023895-0.00014101i,0.0001228-0.00028892i,-0.00043698-0.00080138i,7.6615e-05-0.00082777i,0.00034414+0.00031774i,0.00013301+0.00033234i,0.00044568+0.00038738i,0.00041953+0.00091033i,-0.00017975+0.00091958i
-0.0014262-0.0024111i,0.00011283-0.0018675i,0.0018422-0.0008324i,0.0014425-0.00051917i,0.0011117-0.00056308i,0.0013171-0.00033219i,0.0010032+0.00065026i,0.0005269+0.0013891i,-0.00019046+0.00094917i,-0.0011163+0.0006774i,-0.0012029+0.00063239i,-9.5773e-05+0.00096989i,0.0004103+0.00076031i,0.00012712-9.2974e-05i,0.00018757-0.00012296i,3.2453e-05-0.00052011i,-0.00024156-0.00036953i,-0.00069089+8.381e-05i,-0.0012074+0.00018724i,-0.0011739-4.7064e-08i,-0.00039869-0.00011936i,0.00025928-0.00021127i,9.8564e-05-0.00035302i
0.0010636-0.0027513i,0.0019816-0.0016609i,0.0017374-0.002472i,0.00065743-0.0030101i,-0.00029048-0.0022411i,-0.00042539-0.00068868i,-0.00074561+0.00071651i,-0.00088196+0.0010137i,-0.00066241+1.5947e-05i,-0.00095073-0.00074105i,-0.00063548+0.0006182i,0.00046986+0.0012699i,0.00099983+0.00050413i,0.0011508-4.1716e-05i,0.0013355+4.116e-05i,0.00088151+0.00039743i,0.00023172+0.00037832i,4.4041e-05+5.2539e-05i,0.0015363-0.00053325i,0.0021262-0.00013336i,0.0010251-3.4066e-05i,0.0002497-0.00030024i,-0.00014114-0.00018302i
