-0.00060246+0.00039299i,0.00011104-0.0005721i,-0.00086197-0.00029731i,-0.0010896+0.00049031i,-0.00065182+0.00068708i,-0.00033463+0.00078579i,-0.00083063+0.0016145i,-0.00029871+0.0015577i,0.0012201+0.00087421i,0.0017547+0.00074309i,0.0016669+0.00056942i,0.00089168-0.00045183i,1.1447e-05-0.00096752i,-0.00045608-0.00029931i,-0.00024655-0.00012339i,-0.00026141-9.36e-05i,-0.0010279+0.00012328i,-0.0010892+0.00069135i,-0.00036226+0.00090426i,-0.00032589+0.00048087i,-0.00017224-0.00015542i,-0.00017356-0.00016522i,-0.00049319+1.9933e-05i
-0.000213-0.0010508i,-0.00035169-0.0012511i,0.00082842-0.0012865i,0.0011494-0.00030539i,-0.00020155-4.2972e-05i,-0.0008646-0.00042935i,-0.0007199-0.00014628i,-0.00024399+0.00030427i,1.0462e-05+0.00071084i,-0.00048177+0.0003724i,-0.00014245-0.00054857i,-0.00013105-0.00010839i,-0.00068776-0.00015736i,-0.0006631-0.00059321i,-0.00027218+0.00015719i,0.0003341+0.00046186i,0.00030334+0.00046254i,-0.0003979+0.00030181i,-0.0010193+0.0002131i,-0.0011321+0.00054619i,-0.00081005+0.00034257i,-0.00024918-3.8433e-05i,7.8193e-05+0.00017766i
0.0014728-0.00067369i,0.00097622-0.00089838i,0.0010586-0.0010849i,0.0004609-0.00029454i,-0.00048391-3.6181e-05i,-0.00064956-0.00012024i,-0.00011463+0.00028773i,0.00033317+0.00070158i,-0.00011823+0.00072704i,-0.00035452+0.00069136i,-6.1653e-05+0.00045116i,3.3812e-05+0.00015104i,0.00044799-0.00011906i,0.00064643-0.00043534i,0.00024234-0.00052317i,-0.00032024+1.9134e-05i,-1.5906e-05-0.00018396i,0.0002876-0.0012373i,-2.0494e-05-0.0016647i,0.00031323-0.001015i,0.00040548-0.00041929i,3.9491e-05+0.00049227i,-0.00052816+0.00061145i
0.00083139+0.00036418i,-0.00028112-0.00017956i,0.00038469-0.00049149i,0.00084269-0.00062568i,-0.00021429-0.0010492i,-0.00050028-0.0003048i,-0.00023973+0.00046102i,-0.00046836+0.00058822i,-0.00016158-8.1856e-05i,-0.0006705+7.5365e-05i,-0.00087529+0.00047156i,-4.8769e-05+0.0011949i,0.00081583+0.0014016i,0.00066269+0.00014434i,7.3481e-05-0.00055963i,-0.00016194-0.00037031i,-0.00049444-0.00022736i,-0.00055276+3.0021e-05i,-0.00039157+0.00014544i,-0.00010146-0.00054581i,0.00085912-0.00061068i,0.00091358-0.00030215i,0.00026451-0.00029411i
0.0010412-0.00173i,0.0001915-0.0025421i,0.00074255-0.0025029i,0.0017957-0.001995i,0.0018768-0.001473i,2.3204e-06-0.0010864i,-0.0013201-0.00059938i,-0.00080779-1.8725e-05i,0.00024675+0.00011254i,0.00040055+0.00010602i,0.00040872+0.00010213i,0.00051732+0.00060387i,-0.00023111+0.0011441i,-0.00076578+0.00091606i,3.5517e-05+0.00041938i,0.0010658+0.00042132i,0.00090328+0.00055176i,-0.00010769+0.00014212i,-0.00062531-0.00074652i,-0.00036467-0.00022675i,0.00045043+0.00089094i,0.00039589+0.00064519i,-0.00027745+0.00066635i
-0.0032874-0.0012916i,-0.0036407-0.00037054i,-0.002907+0.0005263i,-0.0017084+0.0016778i,-0.0011076+0.0023806i,-4.8482e-05+0.0010723i,0.00083634-0.00026597i,-8.8208e-05+8.9475e-06i,-0.00087233+0.00045409i,-0.00069466+0.00073013i,-0.00054124+0.0011604i,8.5017e-05+0.0010197i,0.00099034+5.3326e-05i,0.0010012-0.00046445i,0.00032552+0.00032479i,0.00011262+0.00071401i,0.00053979+0.00037281i,0.00032469+0.00049099i,-0.00026789+0.00046614i,-2.8664e-05-7.9585e-06i,0.00021467-0.00047322i,0.00010796-2.79e-05i,0.00030494+0.00031951i
-0.0008728+0.0024158i,-8.8367e-07+0.0029544i,0.00082275+0.0030179i,0.0015217+0.0012762i,0.0014066+0.0001679i,0.001532-0.00014652i,0.0013929-7.7866e-05i,0.000147+0.00037294i,-0.00031422+0.00053594i,0.00026446+0.00086053i,0.00038068+0.00055453i,-0.0003653+0.00039577i,-0.00080192+0.00034891i,-0.00059173-0.00020936i,-0.00051109-0.00020575i,-0.00071732-0.00038493i,-0.00072518-0.00054652i,-0.00020079+2.5993e-05i,0.00057057+0.0003084i,0.00058851-0.00027869i,0.00080854-0.00073901i,0.00027296-0.00052047i,-0.00025425+0.00017695i
0.00038978-0.0020627i,-0.00034987-0.0015611i,-0.0014978-0.001718i,-0.00014922-0.0016825i,0.00098544-0.0016664i,0.00053593-0.0016004i,0.00048987-0.00076142i,0.00033953+1.5438e-06i,0.00039396+0.00051842i,6.2025e-05+0.0016618i,-0.00050684+0.0018777i,-0.00030719+0.0012005i,-4.2326e-05+0.00064991i,-6.7041e-05+0.00048251i,-3.5103e-05+9.082e-07i,-0.00075318-0.00082138i,-0.0010002-0.00055819i,-0.00051051-9.1843e-05i,-0.0005724-0.0004417i,-0.00055461-0.00098048i,0.00035794-0.00020129i,0.00016356+7.9795e-05i,0.0002971-0.0015037i
-0.0010531-0.00083994i,-0.00084349+0.00027666i,-0.00079497+0.0017937i,-0.00072998+0.001578i,-3.9311e-05+0.0007659i,-7.8944e-05+0.00030009i,-0.00043175-0.00025066i,0.00020871+2.2447e-05i,-0.00049411+0.00049057i,-0.001076+0.00063698i,-0.001183+0.00024287i,-0.0011514-0.00045189i,-0.00052042-0.00067289i,-0.00067761-0.00081194i,-0.0008209-0.0011489i,-0.00039989-0.00079136i,5.3297e-05-0.00029963i,-0.00019397-0.00043748i,-0.00060666-0.00012432i,-5.8653e-05-1.043e-05i,0.00067747+0.00022464i,0.00029409+0.00097085i,-0.00050534+0.0013026i
-0.00060205+0.0012962i,-0.00065614+1.817e-05i,0.0014283+0.00031548i,0.0037175+0.0013215i,0.0030813+0.00073506i,0.0014158-0.00072167i,0.00023465-0.00085406i,-0.00019017+0.00045302i,-0.00045547+0.0013127i,-0.00060489+0.00082559i,-0.00048814+0.00036556i,-0.00091736+0.00013303i,-0.00077984-0.00068339i,-0.00060771-0.00066912i,-0.00071072-8.0217e-05i,-0.00077958+0.00020201i,-0.000397+0.00018996i,0.00024908-0.00064226i,0.00033863-0.00071661i,0.00021367-0.00046156i,-0.00012671-0.00020948i,-0.00038613+0.000441i,-0.00094798+0.00025104i
7.3479e-05-0.00066106i,-0.00021371-0.00051678i,0.00030847-0.0014236i,0.0013056-0.0019305i,0.0007502-0.0014653i,-0.00029304-1.462e-05i,-0.00066199+0.00086592i,-0.00062561+0.00094864i,-0.00020295+0.0012761i,-0.00029985+0.001247i,-0.00021806+0.00068228i,0.00068854+0.00025765i,0.0010309+0.00075279i,0.00070804+0.0011473i,-0.0002139+0.00079713i,-0.0011151+0.00015319i,-0.00073666-0.00022896i,-0.0001854-0.00074206i,-0.00049671-0.00066471i,-0.00077996-0.00015271i,-0.0010457+0.00036716i,-0.00071185+0.00026334i,0.00020141+6.6463e-05i
